QUARTER,TIME_REMAINING,ORLANDO_ACTION,INDIANA_ACTION,ORLANDO_SCORE,INDIANA_SCORE
1,11:43.0,E. Fournier makes 2-pt jump shot from 17 ft (assist by A. Gordon),,2,0
1,11:25.0,,M. Turner misses 2-pt jump shot from 15 ft,2,0
1,11:22.0,Defensive rebound by A. Gordon,,2,0
1,11:13.0,Turnover by N. Vučević (bad pass; steal by M. Turner),,2,0
1,10:55.0,,T. Young makes 2-pt layup at rim (assist by W. Matthews),2,2
1,10:42.0,,Violation by Team (kicked ball),2,2
1,10:34.0,Personal foul by T. Young (drawn by A. Gordon),,2,2
1,10:22.0,D. Augustin makes 2-pt layup at rim (assist by A. Gordon),,4,2
1,10:07.0,,M. Turner misses 3-pt jump shot from 28 ft,4,2
1,10:03.0,Defensive rebound by D. Augustin,,4,2
1,9:54.0,E. Fournier misses 3-pt jump shot from 27 ft,,4,2
1,9:50.0,Offensive rebound by J. Isaac,,4,2
1,9:44.0,A. Gordon makes 2-pt jump shot from 8 ft,,6,2
1,9:30.0,,D. Collison misses 2-pt jump shot from 17 ft,6,2
1,9:27.0,,Offensive rebound by D. Collison,6,2
1,9:22.0,,D. Collison makes 2-pt layup from 2 ft,6,4
1,9:08.0,E. Fournier misses 2-pt layup from 1 ft,,6,4
1,9:06.0,,Defensive rebound by B. Bogdanović,6,4
1,8:59.0,,Personal foul by A. Gordon (drawn by D. Collison),6,4
1,8:53.0,,B. Bogdanović makes 2-pt layup at rim (assist by T. Young),6,6
1,8:39.0,N. Vučević makes 2-pt layup from 4 ft (assist by E. Fournier),,8,6
1,8:23.0,,W. Matthews misses 2-pt jump shot from 17 ft,8,6
1,8:18.0,,Offensive rebound by T. Young,8,6
1,8:18.0,,T. Young makes 2-pt layup from 1 ft,8,8
1,8:07.0,J. Isaac makes 3-pt jump shot from 27 ft (assist by D. Augustin),,11,8
1,7:54.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,11,8
1,7:50.0,Defensive rebound by J. Isaac,,11,8
1,7:41.0,A. Gordon makes 2-pt jump shot from 14 ft (assist by D. Augustin),,13,8
1,7:41.0,Shooting foul by B. Bogdanović (drawn by A. Gordon),,13,8
1,7:41.0,A. Gordon makes free throw 1 of 1,,14,8
1,7:30.0,,M. Turner makes 2-pt layup from 2 ft (assist by D. Collison),14,10
1,7:15.0,Turnover by E. Fournier (bad pass; steal by T. Young),,14,10
1,7:11.0,,D. Collison makes 2-pt layup from 1 ft,14,12
1,6:57.0,N. Vučević makes 2-pt layup from 1 ft (assist by D. Augustin),,16,12
1,6:46.0,,D. Collison misses 2-pt jump shot from 17 ft,16,12
1,6:43.0,Defensive rebound by J. Isaac,,16,12
1,6:24.0,Personal foul by M. Turner (drawn by N. Vučević),,16,12
1,6:24.0,,Indiana full timeout,16,12
1,6:16.0,N. Vučević misses 2-pt hook shot from 3 ft,,16,12
1,6:14.0,,Defensive rebound by M. Turner,16,12
1,6:03.0,,T. Young makes 2-pt layup at rim (assist by D. Collison),16,14
1,5:46.0,N. Vučević misses 2-pt jump shot from 16 ft,,16,14
1,5:43.0,Offensive rebound by A. Gordon,,16,14
1,5:37.0,Shooting foul by T. Young (drawn by J. Isaac),,16,14
1,5:37.0,J. Isaac misses free throw 1 of 2,,16,14
1,5:37.0,Offensive rebound by Team,,16,14
1,5:37.0,W. Iwundu enters the game for A. Gordon,,16,14
1,5:37.0,,D. Sabonis enters the game for T. Young,16,14
1,5:37.0,J. Isaac makes free throw 2 of 2,,17,14
1,5:29.0,,B. Bogdanović makes 2-pt jump shot from 14 ft,17,16
1,5:18.0,E. Fournier makes 2-pt layup from 2 ft (assist by D. Augustin),,19,16
1,5:06.0,,Personal foul by W. Iwundu (drawn by B. Bogdanović),19,16
1,4:58.0,,B. Bogdanović misses 2-pt jump shot from 7 ft,19,16
1,4:56.0,Defensive rebound by N. Vučević,,19,16
1,4:46.0,N. Vučević makes 2-pt jump shot from 21 ft (assist by D. Augustin),,21,16
1,4:31.0,,D. Sabonis misses 2-pt hook shot from 6 ft,21,16
1,4:28.0,Defensive rebound by N. Vučević,,21,16
1,4:26.0,Turnover by N. Vučević (bad pass; steal by D. Collison),,21,16
1,4:16.0,,D. Sabonis makes 2-pt hook shot from 7 ft (assist by W. Matthews),21,18
1,4:03.0,J. Isaac misses 3-pt jump shot from 27 ft,,21,18
1,3:59.0,,Defensive rebound by B. Bogdanović,21,18
1,3:54.0,,Turnover by B. Bogdanović (lost ball; steal by N. Vučević),21,18
1,3:45.0,D. Augustin makes 2-pt layup from 1 ft,,23,18
1,3:30.0,,D. Collison makes 2-pt jump shot from 17 ft,23,20
