QUARTER,TIME_REMAINING,MIAMI_ACTION,TORONTO_ACTION,MIAMI_SCORE,TORONTO_SCORE
1,11:40.0,,Shooting foul by K. Olynyk (drawn by M. Gasol),0,0
1,11:40.0,,M. Gasol makes free throw 1 of 2,0,1
1,11:40.0,,M. Gasol makes free throw 2 of 2,0,2
1,11:28.0,K. Olynyk makes 2-pt hook shot from 7 ft (assist by B. Adebayo),,2,2
1,11:16.0,,M. Gasol misses 2-pt jump shot from 17 ft,2,2
1,11:13.0,Defensive rebound by B. Adebayo,,2,2
1,11:04.0,B. Adebayo misses 2-pt layup from 2 ft,,2,2
1,11:00.0,Offensive rebound by J. Winslow,,2,2
1,11:00.0,J. Winslow misses 2-pt layup at rim,,2,2
1,10:59.0,Offensive rebound by J. Winslow,,2,2
1,10:59.0,J. Winslow misses 2-pt layup at rim,,2,2
1,10:57.0,,Defensive rebound by P. Siakam,2,2
1,10:50.0,,K. Lowry makes 2-pt layup from 3 ft,2,4
1,10:33.0,D. Waiters makes 3-pt jump shot from 25 ft (assist by G. Dragić),,5,4
1,10:22.0,,K. Leonard misses 2-pt layup from 3 ft,5,4
1,10:19.0,Defensive rebound by K. Olynyk,,5,4
1,10:09.0,Turnover by J. Winslow (bad pass; steal by K. Lowry),,5,4
1,10:07.0,,Personal take foul by D. Waiters (drawn by P. Siakam),5,4
1,9:54.0,,Turnover by K. Lowry (bad pass; steal by G. Dragić),5,4
1,9:47.0,D. Waiters misses 3-pt jump shot from 23 ft,,5,4
1,9:46.0,Offensive rebound by B. Adebayo,,5,4
1,9:45.0,B. Adebayo makes 2-pt dunk at rim,,7,4
1,9:33.0,,P. Siakam makes 2-pt hook shot from 9 ft,7,6
1,9:22.0,G. Dragić makes 2-pt layup from 2 ft,,9,6
1,9:17.0,,Turnover by D. Green (bad pass),9,6
1,9:10.0,G. Dragić misses 2-pt jump shot from 8 ft,,9,6
1,9:10.0,,Defensive rebound by M. Gasol,9,6
1,9:02.0,,K. Leonard misses 2-pt jump shot from 15 ft,9,6
1,9:02.0,Defensive rebound by B. Adebayo,,9,6
1,8:53.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Winslow),,12,6
1,8:34.0,,D. Green misses 2-pt jump shot from 21 ft,12,6
1,8:34.0,Defensive rebound by B. Adebayo,,12,6
1,8:13.0,J. Winslow misses 2-pt jump shot from 11 ft,,12,6
1,8:13.0,,Defensive rebound by M. Gasol,12,6
1,8:06.0,,K. Lowry misses 3-pt jump shot from 25 ft,12,6
1,8:06.0,Defensive rebound by B. Adebayo,,12,6
1,7:56.0,G. Dragić misses 2-pt jump shot from 8 ft,,12,6
1,7:53.0,,Defensive rebound by K. Lowry,12,6
1,7:45.0,,P. Siakam makes 2-pt hook shot from 4 ft,12,8
1,7:23.0,Offensive foul by B. Adebayo (drawn by D. Green),,12,8
1,7:23.0,Turnover by B. Adebayo (offensive foul),,12,8
1,7:07.0,,Turnover by K. Leonard (bad pass; steal by J. Winslow),12,8
1,7:02.0,Turnover by B. Adebayo (bad pass; steal by K. Lowry),,12,8
1,6:57.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Lowry),12,11
1,6:41.0,Turnover by J. Winslow (out of bounds lost ball),,12,11
1,6:41.0,,Toronto full timeout,12,11
1,6:30.0,,Shooting foul by J. Winslow (drawn by M. Gasol),12,11
1,6:30.0,,M. Gasol makes free throw 1 of 2,12,12
1,6:30.0,,M. Gasol makes free throw 2 of 2,12,13
1,6:18.0,Personal foul by K. Leonard (drawn by K. Olynyk),,12,13
1,6:18.0,D. Wade enters the game for G. Dragić,,12,13
1,6:07.0,D. Waiters misses 2-pt layup from 4 ft (block by D. Green),,12,13
1,6:04.0,,Defensive rebound by K. Lowry,12,13
1,6:03.0,,P. Siakam makes 2-pt dunk from 2 ft (assist by K. Lowry),12,15
1,5:45.0,K. Olynyk misses 3-pt jump shot from 24 ft,,12,15
1,5:41.0,,Defensive rebound by P. Siakam,12,15
1,5:33.0,,K. Leonard misses 2-pt layup from 2 ft,12,15
1,5:31.0,Defensive rebound by K. Olynyk,,12,15
1,5:21.0,Turnover by B. Adebayo (bad pass; steal by K. Leonard),,12,15
1,5:14.0,,Turnover by P. Siakam (lost ball; steal by J. Winslow),12,15
1,5:06.0,J. Winslow makes 2-pt jump shot from 8 ft,,14,15
1,5:06.0,Shooting foul by M. Gasol (drawn by J. Winslow),,14,15
1,5:06.0,J. Winslow misses free throw 1 of 1,,14,15
1,5:04.0,,Defensive rebound by M. Gasol,14,15
1,4:52.0,,K. Leonard makes 2-pt layup from 2 ft (assist by M. Gasol),14,17
1,4:41.0,Def 3 sec tech foul by Team,,14,17
1,4:41.0,K. Olynyk makes technical free throw,,15,17
1,4:41.0,R. McGruder enters the game for D. Waiters,,15,17
1,4:41.0,,F. VanVleet enters the game for K. Lowry,15,17
1,4:32.0,R. McGruder misses 2-pt layup from 6 ft,,15,17
1,4:28.0,Offensive rebound by B. Adebayo,,15,17
1,4:28.0,B. Adebayo misses 2-pt layup at rim,,15,17
1,4:27.0,,Defensive rebound by M. Gasol,15,17
1,4:17.0,,P. Siakam makes 3-pt jump shot from 24 ft (assist by M. Gasol),15,20
1,4:05.0,Shooting foul by K. Leonard (drawn by D. Wade),,15,20
1,4:05.0,D. Wade makes free throw 1 of 2,,16,20
1,4:05.0,J. Johnson enters the game for B. Adebayo,,16,20
1,4:05.0,H. Whiteside enters the game for K. Olynyk,,16,20
1,4:05.0,,N. Powell enters the game for K. Leonard,16,20
