QUARTER,TIME_REMAINING,HOUSTON_ACTION,TORONTO_ACTION,HOUSTON_SCORE,TORONTO_SCORE
4,1:58.0,,D. Green misses 3-pt jump shot from 25 ft,102,90
4,1:54.0,,Offensive rebound by K. Leonard,102,90
4,1:52.0,,D. Green misses 3-pt jump shot from 24 ft,102,90
4,1:52.0,Defensive rebound by Team,,102,90
4,1:52.0,,Loose ball foul by S. Ibaka (drawn by P. Tucker),102,90
4,1:28.0,P. Tucker misses 2-pt layup from 2 ft,,102,90
4,1:26.0,,Defensive rebound by P. Siakam,102,90
4,1:21.0,,D. Green misses 3-pt jump shot from 23 ft,102,90
4,1:20.0,Defensive rebound by Team,,102,90
4,0:59.0,J. Harden makes 2-pt jump shot from 10 ft (assist by P. Tucker),,104,90
4,0:59.0,Shooting foul by K. Lowry (drawn by J. Harden),,104,90
4,0:59.0,J. Harden makes free throw 1 of 1,,105,90
4,0:53.0,,K. Leonard misses 3-pt jump shot from 25 ft,105,90
4,0:50.0,,Offensive rebound by P. Siakam,105,90
4,0:37.0,,K. Leonard makes 2-pt layup from 2 ft (assist by K. Lowry),105,92
4,0:37.0,Violation by Team (def goaltending),,105,92
4,0:18.0,J. Harden makes 2-pt jump shot from 9 ft,,107,92
4,0:06.0,,D. Green misses 3-pt jump shot from 23 ft (block by C. Paul),107,92
4,0:05.0,,Offensive rebound by D. Green,107,92
4,0:05.0,,D. Green makes 3-pt jump shot from 24 ft,107,95
