QUARTER,TIME_REMAINING,HOUSTON_ACTION,TORONTO_ACTION,HOUSTON_SCORE,TORONTO_SCORE
1,3:53.0,Defensive rebound by A. Rivers,,18,13
1,3:46.0,J. Harden misses 2-pt layup from 2 ft,,18,13
1,3:44.0,,Defensive rebound by S. Ibaka,18,13
1,3:41.0,,D. Green misses 3-pt jump shot from 26 ft,18,13
1,3:38.0,Defensive rebound by P. Tucker,,18,13
1,3:28.0,A. Rivers misses 2-pt hook shot from 10 ft,,18,13
1,3:26.0,,Defensive rebound by S. Ibaka,18,13
1,3:22.0,,Personal foul by A. Rivers (drawn by K. Lowry),18,13
1,3:22.0,G. Green enters the game for C. Capela,,18,13
1,3:22.0,N. Hilário enters the game for E. Gordon,,18,13
1,3:22.0,,M. Gasol enters the game for S. Ibaka,18,13
1,3:08.0,,D. Green misses 3-pt jump shot from 23 ft,18,13
1,3:05.0,Defensive rebound by N. Hilário,,18,13
1,2:59.0,Turnover by J. Harden (out of bounds lost ball),,18,13
1,2:59.0,Houston full timeout,,18,13
1,2:59.0,G. Clark enters the game for P. Tucker,,18,13
1,2:59.0,,J. Lin enters the game for K. Leonard,18,13
1,2:59.0,,N. Powell enters the game for K. Lowry,18,13
1,2:38.0,,N. Powell misses 2-pt jump shot from 19 ft,18,13
1,2:35.0,Defensive rebound by A. Rivers,,18,13
1,2:20.0,J. Harden misses 2-pt layup from 1 ft,,18,13
1,2:18.0,,Defensive rebound by P. Siakam,18,13
1,2:04.0,,M. Gasol makes 2-pt jump shot from 13 ft,18,15
1,1:51.0,Personal foul by N. Powell (drawn by G. Green),,18,15
1,1:51.0,,O. Anunoby enters the game for D. Green,18,15
1,1:43.0,J. Harden misses 3-pt jump shot from 22 ft,,18,15
1,1:38.0,,Defensive rebound by O. Anunoby,18,15
1,1:33.0,,J. Lin misses 2-pt layup from 4 ft (block by G. Clark),18,15
1,1:30.0,,Offensive rebound by J. Lin,18,15
1,1:25.0,,Shooting foul by N. Hilário (drawn by M. Gasol),18,15
1,1:25.0,,M. Gasol makes free throw 1 of 2,18,16
1,1:25.0,,M. Gasol makes free throw 2 of 2,18,17
1,1:07.0,A. Rivers misses 2-pt layup from 2 ft,,18,17
1,1:05.0,,Defensive rebound by M. Gasol,18,17
1,0:57.0,,Turnover by P. Siakam (bad pass; steal by G. Clark),18,17
1,0:47.0,J. Harden misses 2-pt jump shot from 7 ft,,18,17
1,0:44.0,Offensive rebound by G. Green,,18,17
1,0:42.0,G. Green misses 3-pt jump shot from 22 ft,,18,17
1,0:42.0,Offensive rebound by G. Clark,,18,17
1,0:29.0,J. Harden makes 3-pt jump shot from 24 ft,,21,17
1,0:15.0,,J. Lin makes 2-pt hook shot from 2 ft,21,19
1,0:03.0,Personal foul by J. Lin (drawn by J. Harden),,21,19
1,0:03.0,J. Harden makes free throw 1 of 2,,22,19
1,0:03.0,J. Harden makes free throw 2 of 2,,23,19
1,0:00.0,,Turnover by J. Lin (bad pass; steal by J. Harden),23,19
2,11:47.0,,M. Gasol misses 3-pt jump shot from 26 ft,23,19
2,11:43.0,Defensive rebound by C. Paul,,23,19
2,11:31.0,G. Green makes 2-pt jump shot from 7 ft (assist by A. Rivers),,25,19
2,11:24.0,,K. Lowry makes 2-pt layup from 3 ft (assist by J. Lin),25,21
2,11:10.0,Shooting foul by N. Powell (drawn by G. Green),,25,21
2,11:10.0,G. Green makes free throw 1 of 2,,26,21
2,11:10.0,G. Green makes free throw 2 of 2,,27,21
2,10:58.0,,O. Anunoby misses 3-pt jump shot from 25 ft,27,21
2,10:55.0,Defensive rebound by C. Paul,,27,21
2,10:41.0,N. Hilário misses 2-pt jump shot from 20 ft,,27,21
2,10:38.0,,Defensive rebound by K. Lowry,27,21
2,10:33.0,,K. Lowry misses 2-pt layup from 3 ft (block by G. Clark),27,21
2,10:32.0,,Offensive rebound by Team,27,21
2,10:26.0,,N. Powell misses 2-pt layup from 3 ft,27,21
2,10:24.0,,Offensive rebound by K. Lowry,27,21
2,10:16.0,,Turnover by J. Lin (bad pass; steal by G. Clark),27,21
2,10:12.0,G. Green makes 3-pt jump shot from 25 ft (assist by C. Paul),,30,21
2,10:07.0,,Toronto full timeout,30,21
2,10:00.0,,Turnover by K. Lowry (bad pass; steal by A. Rivers),30,21
2,9:57.0,A. Rivers makes 2-pt layup from 1 ft,,32,21
2,9:41.0,,N. Powell misses 2-pt layup from 2 ft (block by G. Green),32,21
2,9:38.0,Defensive rebound by N. Hilário,,32,21
2,9:35.0,A. Rivers makes 3-pt jump shot from 23 ft (assist by N. Hilário),,35,21
2,9:20.0,Violation by Team (kicked ball),,35,21
2,9:08.0,,N. Powell misses 3-pt jump shot from 26 ft,35,21
2,9:05.0,Defensive rebound by G. Clark,,35,21
2,8:51.0,Turnover by N. Hilário (dbl dribble),,35,21
2,8:39.0,,Offensive foul by K. Lowry (drawn by A. Rivers),35,21
2,8:39.0,,Turnover by K. Lowry (offensive foul),35,21
2,8:39.0,C. Capela enters the game for N. Hilário,,35,21
2,8:39.0,E. Gordon enters the game for A. Rivers,,35,21
2,8:26.0,E. Gordon makes 2-pt layup from 2 ft (assist by C. Paul),,37,21
2,8:08.0,,N. Powell makes 2-pt layup from 3 ft (assist by J. Lin),37,23
2,7:50.0,E. Gordon makes 3-pt jump shot from 23 ft (assist by C. Paul),,40,23
2,7:39.0,,K. Lowry misses 3-pt jump shot from 26 ft,40,23
2,7:36.0,Defensive rebound by G. Green,,40,23
2,7:29.0,C. Paul makes 2-pt jump shot from 10 ft,,42,23
2,7:28.0,,Toronto full timeout,42,23
2,7:28.0,P. Tucker enters the game for G. Clark,,42,23
2,7:28.0,,K. Leonard enters the game for J. Lin,42,23
