QUARTER,TIME_REMAINING,CLEVELAND_ACTION,INDIANA_ACTION,CLEVELAND_SCORE,INDIANA_SCORE
1,11:44.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by M. Turner),0,2
1,11:18.0,Turnover by Team (shot clock),,0,2
1,11:03.0,,D. Collison misses 3-pt jump shot from 26 ft,0,2
1,11:01.0,Defensive rebound by R. Hood,,0,2
1,10:46.0,D. Nwaba misses 3-pt jump shot from 23 ft,,0,2
1,10:43.0,,Defensive rebound by D. Collison,0,2
1,10:37.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,0,2
1,10:34.0,Defensive rebound by R. Hood,,0,2
1,10:29.0,C. Sexton makes 2-pt layup from 1 ft (assist by R. Hood),,2,2
1,10:05.0,,M. Turner misses 3-pt jump shot from 26 ft,2,2
1,10:02.0,Defensive rebound by D. Nwaba,,2,2
1,9:50.0,L. Nance misses 2-pt jump shot from 8 ft (block by M. Turner),,2,2
1,9:48.0,Offensive rebound by L. Nance,,2,2
1,9:46.0,R. Hood misses 3-pt jump shot from 25 ft,,2,2
1,9:44.0,,Defensive rebound by V. Oladipo,2,2
1,9:41.0,,V. Oladipo misses 3-pt jump shot from 27 ft,2,2
1,9:37.0,Defensive rebound by L. Nance,,2,2
1,9:25.0,C. Sexton makes 2-pt jump shot from 9 ft,,4,2
1,9:12.0,,B. Bogdanović misses 2-pt jump shot from 8 ft,4,2
1,9:07.0,,Offensive rebound by B. Bogdanović,4,2
1,9:07.0,,B. Bogdanović makes 2-pt layup at rim,4,4
1,8:58.0,Personal foul by M. Turner (drawn by L. Nance),,4,4
1,8:43.0,C. Sexton makes 2-pt layup from 1 ft (assist by C. Osman),,6,4
1,8:29.0,,Turnover by V. Oladipo (bad pass; steal by D. Nwaba),6,4
1,8:25.0,C. Osman makes 2-pt layup at rim (assist by D. Nwaba),,8,4
1,8:10.0,,M. Turner makes 2-pt jump shot from 3 ft (assist by D. Collison),8,6
1,7:47.0,L. Nance misses 2-pt jump shot from 19 ft,,8,6
1,7:44.0,,Defensive rebound by T. Young,8,6
1,7:37.0,,V. Oladipo makes 2-pt jump shot from 20 ft (assist by T. Young),8,8
1,7:13.0,D. Nwaba misses 3-pt jump shot from 24 ft,,8,8
1,7:12.0,,Defensive rebound by M. Turner,8,8
1,7:07.0,,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),8,10
1,6:46.0,C. Sexton misses 2-pt jump shot from 20 ft,,8,10
1,6:44.0,,Defensive rebound by M. Turner,8,10
1,6:25.0,,T. Young makes 2-pt layup from 1 ft,8,12
1,6:25.0,Cleveland full timeout,,8,12
1,5:59.0,L. Nance misses 3-pt jump shot from 27 ft,,8,12
1,5:57.0,,Defensive rebound by B. Bogdanović,8,12
1,5:53.0,,T. Young misses 2-pt layup from 1 ft,8,12
1,5:52.0,,Offensive rebound by T. Young,8,12
1,5:52.0,,T. Young misses 2-pt layup from 2 ft,8,12
1,5:51.0,,Offensive rebound by T. Young,8,12
1,5:51.0,,Shooting foul by L. Nance (drawn by T. Young),8,12
1,5:51.0,,T. Young misses free throw 1 of 2,8,12
1,5:51.0,,Offensive rebound by Team,8,12
1,5:51.0,A. Burks enters the game for D. Nwaba,,8,12
1,5:51.0,,T. Young misses free throw 2 of 2,8,12
1,5:50.0,Defensive rebound by C. Osman,,8,12
1,5:28.0,C. Osman misses 2-pt jump shot from 5 ft,,8,12
1,5:26.0,,Defensive rebound by D. Collison,8,12
1,5:22.0,,V. Oladipo misses 2-pt jump shot from 19 ft,8,12
1,5:20.0,Defensive rebound by C. Osman,,8,12
1,5:14.0,A. Burks misses 2-pt jump shot from 19 ft,,8,12
1,5:12.0,,Defensive rebound by V. Oladipo,8,12
