QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
1,11:43.0,,B. Lopez makes 2-pt dunk from 2 ft (assist by K. Middleton),0,2
1,11:20.0,R. Jackson misses 2-pt jump shot from 10 ft,,0,2
1,11:17.0,,Defensive rebound by G. Antetokounmpo,0,2
1,11:16.0,,Shooting foul by T. Maker (drawn by G. Antetokounmpo),0,2
1,11:16.0,,G. Antetokounmpo misses free throw 1 of 2,0,2
1,11:16.0,,Offensive rebound by Team,0,2
1,11:16.0,,G. Antetokounmpo misses free throw 2 of 2,0,2
1,11:12.0,,Offensive rebound by E. Bledsoe,0,2
1,11:08.0,,B. Lopez misses 3-pt jump shot from 23 ft,0,2
1,11:05.0,Defensive rebound by R. Jackson,,0,2
1,10:59.0,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),,2,2
1,10:46.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,2,4
1,10:46.0,,Shooting foul by T. Maker (drawn by G. Antetokounmpo),2,4
1,10:46.0,,G. Antetokounmpo makes free throw 1 of 1,2,5
1,10:38.0,Turnover by W. Ellington (traveling),,2,5
1,10:23.0,,B. Lopez makes 3-pt jump shot from 29 ft (assist by E. Bledsoe),2,8
1,10:09.0,W. Ellington misses 2-pt jump shot from 12 ft (block by S. Brown),,2,8
1,10:07.0,Offensive rebound by Team,,2,8
1,10:01.0,R. Jackson misses 3-pt jump shot from 25 ft,,2,8
1,9:59.0,,Defensive rebound by G. Antetokounmpo,2,8
1,9:55.0,,G. Antetokounmpo makes 2-pt layup from 4 ft,2,10
1,9:55.0,,Shooting foul by B. Brown (drawn by G. Antetokounmpo),2,10
1,9:55.0,,G. Antetokounmpo makes free throw 1 of 1,2,11
1,9:39.0,T. Maker misses 3-pt jump shot from 26 ft,,2,11
1,9:38.0,Offensive rebound by Team,,2,11
1,9:34.0,A. Drummond makes 2-pt hook shot from 10 ft (assist by R. Jackson),,4,11
1,9:25.0,,K. Middleton makes 2-pt jump shot from 17 ft,4,13
1,9:10.0,Turnover by B. Brown (lost ball; steal by S. Brown),,4,13
1,9:00.0,,B. Lopez misses 3-pt jump shot from 30 ft,4,13
1,9:00.0,Defensive rebound by Team,,4,13
1,8:42.0,W. Ellington misses 2-pt jump shot from 12 ft,,4,13
1,8:39.0,,Defensive rebound by G. Antetokounmpo,4,13
1,8:34.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,4,13
1,8:32.0,,Offensive rebound by G. Antetokounmpo,4,13
1,8:31.0,,G. Antetokounmpo makes 2-pt hook shot from 5 ft,4,15
1,8:25.0,Detroit full timeout,,4,15
1,8:15.0,R. Jackson misses 2-pt layup from 3 ft,,4,15
1,8:15.0,Offensive rebound by A. Drummond,,4,15
1,8:15.0,Shooting foul by B. Lopez (drawn by A. Drummond),,4,15
1,8:15.0,A. Drummond misses free throw 1 of 2,,4,15
1,8:15.0,Offensive rebound by Team,,4,15
1,8:15.0,A. Drummond misses free throw 2 of 2,,4,15
1,8:11.0,,Defensive rebound by G. Antetokounmpo,4,15
1,8:01.0,,S. Brown makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),4,18
1,7:45.0,A. Drummond misses 2-pt layup from 1 ft (block by B. Lopez),,4,18
1,7:40.0,,Defensive rebound by B. Lopez,4,18
1,7:38.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),4,20
