QUARTER,TIME_REMAINING,MIAMI_ACTION,HOUSTON_ACTION,MIAMI_SCORE,HOUSTON_SCORE
4,2:29.0,B. Adebayo makes free throw 1 of 1,,116,117
4,2:20.0,,Personal foul by J. Richardson (drawn by C. Paul),116,117
4,2:20.0,,C. Paul makes free throw 1 of 2,116,118
4,2:20.0,,C. Paul makes free throw 2 of 2,116,119
4,2:03.0,D. Wade makes 2-pt jump shot from 15 ft,,118,119
4,1:38.0,,C. Paul misses 3-pt jump shot from 25 ft,118,119
4,1:37.0,Defensive rebound by D. Waiters,,118,119
4,1:25.0,D. Wade misses 2-pt jump shot from 13 ft,,118,119
4,1:24.0,Offensive rebound by B. Adebayo,,118,119
4,1:21.0,J. Richardson misses 3-pt jump shot from 25 ft,,118,119
4,1:19.0,,Defensive rebound by Team,118,119
4,0:56.0,,J. Harden misses 3-pt jump shot from 32 ft,118,119
4,0:55.0,,Offensive rebound by C. Paul,118,119
4,0:46.0,,C. Paul makes 2-pt jump shot from 15 ft,118,121
4,0:46.0,Miami full timeout,,118,121
4,0:42.0,Shooting foul by A. Rivers (drawn by J. Winslow),,118,121
4,0:42.0,J. Winslow misses free throw 1 of 2,,118,121
4,0:42.0,Offensive rebound by Team,,118,121
4,0:42.0,J. Winslow misses free throw 2 of 2,,118,121
4,0:42.0,,Defensive rebound by C. Paul,118,121
4,0:20.0,,J. Harden misses 3-pt jump shot from 29 ft,118,121
4,0:18.0,Defensive rebound by Team,,118,121
4,0:18.0,K. Olynyk enters the game for B. Adebayo,,118,121
4,0:08.0,D. Waiters misses 3-pt jump shot from 26 ft,,118,121
4,0:04.0,,Defensive rebound by J. Harden,118,121
