QUARTER,TIME_REMAINING,MIAMI_ACTION,HOUSTON_ACTION,MIAMI_SCORE,HOUSTON_SCORE
2,1:54.0,R. McGruder makes 3-pt jump shot from 25 ft (assist by J. Winslow),,64,50
2,1:42.0,,J. Harden misses 3-pt jump shot from 25 ft,64,50
2,1:41.0,Defensive rebound by Team,,64,50
2,1:35.0,Offensive foul by B. Adebayo (drawn by G. Clark),,64,50
2,1:35.0,Turnover by B. Adebayo (offensive foul),,64,50
2,1:35.0,K. Olynyk enters the game for B. Adebayo,,64,50
2,1:24.0,,C. Paul misses 2-pt jump shot from 5 ft,64,50
2,1:21.0,Defensive rebound by K. Olynyk,,64,50
2,1:07.0,J. Winslow makes 2-pt layup at rim,,66,50
2,0:53.0,,Shooting foul by R. McGruder (drawn by J. Harden),66,50
2,0:53.0,,J. Harden makes free throw 1 of 2,66,51
2,0:53.0,,J. Harden makes free throw 2 of 2,66,52
2,0:33.0,K. Olynyk makes 3-pt jump shot from 27 ft (assist by J. Winslow),,69,52
2,0:28.0,,J. Harden makes 3-pt jump shot from 26 ft,69,55
2,0:09.0,J. Winslow misses 2-pt layup from 1 ft,,69,55
2,0:08.0,,Defensive rebound by J. Harden,69,55
2,0:00.0,,J. Harden misses 3-pt jump shot from 25 ft,69,55
2,0:00.0,Defensive rebound by K. Olynyk,,69,55
3,11:41.0,J. Winslow misses 2-pt layup from 1 ft (block by C. Capela),,69,55
3,11:40.0,,Defensive rebound by G. Clark,69,55
3,11:34.0,,G. Clark misses 3-pt jump shot from 26 ft,69,55
3,11:33.0,Defensive rebound by J. Winslow,,69,55
3,11:21.0,J. Winslow makes 3-pt jump shot from 23 ft (assist by D. Waiters),,72,55
3,11:02.0,,J. Harden misses 2-pt jump shot from 7 ft,72,55
3,11:01.0,,Offensive rebound by J. Harden,72,55
3,10:58.0,,J. Harden makes 2-pt layup from 1 ft,72,57
3,10:47.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by D. Waiters),,75,57
3,10:40.0,,Personal foul by J. Richardson (drawn by P. Tucker),75,57
3,10:36.0,,Turnover by C. Capela (lost ball; steal by K. Olynyk),75,57
3,10:32.0,Offensive foul by J. Richardson (drawn by P. Tucker),,75,57
3,10:32.0,Turnover by J. Richardson (offensive foul),,75,57
3,10:21.0,,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Capela),75,60
3,10:05.0,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Winslow),,77,60
3,10:00.0,,Turnover by J. Harden (bad pass; steal by J. Richardson),77,60
3,9:45.0,J. Richardson makes 2-pt jump shot from 15 ft (assist by J. Winslow),,79,60
3,9:31.0,,Def 3 sec tech foul by Team,79,60
3,9:31.0,,C. Paul makes technical free throw,79,61
3,9:17.0,,C. Paul misses 3-pt jump shot from 23 ft,79,61
3,9:15.0,Defensive rebound by J. Richardson,,79,61
