QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
1,11:44.0,Z. LaVine makes 3-pt jump shot from 26 ft (assist by C. Payne),,3,0
1,11:29.0,,Shooting foul by W. Carter (drawn by J. Embiid),3,0
1,11:29.0,,J. Embiid makes free throw 1 of 2,3,1
1,11:29.0,,J. Embiid makes free throw 2 of 2,3,2
1,11:13.0,Z. LaVine misses 3-pt jump shot from 25 ft,,3,2
1,11:06.0,,Defensive rebound by B. Simmons,3,2
1,11:05.0,,R. Covington makes 2-pt layup from 3 ft (assist by B. Simmons),3,4
1,10:47.0,B. Portis makes 2-pt hook shot from 10 ft,,5,4
1,10:33.0,,Turnover by R. Covington (out of bounds lost ball),5,4
1,10:23.0,Personal foul by R. Covington (drawn by Z. LaVine),,5,4
1,10:20.0,C. Payne misses 2-pt jump shot from 12 ft (block by B. Simmons),,5,4
1,10:20.0,Offensive rebound by Team,,5,4
1,10:12.0,Turnover by Z. LaVine (bad pass; steal by J. Embiid),,5,4
1,10:04.0,,D. Šarić misses 2-pt jump shot from 11 ft,5,4
1,10:02.0,,Offensive rebound by J. Embiid,5,4
1,10:00.0,,J. Embiid makes 2-pt layup from 3 ft,5,6
1,9:48.0,W. Carter misses 2-pt hook shot from 9 ft,,5,6
1,9:45.0,,Defensive rebound by J. Embiid,5,6
1,9:42.0,,Shooting foul by J. Holiday (drawn by R. Covington),5,6
1,9:42.0,,R. Covington makes free throw 1 of 2,5,7
1,9:42.0,,R. Covington makes free throw 2 of 2,5,8
1,9:29.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by W. Carter),,8,8
1,9:16.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by D. Šarić),8,10
1,9:12.0,J. Holiday misses 3-pt jump shot from 26 ft,,8,10
1,9:08.0,,Defensive rebound by B. Simmons,8,10
1,9:00.0,,M. Fultz misses 2-pt jump shot from 13 ft,8,10
1,8:57.0,Defensive rebound by Z. LaVine,,8,10
