QUARTER,TIME_REMAINING,DENVER_ACTION,BOSTON_ACTION,DENVER_SCORE,BOSTON_SCORE
1,11:41.0,P. Millsap misses 3-pt jump shot from 23 ft,,0,0
1,11:39.0,,Defensive rebound by J. Tatum,0,0
1,11:34.0,,A. Horford misses 2-pt jump shot from 15 ft,0,0
1,11:31.0,,Offensive rebound by A. Horford,0,0
1,11:28.0,,K. Irving misses 3-pt jump shot from 27 ft,0,0
1,11:26.0,Defensive rebound by N. Jokić,,0,0
1,11:24.0,Turnover by N. Jokić (bad pass; steal by J. Tatum),,0,0
1,11:16.0,,K. Irving makes 2-pt jump shot from 20 ft (assist by J. Tatum),0,2
1,11:04.0,W. Barton misses 3-pt jump shot from 27 ft,,0,2
1,11:01.0,,Defensive rebound by K. Irving,0,2
1,10:51.0,,J. Tatum makes 2-pt jump shot from 14 ft,0,4
1,10:37.0,J. Murray misses 2-pt jump shot from 5 ft,,0,4
1,10:36.0,,Defensive rebound by A. Horford,0,4
1,10:30.0,,K. Irving misses 3-pt jump shot from 29 ft,0,4
1,10:29.0,Defensive rebound by N. Jokić,,0,4
1,10:18.0,G. Harris misses 3-pt jump shot from 26 ft,,0,4
1,10:16.0,Offensive rebound by J. Murray,,0,4
1,10:11.0,Personal foul by M. Smart (drawn by N. Jokić),,0,4
1,10:05.0,N. Jokić makes 2-pt layup from 4 ft (assist by G. Harris),,2,4
1,9:47.0,,Personal foul by G. Harris (drawn by A. Horford),2,4
1,9:40.0,,M. Morris misses 2-pt jump shot from 13 ft,2,4
1,9:39.0,Defensive rebound by N. Jokić,,2,4
1,9:19.0,W. Barton misses 3-pt jump shot from 26 ft,,2,4
1,9:18.0,,Defensive rebound by M. Smart,2,4
1,9:15.0,,Turnover by M. Smart (bad pass; steal by N. Jokić),2,4
1,9:08.0,W. Barton misses 2-pt hook shot from 6 ft,,2,4
1,9:07.0,Offensive rebound by N. Jokić,,2,4
1,9:06.0,N. Jokić makes 2-pt layup from 1 ft,,4,4
1,8:39.0,,K. Irving misses 2-pt jump shot from 13 ft,4,4
1,8:38.0,,Offensive rebound by Team,4,4
1,8:38.0,,Turnover by Team (shot clock),4,4
1,8:17.0,W. Barton makes 2-pt dunk from 1 ft (assist by N. Jokić),,6,4
1,8:04.0,,J. Tatum misses 2-pt jump shot from 12 ft,6,4
1,8:03.0,Defensive rebound by P. Millsap,,6,4
1,7:50.0,G. Harris makes 3-pt jump shot from 25 ft (assist by P. Millsap),,9,4
1,7:36.0,,Personal foul by P. Millsap (drawn by M. Smart),9,4
1,7:23.0,,K. Irving misses 2-pt layup from 5 ft (block by N. Jokić),9,4
1,7:22.0,Defensive rebound by G. Harris,,9,4
1,7:07.0,P. Millsap makes 2-pt jump shot from 9 ft (assist by W. Barton),,11,4
1,7:06.0,,Boston full timeout,11,4
1,7:06.0,,A. Baynes enters the game for M. Morris,11,4
1,6:56.0,,A. Horford misses 3-pt jump shot from 24 ft,11,4
1,6:55.0,Defensive rebound by P. Millsap,,11,4
1,6:34.0,Personal foul by A. Baynes (drawn by G. Harris),,11,4
1,6:25.0,W. Barton makes 2-pt jump shot from 11 ft,,13,4
1,6:13.0,,A. Baynes misses 2-pt layup from 4 ft,13,4
1,6:06.0,Defensive rebound by G. Harris,,13,4
1,6:05.0,W. Barton misses 3-pt jump shot from 27 ft,,13,4
1,6:01.0,,Defensive rebound by J. Tatum,13,4
1,5:54.0,,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Tatum),13,7
1,5:40.0,Turnover by N. Jokić (lost ball; steal by M. Smart),,13,7
1,5:35.0,,M. Smart makes 2-pt dunk from 1 ft,13,9
1,5:21.0,G. Harris misses 2-pt layup from 9 ft (block by K. Irving),,13,9
1,5:19.0,Offensive rebound by N. Jokić,,13,9
1,5:15.0,N. Jokić misses 2-pt hook shot from 9 ft,,13,9
1,5:13.0,,Defensive rebound by Team,13,9
1,5:13.0,,J. Brown enters the game for J. Tatum,13,9
1,5:01.0,,K. Irving misses 2-pt jump shot from 9 ft,13,9
1,4:59.0,Defensive rebound by N. Jokić,,13,9
1,4:40.0,Shooting foul by A. Baynes (drawn by P. Millsap),,13,9
1,4:40.0,P. Millsap makes free throw 1 of 2,,14,9
1,4:40.0,M. Morris enters the game for J. Murray,,14,9
1,4:40.0,P. Millsap makes free throw 2 of 2,,15,9
1,4:25.0,,A. Horford makes 2-pt jump shot from 13 ft (assist by K. Irving),15,11
1,4:07.0,G. Harris makes 3-pt jump shot from 25 ft (assist by P. Millsap),,18,11
1,3:54.0,,Shooting foul by M. Morris (drawn by K. Irving),18,11
1,3:54.0,,K. Irving makes free throw 1 of 2,18,12
1,3:54.0,M. Beasley enters the game for G. Harris,,18,12
1,3:54.0,M. Plumlee enters the game for P. Millsap,,18,12
1,3:54.0,,K. Irving makes free throw 2 of 2,18,13
1,3:36.0,M. Beasley misses 2-pt jump shot from 16 ft,,18,13
1,3:32.0,,Defensive rebound by A. Horford,18,13
1,3:25.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by M. Smart),18,16
1,3:23.0,Denver full timeout,,18,16
1,3:11.0,N. Jokić makes 2-pt jump shot from 16 ft,,20,16
1,2:58.0,,K. Irving misses 3-pt jump shot from 25 ft,20,16
1,2:57.0,Defensive rebound by N. Jokić,,20,16
1,2:44.0,M. Beasley misses 3-pt jump shot from 23 ft,,20,16
1,2:42.0,Offensive rebound by Team,,20,16
1,2:42.0,P. Millsap enters the game for W. Barton,,20,16
1,2:42.0,I. Thomas enters the game for N. Jokić,,20,16
1,2:42.0,,T. Rozier enters the game for M. Smart,20,16
1,2:36.0,M. Morris makes 2-pt jump shot from 17 ft (assist by P. Millsap),,22,16
1,2:11.0,,T. Rozier makes 2-pt layup from 1 ft (assist by A. Horford),22,18
1,1:56.0,M. Beasley misses 3-pt jump shot from 26 ft,,22,18
1,1:55.0,,Defensive rebound by K. Irving,22,18
1,1:43.0,,T. Rozier misses 3-pt jump shot from 26 ft,22,18
1,1:42.0,Defensive rebound by M. Beasley,,22,18
1,1:26.0,P. Millsap makes 2-pt jump shot from 8 ft,,24,18
1,1:12.0,,A. Horford misses 3-pt jump shot from 25 ft,24,18
1,1:11.0,,Offensive rebound by A. Baynes,24,18
1,1:09.0,,J. Brown makes 3-pt jump shot from 26 ft (assist by A. Baynes),24,21
1,0:54.0,I. Thomas misses 2-pt jump shot from 8 ft,,24,21
1,0:52.0,Offensive rebound by Team,,24,21
1,0:52.0,,M. Morris enters the game for A. Baynes,24,21
1,0:52.0,,D. Theis enters the game for A. Horford,24,21
1,0:49.0,M. Morris misses 3-pt jump shot from 23 ft,,24,21
1,0:47.0,Offensive rebound by P. Millsap,,24,21
1,0:42.0,I. Thomas misses 3-pt jump shot from 26 ft,,24,21
1,0:40.0,,Defensive rebound by T. Rozier,24,21
1,0:27.0,,Shooting foul by I. Thomas (drawn by D. Theis),24,21
1,0:27.0,,D. Theis misses free throw 1 of 2,24,21
1,0:27.0,,Offensive rebound by Team,24,21
1,0:27.0,,D. Theis makes free throw 2 of 2,24,22
1,0:06.0,Turnover by I. Thomas (step out of bounds),,24,22
1,0:00.0,,T. Rozier misses 3-pt jump shot from 27 ft,24,22
1,0:00.0,,Offensive rebound by Team,24,22
2,11:46.0,,Shooting foul by P. Millsap (drawn by J. Brown),24,22
2,11:46.0,,J. Brown makes free throw 1 of 2,24,23
2,11:46.0,T. Craig enters the game for P. Millsap,,24,23
2,11:46.0,,J. Brown misses free throw 2 of 2,24,23
2,11:46.0,,Offensive rebound by J. Brown,24,23
2,11:40.0,,Turnover by J. Brown (bad pass; steal by M. Plumlee),24,23
2,11:26.0,M. Morris makes 2-pt layup from 1 ft (assist by I. Thomas),,26,23
2,11:13.0,,Turnover by J. Brown (lost ball; steal by M. Beasley),26,23
2,11:12.0,Personal foul by J. Brown (drawn by M. Beasley),,26,23
2,10:57.0,M. Plumlee misses 2-pt hook shot from 8 ft,,26,23
2,10:54.0,,Defensive rebound by J. Tatum,26,23
2,10:40.0,,J. Tatum misses 2-pt layup from 7 ft,26,23
2,10:38.0,Defensive rebound by M. Morris,,26,23
2,10:35.0,M. Morris misses 2-pt layup from 6 ft (block by T. Rozier),,26,23
2,10:34.0,,Defensive rebound by Team,26,23
2,10:20.0,,Shooting foul by M. Beasley (drawn by J. Tatum),26,23
2,10:20.0,,J. Tatum makes free throw 1 of 2,26,24
2,10:20.0,,J. Tatum misses free throw 2 of 2,26,24
2,10:17.0,Defensive rebound by T. Craig,,26,24
2,9:58.0,M. Beasley misses 2-pt jump shot from 11 ft,,26,24
2,9:57.0,Offensive rebound by Team,,26,24
2,9:57.0,,Loose ball foul by M. Morris (drawn by M. Plumlee),26,24
2,9:46.0,M. Plumlee misses 2-pt jump shot from 20 ft,,26,24
2,9:44.0,,Defensive rebound by M. Morris,26,24
2,9:36.0,,M. Morris makes 3-pt jump shot from 25 ft,26,27
2,9:23.0,M. Beasley misses 3-pt jump shot from 27 ft,,26,27
2,9:21.0,Offensive rebound by M. Morris,,26,27
2,9:20.0,Personal foul by D. Theis (drawn by M. Morris),,26,27
2,9:14.0,T. Craig makes 2-pt jump shot from 9 ft (assist by I. Thomas),,28,27
2,8:59.0,,D. Theis makes 3-pt jump shot from 25 ft (assist by J. Tatum),28,30
2,8:44.0,M. Beasley misses 3-pt jump shot from 26 ft,,28,30
2,8:43.0,,Defensive rebound by J. Brown,28,30
2,8:38.0,,D. Theis misses 2-pt dunk from 5 ft (block by M. Plumlee),28,30
2,8:37.0,,Offensive rebound by Team,28,30
2,8:29.0,,J. Tatum makes 2-pt jump shot from 12 ft (assist by T. Rozier),28,32
2,8:16.0,M. Beasley makes 2-pt dunk from 1 ft (assist by M. Plumlee),,30,32
