QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CLEVELAND_ACTION,PHILADELPHIA_SCORE,CLEVELAND_SCORE
1,11:44.0,Personal foul by R. Hood (drawn by J. Redick),,0,0
1,11:33.0,B. Simmons misses 2-pt layup from 2 ft,,0,0
1,11:29.0,,Defensive rebound by A. Žižić,0,0
1,11:23.0,,C. Sexton makes 2-pt layup from 1 ft (assist by R. Hood),0,2
1,11:10.0,Turnover by J. Redick (bad pass; steal by C. Sexton),,0,2
1,10:56.0,,C. Osman misses 3-pt jump shot from 25 ft,0,2
1,10:53.0,Defensive rebound by J. Embiid,,0,2
1,10:47.0,Personal foul by R. Hood (drawn by J. Redick),,0,2
1,10:47.0,,J. Clarkson enters the game for R. Hood,0,2
1,10:34.0,J. Embiid misses 2-pt jump shot from 13 ft,,0,2
1,10:34.0,Offensive rebound by B. Simmons,,0,2
1,10:32.0,B. Simmons makes 2-pt layup at rim,,2,2
1,10:18.0,,A. Burks misses 2-pt layup from 1 ft,2,2
1,10:16.0,Defensive rebound by J. Embiid,,2,2
1,10:12.0,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),,4,2
1,9:55.0,,C. Sexton misses 2-pt jump shot from 19 ft,4,2
1,9:55.0,Defensive rebound by B. Simmons,,4,2
1,9:40.0,B. Simmons misses 2-pt layup from 1 ft,,4,2
1,9:36.0,,Defensive rebound by A. Žižić,4,2
1,9:28.0,,J. Clarkson misses 2-pt layup from 2 ft,4,2
1,9:25.0,Defensive rebound by J. Embiid,,4,2
1,9:21.0,B. Simmons makes 2-pt jump shot from 13 ft,,6,2
1,9:08.0,,A. Žižić makes 2-pt jump shot from 16 ft (assist by C. Sexton),6,4
1,8:46.0,W. Chandler misses 3-pt jump shot from 26 ft,,6,4
1,8:44.0,,Defensive rebound by A. Burks,6,4
1,8:37.0,,C. Osman misses 2-pt layup from 1 ft,6,4
1,8:37.0,Defensive rebound by Team,,6,4
1,8:37.0,,Loose ball foul by A. Žižić (drawn by J. Butler),6,4
1,8:20.0,Turnover by J. Embiid (lost ball; steal by A. Žižić),,6,4
1,8:10.0,,A. Žižić makes 2-pt layup from 1 ft (assist by J. Clarkson),6,6
1,8:02.0,B. Simmons makes 2-pt layup from 4 ft,,8,6
1,8:02.0,Shooting foul by A. Burks (drawn by B. Simmons),,8,6
1,8:02.0,B. Simmons makes free throw 1 of 1,,9,6
1,7:49.0,,Shooting foul by J. Redick (drawn by C. Osman),9,6
1,7:49.0,,C. Osman makes free throw 1 of 2,9,7
1,7:49.0,,C. Osman misses free throw 2 of 2,9,7
1,7:47.0,Defensive rebound by J. Embiid,,9,7
1,7:32.0,Def 3 sec tech foul by Team,,9,7
1,7:32.0,J. Redick makes technical free throw,,10,7
1,7:20.0,J. Embiid makes 2-pt layup from 3 ft,,12,7
1,7:14.0,,C. Sexton makes 2-pt layup from 1 ft,12,9
1,7:05.0,B. Simmons makes 2-pt jump shot from 9 ft,,14,9
1,6:52.0,,A. Burks misses 2-pt jump shot from 10 ft,14,9
1,6:49.0,Defensive rebound by B. Simmons,,14,9
1,6:42.0,J. Embiid makes 2-pt jump shot from 18 ft,,16,9
1,6:36.0,,Cleveland full timeout,16,9
1,6:36.0,T. McConnell enters the game for W. Chandler,,16,9
1,6:36.0,M. Muscala enters the game for J. Embiid,,16,9
1,6:36.0,L. Shamet enters the game for J. Redick,,16,9
1,6:36.0,,L. Nance enters the game for C. Osman,16,9
1,6:36.0,,D. Nwaba enters the game for A. Žižić,16,9
1,6:16.0,,J. Clarkson misses 2-pt jump shot from 15 ft,16,9
1,6:14.0,Defensive rebound by J. Butler,,16,9
1,6:02.0,B. Simmons misses 2-pt jump shot from 13 ft,,16,9
1,6:01.0,,Defensive rebound by J. Clarkson,16,9
1,6:01.0,,Personal foul by B. Simmons (drawn by J. Clarkson),16,9
1,6:01.0,,M. Dellavedova enters the game for A. Burks,16,9
1,5:37.0,,C. Sexton makes 2-pt jump shot from 19 ft (assist by L. Nance),16,11
1,5:22.0,M. Muscala misses 2-pt jump shot from 10 ft,,16,11
1,5:17.0,,Defensive rebound by M. Dellavedova,16,11
1,5:13.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by D. Nwaba),16,14
1,5:13.0,Philadelphia full timeout,,16,14
1,5:13.0,F. Korkmaz enters the game for J. Butler,,16,14
1,5:02.0,T. McConnell misses 2-pt jump shot from 19 ft,,16,14
1,4:59.0,,Defensive rebound by J. Clarkson,16,14
1,4:54.0,,D. Nwaba makes 2-pt jump shot from 8 ft (assist by J. Clarkson),16,16
1,4:41.0,L. Shamet makes 2-pt layup from 1 ft (assist by B. Simmons),,18,16
1,4:41.0,,Violation by Team (def goaltending),18,16
1,4:29.0,,C. Sexton makes 2-pt jump shot from 16 ft,18,18
1,4:14.0,Shooting foul by D. Nwaba (drawn by B. Simmons),,18,18
1,4:14.0,B. Simmons makes free throw 1 of 2,,19,18
1,4:14.0,J. Redick enters the game for L. Shamet,,19,18
1,4:14.0,B. Simmons makes free throw 2 of 2,,20,18
1,4:03.0,,J. Clarkson misses 3-pt jump shot from 25 ft,20,18
1,4:00.0,Defensive rebound by F. Korkmaz,,20,18
1,3:52.0,B. Simmons misses 2-pt jump shot from 14 ft,,20,18
1,3:48.0,,Defensive rebound by L. Nance,20,18
1,3:38.0,,D. Nwaba makes 2-pt layup from 1 ft (assist by M. Dellavedova),20,20
1,3:25.0,F. Korkmaz makes 2-pt jump shot from 20 ft (assist by B. Simmons),,22,20
1,3:00.0,,Turnover by L. Nance (lost ball; steal by T. McConnell),22,20
1,2:52.0,J. Redick misses 3-pt jump shot from 27 ft,,22,20
1,2:50.0,,Defensive rebound by D. Nwaba,22,20
1,2:44.0,,J. Clarkson makes 2-pt layup from 1 ft,22,22
1,2:31.0,J. Redick makes 2-pt layup from 3 ft,,24,22
1,2:12.0,,D. Nwaba misses 3-pt jump shot from 24 ft,24,22
1,2:07.0,Defensive rebound by F. Korkmaz,,24,22
1,2:00.0,Shooting foul by L. Nance (drawn by J. Redick),,24,22
1,2:00.0,J. Redick makes free throw 1 of 2,,25,22
1,2:00.0,J. Embiid enters the game for B. Simmons,,25,22
1,2:00.0,,C. Osman enters the game for C. Sexton,25,22
1,2:00.0,J. Redick misses free throw 2 of 2,,25,22
1,1:59.0,,Defensive rebound by Team,25,22
1,1:54.0,,Personal foul by T. McConnell (drawn by J. Clarkson),25,22
1,1:48.0,,L. Nance makes 2-pt jump shot from 15 ft (assist by J. Clarkson),25,24
1,1:40.0,Offensive foul by J. Redick (drawn by J. Clarkson),,25,24
1,1:40.0,Turnover by J. Redick (offensive foul),,25,24
1,1:27.0,,M. Dellavedova makes 2-pt jump shot from 10 ft,25,26
