QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MIAMI_ACTION,SAN ANTONIO_SCORE,MIAMI_SCORE
1,3:14.0,Personal foul by J. Richardson (drawn by D. DeRozan),,15,24
1,3:14.0,L. Aldridge enters the game for J. Poeltl,,15,24
1,3:00.0,L. Aldridge misses 2-pt jump shot from 16 ft,,15,24
1,2:59.0,,Defensive rebound by D. Jones,15,24
1,2:40.0,,J. Richardson misses 3-pt jump shot from 25 ft,15,24
1,2:37.0,,Offensive rebound by D. Jones,15,24
1,2:35.0,,Turnover by D. Jones (bad pass; steal by M. Belinelli),15,24
1,2:27.0,D. DeRozan misses 2-pt jump shot from 4 ft,,15,24
1,2:25.0,Offensive rebound by D. DeRozan,,15,24
1,2:19.0,D. Bertāns makes 3-pt jump shot from 28 ft (assist by D. DeRozan),,18,24
1,2:00.0,,T. Johnson makes 3-pt jump shot from 25 ft (assist by K. Olynyk),18,27
1,1:47.0,D. Bertāns misses 3-pt jump shot from 25 ft,,18,27
1,1:43.0,Offensive rebound by D. DeRozan,,18,27
1,1:41.0,Turnover by D. DeRozan (lost ball; steal by T. Johnson),,18,27
1,1:24.0,,J. Richardson misses 3-pt jump shot from 25 ft,18,27
1,1:21.0,Defensive rebound by L. Aldridge,,18,27
1,1:13.0,P. Mills misses 3-pt jump shot from 22 ft,,18,27
1,1:10.0,,Defensive rebound by D. Jones,18,27
1,0:56.0,,J. Richardson misses 2-pt layup from 2 ft (block by D. DeRozan),18,27
1,0:53.0,Defensive rebound by D. Bertāns,,18,27
1,0:44.0,P. Mills misses 2-pt layup from 2 ft,,18,27
1,0:44.0,Offensive rebound by L. Aldridge,,18,27
1,0:44.0,Shooting foul by K. Olynyk (drawn by L. Aldridge),,18,27
1,0:44.0,L. Aldridge makes free throw 1 of 2,,19,27
1,0:44.0,B. Forbes enters the game for M. Belinelli,,19,27
1,0:44.0,,R. McGruder enters the game for W. Ellington,19,27
1,0:44.0,L. Aldridge makes free throw 2 of 2,,20,27
1,0:32.0,,J. Richardson misses 2-pt layup from 2 ft,20,27
1,0:30.0,Defensive rebound by D. DeRozan,,20,27
1,0:11.0,D. DeRozan misses 2-pt jump shot from 15 ft,,20,27
1,0:09.0,,Defensive rebound by T. Johnson,20,27
1,0:05.0,,Offensive foul by K. Olynyk (drawn by P. Mills),20,27
1,0:05.0,,Turnover by K. Olynyk (offensive foul),20,27
1,0:05.0,,B. Adebayo enters the game for K. Olynyk,20,27
1,0:00.0,Turnover by P. Mills (bad pass),,20,27
2,11:47.0,,R. McGruder makes 2-pt layup from 2 ft,20,29
2,11:27.0,D. White misses 2-pt jump shot from 14 ft,,20,29
2,11:24.0,Offensive rebound by D. Cunningham,,20,29
2,11:15.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. White),,23,29
2,10:57.0,,T. Johnson misses 3-pt jump shot from 26 ft,23,29
2,10:54.0,,Offensive rebound by B. Adebayo,23,29
2,10:49.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by R. McGruder),23,32
2,10:36.0,Turnover by D. Cunningham (bad pass),,23,32
2,10:26.0,,J. Richardson misses 2-pt layup from 2 ft,23,32
2,10:23.0,Defensive rebound by D. Cunningham,,23,32
2,10:20.0,B. Forbes misses 2-pt jump shot from 22 ft,,23,32
2,10:17.0,,Defensive rebound by R. McGruder,23,32
2,10:05.0,,J. Richardson misses 2-pt jump shot from 4 ft,23,32
2,10:01.0,,Offensive rebound by J. Richardson,23,32
2,9:58.0,,Turnover by T. Johnson (bad pass; steal by D. Cunningham),23,32
2,9:50.0,D. DeRozan misses 2-pt layup from 2 ft,,23,32
2,9:48.0,Offensive rebound by L. Aldridge,,23,32
