QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MIAMI_ACTION,SAN ANTONIO_SCORE,MIAMI_SCORE
4,7:55.0,Defensive rebound by D. Cunningham,,71,87
4,7:40.0,P. Mills misses 3-pt jump shot from 23 ft,,71,87
4,7:37.0,Offensive rebound by L. Aldridge,,71,87
4,7:34.0,L. Aldridge misses 2-pt jump shot from 2 ft,,71,87
4,7:31.0,,Defensive rebound by K. Olynyk,71,87
4,7:24.0,,J. Richardson misses 3-pt jump shot from 25 ft,71,87
4,7:22.0,Defensive rebound by L. Aldridge,,71,87
4,7:17.0,Turnover by D. DeRozan (bad pass),,71,87
4,7:17.0,,R. McGruder enters the game for B. Adebayo,71,87
4,7:17.0,,H. Whiteside enters the game for W. Ellington,71,87
4,7:00.0,,J. Richardson makes 2-pt layup from 3 ft,71,89
4,6:42.0,P. Mills misses 2-pt layup from 3 ft (block by H. Whiteside),,71,89
4,6:39.0,,Defensive rebound by J. Richardson,71,89
4,6:35.0,,T. Johnson misses 3-pt jump shot from 25 ft,71,89
4,6:33.0,Defensive rebound by Team,,71,89
4,6:33.0,D. Bertāns enters the game for M. Belinelli,,71,89
4,6:33.0,B. Forbes enters the game for D. Cunningham,,71,89
4,6:33.0,,J. Winslow enters the game for K. Olynyk,71,89
4,6:19.0,L. Aldridge misses 2-pt hook shot from 3 ft,,71,89
4,6:17.0,,Defensive rebound by H. Whiteside,71,89
4,5:59.0,,J. Winslow misses 3-pt jump shot from 23 ft,71,89
4,5:56.0,Defensive rebound by D. DeRozan,,71,89
4,5:53.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,74,89
4,5:32.0,,H. Whiteside misses 3-pt jump shot from 26 ft,74,89
4,5:29.0,Defensive rebound by D. DeRozan,,74,89
4,5:20.0,D. Bertāns makes 3-pt jump shot from 28 ft (assist by B. Forbes),,77,89
4,5:00.0,,H. Whiteside misses 2-pt hook shot from 6 ft,77,89
4,5:00.0,,Offensive rebound by Team,77,89
4,5:00.0,Loose ball foul by D. Bertāns (drawn by J. Winslow),,77,89
4,5:00.0,D. White enters the game for P. Mills,,77,89
4,4:50.0,,J. Winslow misses 3-pt jump shot from 29 ft,77,89
4,4:46.0,Defensive rebound by L. Aldridge,,77,89
4,4:39.0,Turnover by D. White (lost ball; steal by J. Richardson),,77,89
4,4:39.0,,Personal foul by D. Bertāns (drawn by J. Richardson),77,89
4,4:39.0,M. Belinelli enters the game for D. White,,77,89
4,4:13.0,,R. McGruder makes 2-pt jump shot from 11 ft,77,91
4,4:06.0,Shooting foul by H. Whiteside (drawn by D. DeRozan),,77,91
4,4:06.0,D. DeRozan makes free throw 1 of 2,,78,91
4,4:06.0,,W. Ellington enters the game for T. Johnson,78,91
4,4:06.0,D. DeRozan makes free throw 2 of 2,,79,91
4,3:50.0,,J. Winslow misses 2-pt jump shot from 13 ft,79,91
4,3:45.0,,Offensive rebound by H. Whiteside,79,91
4,3:39.0,,R. McGruder misses 3-pt jump shot from 25 ft,79,91
4,3:36.0,Defensive rebound by Team,,79,91
4,3:25.0,D. DeRozan makes 2-pt jump shot from 21 ft (assist by M. Belinelli),,81,91
4,3:03.0,,Turnover by J. Winslow (lost ball; steal by B. Forbes),81,91
4,2:51.0,M. Belinelli misses 3-pt jump shot from 25 ft,,81,91
4,2:48.0,,Defensive rebound by R. McGruder,81,91
4,2:39.0,,Turnover by J. Richardson (bad pass; steal by D. Bertāns),81,91
4,2:33.0,D. Bertāns misses 3-pt jump shot from 26 ft,,81,91
4,2:30.0,,Defensive rebound by W. Ellington,81,91
4,2:07.0,,J. Winslow misses 2-pt jump shot from 10 ft,81,91
4,2:07.0,Defensive rebound by L. Aldridge,,81,91
4,1:57.0,M. Belinelli makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,84,91
4,1:43.0,,J. Richardson makes 2-pt jump shot from 8 ft,84,93
4,1:35.0,M. Belinelli misses 3-pt jump shot from 23 ft,,84,93
4,1:33.0,,Defensive rebound by W. Ellington,84,93
4,1:14.0,,Turnover by W. Ellington (lost ball; steal by D. DeRozan),84,93
4,1:11.0,B. Forbes makes 2-pt dunk from 1 ft (assist by D. DeRozan),,86,93
4,0:55.0,,Turnover by J. Winslow (bad pass; steal by D. DeRozan),86,93
4,0:51.0,B. Forbes makes 2-pt layup from 2 ft (assist by D. DeRozan),,88,93
4,0:41.0,,Turnover by J. Richardson (back court),88,93
4,0:41.0,,T. Johnson enters the game for W. Ellington,88,93
4,0:29.0,B. Forbes misses 3-pt jump shot from 25 ft,,88,93
4,0:28.0,,Defensive rebound by H. Whiteside,88,93
4,0:24.0,,Personal foul by B. Forbes (drawn by J. Winslow),88,93
4,0:23.0,,Personal foul by L. Aldridge (drawn by H. Whiteside),88,93
4,0:23.0,,H. Whiteside makes free throw 1 of 2,88,94
4,0:23.0,P. Mills enters the game for B. Forbes,,88,94
4,0:23.0,,H. Whiteside makes free throw 2 of 2,88,95
4,0:17.0,P. Mills misses 3-pt jump shot from 25 ft,,88,95
4,0:14.0,,Defensive rebound by R. McGruder,88,95
