QUARTER,TIME_REMAINING,DALLAS_ACTION,OKLAHOMA CITY_ACTION,DALLAS_SCORE,OKLAHOMA CITY_SCORE
1,11:47.0,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by J. Brunson),,2,0
1,11:34.0,,R. Westbrook misses 3-pt jump shot from 25 ft,2,0
1,11:33.0,Defensive rebound by Team,,2,0
1,11:16.0,J. Jackson misses 2-pt jump shot from 12 ft,,2,0
1,11:14.0,,Defensive rebound by R. Westbrook,2,0
1,11:09.0,,P. George misses 2-pt jump shot from 15 ft,2,0
1,11:08.0,,Offensive rebound by P. George,2,0
1,11:03.0,,P. George misses 2-pt layup from 1 ft,2,0
1,10:59.0,Defensive rebound by J. Jackson,,2,0
1,10:47.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,2,0
1,10:44.0,,Defensive rebound by P. George,2,0
1,10:38.0,,J. Grant misses 3-pt jump shot from 24 ft,2,0
1,10:36.0,,Offensive rebound by P. George,2,0
1,10:31.0,,R. Westbrook misses 2-pt layup from 3 ft,2,0
1,10:27.0,Defensive rebound by D. Powell,,2,0
1,10:22.0,C. Lee misses 3-pt jump shot from 24 ft,,2,0
1,10:20.0,,Defensive rebound by J. Grant,2,0
1,10:15.0,,S. Adams misses 2-pt layup from 1 ft,2,0
1,10:12.0,Defensive rebound by D. Nowitzki,,2,0
1,9:53.0,Personal foul by P. George (drawn by C. Lee),,2,0
1,9:45.0,J. Brunson misses 3-pt jump shot from 23 ft,,2,0
1,9:41.0,Offensive rebound by D. Powell,,2,0
1,9:38.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,2,0
1,9:37.0,,Defensive rebound by R. Westbrook,2,0
1,9:31.0,,R. Westbrook misses 2-pt jump shot from 8 ft,2,0
1,9:29.0,Defensive rebound by C. Lee,,2,0
1,9:21.0,D. Powell misses 3-pt jump shot from 25 ft,,2,0
1,9:17.0,,Defensive rebound by P. George,2,0
1,9:09.0,,S. Adams makes 2-pt layup from 2 ft,2,2
1,8:44.0,J. Brunson makes 2-pt jump shot from 2 ft,,4,2
1,8:26.0,,J. Grant misses 2-pt jump shot from 17 ft,4,2
1,8:22.0,Defensive rebound by J. Jackson,,4,2
