QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ATLANTA_ACTION,MEMPHIS_SCORE,ATLANTA_SCORE
1,11:41.0,J. Valančiūnas misses 2-pt hook shot from 13 ft,,0,0
1,11:37.0,,Defensive rebound by J. Collins,0,0
1,11:29.0,,T. Young makes 2-pt jump shot from 13 ft (assist by D. Dedmon),0,2
1,11:13.0,Turnover by A. Bradley (bad pass; steal by K. Huerter),,0,2
1,11:12.0,,Personal foul by I. Rabb (drawn by J. Collins),0,2
1,11:09.0,,Shooting foul by J. Holiday (drawn by J. Collins),0,2
1,11:09.0,,J. Collins makes free throw 1 of 2,0,3
1,11:09.0,,J. Collins misses free throw 2 of 2,0,3
1,11:07.0,Defensive rebound by I. Rabb,,0,3
1,10:53.0,M. Conley misses 3-pt jump shot from 25 ft,,0,3
1,10:47.0,,Defensive rebound by D. Dedmon,0,3
1,10:40.0,,T. Prince misses 3-pt jump shot from 26 ft,0,3
1,10:35.0,Defensive rebound by I. Rabb,,0,3
1,10:27.0,I. Rabb misses 3-pt jump shot from 25 ft,,0,3
1,10:24.0,,Defensive rebound by T. Prince,0,3
1,10:17.0,,D. Dedmon misses 3-pt jump shot from 26 ft,0,3
1,10:14.0,,Offensive rebound by K. Huerter,0,3
1,10:12.0,,K. Huerter misses 2-pt jump shot from 15 ft,0,3
1,10:08.0,,Offensive rebound by K. Huerter,0,3
1,10:07.0,,K. Huerter makes 2-pt layup at rim,0,5
1,10:07.0,Memphis full timeout,,0,5
1,9:55.0,Turnover by A. Bradley (lost ball; steal by T. Prince),,0,5
1,9:51.0,,K. Huerter makes 2-pt dunk from 1 ft (assist by T. Young),0,7
1,9:42.0,M. Conley misses 2-pt jump shot from 12 ft (block by D. Dedmon),,0,7
1,9:37.0,Offensive rebound by A. Bradley,,0,7
1,9:35.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by A. Bradley),,3,7
1,9:21.0,,Turnover by T. Prince (bad pass; steal by M. Conley),3,7
1,9:15.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by M. Conley),,6,7
1,8:57.0,,K. Huerter makes 3-pt jump shot from 24 ft (assist by T. Prince),6,10
1,8:42.0,Personal foul by T. Prince (drawn by J. Valančiūnas),,6,10
1,8:35.0,M. Conley misses 3-pt jump shot from 25 ft,,6,10
1,8:33.0,,Defensive rebound by J. Collins,6,10
1,8:25.0,,D. Dedmon misses 3-pt jump shot from 25 ft,6,10
1,8:23.0,Defensive rebound by Team,,6,10
1,8:08.0,Turnover by J. Valančiūnas (bad pass; steal by T. Young),,6,10
1,8:04.0,,K. Huerter makes 3-pt jump shot from 27 ft (assist by T. Young),6,13
1,7:44.0,J. Holiday misses 3-pt jump shot from 23 ft,,6,13
1,7:43.0,,Defensive rebound by Team,6,13
1,7:43.0,Loose ball foul by J. Valančiūnas (drawn by D. Dedmon),,6,13
1,7:29.0,,T. Prince misses 2-pt jump shot from 16 ft,6,13
1,7:27.0,,Offensive rebound by D. Dedmon,6,13
1,7:23.0,,Turnover by D. Dedmon (bad pass; steal by J. Holiday),6,13
1,7:18.0,A. Bradley misses 3-pt jump shot from 24 ft,,6,13
1,7:15.0,,Defensive rebound by T. Prince,6,13
1,7:05.0,,J. Collins misses 2-pt layup from 1 ft,6,13
1,7:01.0,,Offensive rebound by J. Collins,6,13
1,7:01.0,,J. Collins makes 2-pt layup from 1 ft,6,15
1,6:38.0,J. Valančiūnas makes 2-pt layup from 3 ft (assist by I. Rabb),,8,15
1,6:24.0,,T. Young makes 2-pt layup from 2 ft (assist by D. Dedmon),8,17
1,6:15.0,A. Bradley misses 3-pt jump shot from 25 ft,,8,17
1,6:12.0,Offensive rebound by I. Rabb,,8,17
1,6:07.0,J. Valančiūnas misses 2-pt hook shot from 9 ft,,8,17
1,6:04.0,,Defensive rebound by K. Huerter,8,17
1,6:01.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Young),8,19
1,5:53.0,Memphis full timeout,,8,19
1,5:53.0,C. Miles enters the game for I. Rabb,,8,19
1,5:53.0,J. Noah enters the game for J. Valančiūnas,,8,19
1,5:53.0,,K. Bazemore enters the game for J. Collins,8,19
1,5:53.0,,V. Carter enters the game for D. Dedmon,8,19
1,5:53.0,,A. Len enters the game for K. Huerter,8,19
1,5:41.0,J. Holiday misses 3-pt jump shot from 23 ft,,8,19
1,5:35.0,Offensive rebound by J. Holiday,,8,19
1,5:26.0,J. Noah makes 2-pt layup from 1 ft (assist by M. Conley),,10,19
1,5:26.0,Shooting foul by A. Len (drawn by J. Noah),,10,19
1,5:26.0,D. Wright enters the game for M. Conley,,10,19
1,5:26.0,J. Noah makes free throw 1 of 1,,11,19
1,5:12.0,,K. Bazemore misses 3-pt jump shot from 24 ft,11,19
1,5:09.0,Defensive rebound by J. Noah,,11,19
1,5:01.0,C. Miles makes 2-pt jump shot from 21 ft (assist by J. Noah),,13,19
1,4:47.0,,T. Young makes 3-pt jump shot from 26 ft,13,22
1,4:35.0,Personal foul by K. Bazemore (drawn by D. Wright),,13,22
1,4:35.0,,D. Bembry enters the game for T. Prince,13,22
1,4:28.0,J. Holiday misses 3-pt jump shot from 25 ft,,13,22
1,4:25.0,,Defensive rebound by K. Bazemore,13,22
1,4:21.0,,T. Young misses 2-pt layup from 4 ft (block by J. Noah),13,22
1,4:17.0,,Offensive rebound by Team,13,22
1,4:15.0,,K. Bazemore misses 3-pt jump shot from 23 ft,13,22
1,4:09.0,Defensive rebound by J. Noah,,13,22
1,4:04.0,Turnover by J. Holiday (bad pass; steal by D. Bembry),,13,22
1,4:00.0,,D. Bembry makes 2-pt dunk from 1 ft,13,24
1,3:46.0,C. Miles makes 3-pt jump shot from 23 ft (assist by D. Wright),,16,24
1,3:33.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),16,26
1,3:22.0,D. Wright makes 2-pt layup from 1 ft,,18,26
1,3:14.0,,Personal foul by A. Bradley (drawn by T. Young),18,26
1,3:14.0,B. Caboclo enters the game for A. Bradley,,18,26
1,3:14.0,C. Parsons enters the game for J. Holiday,,18,26
1,3:14.0,,J. Adams enters the game for T. Young,18,26
1,3:03.0,,A. Len misses 2-pt layup from 1 ft,18,26
1,2:56.0,Defensive rebound by J. Noah,,18,26
1,2:55.0,C. Miles misses 3-pt jump shot from 26 ft,,18,26
1,2:53.0,Offensive rebound by C. Parsons,,18,26
1,2:50.0,C. Miles makes 3-pt jump shot from 25 ft (assist by J. Noah),,21,26
1,2:50.0,,Atlanta full timeout,21,26
1,2:32.0,,V. Carter makes 2-pt jump shot from 14 ft,21,28
1,2:13.0,J. Noah misses 2-pt jump shot from 22 ft,,21,28
1,2:11.0,,Defensive rebound by V. Carter,21,28
1,2:05.0,,Turnover by D. Bembry (traveling),21,28
1,1:40.0,B. Caboclo misses 3-pt jump shot from 23 ft,,21,28
1,1:38.0,Offensive rebound by Team,,21,28
1,1:30.0,J. Noah makes 2-pt layup from 2 ft,,23,28
1,1:23.0,,A. Len makes 2-pt layup from 1 ft (assist by K. Bazemore),23,30
1,1:09.0,D. Wright makes 2-pt layup from 1 ft (assist by J. Noah),,25,30
1,0:51.0,,A. Len misses 3-pt jump shot from 26 ft,25,30
1,0:48.0,Defensive rebound by D. Wright,,25,30
1,0:41.0,B. Caboclo makes 3-pt jump shot from 22 ft (assist by D. Wright),,28,30
1,0:20.0,,V. Carter misses 3-pt jump shot from 25 ft,28,30
1,0:16.0,Defensive rebound by B. Caboclo,,28,30
1,0:14.0,Offensive foul by B. Caboclo (drawn by V. Carter),,28,30
1,0:14.0,Turnover by B. Caboclo (offensive foul),,28,30
1,0:14.0,A. Bradley enters the game for C. Miles,,28,30
1,0:14.0,J. Holiday enters the game for C. Parsons,,28,30
1,0:03.0,,A. Len makes 3-pt jump shot from 23 ft (assist by J. Adams),28,33
1,0:00.0,D. Wright misses 3-pt jump shot from 46 ft,,28,33
1,0:00.0,Offensive rebound by Team,,28,33
2,11:42.0,,J. Adams misses 3-pt jump shot from 25 ft,28,33
2,11:38.0,Defensive rebound by J. Noah,,28,33
2,11:27.0,C. Parsons misses 2-pt jump shot from 22 ft,,28,33
2,11:24.0,,Defensive rebound by K. Huerter,28,33
2,11:16.0,,A. Len makes 3-pt jump shot from 23 ft (assist by K. Huerter),28,36
2,11:00.0,Shooting foul by J. Adams (drawn by D. Wright),,28,36
2,11:00.0,D. Wright misses free throw 1 of 2,,28,36
2,11:00.0,Offensive rebound by Team,,28,36
2,11:00.0,I. Rabb enters the game for B. Caboclo,,28,36
2,11:00.0,D. Wright makes free throw 2 of 2,,29,36
2,10:47.0,,K. Huerter misses 2-pt jump shot from 12 ft,29,36
2,10:45.0,,Offensive rebound by A. Len,29,36
2,10:43.0,,A. Len misses 2-pt hook shot from 11 ft,29,36
2,10:39.0,Defensive rebound by J. Noah,,29,36
2,10:33.0,C. Miles makes 3-pt jump shot from 25 ft (assist by D. Wright),,32,36
2,10:25.0,,Shooting foul by J. Noah (drawn by A. Len),32,36
2,10:25.0,,A. Len misses free throw 1 of 2,32,36
2,10:25.0,,Offensive rebound by Team,32,36
2,10:25.0,,A. Len misses free throw 2 of 2,32,36
2,10:21.0,Defensive rebound by J. Noah,,32,36
2,10:14.0,C. Miles misses 3-pt jump shot from 25 ft,,32,36
2,10:09.0,,Defensive rebound by J. Adams,32,36
2,9:58.0,,J. Collins makes 3-pt jump shot from 23 ft (assist by K. Huerter),32,39
2,9:44.0,D. Wright misses 2-pt layup from 1 ft (block by J. Collins),,32,39
2,9:42.0,,Defensive rebound by D. Bembry,32,39
2,9:38.0,,J. Collins makes 2-pt layup from 1 ft (assist by D. Bembry),32,41
2,9:17.0,C. Miles makes 3-pt jump shot from 25 ft (assist by J. Noah),,35,41
2,8:58.0,,J. Collins makes 2-pt layup from 1 ft (assist by J. Adams),35,43
2,8:46.0,J. Noah misses 2-pt dunk from 1 ft (block by J. Collins),,35,43
2,8:42.0,,Defensive rebound by K. Huerter,35,43
2,8:38.0,,A. Len makes 2-pt layup from 1 ft (assist by D. Bembry),35,45
2,8:14.0,J. Noah makes 2-pt jump shot from 18 ft,,37,45
2,8:01.0,,J. Adams misses 3-pt jump shot from 25 ft,37,45
2,8:00.0,,Offensive rebound by Team,37,45
2,8:00.0,M. Conley enters the game for J. Noah,,37,45
2,8:00.0,J. Holiday enters the game for C. Parsons,,37,45
2,8:00.0,J. Valančiūnas enters the game for D. Wright,,37,45
2,8:00.0,,D. Dedmon enters the game for J. Adams,37,45
2,8:00.0,,T. Prince enters the game for D. Bembry,37,45
2,8:00.0,,T. Young enters the game for A. Len,37,45
2,7:47.0,,T. Prince misses 3-pt jump shot from 23 ft,37,45
2,7:43.0,Defensive rebound by C. Miles,,37,45
2,7:30.0,Personal foul by J. Collins (drawn by I. Rabb),,37,45
2,7:23.0,M. Conley makes 2-pt jump shot from 6 ft,,39,45
2,7:23.0,Shooting foul by K. Huerter (drawn by M. Conley),,39,45
2,7:23.0,M. Conley makes free throw 1 of 1,,40,45
2,7:07.0,,J. Collins misses 2-pt layup from 5 ft,40,45
2,7:04.0,,Offensive rebound by J. Collins,40,45
2,7:04.0,,J. Collins misses 2-pt layup from 1 ft,40,45
2,7:04.0,,Offensive rebound by J. Collins,40,45
2,7:04.0,,Shooting foul by I. Rabb (drawn by J. Collins),40,45
2,7:04.0,,J. Collins makes free throw 1 of 2,40,46
2,7:04.0,,J. Collins makes free throw 2 of 2,40,47
2,6:56.0,C. Miles makes 3-pt jump shot from 24 ft (assist by M. Conley),,43,47
2,6:34.0,,T. Prince makes 2-pt jump shot from 15 ft,43,49
2,6:13.0,I. Rabb misses 2-pt jump shot from 5 ft,,43,49
2,6:10.0,,Defensive rebound by J. Collins,43,49
2,6:07.0,,D. Dedmon misses 2-pt layup from 1 ft (block by J. Holiday),43,49
2,6:07.0,,Offensive rebound by Team,43,49
2,6:07.0,,Atlanta full timeout,43,49
2,6:07.0,A. Bradley enters the game for C. Miles,,43,49
2,5:53.0,,K. Huerter makes 3-pt jump shot from 23 ft (assist by T. Prince),43,52
2,5:33.0,J. Holiday misses 3-pt jump shot from 23 ft,,43,52
2,5:32.0,,Defensive rebound by T. Young,43,52
2,5:28.0,,T. Young makes 3-pt jump shot from 33 ft,43,55
2,5:08.0,Personal foul by K. Huerter (drawn by A. Bradley),,43,55
2,5:02.0,Personal foul by T. Prince (drawn by M. Conley),,43,55
2,5:02.0,M. Conley makes free throw 1 of 2,,44,55
2,5:02.0,M. Conley makes free throw 2 of 2,,45,55
2,4:50.0,,T. Young misses 3-pt jump shot from 29 ft,45,55
2,4:47.0,Defensive rebound by J. Holiday,,45,55
2,4:37.0,J. Valančiūnas misses 2-pt layup from 1 ft (block by D. Dedmon),,45,55
2,4:37.0,Offensive rebound by Team,,45,55
2,4:26.0,A. Bradley makes 2-pt jump shot from 22 ft,,47,55
2,4:26.0,Shooting foul by D. Dedmon (drawn by A. Bradley),,47,55
2,4:26.0,J. Noah enters the game for I. Rabb,,47,55
2,4:26.0,A. Bradley makes free throw 1 of 1,,48,55
2,4:14.0,,J. Collins misses 3-pt jump shot from 26 ft,48,55
2,4:10.0,,Offensive rebound by D. Dedmon,48,55
2,4:09.0,,J. Collins makes 2-pt layup from 1 ft (assist by D. Dedmon),48,57
2,3:57.0,M. Conley misses 2-pt layup from 1 ft,,48,57
2,3:54.0,Offensive rebound by Team,,48,57
2,3:54.0,,K. Bazemore enters the game for J. Collins,48,57
2,3:54.0,,V. Carter enters the game for K. Huerter,48,57
2,3:45.0,A. Bradley misses 2-pt layup from 2 ft,,48,57
2,3:42.0,Offensive rebound by J. Noah,,48,57
2,3:42.0,J. Noah makes 2-pt dunk at rim,,50,57
2,3:28.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by T. Prince),50,60
2,3:13.0,Shooting foul by D. Dedmon (drawn by J. Valančiūnas),,50,60
2,3:13.0,J. Valančiūnas makes free throw 1 of 2,,51,60
2,3:13.0,D. Wright enters the game for J. Holiday,,51,60
2,3:13.0,,A. Len enters the game for D. Dedmon,51,60
2,3:13.0,J. Valančiūnas makes free throw 2 of 2,,52,60
2,2:58.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by T. Young),52,63
2,2:47.0,M. Conley makes 2-pt jump shot from 13 ft,,54,63
2,2:47.0,Shooting foul by V. Carter (drawn by M. Conley),,54,63
2,2:47.0,Memphis full timeout,,54,63
2,2:47.0,C. Miles enters the game for J. Valančiūnas,,54,63
2,2:47.0,M. Conley makes free throw 1 of 1,,55,63
2,2:32.0,,V. Carter misses 2-pt jump shot from 20 ft,55,63
2,2:25.0,Defensive rebound by M. Conley,,55,63
2,2:19.0,C. Miles makes 3-pt jump shot from 22 ft (assist by M. Conley),,58,63
2,2:02.0,,V. Carter misses 2-pt layup from 1 ft,58,63
2,1:57.0,,Offensive rebound by A. Len,58,63
2,1:57.0,,A. Len makes 2-pt layup from 1 ft,58,65
2,1:49.0,M. Conley misses 2-pt jump shot from 12 ft,,58,65
2,1:46.0,Offensive rebound by M. Conley,,58,65
2,1:44.0,A. Bradley misses 3-pt jump shot from 22 ft,,58,65
2,1:41.0,,Defensive rebound by T. Prince,58,65
2,1:33.0,,T. Prince makes 2-pt jump shot from 16 ft (assist by A. Len),58,67
2,1:15.0,D. Wright misses 2-pt jump shot from 12 ft (block by A. Len),,58,67
2,1:11.0,,Defensive rebound by A. Len,58,67
2,1:10.0,,T. Young makes 2-pt layup from 1 ft (assist by A. Len),58,69
2,0:55.0,M. Conley makes 2-pt layup from 1 ft,,60,69
2,0:47.0,,Personal foul by A. Bradley (drawn by T. Young),60,69
2,0:47.0,J. Holiday enters the game for D. Wright,,60,69
2,0:43.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by A. Len),60,72
2,0:34.0,M. Conley misses 3-pt jump shot from 26 ft,,60,72
2,0:34.0,,Defensive rebound by K. Bazemore,60,72
2,0:11.0,,K. Bazemore misses 3-pt jump shot from 25 ft,60,72
2,0:07.0,Defensive rebound by J. Holiday,,60,72
2,0:03.0,Turnover by M. Conley (traveling),,60,72
2,0:00.0,,T. Prince misses 3-pt jump shot from 25 ft,60,72
2,0:00.0,,Offensive rebound by Team,60,72
