QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SACRAMENTO_ACTION,MEMPHIS_SCORE,SACRAMENTO_SCORE
1,11:40.0,,K. Koufos misses 2-pt hook shot from 12 ft,0,0
1,11:37.0,Defensive rebound by K. Anderson,,0,0
1,11:24.0,Turnover by M. Gasol (bad pass; steal by D. Fox),,0,0
1,11:21.0,,Shooting foul by G. Temple (drawn by D. Fox),0,0
1,11:21.0,,D. Fox makes free throw 1 of 2,0,1
1,11:21.0,,D. Fox makes free throw 2 of 2,0,2
1,10:57.0,G. Temple misses 3-pt jump shot from 25 ft,,0,2
1,10:55.0,,Defensive rebound by K. Koufos,0,2
1,10:44.0,,Turnover by D. Fox (lost ball; steal by K. Anderson),0,2
1,10:40.0,Turnover by G. Temple (bad pass; steal by I. Shumpert),,0,2
1,10:21.0,,K. Koufos misses 2-pt layup from 2 ft,0,2
1,10:16.0,Defensive rebound by J. Jackson,,0,2
1,10:11.0,Personal foul by D. Fox (drawn by M. Conley),,0,2
1,10:06.0,M. Conley makes 3-pt jump shot from 25 ft,,3,2
1,9:50.0,,B. Hield misses 3-pt jump shot from 25 ft,3,2
1,9:48.0,Defensive rebound by M. Conley,,3,2
1,9:42.0,J. Jackson makes 2-pt layup from 2 ft (assist by K. Anderson),,5,2
1,9:30.0,,D. Fox misses 2-pt jump shot from 7 ft,5,2
1,9:27.0,Defensive rebound by G. Temple,,5,2
1,9:22.0,K. Anderson makes 2-pt jump shot from 9 ft (assist by G. Temple),,7,2
1,9:02.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by I. Shumpert),7,5
1,8:43.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by G. Temple),,10,5
1,8:31.0,,K. Koufos misses 2-pt dunk from 2 ft (block by J. Jackson),10,5
1,8:31.0,,Offensive rebound by Team,10,5
1,8:31.0,Memphis full timeout,,10,5
1,8:17.0,,I. Shumpert misses 3-pt jump shot from 26 ft,10,5
1,8:15.0,Defensive rebound by M. Gasol,,10,5
1,8:00.0,Turnover by K. Anderson (lost ball),,10,5
1,8:00.0,Loose ball foul by K. Anderson (drawn by W. Cauley-Stein),,10,5
1,8:00.0,,N. Bjelica enters the game for K. Koufos,10,5
1,7:48.0,Violation by Team (kicked ball),,10,5
1,7:38.0,,D. Fox makes 3-pt jump shot from 23 ft (assist by N. Bjelica),10,8
1,7:20.0,Turnover by G. Temple (bad pass; steal by D. Fox),,10,8
1,7:14.0,,B. Hield misses 3-pt jump shot from 26 ft,10,8
1,7:10.0,Defensive rebound by M. Gasol,,10,8
1,7:04.0,M. Conley misses 2-pt layup from 2 ft,,10,8
1,7:02.0,Offensive rebound by M. Conley,,10,8
1,6:57.0,J. Jackson makes 2-pt layup from 2 ft (assist by M. Conley),,12,8
1,6:57.0,Violation by Team (delay of game),,12,8
1,6:39.0,,I. Shumpert misses 3-pt jump shot from 25 ft,12,8
1,6:37.0,Defensive rebound by M. Gasol,,12,8
1,6:20.0,J. Jackson makes 2-pt dunk from 2 ft,,14,8
1,6:20.0,Shooting foul by N. Bjelica (drawn by J. Jackson),,14,8
1,6:20.0,,Sacramento full timeout,14,8
1,6:20.0,S. Mack enters the game for M. Conley,,14,8
1,6:20.0,,B. Bogdanović enters the game for I. Shumpert,14,8
1,6:20.0,J. Jackson makes free throw 1 of 1,,15,8
1,6:09.0,,N. Bjelica misses 3-pt jump shot from 25 ft,15,8
1,6:06.0,Defensive rebound by M. Gasol,,15,8
1,5:49.0,J. Jackson misses 2-pt layup from 3 ft,,15,8
1,5:48.0,Offensive rebound by J. Jackson,,15,8
1,5:46.0,J. Jackson makes 2-pt dunk from 1 ft,,17,8
1,5:37.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by B. Bogdanović),17,10
1,5:19.0,S. Mack misses 2-pt jump shot from 22 ft,,17,10
1,5:17.0,,Defensive rebound by W. Cauley-Stein,17,10
1,5:05.0,,D. Fox makes 2-pt dunk from 1 ft (assist by W. Cauley-Stein),17,12
1,4:49.0,G. Temple misses 2-pt layup from 2 ft,,17,12
1,4:47.0,,Defensive rebound by B. Hield,17,12
1,4:43.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),17,15
1,4:43.0,M. Brooks enters the game for M. Gasol,,17,15
1,4:43.0,J. Green enters the game for G. Temple,,17,15
1,4:43.0,,J. Jackson enters the game for B. Hield,17,15
1,4:17.0,S. Mack makes 3-pt jump shot from 25 ft,,20,15
1,4:00.0,,N. Bjelica misses 3-pt jump shot from 27 ft,20,15
1,3:57.0,Defensive rebound by K. Anderson,,20,15
1,3:40.0,M. Brooks misses 3-pt jump shot from 25 ft,,20,15
1,3:37.0,,Defensive rebound by W. Cauley-Stein,20,15
1,3:35.0,,J. Jackson makes 2-pt layup from 1 ft (assist by D. Fox),20,17
1,3:18.0,Personal foul by J. Jackson (drawn by J. Jackson),,20,17
1,3:18.0,M. Conley enters the game for K. Anderson,,20,17
1,3:18.0,M. Gasol enters the game for J. Jackson,,20,17
1,3:18.0,,K. Koufos enters the game for W. Cauley-Stein,20,17
1,3:04.0,M. Gasol misses 2-pt jump shot from 20 ft,,20,17
1,3:01.0,,Defensive rebound by K. Koufos,20,17
1,2:41.0,,J. Jackson makes 2-pt jump shot from 10 ft (assist by D. Fox),20,19
1,2:21.0,J. Green makes 2-pt jump shot from 18 ft (assist by S. Mack),,22,19
1,2:06.0,,Turnover by D. Fox (bad pass; steal by S. Mack),22,19
1,2:01.0,S. Mack makes 2-pt layup from 1 ft,,24,19
1,1:44.0,,Shooting foul by M. Brooks (drawn by B. Bogdanović),24,19
1,1:44.0,,B. Bogdanović makes free throw 1 of 3,24,20
1,1:44.0,,B. Bogdanović misses free throw 2 of 3,24,20
1,1:44.0,,Offensive rebound by Team,24,20
1,1:44.0,W. Selden enters the game for M. Brooks,,24,20
1,1:44.0,,Y. Ferrell enters the game for D. Fox,24,20
1,1:44.0,,B. Bogdanović misses free throw 3 of 3,24,20
1,1:36.0,Defensive rebound by J. Green,,24,20
1,1:32.0,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),,27,20
1,1:22.0,,N. Bjelica misses 3-pt jump shot from 25 ft,27,20
1,1:18.0,Defensive rebound by M. Conley,,27,20
1,1:13.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),,30,20
1,1:12.0,,Sacramento full timeout,30,20
1,0:57.0,,J. Jackson makes 2-pt jump shot from 12 ft,30,22
1,0:44.0,S. Mack misses 2-pt jump shot from 12 ft,,30,22
1,0:43.0,,Defensive rebound by Team,30,22
1,0:32.0,,Y. Ferrell misses 2-pt jump shot from 15 ft,30,22
1,0:29.0,,Offensive rebound by K. Koufos,30,22
1,0:27.0,,N. Bjelica misses 3-pt jump shot from 25 ft,30,22
1,0:27.0,Defensive rebound by S. Mack,,30,22
1,0:06.0,S. Mack makes 2-pt layup from 2 ft,,32,22
1,0:00.0,,K. Koufos makes 2-pt hook shot from 10 ft (assist by N. Bjelica),32,24
2,11:38.0,S. Mack misses 3-pt jump shot from 25 ft,,32,24
2,11:37.0,,Defensive rebound by Team,32,24
2,11:27.0,,J. Jackson misses 3-pt jump shot from 23 ft,32,24
2,11:23.0,Defensive rebound by J. Green,,32,24
2,11:21.0,Turnover by M. Gasol (bad pass; steal by B. Hield),,32,24
2,11:17.0,,B. Hield misses 3-pt jump shot from 23 ft,32,24
2,11:14.0,Defensive rebound by J. Green,,32,24
2,11:00.0,W. Selden misses 2-pt layup from 6 ft (block by K. Koufos),,32,24
2,10:59.0,Offensive rebound by W. Selden,,32,24
2,10:55.0,M. Gasol makes 2-pt jump shot from 17 ft (assist by S. Mack),,34,24
2,10:47.0,,Personal foul by J. Carter (drawn by B. Bogdanović),34,24
2,10:36.0,,B. Hield misses 2-pt layup from 5 ft,34,24
2,10:35.0,Defensive rebound by Team,,34,24
2,10:25.0,Personal foul by K. Koufos (drawn by M. Gasol),,34,24
2,10:11.0,M. Gasol misses 2-pt jump shot from 17 ft (block by K. Koufos),,34,24
