QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DENVER_ACTION,SAN ANTONIO_SCORE,DENVER_SCORE
1,11:47.0,D. White misses 2-pt jump shot from 7 ft (block by J. Murray),,0,0
1,11:40.0,,Defensive rebound by G. Harris,0,0
1,11:31.0,,W. Barton makes 3-pt jump shot from 24 ft (assist by J. Murray),0,3
1,11:07.0,L. Aldridge misses 2-pt jump shot from 13 ft,,0,3
1,11:04.0,,Defensive rebound by G. Harris,0,3
1,10:57.0,,J. Murray makes 2-pt dunk from 1 ft (assist by N. Jokić),0,5
1,10:57.0,San Antonio full timeout,,0,5
1,10:57.0,,Technical foul by G. Popovich,0,5
1,10:57.0,,Technical foul by G. Popovich,0,5
1,10:57.0,G. Popovich ejected from game,,0,5
1,10:57.0,,J. Murray misses technical free throw,0,5
1,10:57.0,Defensive rebound by Team,,0,5
1,10:57.0,,J. Murray makes technical free throw,0,6
1,10:35.0,D. White misses 3-pt jump shot from 25 ft,,0,6
1,10:32.0,,Defensive rebound by N. Jokić,0,6
1,10:22.0,,Turnover by N. Jokić (bad pass; steal by J. Poeltl),0,6
1,10:08.0,L. Aldridge misses 3-pt jump shot from 25 ft,,0,6
1,10:06.0,,Defensive rebound by N. Jokić,0,6
1,10:05.0,,Turnover by N. Jokić (bad pass),0,6
1,9:48.0,Shooting foul by G. Harris (drawn by D. DeRozan),,0,6
1,9:48.0,D. DeRozan misses free throw 1 of 2,,0,6
1,9:48.0,Offensive rebound by Team,,0,6
1,9:48.0,D. DeRozan makes free throw 2 of 2,,1,6
1,9:33.0,,P. Millsap misses 3-pt jump shot from 25 ft,1,6
1,9:33.0,Defensive rebound by Team,,1,6
1,9:20.0,Turnover by D. DeRozan (bad pass; steal by P. Millsap),,1,6
1,9:10.0,,P. Millsap makes 2-pt layup from 1 ft,1,8
1,8:46.0,L. Aldridge makes 2-pt hook shot from 4 ft (assist by D. DeRozan),,3,8
1,8:34.0,,J. Murray makes 2-pt jump shot from 12 ft (assist by N. Jokić),3,10
1,8:18.0,B. Forbes makes 2-pt jump shot from 14 ft (assist by J. Poeltl),,5,10
1,7:56.0,,W. Barton misses 3-pt jump shot from 25 ft,5,10
1,7:53.0,Defensive rebound by B. Forbes,,5,10
1,7:47.0,B. Forbes makes 2-pt jump shot from 18 ft,,7,10
1,7:28.0,,J. Murray makes 2-pt dunk from 1 ft (assist by N. Jokić),7,12
1,7:10.0,D. White makes 2-pt jump shot from 12 ft,,9,12
1,6:59.0,,N. Jokić makes 2-pt layup from 1 ft (assist by J. Murray),9,14
1,6:46.0,D. White misses 2-pt jump shot from 16 ft,,9,14
1,6:44.0,Offensive rebound by J. Poeltl,,9,14
1,6:34.0,D. White makes 2-pt dunk from 1 ft,,11,14
1,6:28.0,,G. Harris misses 2-pt layup from 2 ft (block by D. DeRozan),11,14
1,6:28.0,,Offensive rebound by Team,11,14
1,6:28.0,R. Gay enters the game for J. Poeltl,,11,14
1,6:28.0,P. Mills enters the game for D. White,,11,14
1,6:22.0,,J. Murray misses 2-pt jump shot from 13 ft,11,14
1,6:20.0,Defensive rebound by L. Aldridge,,11,14
1,6:10.0,R. Gay misses 3-pt jump shot from 24 ft,,11,14
1,6:07.0,,Defensive rebound by N. Jokić,11,14
1,5:56.0,,W. Barton makes 2-pt jump shot from 13 ft,11,16
1,5:31.0,L. Aldridge misses 2-pt jump shot from 17 ft,,11,16
1,5:28.0,,Defensive rebound by J. Murray,11,16
1,5:16.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by J. Murray),11,18
1,4:52.0,P. Mills makes 3-pt jump shot from 24 ft (assist by R. Gay),,14,18
1,4:31.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),14,20
1,4:31.0,,Shooting foul by D. DeRozan (drawn by N. Jokić),14,20
1,4:31.0,M. Belinelli enters the game for D. DeRozan,,14,20
1,4:31.0,D. Bertāns enters the game for B. Forbes,,14,20
1,4:31.0,,M. Morris enters the game for P. Millsap,14,20
1,4:31.0,,M. Plumlee enters the game for J. Murray,14,20
1,4:31.0,,N. Jokić makes free throw 1 of 1,14,21
1,4:18.0,Shooting foul by N. Jokić (drawn by L. Aldridge),,14,21
1,4:18.0,L. Aldridge makes free throw 1 of 2,,15,21
1,4:18.0,L. Aldridge makes free throw 2 of 2,,16,21
1,4:03.0,,Personal foul by D. Bertāns (drawn by W. Barton),16,21
1,3:54.0,,Turnover by N. Jokić (bad pass; steal by R. Gay),16,21
1,3:54.0,Personal foul by M. Morris (drawn by P. Mills),,16,21
1,3:41.0,L. Aldridge makes 2-pt jump shot from 10 ft,,18,21
1,3:22.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by G. Harris),18,24
1,3:08.0,M. Belinelli misses 2-pt jump shot from 16 ft,,18,24
1,3:06.0,,Defensive rebound by N. Jokić,18,24
1,2:55.0,,M. Morris misses 3-pt jump shot from 25 ft,18,24
1,2:52.0,Defensive rebound by D. Bertāns,,18,24
1,2:34.0,R. Gay misses 2-pt jump shot from 14 ft,,18,24
1,2:31.0,,Defensive rebound by G. Harris,18,24
1,2:25.0,,G. Harris misses 2-pt layup from 2 ft,18,24
1,2:22.0,Defensive rebound by L. Aldridge,,18,24
1,2:19.0,D. Bertāns misses 2-pt layup at rim,,18,24
1,2:14.0,,Defensive rebound by N. Jokić,18,24
1,2:11.0,,Turnover by N. Jokić (bad pass; steal by D. Bertāns),18,24
1,2:10.0,M. Belinelli misses 3-pt jump shot from 25 ft,,18,24
1,2:10.0,,Defensive rebound by M. Plumlee,18,24
1,2:10.0,,Denver full timeout,18,24
1,2:10.0,J. Poeltl enters the game for L. Aldridge,,18,24
1,2:10.0,,M. Beasley enters the game for W. Barton,18,24
1,2:10.0,,T. Craig enters the game for G. Harris,18,24
1,2:10.0,,J. Murray enters the game for N. Jokić,18,24
1,2:06.0,,M. Morris makes 2-pt jump shot from 14 ft (assist by J. Murray),18,26
1,1:48.0,P. Mills misses 3-pt jump shot from 25 ft,,18,26
1,1:45.0,,Defensive rebound by M. Beasley,18,26
1,1:28.0,,M. Plumlee misses 2-pt hook shot from 3 ft,18,26
1,1:26.0,,Offensive rebound by M. Morris,18,26
1,1:24.0,,M. Beasley misses 3-pt jump shot from 25 ft,18,26
1,1:22.0,Defensive rebound by R. Gay,,18,26
1,1:13.0,R. Gay makes 2-pt jump shot from 7 ft,,20,26
