QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
1,11:49.0,,Personal foul by B. Bogdanović (drawn by A. Gordon),0,0
1,11:36.0,,A. Gordon makes 2-pt layup from 1 ft (assist by J. Isaac),0,2
1,11:16.0,T. Young misses 2-pt jump shot from 21 ft,,0,2
1,11:15.0,,Defensive rebound by Team,0,2
1,11:01.0,,Turnover by J. Isaac (bad pass; steal by C. Joseph),0,2
1,10:57.0,C. Joseph misses 2-pt layup from 2 ft,,0,2
1,10:54.0,,Defensive rebound by N. Vučević,0,2
1,10:40.0,,D. Augustin makes 3-pt jump shot from 23 ft (assist by N. Vučević),0,5
1,10:19.0,M. Turner misses 2-pt jump shot from 18 ft,,0,5
1,10:16.0,,Defensive rebound by A. Gordon,0,5
1,10:05.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by E. Fournier),0,7
1,9:44.0,T. Young misses 2-pt jump shot from 16 ft,,0,7
1,9:40.0,,Defensive rebound by J. Isaac,0,7
1,9:33.0,,N. Vučević makes 2-pt jump shot from 15 ft (assist by J. Isaac),0,9
1,9:28.0,Indiana full timeout,,0,9
1,9:10.0,D. Collison misses 3-pt jump shot from 24 ft,,0,9
1,9:06.0,,Defensive rebound by J. Isaac,0,9
1,8:53.0,,N. Vučević makes 2-pt jump shot from 8 ft,0,11
1,8:31.0,T. Young makes 2-pt hook shot from 11 ft (assist by D. Collison),,2,11
1,8:14.0,,N. Vučević misses 2-pt jump shot from 16 ft,2,11
1,8:11.0,Defensive rebound by M. Turner,,2,11
1,8:03.0,T. Young makes 2-pt jump shot from 11 ft (assist by D. Collison),,4,11
1,7:45.0,,J. Isaac misses 2-pt jump shot from 18 ft,4,11
1,7:42.0,Defensive rebound by B. Bogdanović,,4,11
1,7:35.0,B. Bogdanović makes 2-pt layup from 1 ft,,6,11
1,7:18.0,,E. Fournier misses 3-pt jump shot from 23 ft,6,11
1,7:14.0,Defensive rebound by T. Young,,6,11
1,7:02.0,M. Turner misses 2-pt jump shot from 20 ft,,6,11
1,6:59.0,,Defensive rebound by D. Augustin,6,11
1,6:59.0,,Offensive foul by D. Augustin (drawn by D. Collison),6,11
1,6:59.0,,Turnover by D. Augustin (offensive foul),6,11
1,6:47.0,T. Young makes 2-pt hook shot from 10 ft (assist by D. Collison),,8,11
1,6:29.0,,A. Gordon makes 2-pt jump shot from 16 ft,8,13
1,6:09.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Young),,11,13
1,5:51.0,,A. Gordon misses 2-pt jump shot from 21 ft,11,13
1,5:48.0,Defensive rebound by M. Turner,,11,13
1,5:39.0,T. Young makes 2-pt hook shot from 11 ft (assist by D. Collison),,13,13
1,5:39.0,,Orlando full timeout,13,13
1,5:39.0,,W. Iwundu enters the game for A. Gordon,13,13
1,5:22.0,,Turnover by J. Isaac (bad pass; steal by M. Turner),13,13
1,5:18.0,C. Joseph misses 2-pt layup from 3 ft (block by J. Isaac),,13,13
1,5:14.0,,Defensive rebound by D. Augustin,13,13
1,5:10.0,,D. Augustin misses 2-pt layup from 3 ft,13,13
1,5:08.0,Defensive rebound by D. Collison,,13,13
1,5:01.0,T. Young misses 2-pt layup from 2 ft,,13,13
1,4:59.0,,Defensive rebound by J. Isaac,13,13
1,4:48.0,,E. Fournier misses 2-pt layup from 5 ft,13,13
1,4:46.0,,Offensive rebound by J. Isaac,13,13
1,4:46.0,,J. Isaac misses 2-pt layup at rim,13,13
1,4:46.0,,Offensive rebound by J. Isaac,13,13
1,4:46.0,,Shooting foul by C. Joseph (drawn by J. Isaac),13,13
1,4:46.0,,J. Isaac makes free throw 1 of 2,13,14
1,4:46.0,A. Holiday enters the game for D. Collison,,13,14
1,4:46.0,D. Sabonis enters the game for T. Young,,13,14
1,4:46.0,,I. Briscoe enters the game for D. Augustin,13,14
1,4:46.0,,J. Isaac makes free throw 2 of 2,13,15
1,4:30.0,Personal foul by J. Isaac (drawn by A. Holiday),,13,15
1,4:23.0,Shooting foul by W. Iwundu (drawn by B. Bogdanović),,13,15
1,4:23.0,B. Bogdanović makes free throw 1 of 2,,14,15
1,4:23.0,B. Bogdanović makes free throw 2 of 2,,15,15
1,4:07.0,,W. Iwundu makes 2-pt jump shot from 12 ft (assist by E. Fournier),15,17
1,4:00.0,Shooting foul by W. Iwundu (drawn by M. Turner),,15,17
1,4:00.0,M. Turner makes free throw 1 of 2,,16,17
1,4:00.0,,T. Ross enters the game for E. Fournier,16,17
1,4:00.0,M. Turner makes free throw 2 of 2,,17,17
1,3:38.0,,N. Vučević misses 2-pt jump shot from 11 ft,17,17
1,3:35.0,Defensive rebound by M. Turner,,17,17
1,3:26.0,B. Bogdanović misses 2-pt layup from 1 ft,,17,17
1,3:23.0,,Defensive rebound by N. Vučević,17,17
1,3:16.0,,N. Vučević misses 3-pt jump shot from 26 ft,17,17
1,3:14.0,Defensive rebound by C. Joseph,,17,17
1,3:10.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,17,17
1,3:07.0,,Defensive rebound by I. Briscoe,17,17
1,2:57.0,,J. Isaac makes 3-pt jump shot from 23 ft (assist by W. Iwundu),17,20
1,2:33.0,D. Sabonis misses 2-pt jump shot from 15 ft,,17,20
1,2:30.0,,Defensive rebound by J. Isaac,17,20
1,2:19.0,,N. Vučević makes 2-pt jump shot from 9 ft (assist by I. Briscoe),17,22
1,2:05.0,C. Joseph misses 2-pt jump shot from 18 ft,,17,22
1,2:02.0,,Defensive rebound by I. Briscoe,17,22
1,1:53.0,,J. Isaac misses 3-pt jump shot from 25 ft,17,22
1,1:50.0,Defensive rebound by M. Turner,,17,22
1,1:43.0,D. Sabonis misses 2-pt hook shot from 5 ft,,17,22
1,1:43.0,,Defensive rebound by Team,17,22
1,1:43.0,Loose ball foul by D. Sabonis (drawn by J. Isaac),,17,22
1,1:43.0,T. Leaf enters the game for B. Bogdanović,,17,22
1,1:43.0,D. McDermott enters the game for C. Joseph,,17,22
1,1:43.0,E. Sumner enters the game for M. Turner,,17,22
1,1:43.0,,M. Bamba enters the game for J. Isaac,17,22
1,1:43.0,,A. Gordon enters the game for N. Vučević,17,22
1,1:33.0,,T. Ross misses 3-pt jump shot from 28 ft,17,22
1,1:29.0,Defensive rebound by A. Holiday,,17,22
1,1:25.0,A. Holiday misses 2-pt jump shot from 8 ft (block by M. Bamba),,17,22
1,1:22.0,,Defensive rebound by W. Iwundu,17,22
1,1:17.0,,M. Bamba misses 2-pt hook shot from 7 ft (block by D. Sabonis),17,22
1,1:13.0,Defensive rebound by T. Leaf,,17,22
1,1:07.0,Turnover by A. Holiday (lost ball; steal by T. Ross),,17,22
1,1:04.0,,T. Ross makes 2-pt dunk from 2 ft,17,24
1,0:46.0,E. Sumner makes 2-pt jump shot from 15 ft,,19,24
1,0:29.0,,M. Bamba misses 2-pt jump shot from 16 ft,19,24
1,0:26.0,Defensive rebound by T. Leaf,,19,24
1,0:03.0,D. Sabonis misses 2-pt hook shot from 13 ft,,19,24
1,0:03.0,Offensive rebound by Team,,19,24
1,0:03.0,Turnover by Team (shot clock),,19,24
2,11:44.0,Turnover by D. Sabonis (bad pass),,19,24
2,11:21.0,,Shooting foul by T. Leaf (drawn by A. Gordon),19,24
2,11:21.0,,A. Gordon makes free throw 1 of 2,19,25
2,11:21.0,,A. Gordon makes free throw 2 of 2,19,26
2,11:09.0,T. Leaf makes 3-pt jump shot from 24 ft (assist by E. Sumner),,22,26
2,10:53.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by I. Briscoe),22,29
2,10:42.0,D. McDermott misses 2-pt jump shot from 15 ft,,22,29
2,10:39.0,,Defensive rebound by M. Bamba,22,29
2,10:31.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by I. Briscoe),22,32
2,10:15.0,A. Holiday misses 2-pt jump shot from 20 ft,,22,32
2,10:13.0,,Defensive rebound by M. Bamba,22,32
2,10:04.0,,A. Gordon misses 3-pt jump shot from 25 ft,22,32
2,10:02.0,Defensive rebound by D. Sabonis,,22,32
2,9:55.0,E. Sumner makes 2-pt jump shot from 17 ft,,24,32
2,9:32.0,,Shooting foul by D. Sabonis (drawn by A. Gordon),24,32
2,9:32.0,,A. Gordon misses free throw 1 of 2,24,32
2,9:32.0,,Offensive rebound by Team,24,32
2,9:32.0,D. Collison enters the game for A. Holiday,,24,32
2,9:32.0,,A. Gordon misses free throw 2 of 2,24,32
2,9:29.0,Defensive rebound by D. Sabonis,,24,32
2,9:23.0,Personal foul by M. Bamba (drawn by D. Sabonis),,24,32
2,9:14.0,Def 3 sec tech foul by Team,,24,32
2,9:14.0,D. McDermott makes technical free throw,,25,32
2,9:09.0,D. McDermott makes 2-pt hook shot from 10 ft (assist by T. Leaf),,27,32
2,8:53.0,,E. Fournier misses 2-pt layup from 4 ft,27,32
2,8:50.0,Defensive rebound by D. McDermott,,27,32
2,8:40.0,Offensive foul by E. Sumner (drawn by I. Briscoe),,27,32
2,8:40.0,Turnover by E. Sumner (offensive foul),,27,32
2,8:23.0,,A. Gordon misses 2-pt jump shot from 9 ft,27,32
2,8:19.0,Defensive rebound by E. Sumner,,27,32
2,8:08.0,Shooting foul by M. Bamba (drawn by D. Sabonis),,27,32
2,8:08.0,D. Sabonis makes free throw 1 of 2,,28,32
2,8:08.0,,J. Isaac enters the game for E. Fournier,28,32
2,8:08.0,,W. Iwundu enters the game for A. Gordon,28,32
2,8:08.0,D. Sabonis misses free throw 2 of 2,,28,32
2,8:06.0,,Defensive rebound by M. Bamba,28,32
2,7:59.0,,T. Ross misses 3-pt jump shot from 25 ft,28,32
2,7:56.0,Defensive rebound by E. Sumner,,28,32
2,7:48.0,D. Sabonis misses 2-pt hook shot from 6 ft,,28,32
2,7:45.0,,Defensive rebound by M. Bamba,28,32
2,7:39.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by I. Briscoe),28,35
2,7:31.0,Indiana full timeout,,28,35
2,7:31.0,T. Young enters the game for T. Leaf,,28,35
2,7:31.0,,N. Vučević enters the game for M. Bamba,28,35
2,7:18.0,E. Sumner misses 2-pt jump shot from 23 ft,,28,35
2,7:18.0,,Defensive rebound by J. Isaac,28,35
2,7:01.0,,T. Ross misses 2-pt jump shot from 20 ft (block by E. Sumner),28,35
2,6:58.0,Defensive rebound by D. Collison,,28,35
2,6:55.0,E. Sumner misses 3-pt jump shot from 24 ft,,28,35
2,6:55.0,,Defensive rebound by W. Iwundu,28,35
2,6:45.0,,J. Isaac misses 3-pt jump shot from 27 ft,28,35
2,6:45.0,Defensive rebound by E. Sumner,,28,35
2,6:20.0,D. Sabonis misses 2-pt hook shot from 7 ft,,28,35
2,6:16.0,,Defensive rebound by N. Vučević,28,35
2,6:14.0,,W. Iwundu makes 2-pt layup from 3 ft,28,37
2,6:14.0,Violation by Team (def goaltending),,28,37
2,5:53.0,D. Sabonis misses 2-pt layup from 2 ft,,28,37
