QUARTER,TIME_REMAINING,MIAMI_ACTION,CHICAGO_ACTION,MIAMI_SCORE,CHICAGO_SCORE
1,11:41.0,W. Ellington misses 3-pt jump shot from 26 ft,,0,0
1,11:37.0,,Defensive rebound by J. Parker,0,0
1,11:27.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by Z. LaVine),0,3
1,11:13.0,R. McGruder makes 2-pt jump shot from 7 ft,,2,3
1,11:03.0,,Personal foul by W. Ellington (drawn by J. Holiday),2,3
1,10:55.0,,J. Parker misses 2-pt jump shot from 19 ft,2,3
1,10:49.0,Defensive rebound by H. Whiteside,,2,3
1,10:45.0,J. Johnson misses 3-pt jump shot from 25 ft,,2,3
1,10:42.0,,Defensive rebound by R. Arcidiacono,2,3
1,10:32.0,,R. Arcidiacono makes 2-pt layup from 2 ft (assist by W. Carter),2,5
1,10:20.0,Personal foul by W. Carter (drawn by H. Whiteside),,2,5
1,10:10.0,Personal foul by R. Arcidiacono (drawn by J. Johnson),,2,5
1,10:07.0,R. McGruder misses 3-pt jump shot from 26 ft,,2,5
1,10:03.0,,Defensive rebound by Z. LaVine,2,5
1,9:55.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by Z. LaVine),2,8
1,9:39.0,R. McGruder misses 2-pt jump shot from 12 ft,,2,8
1,9:38.0,Offensive rebound by H. Whiteside,,2,8
1,9:38.0,Shooting foul by J. Parker (drawn by H. Whiteside),,2,8
1,9:38.0,H. Whiteside misses free throw 1 of 2,,2,8
1,9:38.0,Offensive rebound by Team,,2,8
1,9:38.0,H. Whiteside misses free throw 2 of 2,,2,8
1,9:35.0,,Defensive rebound by J. Holiday,2,8
1,9:26.0,,Turnover by J. Holiday (bad pass; steal by W. Ellington),2,8
1,9:22.0,J. Richardson makes 2-pt layup from 1 ft (assist by H. Whiteside),,4,8
1,9:14.0,,Shooting foul by H. Whiteside (drawn by W. Carter),4,8
1,9:14.0,,W. Carter makes free throw 1 of 2,4,9
1,9:14.0,,W. Carter makes free throw 2 of 2,4,10
1,9:02.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by W. Ellington),,7,10
1,8:47.0,,J. Holiday misses 2-pt jump shot from 19 ft,7,10
1,8:43.0,,Offensive rebound by W. Carter,7,10
