QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,HOUSTON_ACTION,GOLDEN STATE_SCORE,HOUSTON_SCORE
1,11:40.0,D. Green misses 3-pt jump shot from 27 ft,,0,0
1,11:39.0,Offensive rebound by Team,,0,0
1,11:30.0,Turnover by K. Thompson (out of bounds lost ball),,0,0
1,11:10.0,,Shooting foul by D. Green (drawn by J. Harden),0,0
1,11:10.0,,J. Harden misses free throw 1 of 2,0,0
1,11:10.0,,Offensive rebound by Team,0,0
1,11:10.0,,J. Harden makes free throw 2 of 2,0,1
1,10:46.0,Turnover by A. Iguodala (lost ball; steal by J. Harden),,0,1
1,10:42.0,,Turnover by J. Harden (bad pass; steal by A. Iguodala),0,1
1,10:37.0,K. Thompson makes 3-pt jump shot from 27 ft,,3,1
1,10:16.0,,C. Paul makes 2-pt jump shot from 17 ft,3,3
1,10:04.0,S. Curry misses 2-pt layup from 5 ft,,3,3
1,10:01.0,,Defensive rebound by C. Capela,3,3
1,9:55.0,,C. Capela makes 2-pt hook shot from 4 ft (assist by P. Tucker),3,5
1,9:48.0,K. Thompson misses 3-pt jump shot from 29 ft,,3,5
1,9:45.0,,Defensive rebound by C. Capela,3,5
1,9:37.0,,C. Capela misses 2-pt layup from 5 ft (block by D. Green),3,5
1,9:34.0,Defensive rebound by A. Bogut,,3,5
1,9:31.0,D. Green makes 2-pt dunk from 1 ft (assist by A. Iguodala),,5,5
1,9:30.0,Violation by Team (delay of game),,5,5
1,9:08.0,,C. Capela misses 2-pt hook shot from 5 ft,5,5
1,9:06.0,Defensive rebound by S. Curry,,5,5
1,8:58.0,S. Curry misses 3-pt jump shot from 27 ft,,5,5
1,8:55.0,,Defensive rebound by E. Gordon,5,5
1,8:52.0,,Turnover by C. Paul (out of bounds lost ball),5,5
1,8:44.0,K. Thompson misses 2-pt jump shot from 11 ft,,5,5
1,8:41.0,,Defensive rebound by P. Tucker,5,5
1,8:35.0,,J. Harden makes 2-pt jump shot from 7 ft,5,7
1,8:20.0,A. Iguodala misses 3-pt jump shot from 24 ft,,5,7
1,8:16.0,,Defensive rebound by J. Harden,5,7
1,8:10.0,,J. Harden misses 3-pt jump shot from 26 ft,5,7
1,8:08.0,Defensive rebound by D. Green,,5,7
1,7:59.0,A. Bogut misses 2-pt hook shot from 9 ft,,5,7
1,7:55.0,Offensive rebound by D. Green,,5,7
1,7:55.0,D. Green makes 2-pt layup at rim,,7,7
1,7:42.0,,Shooting foul by S. Curry (drawn by J. Harden),7,7
1,7:42.0,,J. Harden misses free throw 1 of 2,7,7
1,7:42.0,,Offensive rebound by Team,7,7
1,7:42.0,,J. Harden makes free throw 2 of 2,7,8
1,7:24.0,A. Iguodala misses 2-pt jump shot from 10 ft,,7,8
1,7:22.0,,Defensive rebound by C. Paul,7,8
1,7:22.0,,Offensive foul by C. Paul (drawn by A. Iguodala),7,8
1,7:22.0,,Turnover by C. Paul (offensive foul),7,8
1,7:12.0,A. Iguodala makes 3-pt jump shot from 28 ft (assist by S. Curry),,10,8
1,7:04.0,,Offensive foul by C. Capela (drawn by A. Iguodala),10,8
1,7:04.0,,Turnover by C. Capela (offensive foul),10,8
1,7:00.0,Offensive foul by A. Bogut (drawn by C. Paul),,10,8
1,7:00.0,Turnover by A. Bogut (offensive foul),,10,8
1,6:40.0,,Shooting foul by S. Curry (drawn by J. Harden),10,8
1,6:40.0,,Houston full timeout,10,8
1,6:40.0,Q. Cook enters the game for S. Curry,,10,8
1,6:40.0,,J. Harden makes free throw 1 of 3,10,9
1,6:40.0,,J. Harden makes free throw 2 of 3,10,10
1,6:40.0,,J. Harden misses free throw 3 of 3,10,10
1,6:40.0,Defensive rebound by A. Bogut,,10,10
1,6:23.0,Turnover by A. Iguodala (out of bounds lost ball),,10,10
1,6:16.0,,C. Paul makes 2-pt jump shot from 15 ft,10,12
1,5:54.0,K. Thompson makes 2-pt layup from 3 ft,,12,12
1,5:27.0,,E. Gordon misses 2-pt jump shot from 12 ft,12,12
1,5:25.0,Defensive rebound by D. Green,,12,12
1,5:14.0,K. Thompson makes 3-pt jump shot from 27 ft,,15,12
1,4:54.0,,J. Harden misses 3-pt jump shot from 27 ft,15,12
1,4:52.0,Defensive rebound by Q. Cook,,15,12
1,4:42.0,D. Green makes 2-pt layup from 3 ft (assist by A. Bogut),,17,12
1,4:42.0,K. Looney enters the game for A. Bogut,,17,12
1,4:42.0,,N. Hilário enters the game for C. Capela,17,12
1,4:42.0,,A. Rivers enters the game for E. Gordon,17,12
1,4:42.0,,I. Shumpert enters the game for C. Paul,17,12
1,4:22.0,,J. Harden misses 2-pt jump shot from 6 ft,17,12
1,4:20.0,Defensive rebound by D. Green,,17,12
1,4:19.0,Turnover by D. Green (lost ball; steal by P. Tucker),,17,12
1,4:16.0,,J. Harden makes 2-pt layup from 3 ft (assist by P. Tucker),17,14
1,3:59.0,Q. Cook misses 3-pt jump shot from 27 ft,,17,14
1,3:56.0,Offensive rebound by K. Looney,,17,14
1,3:55.0,K. Looney makes 2-pt layup from 6 ft,,19,14
1,3:39.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by I. Shumpert),19,17
1,3:27.0,Q. Cook misses 3-pt jump shot from 25 ft,,19,17
1,3:24.0,,Defensive rebound by J. Harden,19,17
1,3:16.0,,A. Rivers makes 2-pt layup from 3 ft,19,19
1,3:16.0,,Shooting foul by K. Looney (drawn by A. Rivers),19,19
1,3:16.0,A. McKinnie enters the game for A. Iguodala,,19,19
1,3:16.0,,A. Rivers makes free throw 1 of 1,19,20
1,3:11.0,Golden State full timeout,,19,20
1,3:05.0,K. Looney makes 2-pt layup from 4 ft,,21,20
1,2:49.0,,J. Harden makes 3-pt jump shot from 26 ft (assist by N. Hilário),21,23
1,2:39.0,Offensive foul by K. Looney (drawn by J. Harden),,21,23
1,2:39.0,Turnover by K. Looney (offensive foul),,21,23
1,2:30.0,,Turnover by N. Hilário (lost ball; steal by K. Looney),21,23
1,2:26.0,Q. Cook makes 2-pt layup from 3 ft (assist by K. Thompson),,23,23
1,2:00.0,,J. Harden misses 2-pt jump shot from 14 ft (block by K. Thompson),23,23
1,1:58.0,Defensive rebound by D. Green,,23,23
1,1:54.0,K. Thompson misses 3-pt jump shot from 30 ft,,23,23
1,1:51.0,,Defensive rebound by A. Rivers,23,23
1,1:45.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),23,26
1,1:37.0,D. Green misses 2-pt layup from 5 ft,,23,26
1,1:37.0,Offensive rebound by Team,,23,26
1,1:37.0,,Loose ball foul by N. Hilário (drawn by K. Looney),23,26
1,1:37.0,,C. Paul enters the game for J. Harden,23,26
1,1:29.0,K. Thompson misses 2-pt jump shot from 9 ft,,23,26
1,1:29.0,Offensive rebound by Team,,23,26
1,1:22.0,D. Green misses 2-pt layup from 5 ft (block by N. Hilário),,23,26
1,1:21.0,Offensive rebound by D. Green,,23,26
1,1:21.0,Personal foul by P. Tucker (drawn by D. Green),,23,26
1,1:21.0,D. Green misses free throw 1 of 2,,23,26
1,1:21.0,Offensive rebound by Team,,23,26
1,1:21.0,D. Green misses free throw 2 of 2,,23,26
1,1:21.0,,Defensive rebound by I. Shumpert,23,26
1,1:11.0,,A. Rivers misses 2-pt layup from 2 ft,23,26
1,1:10.0,Defensive rebound by Team,,23,26
1,0:51.0,K. Thompson makes 2-pt jump shot from 8 ft (assist by Q. Cook),,25,26
1,0:41.0,,Personal foul by D. Green (drawn by C. Paul),25,26
1,0:41.0,,C. Paul makes free throw 1 of 2,25,27
1,0:41.0,J. Bell enters the game for D. Green,,25,27
1,0:41.0,,J. Harden enters the game for A. Rivers,25,27
1,0:41.0,,C. Paul makes free throw 2 of 2,25,28
1,0:28.0,Q. Cook misses 2-pt jump shot from 14 ft,,25,28
1,0:26.0,Offensive rebound by K. Looney,,25,28
1,0:25.0,K. Looney makes 2-pt dunk at rim,,27,28
1,0:04.0,,J. Harden misses 3-pt jump shot from 27 ft,27,28
1,0:02.0,,Offensive rebound by J. Harden,27,28
1,0:00.0,,J. Harden misses 3-pt jump shot from 27 ft,27,28
1,0:00.0,,Offensive rebound by Team,27,28
2,11:49.0,,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),27,30
2,11:29.0,J. Jerebko makes 2-pt jump shot from 21 ft (assist by K. Looney),,29,30
2,11:14.0,,Personal foul by J. Jerebko (drawn by A. Rivers),29,30
2,11:02.0,,C. Capela misses 2-pt layup from 4 ft,29,30
2,11:01.0,,Offensive rebound by C. Capela,29,30
