QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,INDIANA_ACTION,SAN ANTONIO_SCORE,INDIANA_SCORE
1,11:47.0,D. DeRozan makes 2-pt jump shot from 18 ft,,2,0
1,11:22.0,,T. Young misses 2-pt jump shot from 12 ft,2,0
1,11:19.0,Defensive rebound by L. Aldridge,,2,0
1,11:10.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. DeRozan),,4,0
1,10:50.0,,Personal foul by D. Cunningham (drawn by B. Bogdanović),4,0
1,10:48.0,,Offensive foul by D. Collison (drawn by D. Cunningham),4,0
1,10:48.0,,Turnover by D. Collison (offensive foul),4,0
1,10:36.0,L. Aldridge makes 2-pt layup at rim,,6,0
1,10:24.0,,D. Collison misses 2-pt jump shot from 21 ft,6,0
1,10:21.0,Defensive rebound by L. Aldridge,,6,0
1,10:13.0,L. Aldridge misses 2-pt jump shot from 17 ft,,6,0
1,10:10.0,,Defensive rebound by D. Sabonis,6,0
1,10:01.0,,Shooting foul by D. Cunningham (drawn by B. Bogdanović),6,0
1,10:01.0,,B. Bogdanović misses free throw 1 of 2,6,0
1,10:01.0,,Offensive rebound by Team,6,0
1,10:01.0,,B. Bogdanović makes free throw 2 of 2,6,1
1,10:01.0,D. Bertāns enters the game for D. Cunningham,,6,1
1,9:46.0,Turnover by D. DeRozan (lost ball; steal by T. Evans),,6,1
1,9:29.0,,T. Evans misses 2-pt jump shot from 24 ft,6,1
1,9:25.0,Defensive rebound by B. Forbes,,6,1
1,9:09.0,R. Gay makes 3-pt jump shot from 27 ft (assist by L. Aldridge),,9,1
1,8:53.0,,B. Bogdanović misses 2-pt layup from 1 ft,9,1
1,8:51.0,Defensive rebound by D. Bertāns,,9,1
1,8:46.0,Turnover by B. Forbes (lost ball; steal by D. Collison),,9,1
1,8:42.0,,D. Collison makes 2-pt layup from 2 ft (assist by T. Young),9,3
1,8:23.0,D. Bertāns misses 3-pt jump shot from 28 ft,,9,3
1,8:23.0,,Defensive rebound by T. Evans,9,3
1,8:06.0,,T. Evans misses 3-pt jump shot from 26 ft,9,3
1,8:03.0,Defensive rebound by R. Gay,,9,3
1,7:54.0,D. DeRozan makes 2-pt layup from 1 ft,,11,3
1,7:36.0,,Turnover by D. Sabonis (lost ball),11,3
1,7:27.0,Personal foul by T. Evans (drawn by D. DeRozan),,11,3
1,7:12.0,D. Bertāns misses 2-pt jump shot from 19 ft,,11,3
1,7:09.0,Offensive rebound by L. Aldridge,,11,3
1,7:04.0,L. Aldridge makes 2-pt layup from 6 ft (assist by B. Forbes),,13,3
1,7:04.0,,Indiana full timeout,13,3
1,6:55.0,,D. Sabonis makes 2-pt layup at rim (assist by B. Bogdanović),13,5
1,6:39.0,L. Aldridge misses 2-pt jump shot from 14 ft,,13,5
1,6:36.0,,Defensive rebound by D. Sabonis,13,5
1,6:28.0,,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by D. Collison),13,7
1,6:15.0,D. Bertāns makes 2-pt jump shot from 8 ft (assist by D. DeRozan),,15,7
1,6:05.0,,D. Sabonis misses 2-pt jump shot from 18 ft,15,7
1,6:03.0,Defensive rebound by R. Gay,,15,7
1,5:55.0,R. Gay misses 2-pt dunk at rim,,15,7
1,5:54.0,Offensive rebound by Team,,15,7
1,5:54.0,P. Mills enters the game for B. Forbes,,15,7
1,5:44.0,Turnover by D. Bertāns (bad pass; steal by B. Bogdanović),,15,7
1,5:36.0,,Personal foul by D. Bertāns (drawn by B. Bogdanović),15,7
1,5:36.0,M. Belinelli enters the game for D. DeRozan,,15,7
1,5:30.0,,D. Sabonis misses 2-pt jump shot from 20 ft,15,7
1,5:27.0,Defensive rebound by R. Gay,,15,7
1,5:18.0,L. Aldridge makes 2-pt jump shot from 6 ft (assist by R. Gay),,17,7
1,5:01.0,,Turnover by D. Collison (bad pass; steal by D. Bertāns),17,7
1,4:58.0,Shooting foul by T. Evans (drawn by D. Bertāns),,17,7
1,4:58.0,D. Bertāns makes free throw 1 of 2,,18,7
1,4:58.0,D. DeRozan enters the game for R. Gay,,18,7
