QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DENVER_ACTION,SAN ANTONIO_SCORE,DENVER_SCORE
1,11:38.0,,N. Jokić makes 2-pt layup from 1 ft,0,2
1,11:13.0,D. White misses 3-pt jump shot from 25 ft,,0,2
1,11:09.0,Offensive rebound by D. DeRozan,,0,2
1,11:02.0,D. DeRozan misses 2-pt jump shot from 14 ft,,0,2
1,10:59.0,,Defensive rebound by J. Murray,0,2
1,10:46.0,,Offensive foul by P. Millsap (drawn by D. White),0,2
1,10:46.0,,Turnover by P. Millsap (offensive foul),0,2
1,10:32.0,L. Aldridge makes 2-pt jump shot from 10 ft (assist by D. DeRozan),,2,2
1,10:13.0,,N. Jokić makes 2-pt layup from 1 ft (assist by J. Murray),2,4
1,9:58.0,L. Aldridge misses 2-pt jump shot from 19 ft,,2,4
1,9:56.0,,Defensive rebound by N. Jokić,2,4
1,9:46.0,,G. Harris makes 2-pt layup from 2 ft,2,6
1,9:39.0,B. Forbes misses 2-pt layup from 2 ft,,2,6
1,9:37.0,,Defensive rebound by N. Jokić,2,6
1,9:33.0,,Personal foul by B. Forbes (drawn by N. Jokić),2,6
1,9:25.0,,N. Jokić misses 3-pt jump shot from 25 ft,2,6
1,9:22.0,Defensive rebound by D. White,,2,6
1,9:10.0,D. DeRozan misses 2-pt jump shot from 7 ft,,2,6
1,9:08.0,,Defensive rebound by P. Millsap,2,6
1,9:04.0,,Personal foul by J. Poeltl (drawn by P. Millsap),2,6
1,9:00.0,,J. Murray misses 2-pt jump shot from 13 ft,2,6
1,8:57.0,Defensive rebound by J. Poeltl,,2,6
1,8:52.0,Personal foul by J. Murray (drawn by D. White),,2,6
1,8:44.0,D. DeRozan misses 2-pt jump shot from 13 ft,,2,6
1,8:38.0,Offensive rebound by J. Poeltl,,2,6
1,8:38.0,J. Poeltl misses 2-pt layup at rim,,2,6
1,8:37.0,,Defensive rebound by G. Harris,2,6
1,8:21.0,,P. Millsap misses 2-pt layup from 2 ft (block by L. Aldridge),2,6
1,8:21.0,,Offensive rebound by Team,2,6
1,8:16.0,,N. Jokić makes 2-pt jump shot from 14 ft (assist by J. Murray),2,8
1,7:51.0,D. DeRozan misses 2-pt jump shot from 17 ft,,2,8
1,7:47.0,,Defensive rebound by J. Murray,2,8
1,7:41.0,,J. Murray misses 3-pt jump shot from 24 ft,2,8
1,7:38.0,,Offensive rebound by N. Jokić,2,8
1,7:37.0,,Shooting foul by J. Poeltl (drawn by J. Murray),2,8
1,7:37.0,,J. Murray makes free throw 1 of 2,2,9
1,7:37.0,R. Gay enters the game for J. Poeltl,,2,9
1,7:37.0,,J. Murray makes free throw 2 of 2,2,10
1,7:23.0,L. Aldridge misses 2-pt jump shot from 13 ft,,2,10
1,7:19.0,,Defensive rebound by T. Craig,2,10
1,7:09.0,,Turnover by T. Craig (out of bounds lost ball),2,10
1,7:04.0,San Antonio full timeout,,2,10
1,6:58.0,B. Forbes misses 2-pt jump shot from 23 ft,,2,10
1,6:55.0,,Defensive rebound by T. Craig,2,10
1,6:43.0,,G. Harris misses 3-pt jump shot from 25 ft,2,10
1,6:38.0,Defensive rebound by B. Forbes,,2,10
1,6:22.0,D. White misses 2-pt jump shot from 12 ft,,2,10
1,6:19.0,,Defensive rebound by N. Jokić,2,10
1,6:14.0,,Shooting foul by D. White (drawn by J. Murray),2,10
1,6:14.0,,J. Murray makes free throw 1 of 2,2,11
1,6:14.0,P. Mills enters the game for D. White,,2,11
1,6:14.0,,J. Murray makes free throw 2 of 2,2,12
1,5:56.0,P. Mills makes 2-pt layup from 2 ft (assist by D. DeRozan),,4,12
1,5:40.0,,J. Murray misses 2-pt jump shot from 9 ft,4,12
1,5:37.0,Defensive rebound by L. Aldridge,,4,12
1,5:32.0,R. Gay misses 3-pt jump shot from 25 ft,,4,12
1,5:28.0,,Defensive rebound by T. Craig,4,12
1,5:21.0,,T. Craig makes 3-pt jump shot from 24 ft (assist by N. Jokić),4,15
1,4:54.0,P. Mills misses 2-pt layup from 3 ft (block by G. Harris),,4,15
1,4:54.0,Offensive rebound by Team,,4,15
1,4:54.0,M. Belinelli enters the game for B. Forbes,,4,15
1,4:50.0,L. Aldridge misses 2-pt jump shot from 8 ft,,4,15
1,4:48.0,,Defensive rebound by N. Jokić,4,15
1,4:36.0,,N. Jokić misses 2-pt jump shot from 9 ft,4,15
1,4:31.0,Defensive rebound by D. DeRozan,,4,15
1,4:25.0,M. Belinelli misses 2-pt jump shot from 20 ft,,4,15
1,4:23.0,,Defensive rebound by T. Craig,4,15
1,4:17.0,,Turnover by T. Craig (bad pass; steal by D. DeRozan),4,15
1,4:17.0,Personal foul by T. Craig (drawn by D. DeRozan),,4,15
1,4:05.0,Turnover by D. DeRozan (bad pass; steal by N. Jokić),,4,15
1,4:00.0,,P. Millsap misses 3-pt jump shot from 23 ft,4,15
1,3:57.0,,Offensive rebound by N. Jokić,4,15
1,3:57.0,,Personal foul by L. Aldridge (drawn by N. Jokić),4,15
1,3:57.0,,N. Jokić makes free throw 1 of 2,4,16
1,3:57.0,,M. Beasley enters the game for T. Craig,4,16
1,3:57.0,,N. Jokić misses free throw 2 of 2,4,16
1,3:54.0,,Offensive rebound by J. Murray,4,16
1,3:52.0,,P. Millsap misses 3-pt jump shot from 26 ft,4,16
1,3:49.0,Defensive rebound by R. Gay,,4,16
1,3:44.0,D. DeRozan misses 2-pt layup from 7 ft (block by N. Jokić),,4,16
1,3:41.0,,Defensive rebound by P. Millsap,4,16
1,3:37.0,,Turnover by J. Murray (bad pass; steal by D. DeRozan),4,16
1,3:37.0,Turnover by D. DeRozan (step out of bounds),,4,16
1,3:37.0,,Offensive foul by G. Harris (drawn by M. Belinelli),4,16
1,3:37.0,,Turnover by G. Harris (offensive foul),4,16
1,3:19.0,P. Mills misses 3-pt jump shot from 28 ft,,4,16
1,3:14.0,,Defensive rebound by M. Beasley,4,16
1,3:11.0,,Shooting foul by L. Aldridge (drawn by J. Murray),4,16
1,3:11.0,,J. Murray misses free throw 1 of 2,4,16
1,3:11.0,,Offensive rebound by Team,4,16
1,3:11.0,J. Poeltl enters the game for L. Aldridge,,4,16
1,3:11.0,,J. Murray makes free throw 2 of 2,4,17
1,2:49.0,R. Gay makes 2-pt layup from 3 ft,,6,17
1,2:29.0,,N. Jokić misses 2-pt layup from 4 ft,6,17
1,2:26.0,,Offensive rebound by N. Jokić,6,17
1,2:26.0,,N. Jokić misses 2-pt layup from 1 ft,6,17
1,2:25.0,,Offensive rebound by N. Jokić,6,17
1,2:25.0,,N. Jokić makes 2-pt layup from 1 ft,6,19
1,2:14.0,R. Gay makes 2-pt layup from 2 ft (assist by P. Mills),,8,19
1,1:56.0,,P. Millsap misses 2-pt dunk from 2 ft (block by R. Gay),8,19
1,1:53.0,,Offensive rebound by P. Millsap,8,19
