QUARTER,TIME_REMAINING,DALLAS_ACTION,SAN ANTONIO_ACTION,DALLAS_SCORE,SAN ANTONIO_SCORE
1,11:36.0,,L. Aldridge makes 2-pt jump shot from 16 ft,0,2
1,11:22.0,D. Nowitzki misses 2-pt jump shot from 11 ft,,0,2
1,11:22.0,Offensive rebound by D. Powell,,0,2
1,11:15.0,J. Jackson makes 3-pt jump shot from 27 ft (assist by D. Powell),,3,2
1,11:07.0,,D. DeRozan misses 2-pt jump shot from 10 ft (block by D. Harris),3,2
1,11:07.0,,Offensive rebound by Team,3,2
1,11:00.0,,J. Poeltl misses 2-pt jump shot from 16 ft,3,2
1,10:57.0,,Offensive rebound by J. Poeltl,3,2
1,10:54.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by J. Poeltl),3,4
1,10:34.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,3,4
1,10:34.0,,Defensive rebound by D. White,3,4
1,10:17.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by J. Poeltl),3,7
1,10:03.0,J. Jackson makes 2-pt layup from 2 ft (assist by J. Brunson),,5,7
1,9:45.0,,B. Forbes misses 3-pt jump shot from 28 ft,5,7
1,9:45.0,Defensive rebound by D. Nowitzki,,5,7
1,9:29.0,D. Harris misses 3-pt jump shot from 27 ft,,5,7
1,9:25.0,,Defensive rebound by D. White,5,7
1,9:10.0,,L. Aldridge misses 2-pt jump shot from 14 ft,5,7
1,9:07.0,Defensive rebound by D. Nowitzki,,5,7
1,8:53.0,D. Nowitzki makes 2-pt jump shot from 15 ft (assist by D. Harris),,7,7
1,8:29.0,,J. Poeltl makes 2-pt dunk from 4 ft (assist by D. White),7,9
1,8:09.0,Turnover by J. Brunson (bad pass; steal by B. Forbes),,7,9
1,8:06.0,,Personal take foul by D. Nowitzki (drawn by D. DeRozan),7,9
1,8:00.0,,D. DeRozan makes 2-pt jump shot from 14 ft (assist by D. White),7,11
1,7:42.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,7,11
1,7:40.0,,Defensive rebound by L. Aldridge,7,11
1,7:33.0,,Offensive foul by L. Aldridge (drawn by D. Harris),7,11
1,7:33.0,,Turnover by L. Aldridge (offensive foul),7,11
1,7:17.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by J. Brunson),,9,11
1,7:03.0,,D. DeRozan misses 2-pt jump shot from 12 ft,9,11
1,7:00.0,Defensive rebound by D. Nowitzki,,9,11
1,6:48.0,Turnover by D. Harris (bad pass; steal by L. Aldridge),,9,11
1,6:41.0,,B. Forbes misses 3-pt jump shot from 25 ft,9,11
1,6:41.0,,Offensive rebound by L. Aldridge,9,11
1,6:40.0,,Shooting foul by J. Jackson (drawn by L. Aldridge),9,11
1,6:40.0,,San Antonio full timeout,9,11
1,6:40.0,D. Finney-Smith enters the game for D. Nowitzki,,9,11
1,6:40.0,S. Mejri enters the game for D. Powell,,9,11
1,6:40.0,,L. Aldridge makes free throw 1 of 2,9,12
1,6:40.0,,R. Gay enters the game for J. Poeltl,9,12
1,6:40.0,,L. Aldridge makes free throw 2 of 2,9,13
1,6:27.0,J. Jackson misses 3-pt jump shot from 26 ft,,9,13
1,6:25.0,,Defensive rebound by Team,9,13
1,6:09.0,,L. Aldridge makes 2-pt hook shot from 6 ft,9,15
1,5:57.0,S. Mejri misses 3-pt jump shot from 27 ft,,9,15
1,5:54.0,,Defensive rebound by L. Aldridge,9,15
1,5:46.0,,D. White makes 2-pt layup from 5 ft (assist by D. DeRozan),9,17
1,5:31.0,D. Harris makes 2-pt layup from 5 ft (assist by J. Brunson),,11,17
1,5:18.0,,D. DeRozan makes 2-pt jump shot from 8 ft,11,19
1,4:58.0,Turnover by J. Jackson (bad pass; steal by D. White),,11,19
1,4:57.0,,Personal take foul by D. Finney-Smith (drawn by D. White),11,19
1,4:57.0,R. Broekhoff enters the game for J. Brunson,,11,19
1,4:57.0,T. Burke enters the game for D. Harris,,11,19
1,4:57.0,C. Lee enters the game for J. Jackson,,11,19
1,4:57.0,,M. Belinelli enters the game for B. Forbes,11,19
1,4:57.0,,P. Mills enters the game for D. White,11,19
1,4:44.0,,L. Aldridge misses 2-pt jump shot from 15 ft,11,19
1,4:40.0,Defensive rebound by S. Mejri,,11,19
1,4:34.0,D. Finney-Smith misses 3-pt jump shot from 27 ft,,11,19
1,4:32.0,,Defensive rebound by M. Belinelli,11,19
1,4:28.0,,Turnover by D. DeRozan (out of bounds lost ball),11,19
1,4:06.0,C. Lee makes 2-pt jump shot from 19 ft,,13,19
1,3:49.0,,D. DeRozan makes 2-pt layup from 6 ft,13,21
1,3:24.0,S. Mejri misses 3-pt jump shot from 26 ft,,13,21
1,3:21.0,,Defensive rebound by D. DeRozan,13,21
1,3:16.0,,L. Aldridge makes 2-pt hook shot from 5 ft (assist by D. DeRozan),13,23
1,3:16.0,Dallas full timeout,,13,23
1,3:16.0,,D. Bertāns enters the game for D. DeRozan,13,23
1,3:02.0,R. Broekhoff misses 3-pt jump shot from 26 ft,,13,23
1,2:57.0,,Defensive rebound by R. Gay,13,23
1,2:51.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by M. Belinelli),13,25
1,2:38.0,T. Burke misses 3-pt jump shot from 25 ft,,13,25
1,2:35.0,,Defensive rebound by R. Gay,13,25
1,2:30.0,,R. Gay misses 2-pt layup from 6 ft (block by S. Mejri),13,25
1,2:23.0,,Offensive rebound by L. Aldridge,13,25
1,2:22.0,,L. Aldridge makes 2-pt layup from 5 ft,13,27
1,2:06.0,T. Burke misses 2-pt jump shot from 11 ft,,13,27
1,2:04.0,,Defensive rebound by L. Aldridge,13,27
1,1:56.0,,D. Bertāns misses 3-pt jump shot from 28 ft,13,27
1,1:52.0,Defensive rebound by C. Lee,,13,27
1,1:44.0,S. Mejri misses 3-pt jump shot from 26 ft,,13,27
1,1:41.0,,Defensive rebound by R. Gay,13,27
1,1:40.0,,Personal take foul by R. Broekhoff (drawn by R. Gay),13,27
1,1:40.0,D. Nowitzki enters the game for D. Finney-Smith,,13,27
1,1:40.0,D. Powell enters the game for S. Mejri,,13,27
1,1:32.0,,Turnover by L. Aldridge (lost ball; steal by D. Nowitzki),13,27
1,1:26.0,C. Lee makes 3-pt jump shot from 24 ft (assist by D. Powell),,16,27
1,1:11.0,,Shooting foul by C. Lee (drawn by R. Gay),16,27
1,1:11.0,,Offensive rebound by Team,16,27
1,1:11.0,,R. Gay misses free throw 1 of 2,16,27
1,1:11.0,,J. Poeltl enters the game for L. Aldridge,16,27
1,1:11.0,,R. Gay makes free throw 2 of 2,16,28
1,0:57.0,C. Lee misses 2-pt jump shot from 13 ft,,16,28
1,0:55.0,,Defensive rebound by R. Gay,16,28
1,0:48.0,,M. Belinelli misses 2-pt jump shot from 18 ft,16,28
1,0:45.0,Defensive rebound by D. Nowitzki,,16,28
1,0:33.0,T. Burke misses 3-pt jump shot from 26 ft,,16,28
1,0:30.0,,Defensive rebound by M. Belinelli,16,28
1,0:14.0,,R. Gay makes 2-pt jump shot from 18 ft,16,30
1,0:01.0,Personal take foul by P. Mills (drawn by D. Powell),,16,30
1,0:00.0,C. Lee misses 3-pt jump shot from 26 ft,,16,30
1,0:00.0,Offensive rebound by Team,,16,30
2,11:41.0,Personal foul by M. Belinelli (drawn by J. Brunson),,16,30
2,11:35.0,J. Brunson misses 2-pt jump shot from 9 ft (block by J. Poeltl),,16,30
2,11:31.0,,Defensive rebound by D. Bertāns,16,30
2,11:20.0,,M. Belinelli misses 3-pt jump shot from 26 ft,16,30
2,11:17.0,Defensive rebound by J. Brunson,,16,30
2,11:10.0,D. Harris makes 2-pt layup from 3 ft (assist by J. Brunson),,18,30
2,10:56.0,,R. Gay misses 2-pt jump shot from 9 ft,18,30
2,10:53.0,,Offensive rebound by Team,18,30
2,10:53.0,,D. DeRozan enters the game for R. Gay,18,30
2,10:51.0,,M. Belinelli misses 2-pt jump shot from 13 ft,18,30
2,10:48.0,Defensive rebound by D. Nowitzki,,18,30
2,10:38.0,D. Harris misses 2-pt layup from 4 ft,,18,30
2,10:35.0,,Defensive rebound by D. Bertāns,18,30
2,10:24.0,,J. Poeltl makes 2-pt layup from 3 ft,18,32
2,10:12.0,Personal foul by P. Mills (drawn by J. Brunson),,18,32
2,10:12.0,,B. Forbes enters the game for M. Belinelli,18,32
2,10:12.0,,D. White enters the game for P. Mills,18,32
2,10:05.0,J. Brunson misses 3-pt jump shot from 26 ft,,18,32
2,10:01.0,,Defensive rebound by B. Forbes,18,32
2,9:55.0,,D. White makes 3-pt jump shot from 27 ft (assist by B. Forbes),18,35
2,9:31.0,J. Brunson makes 2-pt jump shot from 10 ft (assist by D. Harris),,20,35
2,9:22.0,,D. DeRozan misses 2-pt layup from 6 ft (block by D. Harris),20,35
