QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,GOLDEN STATE_ACTION,CHARLOTTE_SCORE,GOLDEN STATE_SCORE
1,11:47.0,,K. Thompson makes 3-pt jump shot from 28 ft (assist by K. Durant),0,3
1,11:29.0,K. Walker makes 2-pt jump shot from 19 ft (assist by M. Williams),,2,3
1,11:08.0,,K. Thompson makes 2-pt jump shot from 13 ft (assist by D. Cousins),2,5
1,10:48.0,Turnover by M. Bridges (bad pass; steal by D. Cousins),,2,5
1,10:43.0,,Turnover by D. Cousins (lost ball; steal by K. Walker),2,5
1,10:37.0,D. Bacon makes 2-pt jump shot from 8 ft (assist by K. Walker),,4,5
1,10:20.0,,K. Thompson misses 3-pt jump shot from 28 ft,4,5
1,10:18.0,Defensive rebound by B. Biyombo,,4,5
1,10:09.0,K. Walker misses 2-pt layup from 4 ft (block by D. Cousins),,4,5
1,10:08.0,Offensive rebound by Team,,4,5
1,10:00.0,M. Bridges makes 2-pt dunk from 1 ft (assist by K. Walker),,6,5
1,9:50.0,,Turnover by D. Green (bad pass),6,5
1,9:34.0,Personal foul by D. Cousins (drawn by B. Biyombo),,6,5
1,9:24.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by M. Williams),,9,5
1,9:17.0,,S. Curry misses 2-pt layup from 2 ft (block by B. Biyombo),9,5
1,9:16.0,Defensive rebound by M. Williams,,9,5
1,9:00.0,K. Walker misses 3-pt jump shot from 29 ft,,9,5
1,8:58.0,Offensive rebound by M. Williams,,9,5
1,8:48.0,D. Bacon misses 3-pt jump shot from 27 ft,,9,5
1,8:46.0,Offensive rebound by B. Biyombo,,9,5
1,8:46.0,B. Biyombo misses 2-pt layup from 1 ft,,9,5
1,8:44.0,,Defensive rebound by D. Green,9,5
1,8:36.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),9,7
1,8:20.0,M. Williams misses 3-pt jump shot from 25 ft,,9,7
1,8:18.0,,Defensive rebound by D. Cousins,9,7
1,8:12.0,,S. Curry misses 3-pt jump shot from 30 ft,9,7
1,8:10.0,Defensive rebound by M. Bridges,,9,7
1,7:52.0,M. Williams misses 2-pt jump shot from 6 ft,,9,7
1,7:50.0,,Defensive rebound by K. Thompson,9,7
1,7:40.0,,K. Thompson makes 2-pt jump shot from 20 ft (assist by K. Durant),9,9
1,7:26.0,K. Walker misses 3-pt jump shot from 28 ft,,9,9
1,7:24.0,,Defensive rebound by S. Curry,9,9
1,7:15.0,,Turnover by S. Curry (bad pass; steal by K. Walker),9,9
1,7:10.0,K. Walker makes 2-pt layup from 3 ft,,11,9
1,6:56.0,,S. Curry makes 2-pt layup from 3 ft,11,11
1,6:47.0,Shooting foul by D. Cousins (drawn by D. Bacon),,11,11
1,6:47.0,,Golden State full timeout,11,11
1,6:47.0,W. Hernangómez enters the game for B. Biyombo,,11,11
1,6:47.0,J. Lamb enters the game for M. Williams,,11,11
1,6:47.0,,K. Looney enters the game for D. Cousins,11,11
1,6:47.0,D. Bacon makes free throw 1 of 2,,12,11
1,6:47.0,D. Bacon makes free throw 2 of 2,,13,11
1,6:37.0,,Turnover by D. Green (bad pass),13,11
1,6:24.0,K. Walker makes 2-pt jump shot from 17 ft (assist by W. Hernangómez),,15,11
1,6:12.0,,S. Curry makes 2-pt jump shot from 21 ft,15,13
1,6:03.0,Shooting foul by K. Looney (drawn by W. Hernangómez),,15,13
1,6:03.0,W. Hernangómez makes free throw 1 of 2,,16,13
1,6:03.0,W. Hernangómez makes free throw 2 of 2,,17,13
1,5:47.0,,K. Looney misses 2-pt layup from 2 ft (block by J. Lamb),17,13
1,5:46.0,,Offensive rebound by Team,17,13
1,5:44.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Curry),17,16
1,5:27.0,J. Lamb misses 3-pt jump shot from 26 ft,,17,16
1,5:25.0,,Defensive rebound by S. Curry,17,16
1,5:16.0,,K. Looney makes 2-pt dunk from 2 ft (assist by D. Green),17,18
1,4:58.0,D. Bacon misses 2-pt jump shot from 12 ft (block by D. Green),,17,18
1,4:56.0,,Defensive rebound by K. Looney,17,18
1,4:51.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),17,21
1,4:50.0,Charlotte full timeout,,17,21
1,4:50.0,N. Batum enters the game for D. Bacon,,17,21
1,4:50.0,,A. Iguodala enters the game for K. Thompson,17,21
1,4:30.0,W. Hernangómez misses 2-pt layup from 3 ft,,17,21
1,4:29.0,,Defensive rebound by Team,17,21
1,4:17.0,,K. Durant makes 2-pt jump shot from 11 ft (assist by D. Green),17,23
1,3:56.0,W. Hernangómez makes 2-pt layup from 4 ft (assist by J. Lamb),,19,23
1,3:56.0,Shooting foul by K. Looney (drawn by W. Hernangómez),,19,23
1,3:56.0,W. Hernangómez makes free throw 1 of 1,,20,23
1,3:38.0,,S. Curry misses 2-pt layup from 7 ft,20,23
1,3:34.0,Defensive rebound by N. Batum,,20,23
1,3:31.0,M. Bridges misses 2-pt layup from 3 ft,,20,23
1,3:28.0,,Defensive rebound by A. Iguodala,20,23
1,3:21.0,,S. Curry misses 3-pt jump shot from 28 ft,20,23
1,3:19.0,Defensive rebound by N. Batum,,20,23
1,3:16.0,Turnover by K. Walker (bad pass; steal by S. Curry),,20,23
1,3:12.0,,S. Curry makes 2-pt layup from 5 ft,20,25
1,3:00.0,Turnover by J. Lamb (lost ball; steal by S. Curry),,20,25
1,2:57.0,,Personal foul by M. Bridges (drawn by A. Iguodala),20,25
1,2:57.0,,A. McKinnie enters the game for K. Durant,20,25
1,2:51.0,,K. Looney misses 2-pt dunk from 2 ft (block by N. Batum),20,25
1,2:50.0,,Offensive rebound by A. Iguodala,20,25
1,2:48.0,,A. Iguodala makes 2-pt layup from 1 ft,20,27
1,2:48.0,,Shooting foul by J. Lamb (drawn by A. Iguodala),20,27
1,2:48.0,D. Graham enters the game for M. Bridges,,20,27
1,2:48.0,F. Kaminsky enters the game for K. Walker,,20,27
1,2:48.0,,A. Iguodala misses free throw 1 of 1,20,27
1,2:47.0,Defensive rebound by N. Batum,,20,27
1,2:28.0,W. Hernangómez makes 2-pt hook shot from 8 ft,,22,27
1,2:28.0,,J. Jerebko enters the game for K. Looney,22,27
1,2:07.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by A. Iguodala),22,30
1,1:55.0,W. Hernangómez makes 2-pt dunk from 1 ft (assist by N. Batum),,24,30
1,1:37.0,,A. McKinnie makes 3-pt jump shot from 27 ft (assist by J. Jerebko),24,33
1,1:23.0,D. Graham misses 3-pt jump shot from 26 ft (block by S. Curry),,24,33
1,1:21.0,Offensive rebound by W. Hernangómez,,24,33
1,1:21.0,Shooting foul by A. McKinnie (drawn by W. Hernangómez),,24,33
1,1:21.0,W. Hernangómez misses free throw 1 of 2,,24,33
1,1:21.0,Offensive rebound by Team,,24,33
1,1:21.0,W. Hernangómez makes free throw 2 of 2,,25,33
1,1:01.0,,D. Green makes 2-pt layup from 2 ft,25,35
1,0:43.0,Shooting foul by A. McKinnie (drawn by W. Hernangómez),,25,35
1,0:43.0,W. Hernangómez makes free throw 1 of 2,,26,35
