QUARTER,TIME_REMAINING,DALLAS_ACTION,DENVER_ACTION,DALLAS_SCORE,DENVER_SCORE
1,11:41.0,H. Barnes makes 3-pt jump shot from 22 ft (assist by D. Jordan),,3,0
1,11:26.0,,Turnover by J. Murray (bad pass; steal by D. Jordan),3,0
1,11:11.0,W. Matthews misses 2-pt layup from 2 ft (block by J. Hernangómez),,3,0
1,11:08.0,,Defensive rebound by M. Plumlee,3,0
1,10:56.0,,M. Plumlee makes 2-pt layup from 4 ft (assist by T. Craig),3,2
1,10:41.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by L. Dončić),,6,2
1,10:20.0,,J. Murray misses 2-pt jump shot from 14 ft,6,2
1,10:17.0,Defensive rebound by D. Jordan,,6,2
1,10:05.0,J. Brunson misses 2-pt layup from 3 ft,,6,2
1,10:04.0,,Defensive rebound by N. Jokić,6,2
1,9:57.0,,Offensive foul by N. Jokić (drawn by J. Brunson),6,2
1,9:57.0,,Turnover by N. Jokić (offensive foul),6,2
1,9:34.0,D. Jordan misses 2-pt jump shot from 14 ft,,6,2
1,9:31.0,,Defensive rebound by J. Hernangómez,6,2
1,9:24.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by J. Murray),6,5
1,9:10.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),,8,5
1,8:52.0,,Personal foul by D. Jordan (drawn by N. Jokić),8,5
1,8:41.0,,N. Jokić makes 2-pt jump shot from 11 ft (assist by J. Murray),8,7
1,8:27.0,H. Barnes makes 2-pt jump shot from 16 ft (assist by L. Dončić),,10,7
1,8:14.0,,J. Murray makes 2-pt dunk from 2 ft,10,9
1,8:14.0,,Technical foul by J. Murray,10,9
1,8:14.0,H. Barnes makes technical free throw,,11,9
1,8:04.0,J. Brunson misses 3-pt jump shot from 22 ft,,11,9
1,8:01.0,,Defensive rebound by M. Plumlee,11,9
1,7:59.0,,J. Murray misses 3-pt jump shot from 25 ft,11,9
1,7:56.0,,Offensive rebound by M. Plumlee,11,9
1,7:43.0,,N. Jokić misses 2-pt jump shot from 4 ft,11,9
1,7:40.0,,Offensive rebound by N. Jokić,11,9
1,7:40.0,,N. Jokić makes 2-pt layup from 1 ft,11,11
1,7:33.0,L. Dončić misses 3-pt jump shot from 26 ft,,11,11
1,7:30.0,,Defensive rebound by N. Jokić,11,11
1,7:22.0,,T. Craig misses 3-pt jump shot from 24 ft,11,11
1,7:20.0,,Offensive rebound by J. Hernangómez,11,11
1,7:15.0,,N. Jokić misses 3-pt jump shot from 25 ft,11,11
1,7:11.0,Defensive rebound by L. Dončić,,11,11
1,7:06.0,L. Dončić misses 2-pt jump shot from 7 ft,,11,11
1,7:05.0,,Defensive rebound by N. Jokić,11,11
1,7:01.0,,T. Craig makes 2-pt dunk at rim (assist by J. Murray),11,13
1,6:59.0,Dallas full timeout,,11,13
1,6:46.0,Personal foul by T. Craig (drawn by L. Dončić),,11,13
1,6:46.0,,Technical foul by R. Carlisle,11,13
1,6:46.0,,J. Murray misses technical free throw,11,13
1,6:46.0,Defensive rebound by Team,,11,13
1,6:39.0,L. Dončić makes 3-pt jump shot from 26 ft,,14,13
1,6:21.0,,Personal foul by H. Barnes (drawn by N. Jokić),14,13
1,6:16.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,14,13
1,6:12.0,Defensive rebound by D. Jordan,,14,13
1,6:02.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by L. Dončić),,17,13
1,5:47.0,,N. Jokić misses 3-pt jump shot from 25 ft,17,13
1,5:45.0,Defensive rebound by L. Dončić,,17,13
1,5:40.0,L. Dončić makes 3-pt jump shot from 24 ft,,20,13
1,5:36.0,,Denver full timeout,20,13
1,5:36.0,J. Barea enters the game for J. Brunson,,20,13
1,5:36.0,,M. Morris enters the game for J. Murray,20,13
1,5:22.0,,Shooting foul by D. Jordan (drawn by N. Jokić),20,13
1,5:22.0,,N. Jokić makes free throw 1 of 2,20,14
1,5:22.0,D. Powell enters the game for D. Jordan,,20,14
1,5:22.0,,M. Beasley enters the game for M. Plumlee,20,14
1,5:22.0,,N. Jokić makes free throw 2 of 2,20,15
1,5:08.0,J. Barea makes 2-pt jump shot from 10 ft,,22,15
1,4:52.0,,N. Jokić makes 2-pt layup from 2 ft (assist by M. Beasley),22,17
1,4:42.0,D. Powell makes 2-pt dunk at rim (assist by L. Dončić),,24,17
1,4:32.0,,Personal foul by D. Powell (drawn by N. Jokić),24,17
1,4:22.0,,J. Hernangómez misses 3-pt jump shot from 26 ft,24,17
1,4:19.0,Defensive rebound by W. Matthews,,24,17
1,4:10.0,W. Matthews misses 2-pt hook shot from 3 ft,,24,17
1,4:09.0,Offensive rebound by W. Matthews,,24,17
1,4:09.0,W. Matthews misses 2-pt layup from 1 ft,,24,17
1,4:09.0,,Defensive rebound by Team,24,17
1,3:54.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by N. Jokić),24,20
1,3:45.0,Personal foul by M. Morris (drawn by J. Barea),,24,20
1,3:45.0,D. Finney-Smith enters the game for H. Barnes,,24,20
1,3:45.0,D. Harris enters the game for L. Dončić,,24,20
1,3:45.0,D. Nowitzki enters the game for W. Matthews,,24,20
1,3:39.0,Turnover by J. Barea (bad pass; steal by N. Jokić),,24,20
