QUARTER,TIME_REMAINING,HOUSTON_ACTION,DETROIT_ACTION,HOUSTON_SCORE,DETROIT_SCORE
1,11:46.0,,A. Drummond makes 2-pt layup from 1 ft (assist by R. Bullock),0,2
1,11:29.0,Turnover by P. Tucker (step out of bounds),,0,2
1,11:11.0,,A. Drummond misses 2-pt hook shot from 4 ft,0,2
1,11:09.0,Defensive rebound by C. Capela,,0,2
1,11:00.0,C. Paul makes 2-pt layup from 5 ft,,2,2
1,10:48.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),2,5
1,10:34.0,Turnover by J. Harden (bad pass; steal by A. Drummond),,2,5
1,10:31.0,,Turnover by G. Robinson (out of bounds lost ball),2,5
1,10:23.0,C. Paul misses 2-pt jump shot from 15 ft,,2,5
1,10:19.0,,Defensive rebound by B. Griffin,2,5
1,10:04.0,,G. Robinson makes 2-pt layup from 5 ft (assist by R. Jackson),2,7
1,9:46.0,J. Harden misses 2-pt jump shot from 11 ft,,2,7
1,9:43.0,,Defensive rebound by R. Bullock,2,7
1,9:39.0,,R. Jackson misses 2-pt layup from 5 ft (block by C. Capela),2,7
1,9:39.0,,Offensive rebound by A. Drummond,2,7
1,9:35.0,,A. Drummond misses 2-pt layup from 1 ft,2,7
1,9:34.0,Defensive rebound by C. Paul,,2,7
1,9:30.0,J. Harden makes 2-pt layup from 1 ft (assist by C. Paul),,4,7
1,9:11.0,,B. Griffin makes 2-pt layup from 3 ft,4,9
1,9:05.0,Turnover by J. Harden (bad pass; steal by A. Drummond),,4,9
1,9:03.0,,Shooting foul by J. Harden (drawn by A. Drummond),4,9
1,9:03.0,,A. Drummond misses free throw 1 of 2,4,9
1,9:03.0,,Offensive rebound by Team,4,9
1,9:03.0,,A. Drummond makes free throw 2 of 2,4,10
1,8:47.0,Turnover by J. Ennis (lost ball; steal by R. Jackson),,4,10
1,8:40.0,,G. Robinson misses 3-pt jump shot from 26 ft,4,10
1,8:36.0,Defensive rebound by P. Tucker,,4,10
1,8:32.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,6,10
1,8:18.0,,R. Jackson misses 2-pt layup from 2 ft,6,10
1,8:17.0,Defensive rebound by C. Capela,,6,10
1,8:14.0,J. Ennis makes 3-pt jump shot from 25 ft (assist by C. Paul),,9,10
1,7:53.0,,G. Robinson makes 2-pt dunk from 1 ft (assist by R. Jackson),9,12
1,7:39.0,J. Harden makes 2-pt layup from 2 ft,,11,12
1,7:28.0,,B. Griffin makes 3-pt jump shot from 26 ft,11,15
1,7:15.0,J. Ennis makes 2-pt dunk at rim (assist by P. Tucker),,13,15
1,7:10.0,,Detroit full timeout,13,15
1,7:10.0,E. Gordon enters the game for C. Paul,,13,15
1,6:56.0,,R. Jackson misses 2-pt layup from 4 ft,13,15
1,6:56.0,,Offensive rebound by A. Drummond,13,15
1,6:53.0,,A. Drummond misses 2-pt layup from 3 ft (block by C. Capela),13,15
1,6:51.0,,Offensive rebound by R. Bullock,13,15
1,6:45.0,,R. Bullock makes 2-pt jump shot from 8 ft,13,17
1,6:30.0,C. Capela makes 2-pt layup from 2 ft (assist by E. Gordon),,15,17
1,6:22.0,,R. Jackson makes 2-pt jump shot from 7 ft,15,19
1,6:00.0,C. Capela makes 2-pt layup from 3 ft (assist by J. Harden),,17,19
1,5:48.0,,G. Robinson makes 2-pt jump shot from 9 ft (assist by B. Griffin),17,21
1,5:41.0,E. Gordon misses 3-pt jump shot from 29 ft,,17,21
1,5:38.0,,Defensive rebound by B. Griffin,17,21
1,5:33.0,,Offensive foul by B. Griffin (drawn by P. Tucker),17,21
1,5:33.0,,Turnover by B. Griffin (offensive foul),17,21
1,5:33.0,G. Clark enters the game for J. Ennis,,17,21
1,5:19.0,J. Harden misses 3-pt jump shot from 26 ft,,17,21
1,5:17.0,,Defensive rebound by G. Robinson,17,21
1,5:00.0,,R. Jackson misses 2-pt jump shot from 15 ft,17,21
1,4:57.0,Defensive rebound by J. Harden,,17,21
1,4:50.0,Personal foul by G. Robinson (drawn by J. Harden),,17,21
1,4:45.0,Shooting foul by R. Bullock (drawn by J. Harden),,17,21
1,4:45.0,J. Harden misses free throw 1 of 3,,17,21
1,4:45.0,Offensive rebound by Team,,17,21
1,4:45.0,J. Harden makes free throw 2 of 3,,18,21
1,4:45.0,,L. Galloway enters the game for R. Jackson,18,21
1,4:45.0,,I. Smith enters the game for G. Robinson,18,21
1,4:45.0,J. Harden makes free throw 3 of 3,,19,21
1,4:29.0,,Shooting foul by E. Gordon (drawn by B. Griffin),19,21
1,4:29.0,,B. Griffin misses free throw 1 of 2,19,21
1,4:29.0,,Offensive rebound by Team,19,21
1,4:29.0,I. Hartenstein enters the game for C. Capela,,19,21
1,4:29.0,,B. Griffin makes free throw 2 of 2,19,22
1,4:17.0,E. Gordon misses 3-pt jump shot from 25 ft,,19,22
1,4:15.0,,Defensive rebound by A. Drummond,19,22
1,4:01.0,,B. Griffin misses 3-pt jump shot from 25 ft,19,22
1,3:58.0,Defensive rebound by P. Tucker,,19,22
1,3:49.0,J. Harden makes 3-pt jump shot from 25 ft,,22,22
1,3:41.0,,L. Galloway misses 3-pt jump shot from 23 ft (block by G. Clark),22,22
1,3:37.0,Defensive rebound by P. Tucker,,22,22
1,3:32.0,J. Harden makes 2-pt layup from 2 ft,,24,22
1,3:26.0,,Personal foul by I. Hartenstein (drawn by A. Drummond),24,22
1,3:26.0,,S. Johnson enters the game for R. Bullock,24,22
1,3:17.0,,I. Smith makes 2-pt jump shot from 16 ft,24,24
1,3:02.0,E. Gordon makes 2-pt layup from 2 ft (assist by J. Harden),,26,24
1,2:49.0,,A. Drummond makes 2-pt layup from 2 ft,26,26
1,2:32.0,J. Harden makes 3-pt jump shot from 25 ft,,29,26
1,2:32.0,Shooting foul by B. Griffin (drawn by J. Harden),,29,26
1,2:32.0,Houston full timeout,,29,26
1,2:32.0,C. Paul enters the game for P. Tucker,,29,26
1,2:32.0,,B. Brown enters the game for B. Griffin,29,26
1,2:32.0,J. Harden makes free throw 1 of 1,,30,26
1,2:16.0,,Shooting foul by E. Gordon (drawn by A. Drummond),30,26
1,2:16.0,,A. Drummond makes free throw 1 of 2,30,27
1,2:16.0,G. Green enters the game for J. Harden,,30,27
1,2:16.0,,A. Drummond misses free throw 2 of 2,30,27
1,2:14.0,Defensive rebound by I. Hartenstein,,30,27
1,1:59.0,E. Gordon misses 2-pt layup from 6 ft,,30,27
1,1:57.0,,Defensive rebound by A. Drummond,30,27
1,1:42.0,,Turnover by I. Smith (bad pass; steal by E. Gordon),30,27
1,1:29.0,C. Paul misses 3-pt jump shot from 25 ft,,30,27
1,1:26.0,,Defensive rebound by A. Drummond,30,27
1,1:16.0,,Shooting foul by I. Hartenstein (drawn by B. Brown),30,27
1,1:16.0,,B. Brown makes free throw 1 of 2,30,28
1,1:16.0,,B. Brown misses free throw 2 of 2,30,28
1,1:14.0,,Offensive rebound by A. Drummond,30,28
1,1:13.0,,A. Drummond misses 2-pt layup from 1 ft,30,28
1,1:09.0,,Offensive rebound by A. Drummond,30,28
1,1:09.0,,A. Drummond misses 2-pt layup from 1 ft,30,28
1,1:09.0,,Offensive rebound by A. Drummond,30,28
