QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DETROIT_ACTION,BROOKLYN_SCORE,DETROIT_SCORE
1,11:49.0,,Turnover by A. Drummond (lost ball; steal by C. LeVert),0,0
1,11:45.0,,Loose ball foul by L. Kennard (drawn by C. LeVert),0,0
1,11:39.0,Personal foul by B. Brown (drawn by C. LeVert),,0,0
1,11:28.0,J. Allen makes 2-pt dunk at rim (assist by D. Russell),,2,0
1,11:19.0,,A. Drummond misses 2-pt jump shot from 19 ft,2,0
1,11:15.0,Defensive rebound by J. Harris,,2,0
1,11:10.0,C. LeVert misses 2-pt layup from 7 ft (block by B. Brown),,2,0
1,11:05.0,,Defensive rebound by B. Brown,2,0
1,10:59.0,,L. Kennard misses 2-pt jump shot from 21 ft,2,0
1,10:56.0,Defensive rebound by D. Russell,,2,0
1,10:50.0,J. Allen misses 2-pt layup from 3 ft,,2,0
1,10:45.0,Offensive rebound by J. Dudley,,2,0
1,10:38.0,D. Russell misses 2-pt layup from 2 ft,,2,0
1,10:35.0,Offensive rebound by J. Allen,,2,0
1,10:30.0,D. Russell makes 2-pt jump shot from 14 ft,,4,0
1,10:12.0,,Turnover by A. Drummond (lost ball; steal by D. Russell),4,0
1,10:05.0,C. LeVert makes 2-pt dunk from 1 ft (assist by D. Russell),,6,0
1,9:56.0,,Personal foul by D. Russell (drawn by R. Jackson),6,0
1,9:45.0,,Turnover by B. Brown (traveling),6,0
1,9:28.0,J. Allen makes 2-pt layup from 3 ft (assist by J. Dudley),,8,0
1,9:28.0,,Detroit full timeout,8,0
1,9:23.0,,R. Jackson misses 2-pt layup from 5 ft,8,0
1,9:22.0,Defensive rebound by Team,,8,0
1,9:04.0,J. Harris misses 3-pt jump shot from 28 ft,,8,0
1,9:00.0,,Defensive rebound by A. Drummond,8,0
1,8:59.0,,Personal foul by J. Harris (drawn by B. Griffin),8,0
1,8:54.0,,L. Kennard makes 2-pt layup from 3 ft (assist by B. Griffin),8,2
1,8:42.0,C. LeVert makes 2-pt layup from 4 ft (assist by J. Harris),,10,2
1,8:34.0,,L. Kennard misses 2-pt hook shot from 7 ft,10,2
1,8:30.0,Defensive rebound by J. Allen,,10,2
1,8:21.0,J. Dudley misses 3-pt jump shot from 27 ft,,10,2
1,8:16.0,,Defensive rebound by A. Drummond,10,2
1,8:08.0,,Turnover by B. Griffin (bad pass; steal by J. Dudley),10,2
1,8:03.0,Shooting foul by A. Drummond (drawn by J. Dudley),,10,2
1,8:03.0,J. Dudley misses free throw 1 of 2,,10,2
1,8:03.0,Offensive rebound by Team,,10,2
1,8:03.0,,L. Galloway enters the game for B. Brown,10,2
1,8:03.0,J. Dudley makes free throw 2 of 2,,11,2
1,7:49.0,,R. Jackson makes 2-pt jump shot from 9 ft,11,4
1,7:36.0,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),,13,4
1,7:11.0,,B. Griffin makes 2-pt layup from 9 ft,13,6
1,6:55.0,J. Allen misses 2-pt layup from 2 ft,,13,6
1,6:52.0,,Defensive rebound by A. Drummond,13,6
1,6:52.0,,Personal foul by J. Dudley (drawn by A. Drummond),13,6
1,6:39.0,,B. Griffin misses 2-pt dunk from 4 ft (block by J. Allen),13,6
1,6:37.0,Defensive rebound by Team,,13,6
1,6:25.0,,Violation by Team (kicked ball),13,6
1,6:19.0,D. Russell misses 3-pt jump shot from 27 ft,,13,6
1,6:18.0,,Defensive rebound by Team,13,6
1,5:55.0,,A. Drummond misses 2-pt hook shot from 8 ft,13,6
1,5:52.0,Defensive rebound by D. Russell,,13,6
1,5:45.0,C. LeVert makes 2-pt jump shot from 7 ft,,15,6
1,5:29.0,,A. Drummond makes 2-pt dunk from 2 ft (assist by B. Griffin),15,8
1,5:13.0,D. Russell misses 2-pt jump shot from 12 ft,,15,8
1,5:11.0,,Defensive rebound by L. Galloway,15,8
1,5:08.0,,Personal foul by J. Dudley (drawn by B. Griffin),15,8
1,5:08.0,S. Dinwiddie enters the game for J. Dudley,,15,8
1,5:08.0,T. Graham enters the game for J. Harris,,15,8
1,5:08.0,,G. Robinson enters the game for L. Kennard,15,8
1,4:58.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),15,11
1,4:58.0,Brooklyn full timeout,,15,11
1,4:45.0,J. Allen makes 3-pt jump shot from 23 ft (assist by T. Graham),,18,11
1,4:25.0,,Turnover by A. Drummond (off goaltending),18,11
1,4:25.0,E. Davis enters the game for J. Allen,,18,11
1,4:08.0,Offensive foul by E. Davis (drawn by R. Jackson),,18,11
1,4:08.0,Turnover by E. Davis (offensive foul),,18,11
1,3:55.0,,R. Jackson misses 2-pt layup from 4 ft,18,11
1,3:46.0,,Offensive rebound by A. Drummond,18,11
1,3:46.0,,A. Drummond makes 2-pt layup at rim,18,13
1,3:39.0,C. LeVert makes 2-pt jump shot from 4 ft,,20,13
1,3:32.0,,Turnover by R. Jackson (lost ball; steal by T. Graham),20,13
1,3:23.0,C. LeVert misses 3-pt jump shot from 26 ft,,20,13
1,3:19.0,,Defensive rebound by A. Drummond,20,13
1,3:10.0,,Shooting foul by C. LeVert (drawn by A. Drummond),20,13
1,3:10.0,,A. Drummond makes free throw 1 of 2,20,14
1,3:10.0,J. Harris enters the game for C. LeVert,,20,14
1,3:10.0,R. Kurucs enters the game for D. Russell,,20,14
1,3:10.0,,A. Drummond makes free throw 2 of 2,20,15
1,2:50.0,E. Davis makes 2-pt jump shot from 9 ft (assist by S. Dinwiddie),,22,15
1,2:38.0,,A. Drummond misses 2-pt jump shot from 12 ft,22,15
1,2:36.0,Defensive rebound by S. Dinwiddie,,22,15
1,2:30.0,R. Kurucs makes 3-pt jump shot from 24 ft,,25,15
1,2:06.0,,B. Griffin makes 2-pt layup from 3 ft,25,17
1,1:52.0,E. Davis makes 2-pt layup from 4 ft (assist by J. Harris),,27,17
1,1:43.0,,L. Galloway misses 3-pt jump shot from 26 ft,27,17
1,1:43.0,Defensive rebound by E. Davis,,27,17
1,1:28.0,S. Dinwiddie makes 2-pt layup from 5 ft (assist by J. Harris),,29,17
1,1:19.0,,A. Drummond misses 2-pt layup from 4 ft,29,17
1,1:16.0,Defensive rebound by E. Davis,,29,17
1,1:15.0,Offensive foul by T. Graham (drawn by B. Griffin),,29,17
1,1:15.0,Turnover by T. Graham (offensive foul),,29,17
1,1:15.0,,Z. Pachulia enters the game for A. Drummond,29,17
1,1:15.0,,I. Smith enters the game for R. Jackson,29,17
1,1:00.0,,G. Robinson makes 2-pt jump shot from 17 ft (assist by Z. Pachulia),29,19
1,0:51.0,J. Harris misses 2-pt layup from 5 ft,,29,19
1,0:48.0,,Defensive rebound by Z. Pachulia,29,19
1,0:36.0,,L. Galloway makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),29,21
1,0:28.0,R. Kurucs misses 3-pt jump shot from 28 ft,,29,21
1,0:23.0,,Defensive rebound by Z. Pachulia,29,21
1,0:05.0,,B. Griffin makes 3-pt jump shot from 27 ft,29,24
1,0:00.0,T. Graham misses 3-pt jump shot from 28 ft,,29,24
1,0:00.0,Offensive rebound by Team,,29,24
2,11:50.0,Personal foul by I. Smith (drawn by S. Dinwiddie),,29,24
2,11:36.0,S. Dinwiddie misses 2-pt layup from 4 ft,,29,24
2,11:35.0,,Defensive rebound by Z. Pachulia,29,24
2,11:35.0,,Personal foul by R. Kurucs (drawn by G. Robinson),29,24
2,11:14.0,,I. Smith misses 2-pt jump shot from 13 ft,29,24
2,11:11.0,Defensive rebound by J. Harris,,29,24
2,10:53.0,Turnover by R. Kurucs (lost ball; steal by G. Robinson),,29,24
2,10:45.0,,G. Robinson makes 2-pt layup from 3 ft (assist by I. Smith),29,26
2,10:41.0,Turnover by S. Dinwiddie (bad pass),,29,26
2,10:27.0,,Z. Pachulia makes 2-pt jump shot from 17 ft (assist by I. Smith),29,28
2,10:03.0,Turnover by S. Dinwiddie (bad pass; steal by Z. Lofton),,29,28
2,9:57.0,,Turnover by Z. Lofton (bad pass; steal by S. Dinwiddie),29,28
2,9:53.0,E. Davis makes 2-pt layup from 7 ft (assist by S. Dinwiddie),,31,28
2,9:39.0,,I. Smith makes 3-pt jump shot from 27 ft (assist by Z. Pachulia),31,31
2,9:29.0,E. Davis makes 2-pt layup from 3 ft (assist by S. Dinwiddie),,33,31
2,9:29.0,Shooting foul by Z. Pachulia (drawn by E. Davis),,33,31
2,9:29.0,E. Davis misses free throw 1 of 1,,33,31
2,9:16.0,,Defensive rebound by L. Galloway,33,31
2,9:15.0,,Z. Lofton misses 3-pt jump shot from 26 ft,33,31
2,9:10.0,Defensive rebound by J. Harris,,33,31
2,9:05.0,S. Dinwiddie makes 2-pt layup from 3 ft,,35,31
2,8:50.0,,Def 3 sec tech foul by Team,35,31
2,8:50.0,,L. Galloway makes technical free throw,35,32
2,8:37.0,,Z. Pachulia misses 2-pt jump shot from 14 ft,35,32
2,8:34.0,Defensive rebound by E. Davis,,35,32
2,8:24.0,S. Dinwiddie makes 2-pt jump shot from 14 ft (assist by E. Davis),,37,32
2,8:24.0,J. Allen enters the game for E. Davis,,37,32
2,8:24.0,C. LeVert enters the game for R. Kurucs,,37,32
2,8:24.0,,R. Jackson enters the game for Z. Lofton,37,32
2,8:10.0,,L. Galloway makes 2-pt jump shot from 19 ft (assist by Z. Pachulia),37,34
2,8:10.0,,Shooting foul by J. Harris (drawn by L. Galloway),37,34
2,8:10.0,,L. Galloway makes free throw 1 of 1,37,35
2,7:48.0,J. Allen makes 2-pt layup from 3 ft (assist by S. Dinwiddie),,39,35
2,7:36.0,,R. Jackson makes 2-pt jump shot from 10 ft,39,37
2,7:26.0,J. Harris misses 3-pt jump shot from 28 ft,,39,37
2,7:22.0,,Defensive rebound by R. Jackson,39,37
2,7:05.0,,I. Smith misses 2-pt layup from 2 ft,39,37
2,7:02.0,,Offensive rebound by Z. Pachulia,39,37
2,7:00.0,,G. Robinson misses 3-pt jump shot from 26 ft,39,37
2,7:00.0,Defensive rebound by C. LeVert,,39,37
2,6:55.0,Shooting foul by Z. Pachulia (drawn by J. Allen),,39,37
2,6:55.0,,Detroit full timeout,39,37
2,6:55.0,D. Russell enters the game for S. Dinwiddie,,39,37
2,6:55.0,,B. Brown enters the game for L. Galloway,39,37
2,6:55.0,J. Allen makes free throw 1 of 2,,40,37
2,6:55.0,J. Allen makes free throw 2 of 2,,41,37
2,6:40.0,,R. Jackson misses 2-pt jump shot from 13 ft,41,37
2,6:37.0,Defensive rebound by J. Allen,,41,37
2,6:19.0,C. LeVert misses 2-pt jump shot from 8 ft,,41,37
2,6:16.0,Offensive rebound by J. Allen,,41,37
2,6:03.0,J. Allen misses 3-pt jump shot from 24 ft,,41,37
2,6:03.0,Offensive rebound by Team,,41,37
2,6:00.0,Turnover by Team (shot clock),,41,37
2,5:50.0,,Z. Pachulia misses 2-pt layup from 2 ft,41,37
2,5:48.0,,Offensive rebound by R. Jackson,41,37
2,5:38.0,,I. Smith makes 2-pt layup from 3 ft (assist by R. Jackson),41,39
2,5:23.0,Personal foul by I. Smith (drawn by C. LeVert),,41,39
2,5:23.0,S. Dinwiddie enters the game for J. Harris,,41,39
2,5:23.0,,A. Drummond enters the game for Z. Pachulia,41,39
2,5:23.0,,B. Griffin enters the game for G. Robinson,41,39
2,5:18.0,D. Russell misses 2-pt layup from 3 ft,,41,39
2,5:16.0,,Defensive rebound by B. Griffin,41,39
2,5:10.0,,I. Smith misses 3-pt jump shot from 23 ft,41,39
2,5:06.0,,Offensive rebound by A. Drummond,41,39
2,5:06.0,,B. Griffin makes 2-pt layup from 4 ft (assist by A. Drummond),41,41
2,5:05.0,Brooklyn full timeout,,41,41
2,4:57.0,Personal foul by B. Brown (drawn by D. Russell),,41,41
