QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PORTLAND_ACTION,OKLAHOMA CITY_SCORE,PORTLAND_SCORE
1,11:46.0,S. Adams makes 2-pt hook shot from 5 ft (assist by R. Westbrook),,2,0
1,11:28.0,,E. Freedom misses 2-pt hook shot from 2 ft,2,0
1,11:26.0,Defensive rebound by P. George,,2,0
1,11:22.0,Turnover by P. George (bad pass),,2,0
1,11:09.0,,Turnover by C. McCollum (bad pass),2,0
1,11:01.0,Offensive foul by S. Adams (drawn by D. Lillard),,2,0
1,11:01.0,Turnover by S. Adams (offensive foul),,2,0
1,10:45.0,,M. Harkless misses 3-pt jump shot from 25 ft,2,0
1,10:43.0,Defensive rebound by T. Ferguson,,2,0
1,10:38.0,P. George misses 3-pt jump shot from 25 ft (block by M. Harkless),,2,0
1,10:36.0,Offensive rebound by P. George,,2,0
1,10:30.0,J. Grant misses 3-pt jump shot from 23 ft,,2,0
1,10:27.0,,Defensive rebound by M. Harkless,2,0
1,10:18.0,,D. Lillard misses 3-pt jump shot from 25 ft,2,0
1,10:17.0,Defensive rebound by Team,,2,0
1,10:00.0,S. Adams makes 2-pt layup from 2 ft (assist by P. George),,4,0
1,9:42.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by D. Lillard),4,3
1,9:28.0,R. Westbrook misses 2-pt layup from 1 ft,,4,3
1,9:27.0,,Defensive rebound by E. Freedom,4,3
1,9:15.0,,C. McCollum makes 2-pt layup from 1 ft,4,5
1,9:02.0,P. George makes 2-pt jump shot from 20 ft (assist by R. Westbrook),,6,5
1,8:50.0,,D. Lillard makes 2-pt layup from 1 ft,6,7
1,8:45.0,T. Ferguson makes 2-pt dunk from 1 ft (assist by R. Westbrook),,8,7
1,8:33.0,,D. Lillard misses 3-pt jump shot from 29 ft,8,7
1,8:32.0,Defensive rebound by S. Adams,,8,7
1,8:25.0,Shooting foul by M. Harkless (drawn by J. Grant),,8,7
1,8:25.0,J. Grant makes free throw 1 of 2,,9,7
1,8:25.0,J. Grant misses free throw 2 of 2,,9,7
1,8:23.0,,Defensive rebound by M. Harkless,9,7
1,8:19.0,,Shooting foul by T. Ferguson (drawn by C. McCollum),9,7
1,8:19.0,,C. McCollum makes free throw 1 of 2,9,8
1,8:19.0,,C. McCollum makes free throw 2 of 2,9,9
1,8:07.0,T. Ferguson misses 3-pt jump shot from 23 ft,,9,9
1,8:05.0,,Defensive rebound by A. Aminu,9,9
1,8:01.0,,D. Lillard makes 2-pt layup from 1 ft,9,11
1,8:01.0,,Shooting foul by P. George (drawn by D. Lillard),9,11
1,8:01.0,,D. Lillard misses free throw 1 of 1,9,11
1,7:59.0,Defensive rebound by R. Westbrook,,9,11
1,7:49.0,J. Grant misses 3-pt jump shot from 22 ft,,9,11
1,7:47.0,,Defensive rebound by D. Lillard,9,11
1,7:37.0,,C. McCollum misses 2-pt jump shot from 14 ft,9,11
1,7:33.0,Defensive rebound by S. Adams,,9,11
1,7:16.0,P. George makes 2-pt jump shot from 19 ft,,11,11
1,7:01.0,,C. McCollum misses 3-pt jump shot from 25 ft,11,11
1,7:01.0,Defensive rebound by Team,,11,11
1,6:55.0,R. Westbrook makes 3-pt jump shot from 25 ft,,14,11
1,6:31.0,,M. Harkless makes 2-pt layup from 1 ft (assist by A. Aminu),14,13
1,6:19.0,P. George makes 2-pt layup from 1 ft,,16,13
1,5:58.0,,A. Aminu misses 3-pt jump shot from 25 ft,16,13
1,5:54.0,Defensive rebound by J. Grant,,16,13
1,5:49.0,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),,18,13
1,5:49.0,Shooting foul by E. Freedom (drawn by S. Adams),,18,13
1,5:49.0,,Portland full timeout,18,13
1,5:49.0,D. Schröder enters the game for P. George,,18,13
1,5:49.0,S. Adams misses free throw 1 of 1,,18,13
1,5:45.0,,Defensive rebound by D. Lillard,18,13
1,5:32.0,,A. Aminu misses 2-pt jump shot from 3 ft,18,13
1,5:30.0,Defensive rebound by S. Adams,,18,13
1,5:19.0,R. Westbrook makes 2-pt layup from 2 ft,,20,13
