QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ORLANDO_ACTION,CHARLOTTE_SCORE,ORLANDO_SCORE
1,11:36.0,,E. Fournier misses 2-pt layup from 2 ft,0,0
1,11:28.0,,Offensive rebound by J. Isaac,0,0
1,11:28.0,,J. Isaac misses 2-pt layup at rim,0,0
1,11:28.0,,Offensive rebound by N. Vučević,0,0
1,11:24.0,,N. Vučević makes 2-pt layup at rim,0,2
1,11:21.0,K. Walker misses 2-pt layup from 3 ft (block by N. Vučević),,0,2
1,11:21.0,,Defensive rebound by J. Isaac,0,2
1,11:07.0,,N. Vučević misses 2-pt layup from 2 ft,0,2
1,11:00.0,Defensive rebound by C. Zeller,,0,2
1,10:58.0,J. Lamb misses 2-pt layup from 1 ft,,0,2
1,10:53.0,,Defensive rebound by A. Gordon,0,2
1,10:48.0,,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),0,4
1,10:25.0,Shooting foul by J. Isaac (drawn by J. Lamb),,0,4
1,10:25.0,J. Lamb makes free throw 1 of 2,,1,4
1,10:25.0,J. Lamb makes free throw 2 of 2,,2,4
1,10:07.0,,A. Gordon misses 3-pt jump shot from 23 ft,2,4
1,10:04.0,Defensive rebound by N. Batum,,2,4
1,9:56.0,K. Walker misses 3-pt jump shot from 26 ft,,2,4
1,9:53.0,,Defensive rebound by N. Vučević,2,4
1,9:48.0,,Turnover by D. Augustin (traveling),2,4
1,9:37.0,C. Zeller misses 2-pt layup from 2 ft (block by N. Vučević),,2,4
1,9:33.0,Offensive rebound by C. Zeller,,2,4
1,9:33.0,C. Zeller misses 2-pt layup from 2 ft (block by A. Gordon),,2,4
1,9:33.0,Offensive rebound by M. Williams,,2,4
1,9:33.0,Turnover by M. Williams (traveling),,2,4
1,9:16.0,,N. Vučević misses 2-pt hook shot from 6 ft,2,4
1,9:16.0,Defensive rebound by N. Batum,,2,4
1,9:08.0,N. Batum makes 3-pt jump shot from 25 ft,,5,4
1,8:51.0,,D. Augustin misses 2-pt jump shot from 21 ft,5,4
1,8:47.0,Defensive rebound by N. Batum,,5,4
1,8:41.0,K. Walker misses 3-pt jump shot from 24 ft,,5,4
1,8:38.0,,Defensive rebound by J. Isaac,5,4
1,8:31.0,,J. Isaac misses 3-pt jump shot from 26 ft,5,4
1,8:31.0,Defensive rebound by C. Zeller,,5,4
1,8:25.0,Shooting foul by E. Fournier (drawn by K. Walker),,5,4
1,8:25.0,K. Walker makes free throw 1 of 2,,6,4
1,8:25.0,K. Walker makes free throw 2 of 2,,7,4
1,8:08.0,,E. Fournier misses 3-pt jump shot from 23 ft,7,4
1,8:07.0,Defensive rebound by Team,,7,4
1,7:54.0,Turnover by K. Walker (bad pass; steal by J. Isaac),,7,4
1,7:49.0,,D. Augustin misses 3-pt jump shot from 22 ft,7,4
1,7:47.0,Defensive rebound by C. Zeller,,7,4
1,7:43.0,J. Lamb misses 2-pt layup from 2 ft,,7,4
1,7:37.0,,Defensive rebound by A. Gordon,7,4
1,7:31.0,,D. Augustin makes 2-pt layup from 1 ft (assist by N. Vučević),7,6
1,7:10.0,K. Walker misses 3-pt jump shot from 26 ft,,7,6
1,7:08.0,,Defensive rebound by E. Fournier,7,6
1,7:05.0,,E. Fournier misses 3-pt jump shot from 26 ft,7,6
1,7:01.0,Defensive rebound by M. Williams,,7,6
1,6:50.0,M. Williams misses 3-pt jump shot from 26 ft,,7,6
1,6:47.0,,Defensive rebound by A. Gordon,7,6
1,6:42.0,,A. Gordon misses 2-pt jump shot from 12 ft,7,6
1,6:39.0,Defensive rebound by J. Lamb,,7,6
1,6:30.0,Charlotte full timeout,,7,6
1,6:22.0,M. Williams misses 3-pt jump shot from 26 ft,,7,6
1,6:20.0,,Defensive rebound by J. Isaac,7,6
1,6:17.0,,Offensive foul by J. Isaac (drawn by M. Williams),7,6
1,6:17.0,,Turnover by J. Isaac (offensive foul),7,6
1,6:17.0,W. Hernangómez enters the game for M. Williams,,7,6
1,6:17.0,M. Kidd-Gilchrist enters the game for C. Zeller,,7,6
1,6:17.0,,M. Bamba enters the game for A. Gordon,7,6
1,6:17.0,,T. Ross enters the game for J. Isaac,7,6
1,6:05.0,N. Batum makes 2-pt layup from 1 ft (assist by M. Kidd-Gilchrist),,9,6
1,5:57.0,,Turnover by (5 sec),9,6
1,5:45.0,J. Lamb makes 2-pt layup from 2 ft (assist by M. Kidd-Gilchrist),,11,6
1,5:29.0,,T. Ross misses 3-pt jump shot from 27 ft,11,6
1,5:29.0,Defensive rebound by Team,,11,6
1,5:29.0,,Loose ball foul by N. Vučević (drawn by W. Hernangómez),11,6
1,5:18.0,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),,14,6
1,5:03.0,,N. Vučević misses 2-pt jump shot from 20 ft,14,6
1,4:59.0,Defensive rebound by M. Kidd-Gilchrist,,14,6
1,4:49.0,W. Hernangómez misses 2-pt hook shot from 8 ft,,14,6
1,4:47.0,,Defensive rebound by N. Vučević,14,6
1,4:38.0,,Turnover by D. Augustin (bad pass),14,6
1,4:38.0,,J. Grant enters the game for D. Augustin,14,6
1,4:26.0,Turnover by K. Walker (bad pass; steal by J. Grant),,14,6
1,4:13.0,,Turnover by E. Fournier (bad pass; steal by K. Walker),14,6
1,4:09.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by K. Walker),,16,6
1,4:08.0,,Orlando full timeout,16,6
1,4:08.0,M. Monk enters the game for J. Lamb,,16,6
1,3:44.0,,Turnover by J. Grant (bad pass; steal by N. Batum),16,6
1,3:40.0,M. Monk makes 2-pt layup from 2 ft (assist by N. Batum),,18,6
1,3:25.0,,M. Bamba misses 2-pt layup from 1 ft,18,6
