QUARTER,TIME_REMAINING,ORLANDO_ACTION,GOLDEN STATE_ACTION,ORLANDO_SCORE,GOLDEN STATE_SCORE
1,11:47.0,A. Gordon misses 2-pt jump shot from 16 ft,,0,0
1,11:46.0,,Defensive rebound by Q. Cook,0,0
1,11:29.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),0,3
1,11:13.0,N. Vučević makes 2-pt hook shot from 5 ft (assist by D. Augustin),,2,3
1,11:04.0,,Personal foul by J. Simmons (drawn by A. Iguodala),2,3
1,10:57.0,,K. Durant misses 2-pt jump shot from 15 ft,2,3
1,10:57.0,Defensive rebound by Team,,2,3
1,10:57.0,,Loose ball foul by D. Jones (drawn by N. Vučević),2,3
1,10:39.0,J. Simmons makes 3-pt jump shot from 23 ft (assist by N. Vučević),,5,3
1,10:24.0,,Q. Cook misses 3-pt jump shot from 23 ft,5,3
1,10:22.0,Defensive rebound by A. Gordon,,5,3
1,10:17.0,A. Gordon misses 2-pt layup from 4 ft (block by D. Jones),,5,3
1,10:16.0,,Defensive rebound by A. Iguodala,5,3
1,10:01.0,,K. Durant misses 2-pt jump shot from 13 ft,5,3
1,10:00.0,Defensive rebound by N. Vučević,,5,3
1,9:49.0,D. Augustin misses 2-pt layup from 6 ft,,5,3
1,9:48.0,Offensive rebound by N. Vučević,,5,3
1,9:43.0,N. Vučević makes 2-pt layup at rim,,7,3
1,9:34.0,,Turnover by Q. Cook (bad pass),7,3
1,9:21.0,E. Fournier makes 2-pt jump shot from 13 ft,,9,3
1,9:06.0,,K. Durant makes 2-pt jump shot from 12 ft,9,5
1,8:47.0,Turnover by E. Fournier (bad pass; steal by A. Iguodala),,9,5
1,8:33.0,,K. Thompson misses 3-pt jump shot from 27 ft,9,5
1,8:32.0,,Offensive rebound by Team,9,5
1,8:32.0,Loose ball foul by J. Simmons (drawn by D. Jones),,9,5
1,8:29.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by K. Durant),9,7
1,8:11.0,J. Simmons makes 3-pt jump shot from 23 ft (assist by E. Fournier),,12,7
1,7:54.0,,K. Durant misses 2-pt jump shot from 10 ft,12,7
1,7:53.0,Defensive rebound by N. Vučević,,12,7
1,7:38.0,N. Vučević makes 2-pt hook shot from 7 ft (assist by D. Augustin),,14,7
1,7:14.0,,K. Durant misses 2-pt jump shot from 10 ft,14,7
1,7:13.0,Defensive rebound by N. Vučević,,14,7
1,7:10.0,Turnover by A. Gordon (lost ball; steal by K. Durant),,14,7
1,7:06.0,,Personal foul by E. Fournier (drawn by A. Iguodala),14,7
1,6:55.0,,Q. Cook misses 3-pt jump shot from 28 ft,14,7
1,6:53.0,Defensive rebound by A. Gordon,,14,7
1,6:42.0,,Golden State full timeout,14,7
1,6:35.0,N. Vučević makes 2-pt hook shot from 5 ft (assist by D. Augustin),,16,7
1,6:15.0,,K. Thompson misses 3-pt jump shot from 28 ft,16,7
1,6:13.0,Defensive rebound by N. Vučević,,16,7
1,5:55.0,A. Gordon misses 3-pt jump shot from 26 ft,,16,7
1,5:53.0,,Defensive rebound by K. Thompson,16,7
1,5:49.0,,K. Durant misses 2-pt jump shot from 13 ft,16,7
1,5:48.0,Defensive rebound by D. Augustin,,16,7
1,5:36.0,N. Vučević misses 3-pt jump shot from 26 ft,,16,7
1,5:34.0,,Defensive rebound by Q. Cook,16,7
1,5:27.0,,Q. Cook makes 2-pt jump shot from 12 ft,16,9
1,5:10.0,E. Fournier makes 2-pt layup from 3 ft (assist by N. Vučević),,18,9
1,4:57.0,,K. Thompson makes 2-pt jump shot from 13 ft (assist by K. Durant),18,11
1,4:42.0,D. Augustin misses 2-pt jump shot from 7 ft,,18,11
1,4:41.0,,Defensive rebound by D. Jones,18,11
1,4:33.0,,D. Jones makes 2-pt dunk from 1 ft (assist by Q. Cook),18,13
1,4:12.0,E. Fournier misses 3-pt jump shot from 26 ft,,18,13
1,4:10.0,,Defensive rebound by Team,18,13
1,4:10.0,J. Isaac enters the game for E. Fournier,,18,13
1,4:10.0,T. Ross enters the game for J. Simmons,,18,13
1,4:10.0,,J. Jerebko enters the game for Q. Cook,18,13
1,4:10.0,,K. Looney enters the game for D. Jones,18,13
1,4:03.0,,Shooting foul by N. Vučević (drawn by K. Thompson),18,13
1,4:03.0,,K. Thompson misses free throw 1 of 2,18,13
1,4:03.0,,Offensive rebound by Team,18,13
1,4:03.0,J. Grant enters the game for D. Augustin,,18,13
1,4:03.0,,S. Livingston enters the game for A. Iguodala,18,13
1,4:03.0,,K. Thompson makes free throw 2 of 2,18,14
1,3:46.0,A. Gordon misses 2-pt layup from 3 ft,,18,14
1,3:45.0,,Defensive rebound by K. Durant,18,14
1,3:40.0,,K. Durant makes 2-pt dunk from 1 ft,18,16
1,3:34.0,Orlando full timeout,,18,16
