QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MIAMI_ACTION,PHILADELPHIA_SCORE,MIAMI_SCORE
1,11:48.0,,R. McGruder misses 2-pt jump shot from 6 ft,0,0
1,11:46.0,,Offensive rebound by R. McGruder,0,0
1,11:46.0,,R. McGruder misses 2-pt layup from 3 ft,0,0
1,11:45.0,Defensive rebound by J. Embiid,,0,0
1,11:29.0,J. Redick makes 2-pt jump shot from 22 ft,,2,0
1,11:11.0,,J. Richardson misses 3-pt jump shot from 28 ft,2,0
1,11:08.0,Defensive rebound by J. Embiid,,2,0
1,11:01.0,W. Chandler makes 3-pt jump shot from 23 ft (assist by M. Fultz),,5,0
1,10:50.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by G. Dragić),5,2
1,10:34.0,Shooting foul by H. Whiteside (drawn by J. Embiid),,5,2
1,10:34.0,J. Embiid misses free throw 1 of 2,,5,2
1,10:34.0,Offensive rebound by Team,,5,2
1,10:34.0,J. Embiid makes free throw 2 of 2,,6,2
1,10:24.0,,J. Winslow misses 2-pt layup from 1 ft,6,2
1,10:24.0,Defensive rebound by J. Embiid,,6,2
1,10:12.0,J. Redick makes 2-pt jump shot from 12 ft,,8,2
1,9:50.0,,H. Whiteside makes 3-pt jump shot from 24 ft (assist by J. Winslow),8,5
1,9:29.0,J. Redick misses 3-pt jump shot from 24 ft,,8,5
1,9:27.0,Offensive rebound by W. Chandler,,8,5
1,9:23.0,Turnover by W. Chandler (bad pass; steal by G. Dragić),,8,5
1,9:18.0,,G. Dragić makes 2-pt layup at rim,8,7
1,9:07.0,Personal foul by R. McGruder (drawn by J. Redick),,8,7
1,8:53.0,W. Chandler misses 2-pt jump shot from 17 ft,,8,7
1,8:49.0,,Defensive rebound by H. Whiteside,8,7
1,8:46.0,,G. Dragić misses 3-pt jump shot from 25 ft,8,7
1,8:44.0,,Offensive rebound by H. Whiteside,8,7
1,8:39.0,,H. Whiteside makes 2-pt jump shot from 22 ft,8,9
1,8:31.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by W. Chandler),,11,9
1,8:19.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by G. Dragić),11,12
1,8:04.0,J. Redick makes 2-pt jump shot from 21 ft (assist by B. Simmons),,13,12
1,7:47.0,,J. Richardson misses 2-pt jump shot from 17 ft,13,12
1,7:44.0,Defensive rebound by J. Redick,,13,12
1,7:41.0,J. Redick misses 3-pt jump shot from 26 ft,,13,12
1,7:38.0,Offensive rebound by B. Simmons,,13,12
1,7:32.0,Shooting foul by J. Richardson (drawn by J. Embiid),,13,12
1,7:32.0,J. Embiid makes free throw 1 of 2,,14,12
1,7:32.0,J. Embiid makes free throw 2 of 2,,15,12
1,7:12.0,,H. Whiteside makes 2-pt hook shot from 8 ft,15,14
1,6:59.0,B. Simmons makes 2-pt layup from 1 ft,,17,14
1,6:46.0,,G. Dragić makes 2-pt layup from 2 ft,17,16
1,6:35.0,B. Simmons makes 2-pt hook shot from 6 ft,,19,16
1,6:17.0,,G. Dragić misses 3-pt jump shot from 26 ft,19,16
1,6:15.0,Defensive rebound by B. Simmons,,19,16
1,6:11.0,Personal foul by G. Dragić (drawn by J. Redick),,19,16
1,6:11.0,,Miami full timeout,19,16
1,6:11.0,A. Johnson enters the game for W. Chandler,,19,16
1,6:11.0,M. Muscala enters the game for J. Embiid,,19,16
1,6:11.0,L. Shamet enters the game for M. Fultz,,19,16
1,6:11.0,,T. Johnson enters the game for G. Dragić,19,16
1,5:54.0,A. Johnson misses 2-pt jump shot from 9 ft,,19,16
1,5:52.0,,Defensive rebound by H. Whiteside,19,16
1,5:52.0,,W. Ellington enters the game for J. Richardson,19,16
1,5:34.0,,Personal foul by A. Johnson (drawn by H. Whiteside),19,16
1,5:26.0,,W. Ellington misses 3-pt jump shot from 23 ft,19,16
1,5:22.0,Defensive rebound by M. Muscala,,19,16
1,5:11.0,J. Redick misses 3-pt jump shot from 24 ft,,19,16
1,5:09.0,,Defensive rebound by H. Whiteside,19,16
1,5:00.0,,H. Whiteside makes 2-pt hook shot from 7 ft,19,18
1,4:48.0,M. Muscala misses 3-pt jump shot from 26 ft,,19,18
1,4:44.0,,Defensive rebound by H. Whiteside,19,18
1,4:37.0,,H. Whiteside misses 3-pt jump shot from 25 ft,19,18
1,4:34.0,Defensive rebound by M. Muscala,,19,18
1,4:23.0,J. Redick makes 3-pt jump shot from 24 ft (assist by A. Johnson),,22,18
