QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW YORK_ACTION,PHOENIX_SCORE,NEW YORK_SCORE
1,11:41.0,D. Booker makes 2-pt jump shot from 20 ft (assist by D. Ayton),,2,0
1,11:19.0,,E. Freedom misses 2-pt layup from 1 ft,2,0
1,11:17.0,Defensive rebound by M. Bridges,,2,0
1,11:10.0,D. Booker misses 2-pt jump shot from 16 ft,,2,0
1,11:08.0,,Defensive rebound by C. Lee,2,0
1,11:02.0,,Turnover by C. Lee (lost ball; steal by D. Booker),2,0
1,11:00.0,D. Booker makes 2-pt layup from 1 ft,,4,0
1,11:00.0,Shooting foul by N. Vonleh (drawn by D. Booker),,4,0
1,11:00.0,D. Booker makes free throw 1 of 1,,5,0
1,10:42.0,,Turnover by N. Vonleh (lost ball; steal by T. Warren),5,0
1,10:36.0,T. Warren misses 3-pt jump shot from 24 ft,,5,0
1,10:34.0,,Defensive rebound by C. Lee,5,0
1,10:26.0,,C. Lee makes 2-pt layup from 2 ft (assist by E. Freedom),5,2
1,10:04.0,D. Ayton misses 2-pt layup from 2 ft,,5,2
1,10:02.0,Offensive rebound by D. Ayton,,5,2
1,10:00.0,D. Ayton makes 2-pt layup from 1 ft,,7,2
1,9:52.0,,Shooting foul by D. Melton (drawn by K. Knox),7,2
1,9:52.0,,K. Knox makes free throw 1 of 2,7,3
1,9:52.0,,K. Knox makes free throw 2 of 2,7,4
1,9:38.0,D. Ayton makes 2-pt layup from 1 ft (assist by D. Booker),,9,4
1,9:26.0,,E. Freedom misses 2-pt layup from 1 ft (block by T. Warren),9,4
1,9:25.0,,Offensive rebound by N. Vonleh,9,4
1,9:24.0,,Shooting foul by D. Ayton (drawn by N. Vonleh),9,4
1,9:24.0,,N. Vonleh makes free throw 1 of 2,9,5
1,9:24.0,,N. Vonleh misses free throw 2 of 2,9,5
1,9:22.0,Defensive rebound by D. Ayton,,9,5
1,9:06.0,D. Ayton makes 2-pt jump shot from 18 ft (assist by D. Melton),,11,5
1,8:48.0,,C. Lee misses 3-pt jump shot from 25 ft,11,5
1,8:46.0,,Offensive rebound by E. Freedom,11,5
1,8:44.0,,E. Freedom misses 2-pt layup from 2 ft,11,5
1,8:42.0,Defensive rebound by D. Booker,,11,5
1,8:29.0,Shooting foul by N. Vonleh (drawn by D. Booker),,11,5
1,8:29.0,,L. Thomas enters the game for N. Vonleh,11,5
1,8:29.0,D. Booker misses free throw 1 of 2,,11,5
1,8:29.0,Offensive rebound by Team,,11,5
1,8:29.0,D. Booker makes free throw 2 of 2,,12,5
1,8:12.0,,L. Thomas misses 2-pt jump shot from 16 ft,12,5
1,8:10.0,Defensive rebound by T. Warren,,12,5
1,8:03.0,D. Melton misses 3-pt jump shot from 25 ft,,12,5
1,8:01.0,,Defensive rebound by K. Knox,12,5
1,7:53.0,,E. Mudiay makes 2-pt jump shot from 20 ft,12,7
1,7:40.0,T. Warren makes 2-pt jump shot from 14 ft,,14,7
1,7:27.0,,E. Mudiay makes 2-pt jump shot from 11 ft,14,9
1,7:12.0,T. Warren misses 2-pt layup from 2 ft,,14,9
1,7:10.0,,Defensive rebound by E. Mudiay,14,9
1,7:05.0,,K. Knox misses 3-pt jump shot from 26 ft,14,9
1,7:04.0,,Offensive rebound by Team,14,9
1,7:01.0,,K. Knox misses 2-pt dunk from 1 ft (block by T. Warren),14,9
1,6:59.0,Defensive rebound by D. Booker,,14,9
1,6:55.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Melton),,16,9
1,6:40.0,,E. Mudiay makes 2-pt jump shot from 11 ft,16,11
1,6:21.0,M. Bridges misses 3-pt jump shot from 23 ft,,16,11
1,6:19.0,,Defensive rebound by E. Freedom,16,11
1,6:14.0,,C. Lee misses 3-pt jump shot from 24 ft,16,11
1,6:12.0,,Offensive rebound by E. Freedom,16,11
1,6:12.0,,Personal foul by D. Ayton (drawn by E. Freedom),16,11
1,6:12.0,,New York full timeout,16,11
1,6:12.0,R. Holmes enters the game for D. Ayton,,16,11
1,6:12.0,,F. Ntilikina enters the game for C. Lee,16,11
