QUARTER,TIME_REMAINING,UTAH_ACTION,MEMPHIS_ACTION,UTAH_SCORE,MEMPHIS_SCORE
1,11:35.0,Turnover by R. Rubio (bad pass; steal by J. Jackson),,0,0
1,11:29.0,,J. Jackson makes 2-pt layup at rim (assist by M. Conley),0,2
1,11:13.0,Personal foul by G. Temple (drawn by R. Gobert),,0,2
1,11:03.0,J. Ingles makes 3-pt jump shot from 25 ft,,3,2
1,10:44.0,,Turnover by J. Jackson (step out of bounds),3,2
1,10:26.0,J. Ingles makes 2-pt layup from 1 ft (assist by R. Gobert),,5,2
1,10:13.0,,K. Anderson misses 2-pt layup at rim (block by R. Gobert),5,2
1,10:11.0,Defensive rebound by D. Favors,,5,2
1,10:07.0,R. Rubio misses 3-pt jump shot from 26 ft,,5,2
1,10:03.0,Offensive rebound by J. Ingles,,5,2
1,9:54.0,D. Mitchell misses 2-pt jump shot from 11 ft,,5,2
1,9:50.0,,Defensive rebound by M. Conley,5,2
1,9:39.0,,M. Gasol misses 3-pt jump shot from 26 ft,5,2
1,9:36.0,,Offensive rebound by J. Jackson,5,2
1,9:28.0,,Personal foul by R. Gobert (drawn by M. Gasol),5,2
1,9:18.0,,J. Jackson misses 2-pt jump shot from 12 ft,5,2
1,9:15.0,,Offensive rebound by J. Jackson,5,2
1,9:12.0,,Personal foul by R. Rubio (drawn by K. Anderson),5,2
1,9:02.0,,G. Temple misses 3-pt jump shot from 27 ft,5,2
1,8:57.0,,Offensive rebound by J. Jackson,5,2
1,8:55.0,,M. Conley misses 3-pt jump shot from 25 ft,5,2
1,8:53.0,Defensive rebound by R. Gobert,,5,2
1,8:43.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Rubio),,8,2
1,8:25.0,,K. Anderson misses 2-pt jump shot from 8 ft,8,2
1,8:22.0,Defensive rebound by R. Gobert,,8,2
1,8:13.0,D. Favors misses 2-pt jump shot from 15 ft,,8,2
1,8:09.0,Offensive rebound by D. Favors,,8,2
1,8:06.0,J. Ingles misses 3-pt jump shot from 23 ft,,8,2
1,8:01.0,,Defensive rebound by M. Gasol,8,2
1,7:51.0,,Turnover by M. Conley (bad pass),8,2
1,7:35.0,D. Favors makes 3-pt jump shot from 23 ft (assist by J. Ingles),,11,2
1,7:33.0,,Memphis full timeout,11,2
1,7:20.0,,J. Jackson misses 2-pt layup from 1 ft (block by R. Gobert),11,2
1,7:17.0,,Offensive rebound by J. Jackson,11,2
1,7:15.0,,Turnover by J. Jackson (lost ball; steal by R. Rubio),11,2
1,7:07.0,R. Rubio misses 3-pt jump shot from 25 ft,,11,2
1,7:04.0,,Defensive rebound by M. Gasol,11,2
1,6:57.0,,G. Temple misses 2-pt jump shot from 6 ft,11,2
1,6:53.0,Defensive rebound by D. Favors,,11,2
1,6:36.0,D. Favors makes 2-pt jump shot from 14 ft (assist by J. Ingles),,13,2
1,6:17.0,,G. Temple makes 2-pt layup from 1 ft (assist by J. Jackson),13,4
1,6:02.0,Personal foul by K. Anderson (drawn by J. Ingles),,13,4
1,6:02.0,J. Crowder enters the game for D. Favors,,13,4
1,6:02.0,,S. Mack enters the game for K. Anderson,13,4
1,6:02.0,,W. Selden enters the game for G. Temple,13,4
1,5:57.0,D. Mitchell misses 2-pt jump shot from 11 ft,,13,4
1,5:53.0,,Defensive rebound by M. Gasol,13,4
1,5:47.0,,W. Selden makes 2-pt layup from 4 ft,13,6
1,5:28.0,R. Rubio makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,16,6
1,5:09.0,,M. Conley makes 3-pt jump shot from 27 ft (assist by J. Jackson),16,9
1,4:51.0,Turnover by R. Gobert (lost ball; steal by W. Selden),,16,9
1,4:48.0,,Shooting foul by J. Crowder (drawn by J. Jackson),16,9
1,4:48.0,,J. Jackson makes free throw 1 of 2,16,10
1,4:48.0,A. Burks enters the game for D. Mitchell,,16,10
1,4:48.0,,J. Jackson makes free throw 2 of 2,16,11
1,4:37.0,Offensive foul by R. Gobert (drawn by M. Gasol),,16,11
1,4:37.0,Turnover by R. Gobert (offensive foul),,16,11
1,4:37.0,D. Exum enters the game for R. Gobert,,16,11
1,4:37.0,D. Favors enters the game for R. Rubio,,16,11
1,4:37.0,,K. Anderson enters the game for M. Conley,16,11
1,4:37.0,,M. Brooks enters the game for J. Jackson,16,11
1,4:21.0,,M. Gasol makes 2-pt jump shot from 11 ft (assist by S. Mack),16,13
1,4:01.0,J. Crowder misses 3-pt jump shot from 23 ft,,16,13
1,3:58.0,,Defensive rebound by S. Mack,16,13
1,3:55.0,,Personal foul by D. Favors (drawn by M. Gasol),16,13
1,3:42.0,,Personal foul by A. Burks (drawn by M. Brooks),16,13
1,3:42.0,,M. Brooks makes free throw 1 of 2,16,14
1,3:42.0,,M. Brooks misses free throw 2 of 2,16,14
1,3:39.0,Defensive rebound by A. Burks,,16,14
1,3:25.0,Turnover by D. Favors (3 sec),,16,14
1,3:12.0,,Turnover by S. Mack (bad pass; steal by D. Favors),16,14
1,3:07.0,A. Burks misses 2-pt layup from 1 ft,,16,14
1,3:03.0,,Defensive rebound by S. Mack,16,14
1,2:45.0,,S. Mack misses 3-pt jump shot from 25 ft,16,14
1,2:42.0,Defensive rebound by D. Favors,,16,14
1,2:27.0,Turnover by J. Ingles (lost ball; steal by W. Selden),,16,14
1,2:23.0,,S. Mack makes 2-pt layup from 1 ft (assist by K. Anderson),16,16
1,2:23.0,Utah full timeout,,16,16
1,2:23.0,D. Mitchell enters the game for J. Ingles,,16,16
1,2:23.0,,J. Jackson enters the game for M. Gasol,16,16
1,2:04.0,Turnover by D. Favors (3 sec),,16,16
1,1:46.0,,Turnover by W. Selden (bad pass; steal by D. Favors),16,16
1,1:42.0,D. Exum misses 2-pt layup at rim (block by J. Jackson),,16,16
1,1:41.0,Offensive rebound by D. Favors,,16,16
1,1:41.0,D. Favors makes 2-pt layup at rim,,18,16
1,1:27.0,,S. Mack misses 2-pt layup from 2 ft (block by D. Favors),18,16
1,1:25.0,Defensive rebound by D. Favors,,18,16
1,1:13.0,J. Crowder misses 3-pt jump shot from 25 ft,,18,16
1,1:08.0,,Defensive rebound by S. Mack,18,16
1,1:02.0,,Turnover by J. Jackson (bad pass; steal by D. Mitchell),18,16
1,0:57.0,A. Burks misses 3-pt jump shot from 23 ft,,18,16
1,0:53.0,Offensive rebound by J. Crowder,,18,16
1,0:51.0,D. Exum misses 3-pt jump shot from 26 ft,,18,16
1,0:51.0,,Defensive rebound by K. Anderson,18,16
1,0:39.0,,Offensive foul by M. Brooks (drawn by A. Burks),18,16
1,0:39.0,,Turnover by M. Brooks (offensive foul),18,16
1,0:31.0,D. Mitchell makes 2-pt jump shot from 9 ft,,20,16
1,0:13.0,,K. Anderson misses 2-pt layup from 1 ft (block by J. Crowder),20,16
1,0:12.0,,Offensive rebound by Team,20,16
1,0:06.0,,S. Mack misses 3-pt jump shot from 24 ft,20,16
1,0:03.0,Defensive rebound by J. Crowder,,20,16
