QUARTER,TIME_REMAINING,PORTLAND_ACTION,MILWAUKEE_ACTION,PORTLAND_SCORE,MILWAUKEE_SCORE
1,11:44.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,0,0
1,11:40.0,,Offensive rebound by G. Antetokounmpo,0,0
1,11:39.0,,G. Antetokounmpo makes 2-pt dunk at rim,0,2
1,11:20.0,Turnover by J. Nurkić (lost ball; steal by G. Antetokounmpo),,0,2
1,11:06.0,,E. Bledsoe misses 2-pt jump shot from 15 ft (block by D. Lillard),0,2
1,11:06.0,,Offensive rebound by Team,0,2
1,11:00.0,,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),0,4
1,10:39.0,A. Aminu misses 2-pt jump shot from 12 ft,,0,4
1,10:36.0,,Defensive rebound by K. Middleton,0,4
1,10:32.0,,K. Middleton makes 2-pt layup from 3 ft,0,6
1,10:15.0,J. Nurkić makes 2-pt hook shot from 8 ft,,2,6
1,10:04.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),2,9
1,9:49.0,Turnover by J. Nurkić (bad pass),,2,9
1,9:31.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft,2,11
1,9:16.0,J. Layman misses 3-pt jump shot from 29 ft,,2,11
1,9:13.0,,Defensive rebound by K. Middleton,2,11
1,9:09.0,,Turnover by K. Middleton (bad pass; steal by A. Aminu),2,11
1,9:02.0,C. McCollum makes 3-pt jump shot from 28 ft,,5,11
1,8:49.0,,E. Bledsoe misses 2-pt layup from 4 ft (block by D. Lillard),5,11
1,8:49.0,,Offensive rebound by Team,5,11
1,8:44.0,,B. Lopez misses 3-pt jump shot from 27 ft,5,11
1,8:43.0,,Offensive rebound by M. Brogdon,5,11
1,8:42.0,,M. Brogdon makes 2-pt layup from 1 ft,5,13
1,8:24.0,J. Layman misses 3-pt jump shot from 27 ft,,5,13
1,8:22.0,,Defensive rebound by E. Bledsoe,5,13
1,8:21.0,,Clear path foul by J. Layman,5,13
1,8:21.0,,G. Antetokounmpo misses clear path free throw 1 of 2,5,13
1,8:21.0,,Offensive rebound by Team,5,13
1,8:21.0,,G. Antetokounmpo makes clear path free throw 2 of 2,5,14
1,8:21.0,M. Harkless enters the game for J. Layman,,5,14
1,8:13.0,,K. Middleton misses 3-pt jump shot from 25 ft,5,14
1,8:13.0,Defensive rebound by A. Aminu,,5,14
1,8:02.0,D. Lillard makes 2-pt jump shot from 15 ft,,7,14
1,7:54.0,,Personal foul by M. Harkless (drawn by G. Antetokounmpo),7,14
1,7:36.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,7,14
1,7:32.0,Defensive rebound by A. Aminu,,7,14
1,7:20.0,M. Harkless misses 3-pt jump shot from 23 ft,,7,14
1,7:17.0,,Defensive rebound by E. Bledsoe,7,14
1,7:11.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),7,16
1,6:57.0,D. Lillard misses 3-pt jump shot from 23 ft,,7,16
1,6:53.0,,Defensive rebound by G. Antetokounmpo,7,16
1,6:45.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,7,16
1,6:42.0,Defensive rebound by J. Nurkić,,7,16
1,6:35.0,C. McCollum misses 2-pt layup from 3 ft (block by M. Brogdon),,7,16
1,6:31.0,,Defensive rebound by B. Lopez,7,16
1,6:29.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Brogdon),7,18
1,6:29.0,,Shooting foul by J. Nurkić (drawn by G. Antetokounmpo),7,18
1,6:29.0,,P. Connaughton enters the game for M. Brogdon,7,18
1,6:29.0,,G. Antetokounmpo misses free throw 1 of 1,7,18
1,6:29.0,Defensive rebound by A. Aminu,,7,18
1,6:15.0,C. McCollum misses 2-pt hook shot from 9 ft,,7,18
1,6:13.0,Offensive rebound by J. Nurkić,,7,18
1,6:12.0,J. Nurkić misses 2-pt layup from 2 ft,,7,18
1,6:11.0,,Defensive rebound by Team,7,18
1,6:11.0,Loose ball foul by M. Harkless (drawn by K. Middleton),,7,18
1,5:54.0,,P. Connaughton misses 2-pt dunk at rim,7,18
1,5:46.0,,Offensive rebound by G. Antetokounmpo,7,18
1,5:46.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,7,20
1,5:35.0,A. Aminu misses 3-pt jump shot from 26 ft,,7,20
1,5:32.0,,Defensive rebound by E. Bledsoe,7,20
1,5:18.0,,Turnover by B. Lopez (bad pass; steal by M. Harkless),7,20
1,5:12.0,A. Aminu misses 2-pt jump shot from 11 ft,,7,20
1,5:08.0,,Defensive rebound by E. Bledsoe,7,20
1,5:02.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),7,22
1,5:02.0,Portland full timeout,,7,22
1,5:02.0,M. Leonard enters the game for A. Aminu,,7,22
1,5:02.0,E. Turner enters the game for J. Nurkić,,7,22
1,5:02.0,,T. Maker enters the game for B. Lopez,7,22
1,4:38.0,M. Harkless misses 3-pt jump shot from 23 ft,,7,22
