QUARTER,TIME_REMAINING,DETROIT_ACTION,TORONTO_ACTION,DETROIT_SCORE,TORONTO_SCORE
1,11:38.0,Shooting foul by D. Green (drawn by G. Robinson),,0,0
1,11:38.0,G. Robinson makes free throw 1 of 3,,1,0
1,11:38.0,G. Robinson misses free throw 2 of 3,,1,0
1,11:38.0,Offensive rebound by Team,,1,0
1,11:38.0,G. Robinson makes free throw 3 of 3,,2,0
1,11:27.0,,K. Leonard makes 2-pt layup from 1 ft,2,2
1,11:27.0,,Shooting foul by A. Drummond (drawn by K. Leonard),2,2
1,11:27.0,,K. Leonard makes free throw 1 of 1,2,3
1,11:20.0,R. Jackson makes 2-pt layup from 1 ft,,4,3
1,11:10.0,,J. Valančiūnas misses 3-pt jump shot from 26 ft,4,3
1,11:05.0,Defensive rebound by G. Robinson,,4,3
1,11:00.0,Personal foul by J. Valančiūnas (drawn by A. Drummond),,4,3
1,10:55.0,Turnover by R. Jackson (bad pass),,4,3
1,10:41.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by K. Lowry),4,5
1,10:18.0,B. Griffin makes 3-pt jump shot from 25 ft (assist by R. Bullock),,7,5
1,10:04.0,,Turnover by J. Valančiūnas (out of bounds lost ball),7,5
1,9:49.0,R. Jackson misses 3-pt jump shot from 26 ft,,7,5
1,9:45.0,,Defensive rebound by K. Leonard,7,5
1,9:33.0,,P. Siakam misses 2-pt jump shot from 9 ft,7,5
1,9:30.0,Defensive rebound by A. Drummond,,7,5
1,9:20.0,Detroit full timeout,,7,5
1,9:07.0,R. Bullock misses 3-pt jump shot from 23 ft,,7,5
1,9:05.0,,Defensive rebound by K. Leonard,7,5
1,8:55.0,,K. Leonard makes 2-pt jump shot from 12 ft,7,7
1,8:45.0,Turnover by G. Robinson (traveling),,7,7
1,8:32.0,,K. Leonard makes 2-pt layup from 2 ft (assist by P. Siakam),7,9
1,8:19.0,R. Bullock misses 3-pt jump shot from 23 ft,,7,9
1,8:17.0,,Defensive rebound by K. Lowry,7,9
1,8:14.0,,Personal foul by G. Robinson (drawn by K. Lowry),7,9
1,7:58.0,,K. Lowry makes 2-pt jump shot from 17 ft,7,11
1,7:47.0,A. Drummond misses 2-pt hook shot from 7 ft,,7,11
1,7:46.0,,Defensive rebound by P. Siakam,7,11
1,7:38.0,,Turnover by K. Lowry (bad pass),7,11
1,7:19.0,B. Griffin misses 3-pt jump shot from 25 ft,,7,11
1,7:15.0,,Defensive rebound by K. Leonard,7,11
1,7:11.0,,P. Siakam misses 2-pt layup from 3 ft,7,11
1,7:09.0,Defensive rebound by B. Griffin,,7,11
1,7:03.0,R. Jackson misses 2-pt layup from 3 ft,,7,11
1,7:03.0,Offensive rebound by A. Drummond,,7,11
1,6:59.0,A. Drummond makes 2-pt layup at rim,,9,11
1,6:50.0,,J. Valančiūnas misses 2-pt jump shot from 12 ft,9,11
1,6:47.0,Defensive rebound by R. Bullock,,9,11
1,6:43.0,G. Robinson makes 3-pt jump shot from 24 ft (assist by R. Jackson),,12,11
1,6:22.0,,K. Leonard makes 2-pt jump shot from 11 ft,12,13
1,6:04.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by B. Griffin),,15,13
1,5:51.0,,J. Valančiūnas makes 2-pt layup from 3 ft (assist by K. Lowry),15,15
