QUARTER,TIME_REMAINING,DALLAS_ACTION,PHILADELPHIA_ACTION,DALLAS_SCORE,PHILADELPHIA_SCORE
1,11:43.0,,B. Simmons makes 2-pt jump shot from 5 ft,0,2
1,11:24.0,W. Matthews makes 2-pt jump shot from 14 ft,,2,2
1,11:12.0,,J. Bolden misses 3-pt jump shot from 26 ft,2,2
1,11:09.0,Defensive rebound by D. Jordan,,2,2
1,10:57.0,W. Matthews makes 2-pt jump shot from 10 ft,,4,2
1,10:56.0,,Philadelphia full timeout,4,2
1,10:44.0,,J. Embiid misses 2-pt jump shot from 14 ft,4,2
1,10:41.0,,Offensive rebound by B. Simmons,4,2
1,10:40.0,,B. Simmons makes 2-pt dunk from 1 ft,4,4
1,10:14.0,L. Dončić misses 3-pt jump shot from 29 ft,,4,4
1,10:11.0,,Defensive rebound by F. Korkmaz,4,4
1,10:04.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Embiid),4,6
1,9:50.0,D. Smith misses 2-pt jump shot from 18 ft,,4,6
1,9:48.0,,Defensive rebound by J. Embiid,4,6
1,9:43.0,,J. Bolden makes 2-pt dunk from 1 ft (assist by B. Simmons),4,8
1,9:22.0,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),,6,8
1,9:05.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,6,8
1,9:02.0,Defensive rebound by H. Barnes,,6,8
1,8:55.0,H. Barnes misses 3-pt jump shot from 26 ft,,6,8
1,8:51.0,,Defensive rebound by J. Redick,6,8
1,8:45.0,,Shooting foul by D. Smith (drawn by J. Redick),6,8
1,8:45.0,,J. Redick makes free throw 1 of 2,6,9
1,8:45.0,,J. Redick makes free throw 2 of 2,6,10
1,8:37.0,Turnover by H. Barnes (bad pass; steal by J. Redick),,6,10
1,8:31.0,,J. Redick makes 2-pt layup from 2 ft,6,12
1,8:17.0,D. Smith misses 2-pt layup from 2 ft (block by J. Embiid),,6,12
1,8:15.0,,Defensive rebound by J. Redick,6,12
1,8:11.0,,J. Bolden makes 2-pt layup from 1 ft (assist by B. Simmons),6,14
1,8:11.0,Dallas full timeout,,6,14
1,8:01.0,Shooting foul by J. Embiid (drawn by L. Dončić),,6,14
1,8:01.0,L. Dončić makes free throw 1 of 2,,7,14
1,8:01.0,L. Dončić misses free throw 2 of 2,,7,14
1,7:59.0,,Defensive rebound by J. Bolden,7,14
1,7:48.0,,J. Redick makes 2-pt jump shot from 13 ft (assist by B. Simmons),7,16
1,7:48.0,,Shooting foul by L. Dončić (drawn by J. Redick),7,16
1,7:48.0,,J. Redick misses free throw 1 of 1,7,16
1,7:43.0,Defensive rebound by L. Dončić,,7,16
1,7:34.0,L. Dončić misses 2-pt jump shot from 10 ft,,7,16
1,7:32.0,Offensive rebound by W. Matthews,,7,16
1,7:30.0,Turnover by D. Jordan (out of bounds lost ball),,7,16
1,7:18.0,,J. Redick makes 2-pt layup from 2 ft (assist by B. Simmons),7,18
1,7:04.0,L. Dončić makes 2-pt dunk from 1 ft (assist by D. Jordan),,9,18
1,6:48.0,,J. Embiid makes 2-pt dunk from 2 ft (assist by B. Simmons),9,20
1,6:38.0,W. Matthews misses 3-pt jump shot from 26 ft,,9,20
1,6:34.0,,Defensive rebound by J. Embiid,9,20
1,6:28.0,,Turnover by B. Simmons (bad pass; steal by L. Dončić),9,20
