QUARTER,TIME_REMAINING,MIAMI_ACTION,DETROIT_ACTION,MIAMI_SCORE,DETROIT_SCORE
1,11:41.0,,R. Jackson makes 2-pt jump shot from 7 ft,0,2
1,11:22.0,J. Johnson misses 3-pt jump shot from 26 ft,,0,2
1,11:20.0,,Defensive rebound by R. Bullock,0,2
1,11:09.0,,R. Bullock makes 3-pt jump shot from 29 ft (assist by B. Griffin),0,5
1,10:52.0,R. McGruder makes 2-pt layup from 2 ft,,2,5
1,10:32.0,,R. Bullock makes 3-pt jump shot from 28 ft (assist by B. Griffin),2,8
1,10:22.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Winslow),,4,8
1,9:53.0,,B. Griffin misses 3-pt jump shot from 27 ft,4,8
1,9:49.0,Defensive rebound by J. Johnson,,4,8
1,9:45.0,J. Johnson misses 2-pt layup from 5 ft,,4,8
1,9:42.0,,Defensive rebound by R. Jackson,4,8
1,9:35.0,,R. Bullock makes 2-pt jump shot from 22 ft (assist by B. Griffin),4,10
1,9:18.0,J. Winslow makes 2-pt jump shot from 7 ft,,6,10
1,9:03.0,,B. Brown makes 2-pt layup from 3 ft (assist by B. Griffin),6,12
1,8:43.0,R. McGruder makes 3-pt jump shot from 26 ft (assist by J. Winslow),,9,12
1,8:31.0,,R. Bullock misses 3-pt jump shot from 26 ft,9,12
1,8:28.0,Defensive rebound by J. Johnson,,9,12
1,8:23.0,J. Winslow misses 3-pt jump shot from 23 ft,,9,12
1,8:21.0,,Defensive rebound by A. Drummond,9,12
1,8:16.0,,Shooting foul by H. Whiteside (drawn by B. Griffin),9,12
1,8:16.0,,B. Griffin makes free throw 1 of 2,9,13
1,8:16.0,,B. Griffin misses free throw 2 of 2,9,13
1,8:13.0,Defensive rebound by H. Whiteside,,9,13
1,8:01.0,Shooting foul by A. Drummond (drawn by H. Whiteside),,9,13
1,8:01.0,H. Whiteside misses free throw 1 of 2,,9,13
1,8:01.0,Offensive rebound by Team,,9,13
1,8:01.0,H. Whiteside misses free throw 2 of 2,,9,13
1,7:58.0,,Defensive rebound by A. Drummond,9,13
1,7:48.0,,B. Griffin misses 3-pt jump shot from 28 ft,9,13
1,7:48.0,,Offensive rebound by Team,9,13
1,7:33.0,,A. Drummond misses 2-pt layup from 5 ft (block by H. Whiteside),9,13
1,7:29.0,Defensive rebound by H. Whiteside,,9,13
1,7:28.0,Offensive foul by H. Whiteside (drawn by B. Griffin),,9,13
1,7:28.0,Turnover by H. Whiteside (offensive foul),,9,13
1,7:28.0,B. Adebayo enters the game for H. Whiteside,,9,13
1,7:11.0,,R. Bullock misses 3-pt jump shot from 27 ft,9,13
1,7:09.0,Defensive rebound by J. Winslow,,9,13
1,7:04.0,R. McGruder misses 2-pt layup from 3 ft (block by A. Drummond),,9,13
1,7:01.0,,Defensive rebound by A. Drummond,9,13
1,6:53.0,,B. Griffin makes 2-pt layup from 3 ft,9,15
1,6:36.0,T. Johnson misses 3-pt jump shot from 27 ft,,9,15
1,6:33.0,,Defensive rebound by B. Griffin,9,15
1,6:33.0,,Turnover by B. Griffin (bad pass),9,15
1,6:33.0,,Detroit full timeout,9,15
1,6:10.0,J. Johnson makes 2-pt layup from 2 ft (assist by T. Johnson),,11,15
1,5:57.0,,B. Griffin makes 2-pt jump shot from 7 ft,11,17
1,5:48.0,Turnover by J. Johnson (traveling),,11,17
