QUARTER,TIME_REMAINING,DALLAS_ACTION,CLEVELAND_ACTION,DALLAS_SCORE,CLEVELAND_SCORE
1,11:39.0,L. Dončić misses 2-pt jump shot from 20 ft,,0,0
1,11:38.0,Offensive rebound by M. Kleber,,0,0
1,11:32.0,Offensive foul by H. Barnes (drawn by A. Burks),,0,0
1,11:32.0,Turnover by H. Barnes (offensive foul),,0,0
1,11:17.0,,C. Sexton misses 2-pt layup from 2 ft,0,0
1,11:17.0,Defensive rebound by Team,,0,0
1,10:57.0,M. Kleber misses 2-pt jump shot from 8 ft,,0,0
1,10:55.0,,Defensive rebound by A. Burks,0,0
1,10:46.0,,R. Hood misses 2-pt jump shot from 10 ft,0,0
1,10:41.0,,Offensive rebound by A. Žižić,0,0
1,10:41.0,,A. Žižić misses 2-pt layup from 1 ft,0,0
1,10:40.0,Defensive rebound by D. Finney-Smith,,0,0
1,10:34.0,J. Brunson makes 2-pt jump shot from 10 ft,,2,0
1,10:10.0,,R. Hood makes 3-pt jump shot from 28 ft (assist by C. Sexton),2,3
1,9:56.0,J. Brunson misses 3-pt jump shot from 24 ft,,2,3
1,9:55.0,Offensive rebound by J. Brunson,,2,3
1,9:49.0,Shooting foul by A. Žižić (drawn by J. Brunson),,2,3
1,9:49.0,J. Brunson misses free throw 1 of 2,,2,3
1,9:49.0,Offensive rebound by Team,,2,3
1,9:49.0,J. Brunson makes free throw 2 of 2,,3,3
1,9:38.0,,A. Žižić makes 2-pt dunk from 1 ft (assist by C. Osman),3,5
1,9:27.0,Turnover by L. Dončić (bad pass; steal by C. Osman),,3,5
1,9:22.0,,C. Sexton makes 2-pt layup from 1 ft (assist by C. Osman),3,7
1,9:08.0,L. Dončić makes 2-pt layup from 2 ft,,5,7
1,8:56.0,,A. Žižić makes 2-pt layup from 1 ft (assist by C. Osman),5,9
1,8:40.0,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),,8,9
1,8:27.0,,C. Osman makes 2-pt layup at rim,8,11
1,8:17.0,L. Dončić makes 3-pt jump shot from 28 ft,,11,11
1,8:02.0,,C. Sexton misses 2-pt jump shot from 11 ft,11,11
1,7:59.0,Defensive rebound by H. Barnes,,11,11
1,7:55.0,D. Finney-Smith misses 2-pt layup from 1 ft,,11,11
1,7:49.0,Offensive rebound by M. Kleber,,11,11
1,7:47.0,M. Kleber misses 2-pt layup from 2 ft,,11,11
1,7:47.0,,Defensive rebound by A. Burks,11,11
