QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SAN ANTONIO_ACTION,CHARLOTTE_SCORE,SAN ANTONIO_SCORE
1,11:38.0,,L. Aldridge makes 2-pt jump shot from 20 ft,0,2
1,11:23.0,K. Walker makes 3-pt jump shot from 25 ft (assist by M. Williams),,3,2
1,11:06.0,,D. White makes 3-pt jump shot from 22 ft (assist by L. Aldridge),3,5
1,10:45.0,N. Batum misses 3-pt jump shot from 25 ft,,3,5
1,10:41.0,,Defensive rebound by D. White,3,5
1,10:32.0,,D. DeRozan makes 2-pt jump shot from 17 ft,3,7
1,10:18.0,J. Lamb misses 3-pt jump shot from 26 ft,,3,7
1,10:16.0,,Defensive rebound by P. Gasol,3,7
1,10:06.0,,Shooting foul by B. Biyombo (drawn by P. Gasol),3,7
1,10:06.0,,P. Gasol makes free throw 1 of 2,3,8
1,10:06.0,,P. Gasol makes free throw 2 of 2,3,9
1,9:45.0,Personal foul by D. White (drawn by J. Lamb),,3,9
1,9:32.0,B. Biyombo misses 2-pt layup from 1 ft (block by P. Gasol),,3,9
1,9:29.0,,Defensive rebound by P. Gasol,3,9
1,9:23.0,,L. Aldridge makes 2-pt jump shot from 13 ft (assist by D. White),3,11
1,9:10.0,J. Lamb makes 2-pt jump shot from 14 ft (assist by B. Biyombo),,5,11
1,8:55.0,,B. Forbes misses 3-pt jump shot from 25 ft,5,11
1,8:52.0,Defensive rebound by M. Williams,,5,11
1,8:43.0,M. Williams makes 3-pt jump shot from 26 ft (assist by K. Walker),,8,11
1,8:30.0,,D. DeRozan makes 2-pt jump shot from 11 ft,8,13
1,8:16.0,K. Walker makes 3-pt jump shot from 24 ft (assist by N. Batum),,11,13
1,7:54.0,,B. Forbes misses 2-pt jump shot from 14 ft,11,13
1,7:51.0,,Offensive rebound by L. Aldridge,11,13
1,7:51.0,,Shooting foul by J. Lamb (drawn by L. Aldridge),11,13
1,7:51.0,,L. Aldridge makes free throw 1 of 2,11,14
1,7:51.0,,L. Aldridge makes free throw 2 of 2,11,15
1,7:41.0,K. Walker makes 3-pt jump shot from 24 ft,,14,15
1,7:29.0,,Turnover by P. Gasol (bad pass; steal by B. Biyombo),14,15
1,7:20.0,N. Batum misses 3-pt jump shot from 25 ft,,14,15
1,7:18.0,Offensive rebound by J. Lamb,,14,15
1,7:10.0,J. Lamb makes 2-pt hook shot from 6 ft,,16,15
1,6:58.0,,D. White makes 2-pt layup from 3 ft (assist by L. Aldridge),16,17
1,6:58.0,,Shooting foul by K. Walker (drawn by D. White),16,17
1,6:58.0,,San Antonio full timeout,16,17
1,6:58.0,M. Kidd-Gilchrist enters the game for M. Williams,,16,17
1,6:58.0,,D. White makes free throw 1 of 1,16,18
1,6:45.0,Turnover by M. Kidd-Gilchrist (traveling),,16,18
1,6:45.0,,D. Bertāns enters the game for P. Gasol,16,18
1,6:27.0,,L. Aldridge misses 2-pt jump shot from 12 ft (block by B. Biyombo),16,18
1,6:23.0,Defensive rebound by J. Lamb,,16,18
1,6:19.0,J. Lamb makes 2-pt jump shot from 17 ft,,18,18
1,6:02.0,,D. White misses 2-pt jump shot from 18 ft,18,18
1,5:59.0,Defensive rebound by M. Kidd-Gilchrist,,18,18
1,5:52.0,J. Lamb misses 2-pt jump shot from 16 ft,,18,18
1,5:49.0,,Defensive rebound by D. DeRozan,18,18
1,5:45.0,,B. Forbes misses 3-pt jump shot from 25 ft (block by J. Lamb),18,18
1,5:42.0,Defensive rebound by B. Biyombo,,18,18
1,5:34.0,K. Walker misses 2-pt jump shot from 9 ft,,18,18
1,5:31.0,Offensive rebound by K. Walker,,18,18
1,5:31.0,K. Walker misses 2-pt jump shot from 5 ft,,18,18
1,5:29.0,,Defensive rebound by D. White,18,18
