QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DETROIT_ACTION,SACRAMENTO_SCORE,DETROIT_SCORE
1,11:44.0,,Turnover by R. Bullock (lost ball; steal by I. Shumpert),0,0
1,11:39.0,B. Hield makes 2-pt layup from 2 ft (assist by I. Shumpert),,2,0
1,11:21.0,,B. Griffin makes 2-pt layup from 1 ft,2,2
1,11:08.0,N. Bjelica misses 3-pt jump shot from 27 ft,,2,2
1,11:05.0,,Defensive rebound by B. Brown,2,2
1,10:59.0,,Shooting foul by W. Cauley-Stein (drawn by B. Griffin),2,2
1,10:59.0,,B. Griffin makes free throw 1 of 2,2,3
1,10:59.0,,B. Griffin misses free throw 2 of 2,2,3
1,10:57.0,Defensive rebound by I. Shumpert,,2,3
1,10:45.0,N. Bjelica misses 3-pt jump shot from 26 ft,,2,3
1,10:44.0,,Defensive rebound by B. Brown,2,3
1,10:44.0,Loose ball foul by W. Cauley-Stein (drawn by Z. Pachulia),,2,3
1,10:26.0,,R. Bullock misses 3-pt jump shot from 27 ft,2,3
1,10:23.0,,Offensive rebound by Z. Pachulia,2,3
1,10:19.0,,Shooting foul by N. Bjelica (drawn by B. Griffin),2,3
1,10:19.0,,B. Griffin misses free throw 1 of 2,2,3
1,10:19.0,,Offensive rebound by Team,2,3
1,10:19.0,H. Giles enters the game for W. Cauley-Stein,,2,3
1,10:19.0,,B. Griffin makes free throw 2 of 2,2,4
1,10:04.0,D. Fox misses 3-pt jump shot from 25 ft,,2,4
1,10:00.0,,Defensive rebound by Z. Pachulia,2,4
1,9:53.0,,B. Griffin misses 3-pt jump shot from 24 ft,2,4
1,9:49.0,Defensive rebound by D. Fox,,2,4
1,9:40.0,I. Shumpert makes 2-pt jump shot from 21 ft (assist by H. Giles),,4,4
1,9:18.0,,B. Brown misses 2-pt layup from 3 ft,4,4
1,9:17.0,Defensive rebound by H. Giles,,4,4
1,8:58.0,D. Fox misses 2-pt jump shot from 12 ft,,4,4
1,8:58.0,,Defensive rebound by B. Brown,4,4
1,8:58.0,,Technical foul by,4,4
1,8:58.0,,R. Jackson makes technical free throw,4,5
1,8:40.0,,R. Bullock misses 2-pt jump shot from 16 ft,4,5
1,8:37.0,Defensive rebound by B. Hield,,4,5
1,8:31.0,N. Bjelica makes 2-pt dunk from 1 ft (assist by B. Hield),,6,5
1,8:13.0,,R. Bullock makes 2-pt layup from 1 ft (assist by R. Jackson),6,7
1,8:08.0,B. Hield makes 2-pt layup from 1 ft (assist by I. Shumpert),,8,7
1,7:57.0,,Offensive foul by Z. Pachulia (drawn by D. Fox),8,7
1,7:57.0,,Turnover by Z. Pachulia (offensive foul),8,7
1,7:50.0,H. Giles makes 2-pt jump shot from 8 ft (assist by D. Fox),,10,7
1,7:28.0,,B. Griffin misses 2-pt layup from 6 ft,10,7
1,7:28.0,,Offensive rebound by B. Griffin,10,7
1,7:24.0,,B. Griffin misses 2-pt layup from 6 ft,10,7
1,7:24.0,,Offensive rebound by B. Griffin,10,7
1,7:21.0,,B. Griffin misses 2-pt layup from 1 ft,10,7
1,7:21.0,Defensive rebound by B. Hield,,10,7
1,7:19.0,D. Fox misses 3-pt jump shot from 25 ft,,10,7
1,7:18.0,,Defensive rebound by B. Brown,10,7
1,7:15.0,,B. Griffin makes 2-pt layup from 1 ft (assist by B. Brown),10,9
1,7:02.0,Personal foul by R. Jackson (drawn by N. Bjelica),,10,9
1,6:57.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),,13,9
1,6:50.0,,Detroit full timeout,13,9
1,6:50.0,,J. Leuer enters the game for Z. Pachulia,13,9
1,6:35.0,,J. Leuer misses 2-pt layup from 7 ft (block by B. Hield),13,9
1,6:33.0,,Offensive rebound by J. Leuer,13,9
1,6:28.0,,B. Griffin misses 2-pt hook shot from 7 ft,13,9
1,6:28.0,,Offensive rebound by J. Leuer,13,9
1,6:22.0,,J. Leuer makes 2-pt layup from 1 ft,13,11
1,6:11.0,I. Shumpert misses 2-pt jump shot from 17 ft,,13,11
1,6:09.0,,Defensive rebound by B. Brown,13,11
1,5:56.0,,J. Leuer makes 2-pt layup from 2 ft (assist by B. Griffin),13,13
1,5:36.0,Turnover by H. Giles (bad pass; steal by B. Griffin),,13,13
1,5:32.0,,B. Griffin makes 2-pt jump shot from 5 ft,13,15
1,5:32.0,,Shooting foul by H. Giles (drawn by B. Griffin),13,15
1,5:32.0,M. Bagley enters the game for N. Bjelica,,13,15
1,5:32.0,,B. Griffin makes free throw 1 of 1,13,16
1,5:17.0,Shooting foul by J. Leuer (drawn by H. Giles),,13,16
1,5:17.0,H. Giles misses free throw 1 of 2,,13,16
1,5:17.0,Offensive rebound by Team,,13,16
1,5:17.0,H. Giles makes free throw 2 of 2,,14,16
1,5:07.0,,R. Jackson makes 3-pt jump shot from 25 ft (assist by B. Griffin),14,19
1,4:42.0,H. Giles misses 2-pt hook shot from 7 ft,,14,19
1,4:40.0,,Defensive rebound by B. Brown,14,19
1,4:26.0,,B. Griffin makes 3-pt jump shot from 23 ft,14,22
1,4:15.0,M. Bagley misses 2-pt jump shot from 22 ft,,14,22
1,4:12.0,Offensive rebound by B. Hield,,14,22
1,4:10.0,B. Hield makes 2-pt layup from 2 ft,,16,22
1,3:56.0,,J. Leuer makes 2-pt jump shot from 17 ft (assist by B. Brown),16,24
1,3:46.0,Offensive foul by H. Giles (drawn by J. Leuer),,16,24
