QUARTER,TIME_REMAINING,INDIANA_ACTION,HOUSTON_ACTION,INDIANA_SCORE,HOUSTON_SCORE
1,11:33.0,,P. Tucker makes 3-pt jump shot from 26 ft (assist by C. Paul),0,3
1,11:27.0,Shooting foul by P. Tucker (drawn by T. Young),,0,3
1,11:27.0,T. Young misses free throw 1 of 2,,0,3
1,11:27.0,Offensive rebound by Team,,0,3
1,11:27.0,T. Young makes free throw 2 of 2,,1,3
1,11:18.0,,Personal foul by D. Collison (drawn by C. Capela),1,3
1,11:18.0,,I. Hartenstein enters the game for C. Capela,1,3
1,11:12.0,,J. Harden misses 3-pt jump shot from 26 ft,1,3
1,11:08.0,Defensive rebound by Team,,1,3
1,10:55.0,T. Young makes 2-pt jump shot from 7 ft,,3,3
1,10:41.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),3,6
1,10:36.0,Turnover by D. Collison (bad pass; steal by C. Paul),,3,6
1,10:31.0,,I. Hartenstein makes 2-pt layup from 1 ft (assist by C. Paul),3,8
1,10:14.0,Turnover by B. Bogdanović (bad pass; steal by J. Harden),,3,8
1,10:00.0,,I. Hartenstein makes 2-pt layup from 2 ft (assist by J. Harden),3,10
1,9:44.0,T. Young misses 3-pt jump shot from 23 ft,,3,10
1,9:44.0,,Defensive rebound by J. Ennis,3,10
1,9:19.0,,J. Harden misses 3-pt jump shot from 28 ft,3,10
1,9:15.0,Defensive rebound by M. Turner,,3,10
1,9:10.0,D. Collison misses 3-pt jump shot from 25 ft,,3,10
1,9:07.0,,Defensive rebound by C. Paul,3,10
1,9:02.0,,J. Ennis misses 2-pt layup from 5 ft (block by M. Turner),3,10
1,8:59.0,Defensive rebound by V. Oladipo,,3,10
1,8:57.0,V. Oladipo misses 2-pt layup from 4 ft (block by I. Hartenstein),,3,10
1,8:57.0,Offensive rebound by Team,,3,10
1,8:57.0,,C. Capela enters the game for I. Hartenstein,3,10
1,8:54.0,M. Turner makes 2-pt hook shot from 7 ft (assist by V. Oladipo),,5,10
1,8:34.0,,C. Capela makes 2-pt hook shot from 6 ft (assist by J. Ennis),5,12
1,8:18.0,Personal foul by J. Ennis (drawn by T. Young),,5,12
1,8:04.0,Turnover by V. Oladipo (bad pass; steal by C. Paul),,5,12
1,7:56.0,,C. Paul makes 3-pt jump shot from 27 ft,5,15
1,7:50.0,Indiana full timeout,,5,15
1,7:31.0,Turnover by V. Oladipo (lost ball; steal by C. Paul),,5,15
1,7:27.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),5,17
1,7:09.0,V. Oladipo misses 2-pt jump shot from 9 ft,,5,17
1,7:05.0,Offensive rebound by D. Collison,,5,17
1,7:04.0,M. Turner misses 2-pt layup from 3 ft,,5,17
1,7:01.0,Offensive rebound by M. Turner,,5,17
1,7:01.0,M. Turner makes 2-pt layup from 1 ft,,7,17
1,7:01.0,Shooting foul by C. Capela (drawn by M. Turner),,7,17
1,7:01.0,,E. Gordon enters the game for C. Paul,7,17
1,6:59.0,M. Turner makes free throw 1 of 1,,8,17
1,6:49.0,,Turnover by J. Harden (bad pass; steal by V. Oladipo),8,17
1,6:44.0,T. Young makes 2-pt layup from 3 ft (assist by B. Bogdanović),,10,17
1,6:33.0,,Turnover by J. Harden (bad pass; steal by B. Bogdanović),10,17
1,6:18.0,T. Young misses 2-pt jump shot from 8 ft,,10,17
1,6:14.0,,Defensive rebound by C. Capela,10,17
1,6:11.0,,Turnover by J. Harden (bad pass; steal by T. Young),10,17
1,5:57.0,D. Collison makes 3-pt jump shot from 23 ft (assist by M. Turner),,13,17
1,5:36.0,,E. Gordon misses 2-pt layup from 8 ft (block by M. Turner),13,17
1,5:33.0,Defensive rebound by V. Oladipo,,13,17
1,5:30.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by V. Oladipo),,16,17
1,5:29.0,,Houston full timeout,16,17
1,5:29.0,,G. Clark enters the game for J. Ennis,16,17
1,5:13.0,,J. Harden makes 3-pt jump shot from 27 ft,16,20
1,4:54.0,B. Bogdanović makes 2-pt layup from 8 ft,,18,20
1,4:38.0,,Shooting foul by B. Bogdanović (drawn by C. Capela),18,20
1,4:38.0,,C. Capela misses free throw 1 of 2,18,20
1,4:38.0,,Offensive rebound by Team,18,20
1,4:38.0,C. Joseph enters the game for B. Bogdanović,,18,20
1,4:38.0,D. Sabonis enters the game for T. Young,,18,20
1,4:38.0,,C. Capela misses free throw 2 of 2,18,20
1,4:34.0,Defensive rebound by C. Joseph,,18,20
1,4:17.0,V. Oladipo misses 2-pt jump shot from 5 ft,,18,20
1,4:16.0,Offensive rebound by Team,,18,20
1,4:16.0,,Loose ball foul by P. Tucker (drawn by D. Sabonis),18,20
1,4:10.0,D. Collison misses 3-pt jump shot from 25 ft,,18,20
1,4:06.0,,Defensive rebound by E. Gordon,18,20
1,3:56.0,,Def 3 sec tech foul by Team,18,20
1,3:56.0,,J. Harden makes technical free throw,18,21
1,3:54.0,,Personal foul by V. Oladipo (drawn by P. Tucker),18,21
1,3:45.0,,C. Capela makes 2-pt layup from 5 ft (assist by J. Harden),18,23
1,3:26.0,M. Turner misses 2-pt layup from 7 ft,,18,23
1,3:23.0,,Defensive rebound by G. Clark,18,23
1,3:19.0,,J. Harden misses 3-pt jump shot from 26 ft,18,23
1,3:15.0,Defensive rebound by D. Sabonis,,18,23
1,3:10.0,V. Oladipo makes 2-pt jump shot from 19 ft (assist by C. Joseph),,20,23
1,2:54.0,,E. Gordon misses 3-pt jump shot from 27 ft,20,23
1,2:54.0,,Offensive rebound by C. Capela,20,23
1,2:47.0,,Shooting foul by M. Turner (drawn by J. Harden),20,23
1,2:47.0,,J. Harden makes free throw 1 of 2,20,24
1,2:47.0,B. Bogdanović enters the game for D. Collison,,20,24
1,2:47.0,T. Evans enters the game for M. Turner,,20,24
1,2:47.0,,J. Ennis enters the game for P. Tucker,20,24
1,2:47.0,,J. Harden misses free throw 2 of 2,20,24
1,2:47.0,Defensive rebound by B. Bogdanović,,20,24
1,2:35.0,Personal foul by J. Harden (drawn by D. Sabonis),,20,24
1,2:35.0,D. Sabonis misses free throw 1 of 2,,20,24
1,2:35.0,Offensive rebound by Team,,20,24
1,2:35.0,,C. Paul enters the game for J. Harden,20,24
1,2:35.0,D. Sabonis makes free throw 2 of 2,,21,24
1,2:24.0,,E. Gordon misses 3-pt jump shot from 27 ft,21,24
1,2:19.0,Defensive rebound by T. Evans,,21,24
1,2:07.0,Personal foul by G. Clark (drawn by D. Sabonis),,21,24
1,2:07.0,D. Sabonis makes free throw 1 of 2,,22,24
1,2:07.0,D. McDermott enters the game for V. Oladipo,,22,24
1,2:07.0,D. Sabonis makes free throw 2 of 2,,23,24
1,1:57.0,,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),23,26
1,1:43.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,26,26
1,1:28.0,,Turnover by C. Paul (bad pass; steal by C. Joseph),26,26
1,1:24.0,B. Bogdanović misses 2-pt layup from 3 ft,,26,26
1,1:21.0,Offensive rebound by D. Sabonis,,26,26
1,1:20.0,D. Sabonis makes 2-pt layup from 2 ft,,28,26
1,1:08.0,,E. Gordon misses 2-pt layup from 8 ft (block by T. Evans),28,26
1,1:08.0,,Offensive rebound by Team,28,26
1,1:08.0,,I. Hartenstein enters the game for C. Capela,28,26
1,1:07.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Paul),28,29
1,1:07.0,,Shooting foul by T. Evans (drawn by E. Gordon),28,29
1,1:07.0,,E. Gordon misses free throw 1 of 1,28,29
1,1:07.0,Defensive rebound by D. Sabonis,,28,29
1,0:55.0,Offensive foul by D. Sabonis (drawn by G. Clark),,28,29
1,0:55.0,Turnover by D. Sabonis (offensive foul),,28,29
1,0:42.0,,Personal foul by C. Joseph (drawn by C. Paul),28,29
1,0:42.0,,C. Paul misses free throw 1 of 2,28,29
1,0:42.0,,Offensive rebound by Team,28,29
1,0:42.0,,C. Paul misses free throw 2 of 2,28,29
1,0:40.0,Defensive rebound by D. Sabonis,,28,29
1,0:29.0,Def 3 sec tech foul by Team,,28,29
1,0:29.0,B. Bogdanović makes technical free throw,,29,29
1,0:24.0,Personal foul by C. Paul (drawn by B. Bogdanović),,29,29
1,0:24.0,B. Bogdanović makes free throw 1 of 2,,30,29
1,0:24.0,B. Bogdanović makes free throw 2 of 2,,31,29
1,0:01.0,,C. Paul makes 3-pt jump shot from 27 ft,31,32
2,11:53.0,T. Evans misses 2-pt jump shot from 21 ft,,31,32
2,11:52.0,Offensive rebound by Team,,31,32
