QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SACRAMENTO_ACTION,NEW ORLEANS_SCORE,SACRAMENTO_SCORE
1,11:53.0,,Turnover by B. Hield (lost ball; steal by T. Frazier),0,0
1,11:35.0,J. Holiday misses 3-pt jump shot from 25 ft,,0,0
1,11:32.0,,Defensive rebound by I. Shumpert,0,0
1,11:21.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by D. Fox),0,3
1,11:03.0,T. Frazier makes 3-pt jump shot from 23 ft (assist by A. Davis),,3,3
1,10:44.0,,B. Hield misses 3-pt jump shot from 25 ft,3,3
1,10:41.0,Defensive rebound by A. Davis,,3,3
1,10:29.0,D. Miller misses 3-pt jump shot from 25 ft,,3,3
1,10:27.0,,Defensive rebound by I. Shumpert,3,3
1,10:21.0,,D. Fox misses 2-pt jump shot from 23 ft,3,3
1,10:18.0,Defensive rebound by J. Holiday,,3,3
1,10:10.0,Shooting foul by W. Cauley-Stein (drawn by A. Davis),,3,3
1,10:10.0,A. Davis makes free throw 1 of 2,,4,3
1,10:10.0,A. Davis makes free throw 2 of 2,,5,3
1,9:58.0,,W. Cauley-Stein makes 2-pt jump shot from 14 ft,5,5
1,9:46.0,A. Davis misses 2-pt jump shot from 8 ft,,5,5
1,9:43.0,Offensive rebound by A. Davis,,5,5
1,9:42.0,A. Davis misses 2-pt layup from 4 ft,,5,5
1,9:40.0,,Defensive rebound by N. Bjelica,5,5
1,9:38.0,,Personal foul by T. Frazier (drawn by B. Hield),5,5
1,9:27.0,,B. Hield misses 3-pt jump shot from 26 ft,5,5
1,9:25.0,Defensive rebound by J. Randle,,5,5
1,9:23.0,J. Randle makes 2-pt layup from 2 ft,,7,5
1,9:23.0,Shooting foul by N. Bjelica (drawn by J. Randle),,7,5
1,9:23.0,J. Randle makes free throw 1 of 1,,8,5
1,9:16.0,,Personal foul by T. Frazier (drawn by B. Hield),8,5
1,9:16.0,E. Moore enters the game for T. Frazier,,8,5
1,9:04.0,,N. Bjelica misses 2-pt hook shot from 4 ft,8,5
1,9:02.0,,Offensive rebound by W. Cauley-Stein,8,5
1,8:58.0,,N. Bjelica misses 3-pt jump shot from 25 ft,8,5
1,8:52.0,Defensive rebound by D. Miller,,8,5
1,8:48.0,J. Randle makes 2-pt layup from 5 ft (assist by J. Holiday),,10,5
1,8:38.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,10,5
1,8:35.0,Defensive rebound by J. Holiday,,10,5
1,8:33.0,E. Moore makes 2-pt jump shot from 7 ft,,12,5
1,8:31.0,,Sacramento full timeout,12,5
1,8:14.0,,I. Shumpert makes 2-pt jump shot from 14 ft,12,7
1,7:54.0,D. Miller makes 2-pt jump shot from 7 ft,,14,7
1,7:39.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),14,9
1,7:26.0,A. Davis misses 3-pt jump shot from 26 ft,,14,9
1,7:23.0,,Defensive rebound by N. Bjelica,14,9
1,7:12.0,,I. Shumpert misses 2-pt jump shot from 22 ft,14,9
1,7:09.0,Defensive rebound by A. Davis,,14,9
1,7:05.0,Turnover by J. Randle (traveling),,14,9
1,6:47.0,,Turnover by I. Shumpert (bad pass; steal by A. Davis),14,9
1,6:39.0,D. Miller misses 3-pt jump shot from 26 ft,,14,9
1,6:36.0,,Defensive rebound by N. Bjelica,14,9
1,6:32.0,,I. Shumpert misses 3-pt jump shot from 25 ft,14,9
1,6:29.0,Defensive rebound by A. Davis,,14,9
1,6:27.0,J. Holiday makes 2-pt layup from 1 ft (assist by A. Davis),,16,9
1,6:27.0,Shooting foul by I. Shumpert (drawn by J. Holiday),,16,9
1,6:27.0,J. Okafor enters the game for J. Randle,,16,9
1,6:27.0,,B. Bogdanović enters the game for B. Hield,16,9
1,6:27.0,J. Holiday makes free throw 1 of 1,,17,9
1,6:17.0,,W. Cauley-Stein misses 2-pt dunk from 1 ft,17,9
1,6:14.0,Defensive rebound by J. Okafor,,17,9
1,6:05.0,E. Moore misses 3-pt jump shot from 22 ft,,17,9
1,6:03.0,,Defensive rebound by N. Bjelica,17,9
1,5:56.0,,N. Bjelica misses 2-pt jump shot from 21 ft,17,9
1,5:53.0,Defensive rebound by J. Okafor,,17,9
1,5:41.0,J. Holiday makes 2-pt layup from 2 ft (assist by D. Miller),,19,9
1,5:25.0,,W. Cauley-Stein misses 2-pt hook shot from 4 ft,19,9
1,5:22.0,,Offensive rebound by B. Bogdanović,19,9
1,5:19.0,,B. Bogdanović misses 2-pt jump shot from 17 ft,19,9
1,5:17.0,Defensive rebound by J. Holiday,,19,9
1,5:15.0,,Violation by Team (kicked ball),19,9
1,5:15.0,S. Hill enters the game for D. Miller,,19,9
1,5:15.0,,J. Jackson enters the game for I. Shumpert,19,9
1,5:08.0,S. Hill makes 2-pt layup from 2 ft (assist by E. Moore),,21,9
1,5:08.0,,Sacramento full timeout,21,9
1,5:08.0,,K. Koufos enters the game for W. Cauley-Stein,21,9
1,4:55.0,,D. Fox misses 2-pt jump shot from 19 ft,21,9
1,4:52.0,Defensive rebound by J. Okafor,,21,9
1,4:32.0,A. Davis misses 2-pt layup from 2 ft,,21,9
1,4:29.0,,Defensive rebound by N. Bjelica,21,9
1,4:25.0,,Offensive foul by K. Koufos (drawn by J. Okafor),21,9
1,4:25.0,,Turnover by K. Koufos (offensive foul),21,9
1,4:12.0,E. Moore makes 2-pt jump shot from 9 ft (assist by J. Holiday),,23,9
1,3:56.0,,K. Koufos misses 2-pt hook shot from 7 ft,23,9
1,3:53.0,Defensive rebound by S. Hill,,23,9
1,3:47.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by S. Hill),,26,9
1,3:30.0,,D. Fox makes 2-pt jump shot from 8 ft,26,11
1,3:30.0,,Shooting foul by J. Okafor (drawn by D. Fox),26,11
1,3:30.0,F. Jackson enters the game for J. Holiday,,26,11
1,3:30.0,,D. Fox misses free throw 1 of 1,26,11
1,3:27.0,Defensive rebound by S. Hill,,26,11
1,3:15.0,S. Hill misses 3-pt jump shot from 25 ft,,26,11
1,3:09.0,Offensive rebound by J. Okafor,,26,11
1,3:05.0,J. Okafor makes 2-pt layup from 2 ft,,28,11
1,2:59.0,,B. Bogdanović makes 2-pt layup from 4 ft (assist by D. Fox),28,13
1,2:45.0,Personal foul by D. Fox (drawn by A. Davis),,28,13
1,2:45.0,,Y. Ferrell enters the game for D. Fox,28,13
1,2:34.0,A. Davis makes 2-pt jump shot from 18 ft (assist by F. Jackson),,30,13
1,2:19.0,,J. Jackson misses 2-pt jump shot from 10 ft,30,13
1,2:16.0,Defensive rebound by A. Davis,,30,13
1,2:08.0,F. Jackson makes 2-pt jump shot from 8 ft,,32,13
1,1:52.0,,Personal foul by S. Hill (drawn by B. Bogdanović),32,13
1,1:47.0,,B. Bogdanović makes 2-pt jump shot from 17 ft,32,15
1,1:34.0,E. Moore misses 3-pt jump shot from 26 ft,,32,15
1,1:32.0,,Defensive rebound by K. Koufos,32,15
1,1:26.0,,N. Bjelica misses 3-pt jump shot from 25 ft,32,15
1,1:25.0,,Offensive rebound by K. Koufos,32,15
1,1:21.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by Y. Ferrell),32,18
1,1:08.0,Personal foul by J. Jackson (drawn by A. Davis),,32,18
1,1:08.0,A. Davis makes free throw 1 of 2,,33,18
1,1:08.0,,H. Giles enters the game for N. Bjelica,33,18
1,1:08.0,A. Davis makes free throw 2 of 2,,34,18
1,0:53.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by K. Koufos),34,21
1,0:46.0,Shooting foul by K. Koufos (drawn by A. Davis),,34,21
1,0:46.0,A. Davis makes free throw 1 of 2,,35,21
1,0:46.0,A. Davis makes free throw 2 of 2,,36,21
1,0:39.0,,Shooting foul by E. Moore (drawn by B. Bogdanović),36,21
1,0:39.0,,B. Bogdanović makes free throw 1 of 2,36,22
1,0:39.0,,B. Bogdanović makes free throw 2 of 2,36,23
1,0:33.0,A. Davis misses 3-pt jump shot from 25 ft,,36,23
1,0:32.0,,Defensive rebound by Team,36,23
1,0:32.0,Loose ball foul by J. Okafor (drawn by H. Giles),,36,23
1,0:32.0,,H. Giles makes free throw 1 of 2,36,24
1,0:32.0,,H. Giles makes free throw 2 of 2,36,25
1,0:23.0,E. Moore misses 2-pt layup from 6 ft,,36,25
1,0:21.0,,Defensive rebound by K. Koufos,36,25
1,0:02.0,,H. Giles misses 3-pt jump shot from 26 ft,36,25
1,0:01.0,Defensive rebound by Team,,36,25
2,11:46.0,Turnover by J. Randle (bad pass; steal by H. Giles),,36,25
2,11:41.0,,Y. Ferrell misses 2-pt layup from 2 ft,36,25
2,11:38.0,Defensive rebound by J. Randle,,36,25
2,11:30.0,J. Randle makes 2-pt hook shot from 6 ft,,38,25
2,11:12.0,,H. Giles misses 2-pt layup from 2 ft (block by J. Okafor),38,25
2,11:06.0,Defensive rebound by F. Jackson,,38,25
2,10:59.0,J. Randle makes 2-pt layup from 3 ft,,40,25
2,10:42.0,,J. Jackson misses 3-pt jump shot from 25 ft,40,25
2,10:39.0,Defensive rebound by F. Jackson,,40,25
2,10:31.0,J. Randle misses 3-pt jump shot from 25 ft,,40,25
2,10:27.0,,Defensive rebound by B. Bogdanović,40,25
2,10:27.0,,Personal take foul by D. Miller (drawn by B. Bogdanović),40,25
2,10:27.0,,B. Hield enters the game for Y. Ferrell,40,25
2,10:17.0,,Turnover by B. Hield (out of bounds lost ball),40,25
2,10:04.0,Shooting foul by B. Bogdanović (drawn by F. Jackson),,40,25
2,10:04.0,F. Jackson makes free throw 1 of 2,,41,25
2,10:04.0,,W. Cauley-Stein enters the game for K. Koufos,41,25
2,10:04.0,F. Jackson makes free throw 2 of 2,,42,25
2,9:50.0,,Shooting foul by D. Miller (drawn by B. Bogdanović),42,25
2,9:50.0,,B. Bogdanović makes free throw 1 of 2,42,26
2,9:50.0,,D. Fox enters the game for J. Jackson,42,26
2,9:50.0,,B. Bogdanović makes free throw 2 of 2,42,27
2,9:34.0,Turnover by F. Jackson (bad pass; steal by H. Giles),,42,27
2,9:28.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,42,27
2,9:25.0,Defensive rebound by J. Okafor,,42,27
2,9:18.0,F. Jackson misses 2-pt jump shot from 16 ft,,42,27
2,9:15.0,,Defensive rebound by B. Bogdanović,42,27
2,9:10.0,,B. Hield misses 3-pt jump shot from 23 ft,42,27
2,9:06.0,Defensive rebound by D. Miller,,42,27
2,8:54.0,D. Miller misses 2-pt jump shot from 15 ft,,42,27
2,8:49.0,,Defensive rebound by W. Cauley-Stein,42,27
2,8:44.0,,Turnover by B. Bogdanović (bad pass; steal by T. Frazier),42,27
2,8:41.0,T. Frazier misses 2-pt layup from 1 ft (block by D. Fox),,42,27
2,8:35.0,,Defensive rebound by B. Hield,42,27
2,8:33.0,,B. Hield makes 2-pt layup from 2 ft,42,29
2,8:30.0,Personal foul by B. Hield (drawn by F. Jackson),,42,29
2,8:30.0,,N. Bjelica enters the game for H. Giles,42,29
2,8:17.0,Turnover by J. Randle (bad pass; steal by B. Bogdanović),,42,29
2,8:12.0,,B. Bogdanović misses 2-pt layup from 2 ft,42,29
2,8:10.0,,Offensive rebound by N. Bjelica,42,29
2,8:08.0,,N. Bjelica makes 2-pt layup at rim,42,31
2,8:00.0,New Orleans full timeout,,42,31
2,8:00.0,S. Hill enters the game for F. Jackson,,42,31
2,8:00.0,J. Holiday enters the game for J. Okafor,,42,31
2,7:46.0,Shooting foul by N. Bjelica (drawn by S. Hill),,42,31
2,7:46.0,S. Hill misses free throw 1 of 2,,42,31
2,7:46.0,Offensive rebound by Team,,42,31
2,7:46.0,S. Hill makes free throw 2 of 2,,43,31
2,7:27.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by B. Bogdanović),43,33
2,7:19.0,Shooting foul by D. Fox (drawn by D. Miller),,43,33
2,7:19.0,D. Miller makes free throw 1 of 3,,44,33
2,7:19.0,D. Miller makes free throw 2 of 3,,45,33
2,7:19.0,D. Miller makes free throw 3 of 3,,46,33
2,7:11.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),46,36
2,6:52.0,J. Holiday makes 2-pt layup from 2 ft (assist by D. Miller),,48,36
2,6:44.0,,D. Fox misses 2-pt layup from 3 ft (block by D. Miller),48,36
2,6:44.0,,Offensive rebound by Team,48,36
2,6:44.0,A. Davis enters the game for J. Randle,,48,36
2,6:44.0,,I. Shumpert enters the game for B. Bogdanović,48,36
2,6:38.0,,W. Cauley-Stein makes 2-pt layup from 3 ft (assist by I. Shumpert),48,38
2,6:20.0,T. Frazier misses 2-pt layup from 2 ft,,48,38
2,6:18.0,Offensive rebound by S. Hill,,48,38
2,6:07.0,J. Holiday misses 3-pt jump shot from 25 ft,,48,38
2,6:04.0,,Defensive rebound by B. Hield,48,38
2,5:56.0,,D. Fox makes 2-pt jump shot from 12 ft (assist by W. Cauley-Stein),48,40
2,5:46.0,J. Holiday makes 2-pt dunk from 2 ft (assist by T. Frazier),,50,40
2,5:37.0,,B. Hield makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),50,42
2,5:29.0,J. Holiday makes 2-pt layup from 2 ft (assist by T. Frazier),,52,42
2,5:18.0,,B. Hield misses 3-pt jump shot from 24 ft,52,42
2,5:16.0,,Offensive rebound by Team,52,42
2,5:16.0,E. Moore enters the game for D. Miller,,52,42
2,5:10.0,,W. Cauley-Stein misses 2-pt jump shot from 18 ft,52,42
2,5:05.0,Defensive rebound by E. Moore,,52,42
2,4:56.0,S. Hill makes 3-pt jump shot from 23 ft (assist by T. Frazier),,55,42
2,4:41.0,,Turnover by W. Cauley-Stein (bad pass; steal by E. Moore),55,42
2,4:26.0,J. Holiday makes 2-pt layup from 1 ft,,57,42
2,4:26.0,,Sacramento full timeout,57,42
2,4:18.0,,B. Hield misses 3-pt jump shot from 23 ft,57,42
2,4:15.0,Defensive rebound by T. Frazier,,57,42
2,4:10.0,E. Moore makes 2-pt layup from 2 ft (assist by T. Frazier),,59,42
2,4:03.0,,I. Shumpert makes 3-pt jump shot from 26 ft (assist by D. Fox),59,45
2,3:48.0,Turnover by J. Holiday (bad pass; steal by W. Cauley-Stein),,59,45
2,3:44.0,,Shooting foul by E. Moore (drawn by D. Fox),59,45
2,3:44.0,,D. Fox makes free throw 1 of 2,59,46
2,3:44.0,D. Miller enters the game for T. Frazier,,59,46
2,3:44.0,J. Randle enters the game for S. Hill,,59,46
2,3:44.0,,D. Fox makes free throw 2 of 2,59,47
2,3:36.0,J. Holiday makes 2-pt layup from 2 ft (assist by E. Moore),,61,47
2,3:27.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),61,49
2,3:07.0,D. Miller misses 3-pt jump shot from 22 ft,,61,49
