QUARTER,TIME_REMAINING,CHICAGO_ACTION,PORTLAND_ACTION,CHICAGO_SCORE,PORTLAND_SCORE
1,11:39.0,,C. McCollum makes 2-pt jump shot from 6 ft,0,2
1,11:21.0,Personal foul by C. McCollum (drawn by L. Markkanen),,0,2
1,11:14.0,Z. LaVine misses 2-pt layup from 1 ft,,0,2
1,11:11.0,Offensive rebound by W. Carter,,0,2
1,11:11.0,W. Carter makes 2-pt layup from 1 ft,,2,2
1,11:02.0,,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),2,4
1,10:50.0,K. Dunn makes 2-pt jump shot from 21 ft (assist by L. Markkanen),,4,4
1,10:34.0,,J. Layman misses 2-pt jump shot from 12 ft,4,4
1,10:32.0,Defensive rebound by K. Dunn,,4,4
1,10:28.0,Z. LaVine misses 2-pt layup from 2 ft,,4,4
1,10:28.0,,Defensive rebound by J. Nurkić,4,4
1,10:19.0,,C. McCollum misses 3-pt jump shot from 28 ft,4,4
1,10:14.0,Defensive rebound by C. Hutchison,,4,4
1,10:08.0,K. Dunn misses 3-pt jump shot from 26 ft,,4,4
1,10:04.0,,Defensive rebound by D. Lillard,4,4
1,9:57.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),4,6
1,9:40.0,Turnover by K. Dunn (bad pass; steal by J. Nurkić),,4,6
1,9:31.0,,J. Layman misses 3-pt jump shot from 26 ft,4,6
1,9:28.0,,Offensive rebound by C. McCollum,4,6
1,9:28.0,,C. McCollum makes 2-pt jump shot from 17 ft,4,8
1,9:09.0,L. Markkanen misses 3-pt jump shot from 28 ft,,4,8
1,9:06.0,,Defensive rebound by J. Nurkić,4,8
1,9:00.0,,Turnover by J. Nurkić (bad pass),4,8
1,8:53.0,Z. LaVine makes 2-pt jump shot from 8 ft,,6,8
1,8:31.0,,D. Lillard makes 3-pt jump shot from 27 ft,6,11
1,8:15.0,C. Hutchison makes 2-pt layup from 1 ft (assist by K. Dunn),,8,11
1,8:01.0,,J. Layman misses 3-pt jump shot from 22 ft,8,11
1,7:58.0,Defensive rebound by K. Dunn,,8,11
1,7:51.0,W. Carter makes 2-pt dunk from 1 ft (assist by K. Dunn),,10,11
1,7:39.0,,C. McCollum makes 2-pt layup from 1 ft (assist by J. Nurkić),10,13
1,7:19.0,K. Dunn misses 2-pt jump shot from 9 ft (block by A. Aminu),,10,13
1,7:14.0,,Defensive rebound by J. Nurkić,10,13
1,7:11.0,,A. Aminu misses 2-pt layup from 2 ft,10,13
1,7:09.0,Defensive rebound by L. Markkanen,,10,13
1,6:56.0,L. Markkanen misses 2-pt hook shot from 5 ft,,10,13
1,6:53.0,,Defensive rebound by J. Nurkić,10,13
1,6:48.0,,D. Lillard misses 3-pt jump shot from 32 ft,10,13
1,6:45.0,Defensive rebound by L. Markkanen,,10,13
1,6:33.0,Turnover by Z. LaVine (traveling),,10,13
1,6:33.0,,Portland full timeout,10,13
1,6:20.0,,Offensive foul by J. Nurkić (drawn by C. Hutchison),10,13
1,6:20.0,,Turnover by J. Nurkić (offensive foul),10,13
