QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
4,6:48.0,,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,98,112
4,6:45.0,Defensive rebound by D. Lillard,,98,112
4,6:38.0,Def 3 sec tech foul by Team,,98,112
4,6:38.0,D. Lillard makes technical free throw,,99,112
4,6:29.0,A. Aminu misses 3-pt jump shot from 26 ft,,99,112
4,6:26.0,Offensive rebound by J. Layman,,99,112
4,6:25.0,C. McCollum misses 3-pt jump shot from 26 ft,,99,112
4,6:25.0,,Defensive rebound by K. Caldwell-Pope,99,112
4,6:18.0,,Shooting foul by J. Layman (drawn by L. James),99,112
4,6:18.0,,L. James makes free throw 1 of 2,99,113
4,6:18.0,,L. James makes free throw 2 of 2,99,114
4,6:09.0,Turnover by A. Aminu (bad pass; steal by L. James),,99,114
4,5:56.0,,B. Ingram misses 2-pt jump shot from 19 ft,99,114
4,5:53.0,Defensive rebound by J. Nurkić,,99,114
4,5:36.0,D. Lillard misses 2-pt jump shot from 14 ft,,99,114
4,5:34.0,Offensive rebound by J. Nurkić,,99,114
4,5:31.0,J. Nurkić misses 2-pt layup from 3 ft,,99,114
4,5:26.0,,Defensive rebound by T. Chandler,99,114
4,5:22.0,,Turnover by R. Rondo (bad pass; steal by J. Nurkić),99,114
4,5:20.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,101,114
4,5:20.0,Shooting foul by T. Chandler (drawn by J. Nurkić),,101,114
4,5:20.0,,L. Ball enters the game for K. Caldwell-Pope,101,114
4,5:20.0,,J. Hart enters the game for R. Rondo,101,114
4,5:20.0,J. Nurkić makes free throw 1 of 1,,102,114
4,5:03.0,,B. Ingram makes 2-pt jump shot from 10 ft,102,116
4,4:51.0,D. Lillard makes 2-pt layup from 3 ft,,104,116
4,4:38.0,,Flagrant foul type 1 by C. McCollum (drawn by L. James),104,116
4,4:38.0,,L. James makes flagrant free throw 1 of 2,104,117
4,4:38.0,,L. James makes flagrant free throw 2 of 2,104,118
4,4:23.0,,L. Ball misses 3-pt jump shot from 23 ft,104,118
4,4:22.0,Defensive rebound by Team,,104,118
4,4:17.0,Personal foul by L. Ball (drawn by D. Lillard),,104,118
4,4:17.0,D. Lillard makes free throw 1 of 2,,105,118
4,4:17.0,D. Lillard makes free throw 2 of 2,,106,118
4,3:55.0,,L. James makes 2-pt jump shot from 12 ft,106,120
4,3:55.0,,Shooting foul by J. Layman (drawn by L. James),106,120
4,3:55.0,,L. James makes free throw 1 of 1,106,121
4,3:44.0,A. Aminu makes 3-pt jump shot from 27 ft (assist by C. McCollum),,109,121
4,3:22.0,,Turnover by L. James (bad pass; steal by J. Layman),109,121
4,3:14.0,D. Lillard misses 2-pt layup from 2 ft,,109,121
4,3:12.0,,Defensive rebound by L. James,109,121
4,2:51.0,,L. James misses 2-pt jump shot from 19 ft,109,121
4,2:48.0,,Offensive rebound by L. Ball,109,121
4,2:46.0,,B. Ingram misses 3-pt jump shot from 27 ft,109,121
4,2:43.0,Defensive rebound by J. Nurkić,,109,121
4,2:35.0,A. Aminu makes 2-pt layup from 1 ft,,111,121
4,2:17.0,,B. Ingram misses 2-pt layup from 3 ft,111,121
4,2:15.0,Defensive rebound by J. Nurkić,,111,121
4,2:08.0,C. McCollum misses 2-pt layup from 2 ft,,111,121
4,2:05.0,,Defensive rebound by T. Chandler,111,121
4,1:57.0,,LA Lakers full timeout,111,121
4,1:51.0,,Personal foul by D. Lillard (drawn by L. James),111,121
4,1:51.0,,L. James makes free throw 1 of 2,111,122
4,1:51.0,,L. James makes free throw 2 of 2,111,123
4,1:38.0,C. McCollum makes 2-pt layup from 2 ft,,113,123
4,1:14.0,,J. Hart misses 3-pt jump shot from 23 ft,113,123
4,1:11.0,Defensive rebound by D. Lillard,,113,123
4,1:04.0,D. Lillard misses 2-pt layup from 1 ft (block by L. James),,113,123
4,1:00.0,,Defensive rebound by B. Ingram,113,123
4,0:50.0,,L. James makes 2-pt layup from 1 ft (assist by J. Hart),113,125
4,0:50.0,,Shooting foul by J. Nurkić (drawn by L. James),113,125
4,0:50.0,Z. Collins enters the game for D. Lillard,,113,125
4,0:50.0,M. Leonard enters the game for C. McCollum,,113,125
4,0:50.0,N. Stauskas enters the game for J. Nurkić,,113,125
4,0:50.0,,K. Kuzma enters the game for T. Chandler,113,125
4,0:50.0,,L. James makes free throw 1 of 1,113,126
4,0:39.0,Z. Collins misses 3-pt jump shot from 26 ft,,113,126
4,0:38.0,Offensive rebound by A. Aminu,,113,126
4,0:38.0,A. Aminu makes 2-pt dunk from 2 ft,,115,126
4,0:19.0,,B. Ingram misses 3-pt jump shot from 27 ft,115,126
4,0:14.0,Defensive rebound by M. Leonard,,115,126
4,0:09.0,M. Leonard makes 2-pt dunk from 2 ft (assist by N. Stauskas),,117,126
