QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
1,7:34.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),,16,12
1,7:15.0,,L. Ball misses 2-pt jump shot from 11 ft (block by J. Nurkić),16,12
1,7:13.0,Defensive rebound by J. Nurkić,,16,12
1,7:03.0,A. Aminu makes 2-pt layup from 1 ft (assist by D. Lillard),,18,12
1,7:02.0,,LA Lakers full timeout,18,12
1,6:49.0,,J. McGee misses 2-pt layup from 2 ft,18,12
1,6:47.0,,Offensive rebound by L. Ball,18,12
1,6:43.0,,K. Kuzma misses 2-pt layup from 4 ft (block by J. Nurkić),18,12
1,6:40.0,Defensive rebound by D. Lillard,,18,12
1,6:36.0,D. Lillard misses 2-pt layup from 1 ft,,18,12
1,6:36.0,,Defensive rebound by L. James,18,12
1,6:36.0,,Personal foul by J. Layman (drawn by L. James),18,12
1,6:20.0,,K. Kuzma misses 2-pt layup from 3 ft (block by J. Nurkić),18,12
1,6:14.0,,Offensive rebound by J. McGee,18,12
1,6:14.0,,J. McGee makes 2-pt layup at rim,18,14
1,6:04.0,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),,20,14
1,5:43.0,,L. James misses 2-pt jump shot from 16 ft,20,14
1,5:40.0,Defensive rebound by D. Lillard,,20,14
1,5:33.0,D. Lillard misses 2-pt jump shot from 19 ft,,20,14
1,5:33.0,,Defensive rebound by L. James,20,14
1,5:26.0,,L. Ball misses 2-pt layup from 2 ft (block by D. Lillard),20,14
1,5:22.0,,Offensive rebound by L. Ball,20,14
1,5:22.0,,K. Kuzma misses 2-pt layup from 2 ft,20,14
1,5:19.0,,Offensive rebound by L. Ball,20,14
1,5:14.0,,Turnover by J. McGee (bad pass; steal by C. McCollum),20,14
1,5:09.0,C. McCollum misses 3-pt jump shot from 26 ft,,20,14
1,5:07.0,,Defensive rebound by L. James,20,14
1,4:56.0,,Turnover by K. Kuzma (bad pass; steal by C. McCollum),20,14
1,4:51.0,D. Lillard makes 2-pt dunk from 1 ft (assist by C. McCollum),,22,14
1,4:50.0,,LA Lakers full timeout,22,14
1,4:50.0,E. Turner enters the game for J. Layman,,22,14
1,4:50.0,,T. Chandler enters the game for L. Ball,22,14
1,4:50.0,,J. Hart enters the game for K. Kuzma,22,14
1,4:50.0,,R. Rondo enters the game for J. McGee,22,14
1,4:28.0,,R. Rondo misses 2-pt jump shot from 14 ft,22,14
1,4:26.0,Defensive rebound by J. Nurkić,,22,14
1,4:18.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by C. McCollum),,25,14
1,3:59.0,,B. Ingram makes 3-pt jump shot from 26 ft (assist by L. James),25,17
