QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DENVER_ACTION,CLEVELAND_SCORE,DENVER_SCORE
1,11:42.0,C. Osman misses 2-pt jump shot from 7 ft,,0,0
1,11:39.0,,Defensive rebound by J. Murray,0,0
1,11:30.0,,N. Jokić misses 3-pt jump shot from 25 ft,0,0
1,11:29.0,,Offensive rebound by Team,0,0
1,11:29.0,Loose ball foul by C. Osman (drawn by P. Millsap),,0,0
1,11:22.0,,J. Murray makes 2-pt jump shot from 12 ft (assist by N. Jokić),0,2
1,11:02.0,C. Osman makes 2-pt jump shot from 16 ft,,2,2
1,10:37.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),2,5
1,10:25.0,R. Hood makes 3-pt jump shot from 22 ft (assist by C. Sexton),,5,5
1,10:09.0,,Turnover by M. Beasley (bad pass; steal by C. Sexton),5,5
1,10:06.0,C. Osman makes 2-pt dunk from 1 ft (assist by C. Sexton),,7,5
1,9:48.0,,T. Craig misses 3-pt jump shot from 22 ft,7,5
1,9:47.0,,Offensive rebound by P. Millsap,7,5
1,9:46.0,,P. Millsap makes 2-pt dunk from 2 ft,7,7
1,9:28.0,Def 3 sec tech foul by Team,,7,7
1,9:28.0,R. Hood makes technical free throw,,8,7
1,9:16.0,A. Žižić makes 2-pt hook shot from 2 ft (assist by C. Sexton),,10,7
1,8:57.0,,Offensive foul by J. Murray (drawn by C. Payne),10,7
1,8:57.0,,Turnover by J. Murray (offensive foul),10,7
1,8:52.0,Shooting foul by N. Jokić (drawn by C. Payne),,10,7
1,8:52.0,C. Payne misses free throw 1 of 2,,10,7
1,8:52.0,Offensive rebound by Team,,10,7
1,8:52.0,C. Payne misses free throw 2 of 2,,10,7
1,8:50.0,,Defensive rebound by P. Millsap,10,7
1,8:40.0,,Personal foul by R. Hood (drawn by N. Jokić),10,7
1,8:30.0,,N. Jokić makes 2-pt hook shot from 2 ft (assist by P. Millsap),10,9
1,8:16.0,Turnover by C. Payne (out of bounds lost ball),,10,9
1,8:01.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by J. Murray),10,12
1,7:40.0,A. Žižić makes 2-pt hook shot from 5 ft,,12,12
1,7:24.0,,T. Craig misses 2-pt jump shot from 17 ft,12,12
1,7:22.0,Defensive rebound by C. Osman,,12,12
1,7:14.0,Personal foul by M. Beasley (drawn by C. Sexton),,12,12
1,7:08.0,Shooting foul by P. Millsap (drawn by C. Osman),,12,12
1,7:08.0,C. Osman makes free throw 1 of 3,,13,12
1,7:08.0,C. Osman makes free throw 2 of 3,,14,12
1,7:08.0,C. Osman makes free throw 3 of 3,,15,12
1,6:51.0,,J. Murray misses 3-pt jump shot from 25 ft,15,12
1,6:48.0,Defensive rebound by A. Žižić,,15,12
1,6:37.0,C. Sexton misses 2-pt jump shot from 3 ft,,15,12
1,6:35.0,,Defensive rebound by N. Jokić,15,12
1,6:27.0,,Personal foul by C. Osman (drawn by P. Millsap),15,12
1,6:27.0,,Denver full timeout,15,12
1,6:27.0,J. Blossomgame enters the game for C. Osman,,15,12
1,6:18.0,,J. Murray makes 2-pt dunk from 1 ft (assist by N. Jokić),15,14
1,5:55.0,R. Hood makes 3-pt jump shot from 25 ft,,18,14
1,5:35.0,,N. Jokić makes 3-pt jump shot from 24 ft,18,17
1,5:12.0,C. Sexton makes 2-pt layup from 1 ft,,20,17
1,5:01.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),20,20
1,4:43.0,Turnover by R. Hood (bad pass; steal by P. Millsap),,20,20
1,4:40.0,,Shooting foul by C. Payne (drawn by J. Murray),20,20
1,4:40.0,A. Burks enters the game for R. Hood,,20,20
1,4:40.0,J. Clarkson enters the game for C. Payne,,20,20
1,4:40.0,C. Frye enters the game for A. Žižić,,20,20
1,4:40.0,,G. Harris enters the game for M. Beasley,20,20
1,4:40.0,,M. Plumlee enters the game for P. Millsap,20,20
1,4:40.0,,J. Murray makes free throw 1 of 2,20,21
1,4:40.0,,J. Murray makes free throw 2 of 2,20,22
1,4:29.0,Turnover by J. Blossomgame (off goaltending),,20,22
1,4:14.0,,N. Jokić makes 2-pt layup from 2 ft,20,24
1,4:14.0,,Shooting foul by J. Blossomgame (drawn by N. Jokić),20,24
1,4:14.0,,N. Jokić misses free throw 1 of 1,20,24
1,4:11.0,Defensive rebound by A. Burks,,20,24
1,3:55.0,Turnover by C. Sexton (out of bounds lost ball),,20,24
1,3:31.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by N. Jokić),20,26
1,3:07.0,A. Burks misses 3-pt jump shot from 26 ft,,20,26
1,3:03.0,,Defensive rebound by N. Jokić,20,26
1,2:48.0,,J. Murray makes 3-pt jump shot from 25 ft,20,29
1,2:48.0,Cleveland full timeout,,20,29
1,2:48.0,M. Dellavedova enters the game for C. Sexton,,20,29
1,2:48.0,,W. Barton enters the game for T. Craig,20,29
1,2:48.0,,M. Morris enters the game for J. Murray,20,29
1,2:23.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,20,29
1,2:19.0,Offensive rebound by M. Dellavedova,,20,29
1,2:17.0,M. Dellavedova makes 3-pt jump shot from 25 ft,,23,29
1,1:52.0,,M. Morris makes 2-pt jump shot from 12 ft (assist by N. Jokić),23,31
1,1:31.0,M. Dellavedova makes 2-pt jump shot from 8 ft (assist by J. Blossomgame),,25,31
1,1:19.0,,W. Barton makes 3-pt jump shot from 24 ft (assist by M. Morris),25,34
1,0:59.0,Turnover by A. Burks (bad pass; steal by M. Plumlee),,25,34
1,0:47.0,,W. Barton misses 3-pt jump shot from 22 ft,25,34
1,0:44.0,Defensive rebound by J. Clarkson,,25,34
1,0:35.0,M. Dellavedova misses 3-pt jump shot from 24 ft,,25,34
1,0:32.0,,Defensive rebound by M. Plumlee,25,34
1,0:18.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by G. Harris),25,37
1,0:04.0,Personal foul by W. Barton (drawn by J. Clarkson),,25,37
2,11:45.0,,G. Harris misses 2-pt jump shot from 13 ft,25,37
2,11:41.0,,Offensive rebound by G. Harris,25,37
2,11:38.0,,Personal foul by C. Frye (drawn by T. Lyles),25,37
2,11:29.0,,M. Morris makes 2-pt jump shot from 13 ft,25,39
2,11:02.0,C. Frye misses 3-pt jump shot from 24 ft,,25,39
2,11:00.0,,Defensive rebound by T. Lyles,25,39
2,10:54.0,,M. Morris makes 2-pt jump shot from 17 ft,25,41
2,10:35.0,J. Clarkson misses 3-pt jump shot from 26 ft,,25,41
2,10:32.0,,Defensive rebound by W. Barton,25,41
2,10:21.0,,T. Lyles makes 2-pt jump shot from 10 ft,25,43
2,10:21.0,Cleveland full timeout,,25,43
2,10:21.0,C. Osman enters the game for J. Blossomgame,,25,43
2,10:21.0,A. Žižić enters the game for C. Frye,,25,43
2,10:00.0,Turnover by C. Osman (lost ball; steal by T. Lyles),,25,43
2,9:56.0,,T. Lyles makes 2-pt dunk at rim (assist by W. Barton),25,45
2,9:56.0,C. Sexton enters the game for M. Dellavedova,,25,45
2,9:36.0,A. Žižić makes 2-pt layup from 2 ft (assist by A. Burks),,27,45
2,9:23.0,,Offensive foul by M. Plumlee (drawn by A. Burks),27,45
2,9:23.0,,Turnover by M. Plumlee (offensive foul),27,45
2,9:05.0,A. Žižić misses 2-pt layup from 4 ft (block by G. Harris),,27,45
2,9:05.0,Offensive rebound by A. Burks,,27,45
2,9:02.0,A. Burks misses 2-pt layup from 3 ft (block by M. Plumlee),,27,45
2,8:59.0,,Defensive rebound by M. Plumlee,27,45
2,8:54.0,,M. Plumlee misses 2-pt layup from 3 ft,27,45
2,8:53.0,,Offensive rebound by M. Plumlee,27,45
2,8:50.0,,T. Lyles makes 2-pt layup from 1 ft (assist by M. Plumlee),27,47
2,8:36.0,C. Sexton misses 3-pt jump shot from 23 ft,,27,47
2,8:34.0,,Defensive rebound by M. Plumlee,27,47
2,8:26.0,,W. Barton misses 3-pt jump shot from 25 ft,27,47
2,8:24.0,Defensive rebound by C. Osman,,27,47
2,8:15.0,J. Clarkson makes 3-pt jump shot from 24 ft,,30,47
2,7:57.0,,Turnover by T. Lyles (lost ball; steal by C. Osman),30,47
2,7:52.0,Turnover by C. Osman (bad pass; steal by M. Morris),,30,47
2,7:48.0,,W. Barton makes 2-pt layup from 1 ft (assist by M. Morris),30,49
2,7:42.0,Personal foul by M. Morris (drawn by C. Sexton),,30,49
2,7:42.0,R. Hood enters the game for A. Burks,,30,49
2,7:42.0,,M. Beasley enters the game for G. Harris,30,49
2,7:33.0,J. Clarkson makes 2-pt jump shot from 7 ft,,32,49
2,7:33.0,,Denver full timeout,32,49
2,7:20.0,,T. Lyles misses 3-pt jump shot from 23 ft,32,49
2,7:16.0,Defensive rebound by C. Osman,,32,49
2,7:09.0,J. Clarkson misses 3-pt jump shot from 25 ft,,32,49
2,7:06.0,,Defensive rebound by Team,32,49
2,7:06.0,,P. Millsap enters the game for T. Lyles,32,49
2,6:51.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by W. Barton),32,52
2,6:22.0,Turnover by C. Sexton (lost ball; steal by M. Morris),,32,52
2,6:17.0,,W. Barton misses 3-pt jump shot from 25 ft,32,52
2,6:13.0,Defensive rebound by C. Sexton,,32,52
2,6:12.0,Personal foul by W. Barton (drawn by C. Sexton),,32,52
2,6:12.0,C. Payne enters the game for J. Clarkson,,32,52
2,6:12.0,,T. Craig enters the game for W. Barton,32,52
2,6:12.0,,N. Jokić enters the game for M. Morris,32,52
2,6:12.0,,J. Murray enters the game for M. Plumlee,32,52
2,6:02.0,C. Osman misses 2-pt layup from 3 ft,,32,52
2,6:00.0,,Defensive rebound by N. Jokić,32,52
2,5:56.0,,Turnover by N. Jokić (lost ball; steal by R. Hood),32,52
2,5:51.0,R. Hood misses 3-pt jump shot from 22 ft,,32,52
2,5:48.0,,Defensive rebound by M. Beasley,32,52
2,5:39.0,,P. Millsap makes 2-pt layup from 2 ft (assist by J. Murray),32,54
2,5:32.0,C. Sexton misses 2-pt layup from 3 ft,,32,54
2,5:30.0,,Defensive rebound by N. Jokić,32,54
2,5:27.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),32,57
2,5:26.0,Cleveland full timeout,,32,57
2,5:17.0,Personal foul by T. Craig (drawn by C. Sexton),,32,57
2,5:05.0,C. Osman makes 2-pt hook shot from 6 ft,,34,57
2,5:05.0,Shooting foul by N. Jokić (drawn by C. Osman),,34,57
2,5:05.0,C. Osman misses free throw 1 of 1,,34,57
2,5:02.0,,Defensive rebound by T. Craig,34,57
2,4:47.0,,J. Murray misses 3-pt jump shot from 28 ft,34,57
2,4:41.0,Defensive rebound by A. Žižić,,34,57
2,4:30.0,Shooting foul by T. Craig (drawn by R. Hood),,34,57
2,4:30.0,R. Hood makes free throw 1 of 2,,35,57
2,4:30.0,R. Hood makes free throw 2 of 2,,36,57
2,4:17.0,,M. Beasley makes 3-pt jump shot from 24 ft (assist by N. Jokić),36,60
2,3:59.0,A. Žižić misses 2-pt layup from 2 ft,,36,60
2,3:58.0,,Defensive rebound by P. Millsap,36,60
2,3:50.0,,P. Millsap makes 2-pt layup from 2 ft,36,62
2,3:31.0,Shooting foul by T. Craig (drawn by A. Žižić),,36,62
2,3:31.0,A. Žižić makes free throw 1 of 2,,37,62
2,3:31.0,,W. Barton enters the game for T. Craig,37,62
2,3:31.0,A. Žižić makes free throw 2 of 2,,38,62
2,3:16.0,,P. Millsap makes 2-pt hook shot from 5 ft,38,64
2,2:54.0,C. Sexton makes 2-pt jump shot from 7 ft,,40,64
2,2:42.0,,P. Millsap misses 2-pt jump shot from 10 ft,40,64
2,2:39.0,Defensive rebound by A. Žižić,,40,64
2,2:30.0,C. Osman makes 2-pt layup from 3 ft,,42,64
2,2:09.0,,Shooting foul by C. Payne (drawn by J. Murray),42,64
2,2:09.0,,J. Murray makes free throw 1 of 2,42,65
2,2:09.0,,J. Murray makes free throw 2 of 2,42,66
2,1:51.0,Turnover by C. Payne (bad pass),,42,66
2,1:27.0,,J. Murray misses 3-pt jump shot from 22 ft,42,66
2,1:23.0,Defensive rebound by C. Sexton,,42,66
2,1:19.0,A. Žižić makes 2-pt layup from 1 ft (assist by C. Payne),,44,66
2,0:56.0,,N. Jokić misses 3-pt jump shot from 27 ft,44,66
2,0:54.0,Defensive rebound by Team,,44,66
2,0:54.0,J. Clarkson enters the game for C. Osman,,44,66
2,0:45.0,A. Žižić makes 2-pt layup from 2 ft (assist by C. Sexton),,46,66
2,0:31.0,,N. Jokić makes 2-pt layup from 1 ft (assist by J. Murray),46,68
2,0:10.0,C. Sexton misses 2-pt layup from 2 ft,,46,68
2,0:09.0,,Defensive rebound by N. Jokić,46,68
2,0:01.0,,Shooting foul by C. Payne (drawn by J. Murray),46,68
2,0:01.0,,J. Murray makes free throw 1 of 2,46,69
2,0:01.0,,J. Murray makes free throw 2 of 2,46,70
2,0:01.0,,M. Plumlee enters the game for N. Jokić,46,70
2,0:00.0,R. Hood misses 3-pt jump shot from 48 ft,,46,70
2,0:00.0,Offensive rebound by Team,,46,70
3,11:52.0,,Personal foul by C. Osman (drawn by P. Millsap),46,70
3,11:40.0,,J. Murray misses 2-pt jump shot from 15 ft,46,70
3,11:37.0,,Offensive rebound by N. Jokić,46,70
3,11:35.0,,P. Millsap makes 2-pt hook shot from 7 ft (assist by N. Jokić),46,72
3,11:07.0,A. Žižić makes 2-pt layup from 2 ft (assist by C. Sexton),,48,72
3,10:48.0,,P. Millsap misses 2-pt layup from 1 ft,48,72
3,10:44.0,Defensive rebound by C. Payne,,48,72
3,10:39.0,A. Žižić makes 2-pt jump shot from 11 ft (assist by C. Payne),,50,72
3,10:21.0,,M. Beasley misses 3-pt jump shot from 23 ft,50,72
3,10:20.0,,Offensive rebound by M. Beasley,50,72
3,10:20.0,,Personal foul by C. Sexton (drawn by M. Beasley),50,72
