QUARTER,TIME_REMAINING,MIAMI_ACTION,WASHINGTON_ACTION,MIAMI_SCORE,WASHINGTON_SCORE
1,11:42.0,,J. Wall makes 2-pt layup from 1 ft,0,2
1,11:24.0,H. Whiteside misses 2-pt hook shot from 6 ft,,0,2
1,11:22.0,,Defensive rebound by M. Morris,0,2
1,11:18.0,,J. Wall makes 3-pt jump shot from 25 ft,0,5
1,10:56.0,R. McGruder misses 3-pt jump shot from 24 ft,,0,5
1,10:52.0,,Defensive rebound by J. Wall,0,5
1,10:48.0,,M. Morris misses 2-pt hook shot from 11 ft,0,5
1,10:46.0,Defensive rebound by J. Richardson,,0,5
1,10:38.0,J. Richardson makes 3-pt jump shot from 26 ft,,3,5
1,10:12.0,,J. Wall misses 2-pt jump shot from 16 ft,3,5
1,10:09.0,Defensive rebound by J. Richardson,,3,5
1,10:02.0,J. Richardson misses 2-pt jump shot from 15 ft (block by O. Porter),,3,5
1,9:57.0,Offensive rebound by J. Richardson,,3,5
1,9:56.0,J. Richardson makes 2-pt dunk from 1 ft,,5,5
1,9:40.0,,B. Beal makes 2-pt jump shot from 14 ft,5,7
1,9:16.0,G. Dragić misses 3-pt jump shot from 27 ft,,5,7
1,9:13.0,,Defensive rebound by O. Porter,5,7
1,8:58.0,,Shooting foul by H. Whiteside (drawn by I. Mahinmi),5,7
1,8:58.0,,Offensive rebound by Team,5,7
1,8:58.0,,I. Mahinmi misses free throw 1 of 2,5,7
1,8:58.0,,I. Mahinmi makes free throw 2 of 2,5,8
1,8:46.0,Turnover by R. McGruder (lost ball; steal by J. Wall),,5,8
1,8:43.0,,J. Wall makes 2-pt layup from 2 ft (assist by M. Morris),5,10
1,8:31.0,J. Richardson misses 3-pt jump shot from 27 ft,,5,10
1,8:27.0,,Defensive rebound by M. Morris,5,10
1,8:24.0,,B. Beal misses 2-pt layup from 3 ft (block by G. Dragić),5,10
1,8:21.0,Defensive rebound by R. McGruder,,5,10
1,8:19.0,Personal foul by O. Porter (drawn by H. Whiteside),,5,10
1,8:10.0,G. Dragić misses 2-pt layup from 5 ft (block by I. Mahinmi),,5,10
1,8:09.0,,Defensive rebound by Team,5,10
1,7:53.0,,M. Morris misses 2-pt jump shot from 14 ft,5,10
1,7:49.0,Defensive rebound by R. McGruder,,5,10
1,7:43.0,J. Richardson misses 2-pt layup from 9 ft (block by M. Morris),,5,10
1,7:41.0,Offensive rebound by J. Richardson,,5,10
1,7:39.0,Personal foul by B. Beal (drawn by G. Dragić),,5,10
1,7:32.0,Turnover by H. Whiteside (bad pass; steal by B. Beal),,5,10
1,7:30.0,,Shooting foul by R. McGruder (drawn by B. Beal),5,10
1,7:30.0,,B. Beal makes free throw 1 of 2,5,11
1,7:30.0,,B. Beal misses free throw 2 of 2,5,11
1,7:28.0,Defensive rebound by D. Jones,,5,11
1,7:22.0,G. Dragić makes 2-pt layup from 1 ft,,7,11
