QUARTER,TIME_REMAINING,TORONTO_ACTION,PORTLAND_ACTION,TORONTO_SCORE,PORTLAND_SCORE
1,11:43.0,S. Ibaka makes 2-pt layup from 3 ft (assist by F. VanVleet),,2,0
1,11:25.0,,D. Lillard makes 2-pt layup from 1 ft (assist by J. Nurkić),2,2
1,11:10.0,D. Green makes 3-pt jump shot from 24 ft (assist by F. VanVleet),,5,2
1,10:47.0,,Turnover by A. Aminu (bad pass),5,2
1,10:24.0,S. Ibaka misses 2-pt jump shot from 15 ft,,5,2
1,10:20.0,,Defensive rebound by A. Aminu,5,2
1,10:14.0,,C. McCollum misses 2-pt jump shot from 8 ft,5,2
1,10:10.0,,Offensive rebound by A. Aminu,5,2
1,10:10.0,,A. Aminu makes 2-pt layup from 1 ft,5,4
1,9:59.0,F. VanVleet makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,8,4
1,9:46.0,,A. Aminu makes 2-pt jump shot from 14 ft (assist by C. McCollum),8,6
1,9:32.0,Turnover by P. Siakam (bad pass; steal by J. Nurkić),,8,6
1,9:23.0,,J. Nurkić misses 2-pt layup from 4 ft,8,6
1,9:20.0,,Offensive rebound by J. Nurkić,8,6
1,9:18.0,,M. Harkless misses 3-pt jump shot from 26 ft,8,6
1,9:15.0,Defensive rebound by D. Green,,8,6
1,9:10.0,Shooting foul by J. Nurkić (drawn by S. Ibaka),,8,6
1,9:10.0,S. Ibaka makes free throw 1 of 2,,9,6
1,9:10.0,S. Ibaka makes free throw 2 of 2,,10,6
1,8:59.0,,C. McCollum misses 2-pt jump shot from 17 ft,10,6
1,8:57.0,,Offensive rebound by J. Nurkić,10,6
1,8:56.0,,Shooting foul by K. Leonard (drawn by J. Nurkić),10,6
1,8:56.0,,J. Nurkić makes free throw 1 of 2,10,7
1,8:56.0,,J. Nurkić makes free throw 2 of 2,10,8
1,8:43.0,K. Leonard misses 2-pt layup from 2 ft (block by J. Nurkić),,10,8
1,8:40.0,Offensive rebound by S. Ibaka,,10,8
1,8:38.0,S. Ibaka makes 2-pt dunk from 1 ft,,12,8
1,8:29.0,,J. Nurkić makes 2-pt hook shot from 2 ft,12,10
1,8:21.0,Turnover by F. VanVleet (bad pass; steal by C. McCollum),,12,10
1,8:18.0,,C. McCollum misses 2-pt layup from 1 ft (block by S. Ibaka),12,10
1,8:15.0,Defensive rebound by F. VanVleet,,12,10
1,8:11.0,D. Green misses 3-pt jump shot from 23 ft,,12,10
1,8:09.0,,Defensive rebound by D. Lillard,12,10
1,7:58.0,,J. Nurkić misses 2-pt jump shot from 19 ft,12,10
1,7:55.0,Defensive rebound by D. Green,,12,10
1,7:50.0,K. Leonard misses 3-pt jump shot from 26 ft,,12,10
1,7:48.0,,Defensive rebound by J. Nurkić,12,10
1,7:37.0,,D. Lillard misses 2-pt layup from 2 ft,12,10
1,7:35.0,Defensive rebound by D. Green,,12,10
1,7:29.0,Turnover by K. Leonard (bad pass; steal by C. McCollum),,12,10
1,7:13.0,,M. Harkless makes 2-pt jump shot from 6 ft (assist by C. McCollum),12,12
1,6:55.0,S. Ibaka misses 2-pt jump shot from 19 ft,,12,12
1,6:53.0,,Defensive rebound by C. McCollum,12,12
1,6:47.0,,C. McCollum misses 3-pt jump shot from 26 ft,12,12
1,6:46.0,Defensive rebound by S. Ibaka,,12,12
1,6:34.0,K. Leonard misses 2-pt jump shot from 17 ft,,12,12
1,6:31.0,,Defensive rebound by A. Aminu,12,12
1,6:28.0,,Turnover by A. Aminu (bad pass),12,12
1,6:28.0,,Portland full timeout,12,12
1,6:08.0,P. Siakam misses 2-pt layup from 5 ft,,12,12
1,6:03.0,,Defensive rebound by M. Harkless,12,12
1,6:01.0,,A. Aminu misses 2-pt dunk from 1 ft,12,12
1,6:00.0,Defensive rebound by S. Ibaka,,12,12
1,5:55.0,P. Siakam misses 2-pt layup from 2 ft,,12,12
1,5:54.0,,Defensive rebound by J. Nurkić,12,12
1,5:49.0,,Turnover by M. Harkless (traveling),12,12
1,5:34.0,F. VanVleet misses 3-pt jump shot from 25 ft,,12,12
1,5:32.0,,Defensive rebound by A. Aminu,12,12
1,5:19.0,,Personal foul by D. Green (drawn by A. Aminu),12,12
1,5:19.0,O. Anunoby enters the game for P. Siakam,,12,12
1,5:10.0,,C. McCollum makes 2-pt layup from 1 ft (assist by J. Nurkić),12,14
1,4:49.0,O. Anunoby makes 3-pt jump shot from 22 ft (assist by K. Leonard),,15,14
1,4:30.0,,Turnover by D. Lillard (bad pass; steal by K. Leonard),15,14
1,4:25.0,S. Ibaka misses 3-pt jump shot from 25 ft,,15,14
1,4:21.0,,Defensive rebound by M. Harkless,15,14
1,4:08.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by J. Nurkić),15,17
1,3:46.0,S. Ibaka makes 2-pt jump shot from 2 ft,,17,17
1,3:37.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),17,19
1,3:27.0,Toronto full timeout,,17,19
1,3:27.0,G. Monroe enters the game for S. Ibaka,,17,19
1,3:27.0,,Z. Collins enters the game for A. Aminu,17,19
1,3:27.0,,M. Leonard enters the game for M. Harkless,17,19
1,3:27.0,,N. Stauskas enters the game for C. McCollum,17,19
1,3:27.0,,E. Turner enters the game for J. Nurkić,17,19
1,3:21.0,Turnover by F. VanVleet (bad pass),,17,19
1,3:10.0,,D. Lillard makes 3-pt jump shot from 28 ft (assist by N. Stauskas),17,22
1,2:50.0,Turnover by G. Monroe (3 sec),,17,22
1,2:50.0,D. Wright enters the game for D. Green,,17,22
1,2:30.0,,Z. Collins makes 2-pt jump shot from 2 ft,17,24
1,2:14.0,K. Leonard misses 2-pt hook shot from 6 ft,,17,24
1,2:12.0,,Defensive rebound by N. Stauskas,17,24
1,2:04.0,,Personal foul by G. Monroe (drawn by D. Lillard),17,24
1,2:04.0,P. Siakam enters the game for K. Leonard,,17,24
1,2:04.0,,S. Curry enters the game for D. Lillard,17,24
1,1:44.0,,Turnover by N. Stauskas (lost ball; steal by O. Anunoby),17,24
1,1:42.0,Offensive foul by P. Siakam (drawn by M. Leonard),,17,24
1,1:42.0,Turnover by P. Siakam (offensive foul),,17,24
1,1:27.0,,N. Stauskas misses 3-pt jump shot from 23 ft,17,24
1,1:23.0,Defensive rebound by O. Anunoby,,17,24
1,1:06.0,Turnover by F. VanVleet (bad pass; steal by S. Curry),,17,24
1,1:06.0,C. Miles enters the game for F. VanVleet,,17,24
1,0:47.0,,Z. Collins makes 2-pt layup from 1 ft (assist by S. Curry),17,26
1,0:30.0,P. Siakam makes 3-pt jump shot from 23 ft (assist by D. Wright),,20,26
1,0:10.0,,M. Leonard makes 2-pt jump shot from 14 ft,20,28
1,0:01.0,P. Siakam makes 3-pt jump shot from 23 ft (assist by D. Wright),,23,28
2,11:44.0,,S. Curry misses 2-pt jump shot from 11 ft,23,28
2,11:42.0,Defensive rebound by P. Siakam,,23,28
2,11:29.0,P. Siakam makes 2-pt layup from 2 ft,,25,28
2,11:17.0,,N. Stauskas misses 3-pt jump shot from 25 ft,25,28
2,11:16.0,,Offensive rebound by E. Turner,25,28
2,11:14.0,,E. Turner misses 2-pt jump shot from 7 ft,25,28
2,11:09.0,,Offensive rebound by Z. Collins,25,28
2,11:09.0,,Z. Collins makes 2-pt layup from 1 ft,25,30
2,10:52.0,D. Wright makes 2-pt jump shot from 18 ft,,27,30
2,10:38.0,,E. Turner makes 2-pt layup from 2 ft (assist by Z. Collins),27,32
2,10:22.0,P. Siakam misses 3-pt jump shot from 26 ft,,27,32
2,10:20.0,,Defensive rebound by M. Leonard,27,32
2,10:04.0,,N. Stauskas makes 2-pt layup from 1 ft (assist by M. Leonard),27,34
2,9:51.0,C. Miles misses 2-pt jump shot from 13 ft,,27,34
2,9:49.0,,Defensive rebound by M. Leonard,27,34
