QUARTER,TIME_REMAINING,PORTLAND_ACTION,BOSTON_ACTION,PORTLAND_SCORE,BOSTON_SCORE
3,2:05.0,,Offensive foul by A. Horford (drawn by S. Curry),70,60
3,2:05.0,,Turnover by A. Horford (offensive foul),70,60
3,1:53.0,D. Lillard makes 2-pt jump shot from 17 ft,,72,60
3,1:40.0,,A. Horford misses 3-pt jump shot from 25 ft,72,60
3,1:38.0,Defensive rebound by E. Freedom,,72,60
3,1:28.0,D. Lillard misses 3-pt jump shot from 26 ft,,72,60
3,1:26.0,,Defensive rebound by J. Brown,72,60
3,1:22.0,,J. Brown misses 3-pt jump shot from 26 ft,72,60
3,1:20.0,Defensive rebound by E. Freedom,,72,60
3,1:03.0,S. Curry misses 3-pt jump shot from 25 ft,,72,60
3,1:01.0,,Defensive rebound by J. Brown,72,60
3,0:47.0,,A. Horford makes 2-pt layup from 3 ft (assist by M. Smart),72,62
3,0:31.0,R. Hood misses 3-pt jump shot from 28 ft,,72,62
3,0:29.0,,Defensive rebound by A. Horford,72,62
3,0:07.0,,A. Horford makes 2-pt jump shot from 15 ft (assist by M. Smart),72,64
3,0:00.0,D. Lillard makes 2-pt layup from 2 ft,,74,64
4,11:44.0,Turnover by R. Hood (bad pass; steal by M. Smart),,74,64
4,11:40.0,,M. Smart makes 2-pt layup from 2 ft,74,66
4,11:22.0,Offensive foul by E. Freedom (drawn by G. Hayward),,74,66
4,11:22.0,Turnover by E. Freedom (offensive foul),,74,66
4,11:09.0,,Turnover by G. Hayward (lost ball; steal by E. Freedom),74,66
4,11:05.0,E. Freedom misses 2-pt layup from 2 ft,,74,66
4,11:04.0,Offensive rebound by J. Layman,,74,66
4,11:03.0,J. Layman makes 2-pt dunk at rim,,76,66
4,10:47.0,,J. Brown makes 2-pt layup from 1 ft (assist by M. Morris),76,68
4,10:35.0,Turnover by (8 sec),,76,68
4,10:26.0,,J. Brown makes 2-pt jump shot from 9 ft (assist by G. Hayward),76,70
4,10:17.0,C. McCollum misses 3-pt jump shot from 26 ft,,76,70
4,10:15.0,,Defensive rebound by J. Brown,76,70
4,9:53.0,,M. Smart misses 2-pt jump shot from 22 ft,76,70
4,9:51.0,Defensive rebound by C. McCollum,,76,70
4,9:46.0,R. Hood misses 3-pt jump shot from 23 ft,,76,70
4,9:44.0,,Defensive rebound by Team,76,70
4,9:38.0,,M. Smart makes 2-pt layup from 2 ft,76,72
4,9:38.0,Portland full timeout,,76,72
4,9:38.0,M. Harkless enters the game for J. Layman,,76,72
4,9:20.0,E. Freedom misses 2-pt layup from 3 ft (block by A. Horford),,76,72
4,9:18.0,,Defensive rebound by M. Morris,76,72
4,9:13.0,,M. Morris misses 3-pt jump shot from 26 ft,76,72
4,9:10.0,,Offensive rebound by G. Hayward,76,72
4,9:00.0,,A. Horford misses 3-pt jump shot from 26 ft,76,72
4,8:57.0,,Offensive rebound by M. Smart,76,72
4,8:49.0,,J. Brown makes 2-pt jump shot from 13 ft (assist by A. Horford),76,74
4,8:35.0,C. McCollum misses 2-pt layup from 2 ft,,76,74
4,8:33.0,,Defensive rebound by M. Morris,76,74
4,8:23.0,,M. Smart misses 3-pt jump shot from 27 ft,76,74
4,8:21.0,Defensive rebound by E. Freedom,,76,74
4,8:11.0,M. Harkless makes 2-pt layup from 2 ft,,78,74
4,7:51.0,,A. Horford misses 2-pt jump shot from 13 ft,78,74
4,7:49.0,Defensive rebound by C. McCollum,,78,74
4,7:32.0,C. McCollum misses 3-pt jump shot from 26 ft,,78,74
4,7:30.0,,Defensive rebound by M. Smart,78,74
4,7:25.0,,Boston full timeout,78,74
4,7:25.0,J. Layman enters the game for S. Curry,,78,74
4,7:25.0,D. Lillard enters the game for E. Freedom,,78,74
4,7:25.0,J. Nurkić enters the game for C. McCollum,,78,74
4,7:25.0,,K. Irving enters the game for A. Horford,78,74
4,7:25.0,,J. Tatum enters the game for M. Smart,78,74
4,7:18.0,,M. Morris misses 3-pt jump shot from 25 ft,78,74
4,7:16.0,Defensive rebound by D. Lillard,,78,74
4,7:07.0,J. Nurkić makes 2-pt hook shot from 3 ft,,80,74
4,6:47.0,,K. Irving makes 2-pt hook shot from 2 ft,80,76
4,6:30.0,Personal foul by J. Brown (drawn by J. Nurkić),,80,76
4,6:25.0,J. Nurkić misses 2-pt hook shot from 6 ft,,80,76
4,6:24.0,,Defensive rebound by Team,80,76
4,6:11.0,,G. Hayward misses 2-pt layup from 2 ft,80,76
4,6:09.0,Defensive rebound by J. Nurkić,,80,76
4,6:09.0,A. Aminu enters the game for R. Hood,,80,76
4,6:09.0,C. McCollum enters the game for J. Layman,,80,76
4,6:09.0,,M. Smart enters the game for G. Hayward,80,76
4,6:09.0,,R. Williams enters the game for M. Morris,80,76
4,5:47.0,J. Nurkić makes 2-pt dunk from 1 ft (assist by A. Aminu),,82,76
4,5:32.0,,Turnover by J. Tatum (out of bounds lost ball),82,76
4,5:22.0,Turnover by C. McCollum (traveling),,82,76
4,5:22.0,,A. Horford enters the game for R. Williams,82,76
4,5:09.0,,Turnover by K. Irving (lost ball; steal by D. Lillard),82,76
4,5:02.0,Shooting foul by J. Tatum (drawn by J. Nurkić),,82,76
4,5:02.0,J. Nurkić makes free throw 1 of 2,,83,76
4,5:02.0,J. Nurkić makes free throw 2 of 2,,84,76
4,4:46.0,,M. Smart makes 2-pt layup at rim,84,78
4,4:46.0,,Shooting foul by D. Lillard (drawn by M. Smart),84,78
4,4:46.0,,M. Smart makes free throw 1 of 1,84,79
4,4:28.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by D. Lillard),,87,79
4,4:06.0,,Personal foul by J. Nurkić (drawn by M. Smart),87,79
4,4:05.0,,Personal foul by J. Nurkić (drawn by M. Smart),87,79
4,4:00.0,,Boston full timeout,87,79
4,3:54.0,,K. Irving makes 2-pt layup from 3 ft,87,81
4,3:38.0,M. Harkless makes 2-pt dunk from 2 ft (assist by J. Nurkić),,89,81
4,3:29.0,,K. Irving misses 2-pt jump shot from 5 ft (block by J. Nurkić),89,81
4,3:28.0,Defensive rebound by A. Aminu,,89,81
4,3:28.0,Personal foul by K. Irving (drawn by A. Aminu),,89,81
4,3:28.0,Portland full timeout,,89,81
4,3:14.0,D. Lillard makes 2-pt layup from 2 ft,,91,81
4,3:02.0,,Personal foul by C. McCollum (drawn by K. Irving),91,81
4,2:55.0,,K. Irving misses 2-pt layup from 2 ft (block by J. Nurkić),91,81
4,2:53.0,Defensive rebound by D. Lillard,,91,81
4,2:46.0,Shooting foul by A. Horford (drawn by J. Nurkić),,91,81
4,2:46.0,J. Nurkić makes free throw 1 of 2,,92,81
4,2:46.0,J. Nurkić makes free throw 2 of 2,,93,81
4,2:33.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by A. Horford),93,84
4,2:15.0,Offensive foul by J. Nurkić (drawn by K. Irving),,93,84
4,2:15.0,Turnover by J. Nurkić (offensive foul),,93,84
4,2:07.0,,J. Brown misses 3-pt jump shot from 23 ft,93,84
4,2:06.0,,Offensive rebound by K. Irving,93,84
4,2:05.0,,K. Irving makes 2-pt layup from 1 ft,93,86
4,1:40.0,D. Lillard misses 3-pt jump shot from 27 ft,,93,86
4,1:38.0,Offensive rebound by M. Harkless,,93,86
4,1:35.0,Turnover by M. Harkless (bad pass; steal by A. Horford),,93,86
4,1:26.0,,A. Horford makes 2-pt hook shot from 5 ft,93,88
4,1:05.0,D. Lillard misses 2-pt layup from 3 ft,,93,88
4,1:04.0,Offensive rebound by Team,,93,88
4,0:53.0,C. McCollum misses 3-pt jump shot from 27 ft,,93,88
4,0:52.0,,Defensive rebound by Team,93,88
4,0:44.0,,M. Smart misses 3-pt jump shot from 25 ft,93,88
4,0:42.0,Defensive rebound by A. Aminu,,93,88
4,0:36.0,D. Lillard makes 2-pt layup from 2 ft (assist by C. McCollum),,95,88
4,0:36.0,,Boston full timeout,95,88
4,0:31.0,,A. Horford misses 3-pt jump shot from 25 ft,95,88
