QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,GOLDEN STATE_ACTION,LA CLIPPERS_SCORE,GOLDEN STATE_SCORE
1,11:37.0,M. Gortat makes 2-pt layup from 2 ft (assist by A. Bradley),,2,0
1,11:19.0,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Durant),2,3
1,11:02.0,A. Bradley misses 3-pt jump shot from 25 ft,,2,3
1,11:00.0,,Defensive rebound by D. Green,2,3
1,10:51.0,,K. Thompson misses 2-pt jump shot from 7 ft,2,3
1,10:50.0,Defensive rebound by M. Gortat,,2,3
1,10:43.0,T. Harris makes 3-pt jump shot from 28 ft,,5,3
1,10:27.0,,K. Durant makes 2-pt dunk from 2 ft (assist by D. Green),5,5
1,10:07.0,M. Gortat misses 2-pt hook shot from 8 ft,,5,5
1,10:06.0,,Defensive rebound by K. Durant,5,5
1,9:56.0,,Shooting foul by T. Harris (drawn by S. Curry),5,5
1,9:56.0,,S. Curry makes free throw 1 of 2,5,6
1,9:56.0,,S. Curry makes free throw 2 of 2,5,7
1,9:32.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by D. Green),,5,7
1,9:25.0,,D. Green misses 3-pt jump shot from 27 ft,5,7
1,9:23.0,Defensive rebound by T. Harris,,5,7
1,9:13.0,S. Gilgeous-Alexander misses 2-pt jump shot from 19 ft,,5,7
1,9:11.0,,Defensive rebound by J. Jerebko,5,7
1,8:59.0,,K. Thompson misses 3-pt jump shot from 27 ft,5,7
1,8:54.0,Defensive rebound by M. Gortat,,5,7
1,8:51.0,Shooting foul by K. Thompson (drawn by D. Gallinari),,5,7
1,8:51.0,D. Gallinari makes free throw 1 of 2,,6,7
1,8:51.0,D. Gallinari makes free throw 2 of 2,,7,7
1,8:43.0,,S. Curry makes 2-pt layup from 2 ft,7,9
1,8:43.0,,Shooting foul by A. Bradley (drawn by S. Curry),7,9
1,8:43.0,,S. Curry makes free throw 1 of 1,7,10
1,8:30.0,A. Bradley misses 2-pt layup from 3 ft (block by K. Durant),,7,10
1,8:28.0,,Defensive rebound by S. Curry,7,10
1,8:25.0,,D. Green misses 2-pt layup from 2 ft,7,10
1,8:24.0,,Offensive rebound by D. Green,7,10
1,8:17.0,,S. Curry misses 3-pt jump shot from 23 ft,7,10
1,8:15.0,Defensive rebound by A. Bradley,,7,10
1,8:13.0,S. Gilgeous-Alexander makes 3-pt jump shot from 23 ft (assist by T. Harris),,10,10
1,8:07.0,,D. Green makes 2-pt layup from 3 ft,10,12
1,8:07.0,,Shooting foul by M. Gortat (drawn by D. Green),10,12
1,8:07.0,,D. Green makes free throw 1 of 1,10,13
1,7:48.0,A. Bradley makes 2-pt jump shot from 11 ft,,12,13
1,7:40.0,,K. Durant misses 3-pt jump shot from 30 ft,12,13
1,7:38.0,Defensive rebound by T. Harris,,12,13
1,7:32.0,T. Harris makes 2-pt layup from 1 ft,,14,13
1,7:24.0,,Shooting foul by S. Gilgeous-Alexander (drawn by K. Thompson),14,13
1,7:24.0,,K. Thompson makes free throw 1 of 2,14,14
1,7:24.0,,K. Thompson makes free throw 2 of 2,14,15
1,7:11.0,Turnover by A. Bradley (bad pass),,14,15
1,7:05.0,,Turnover by K. Durant (offensive foul),14,15
1,7:05.0,,Offensive foul by K. Durant (drawn by D. Gallinari),14,15
1,6:49.0,Personal foul by J. Jerebko (drawn by S. Gilgeous-Alexander),,14,15
1,6:49.0,,Golden State full timeout,14,15
1,6:39.0,T. Harris misses 2-pt jump shot from 12 ft,,14,15
1,6:38.0,,Defensive rebound by S. Curry,14,15
1,6:26.0,,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),14,17
1,6:11.0,T. Harris makes 3-pt jump shot from 24 ft (assist by M. Gortat),,17,17
1,5:53.0,,Personal foul by D. Gallinari (drawn by K. Durant),17,17
1,5:53.0,M. Harrell enters the game for M. Gortat,,17,17
1,5:53.0,,K. Looney enters the game for J. Jerebko,17,17
1,5:53.0,,K. Durant makes free throw 1 of 2,17,18
1,5:53.0,,K. Durant makes free throw 2 of 2,17,19
1,5:29.0,M. Harrell makes 2-pt hook shot from 6 ft,,19,19
1,5:14.0,,K. Looney makes 2-pt dunk from 1 ft (assist by D. Green),19,21
1,4:53.0,T. Harris misses 2-pt layup from 2 ft,,19,21
1,4:52.0,,Defensive rebound by K. Durant,19,21
1,4:45.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green),19,24
1,4:39.0,LA Clippers full timeout,,19,24
1,4:39.0,P. Beverley enters the game for A. Bradley,,19,24
1,4:39.0,L. Williams enters the game for S. Gilgeous-Alexander,,19,24
1,4:39.0,,A. Iguodala enters the game for S. Curry,19,24
1,4:39.0,,A. McKinnie enters the game for D. Green,19,24
1,4:17.0,T. Harris makes 3-pt jump shot from 26 ft (assist by L. Williams),,22,24
1,3:59.0,,K. Durant misses 2-pt jump shot from 17 ft,22,24
1,3:58.0,Defensive rebound by P. Beverley,,22,24
1,3:47.0,D. Gallinari makes 2-pt jump shot from 10 ft,,24,24
1,3:26.0,,K. Durant makes 2-pt jump shot from 9 ft,24,26
1,3:18.0,Personal take foul by A. Iguodala (drawn by D. Gallinari),,24,26
1,3:08.0,M. Harrell makes 2-pt layup from 3 ft (assist by L. Williams),,26,26
1,3:08.0,Shooting foul by A. McKinnie (drawn by M. Harrell),,26,26
1,3:08.0,M. Harrell misses free throw 1 of 1,,26,26
1,3:07.0,Offensive rebound by P. Beverley,,26,26
1,3:07.0,P. Beverley misses 2-pt layup at rim,,26,26
1,3:05.0,,Defensive rebound by K. Durant,26,26
1,2:57.0,,K. Thompson misses 3-pt jump shot from 27 ft,26,26
1,2:55.0,Defensive rebound by D. Gallinari,,26,26
1,2:49.0,L. Williams misses 2-pt jump shot from 18 ft,,26,26
1,2:48.0,Offensive rebound by T. Harris,,26,26
1,2:37.0,P. Beverley makes 3-pt jump shot from 26 ft (assist by T. Harris),,29,26
1,2:34.0,,Personal foul by L. Williams (drawn by K. Durant),29,26
1,2:34.0,,K. Durant makes free throw 1 of 2,29,27
1,2:34.0,M. Scott enters the game for D. Gallinari,,29,27
1,2:34.0,,D. Green enters the game for K. Looney,29,27
1,2:34.0,,J. Jerebko enters the game for K. Thompson,29,27
1,2:34.0,,K. Durant makes free throw 2 of 2,29,28
1,2:23.0,P. Beverley misses 3-pt jump shot from 26 ft,,29,28
1,2:21.0,,Defensive rebound by A. McKinnie,29,28
1,2:13.0,,K. Durant misses 3-pt jump shot from 28 ft,29,28
1,2:11.0,Defensive rebound by L. Williams,,29,28
1,2:00.0,Turnover by T. Harris (lost ball; steal by K. Durant),,29,28
1,1:59.0,,Personal take foul by M. Harrell (drawn by K. Durant),29,28
1,1:59.0,,K. Durant makes free throw 1 of 2,29,29
1,1:59.0,,K. Durant makes free throw 2 of 2,29,30
1,1:47.0,P. Beverley misses 2-pt layup from 2 ft,,29,30
1,1:46.0,,Defensive rebound by K. Durant,29,30
1,1:39.0,,Personal foul by M. Harrell (drawn by K. Durant),29,30
1,1:39.0,,K. Durant makes free throw 1 of 2,29,31
1,1:39.0,T. Wallace enters the game for T. Harris,,29,31
1,1:39.0,,K. Durant makes free throw 2 of 2,29,32
1,1:15.0,M. Harrell misses 2-pt hook shot from 11 ft,,29,32
1,1:14.0,Offensive rebound by P. Beverley,,29,32
1,1:09.0,Shooting foul by J. Jerebko (drawn by L. Williams),,29,32
1,1:09.0,L. Williams makes free throw 1 of 2,,30,32
1,1:09.0,L. Williams makes free throw 2 of 2,,31,32
1,0:51.0,,A. McKinnie misses 3-pt jump shot from 28 ft,31,32
1,0:49.0,,Offensive rebound by J. Jerebko,31,32
1,0:41.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by K. Durant),31,34
1,0:31.0,Shooting foul by A. McKinnie (drawn by L. Williams),,31,34
1,0:31.0,L. Williams makes free throw 1 of 2,,32,34
1,0:31.0,S. Thornwell enters the game for M. Harrell,,32,34
1,0:31.0,L. Williams makes free throw 2 of 2,,33,34
1,0:12.0,,A. McKinnie makes 2-pt dunk from 2 ft (assist by K. Durant),33,36
1,0:01.0,L. Williams makes 3-pt jump shot from 26 ft,,36,36
2,11:43.0,,A. Iguodala misses 2-pt jump shot from 17 ft,36,36
2,11:42.0,Defensive rebound by M. Harrell,,36,36
2,11:19.0,M. Harrell misses 3-pt jump shot from 28 ft,,36,36
2,11:18.0,Offensive rebound by Team,,36,36
2,11:18.0,Turnover by Team (shot clock),,36,36
2,11:03.0,,S. Curry misses 3-pt jump shot from 28 ft,36,36
2,11:01.0,Defensive rebound by M. Scott,,36,36
2,10:56.0,Offensive foul by M. Harrell (drawn by J. Jerebko),,36,36
2,10:56.0,Turnover by M. Harrell (offensive foul),,36,36
2,10:56.0,D. Gallinari enters the game for M. Harrell,,36,36
2,10:46.0,,S. Curry misses 3-pt jump shot from 27 ft,36,36
2,10:44.0,,Offensive rebound by S. Livingston,36,36
2,10:42.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by S. Livingston),36,39
2,10:28.0,L. Williams misses 2-pt jump shot from 10 ft,,36,39
2,10:27.0,Offensive rebound by T. Wallace,,36,39
2,10:22.0,T. Wallace makes 2-pt hook shot from 7 ft,,38,39
2,10:14.0,,S. Livingston makes 2-pt jump shot from 11 ft,38,41
2,9:57.0,,Violation by Team (kicked ball),38,41
2,9:45.0,M. Scott makes 3-pt jump shot from 26 ft (assist by L. Williams),,41,41
2,9:32.0,,J. Jerebko misses 3-pt jump shot from 28 ft,41,41
2,9:31.0,,Offensive rebound by S. Curry,41,41
2,9:31.0,Loose ball foul by L. Williams (drawn by S. Curry),,41,41
2,9:31.0,,Technical foul by S. Curry,41,41
2,9:31.0,Technical foul by P. Beverley,,41,41
2,9:24.0,,J. Jerebko makes 2-pt dunk from 1 ft (assist by A. Iguodala),41,43
2,9:12.0,Shooting foul by S. Curry (drawn by P. Beverley),,41,43
2,9:12.0,P. Beverley makes free throw 1 of 2,,42,43
2,9:12.0,A. Bradley enters the game for T. Wallace,,42,43
2,9:12.0,P. Beverley makes free throw 2 of 2,,43,43
2,8:58.0,,D. Green misses 2-pt layup from 1 ft,43,43
2,8:57.0,Defensive rebound by M. Scott,,43,43
2,8:39.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by L. Williams),,46,43
2,8:29.0,,S. Curry misses 3-pt jump shot from 27 ft,46,43
2,8:28.0,,Offensive rebound by S. Livingston,46,43
2,8:28.0,,Shooting foul by D. Gallinari (drawn by S. Livingston),46,43
2,8:28.0,,S. Livingston makes free throw 1 of 2,46,44
2,8:28.0,,K. Looney enters the game for D. Green,46,44
2,8:28.0,,K. Thompson enters the game for A. Iguodala,46,44
2,8:28.0,,S. Livingston misses free throw 2 of 2,46,44
2,8:27.0,Defensive rebound by M. Scott,,46,44
2,8:15.0,L. Williams makes 2-pt jump shot from 7 ft,,48,44
2,8:04.0,,Shooting foul by A. Bradley (drawn by S. Curry),48,44
2,8:04.0,,S. Curry misses free throw 1 of 2,48,44
2,8:04.0,,Offensive rebound by Team,48,44
2,8:04.0,,A. McKinnie enters the game for J. Jerebko,48,44
2,8:04.0,,S. Curry makes free throw 2 of 2,48,45
2,7:49.0,D. Gallinari misses 2-pt jump shot from 18 ft,,48,45
2,7:48.0,,Defensive rebound by K. Looney,48,45
2,7:39.0,,S. Livingston misses 2-pt jump shot from 14 ft,48,45
2,7:38.0,Defensive rebound by D. Gallinari,,48,45
2,7:27.0,L. Williams misses 2-pt layup from 2 ft,,48,45
2,7:26.0,,Defensive rebound by S. Curry,48,45
2,7:20.0,,Personal foul by P. Beverley (drawn by K. Thompson),48,45
2,7:20.0,S. Gilgeous-Alexander enters the game for P. Beverley,,48,45
2,7:14.0,,S. Curry makes 3-pt jump shot from 29 ft,48,48
2,7:12.0,LA Clippers full timeout,,48,48
2,7:12.0,T. Harris enters the game for M. Scott,,48,48
2,7:00.0,Def 3 sec tech foul by Team,,48,48
