QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SACRAMENTO_ACTION,CLEVELAND_SCORE,SACRAMENTO_SCORE
1,11:39.0,,N. Bjelica misses 3-pt jump shot from 25 ft,0,0
1,11:35.0,Defensive rebound by A. Žižić,,0,0
1,11:20.0,C. Osman misses 2-pt jump shot from 18 ft,,0,0
1,11:17.0,,Defensive rebound by D. Fox,0,0
1,11:16.0,,H. Barnes makes 2-pt dunk from 1 ft (assist by D. Fox),0,2
1,11:05.0,Personal foul by N. Bjelica (drawn by L. Nance),,0,2
1,10:48.0,A. Žižić misses 2-pt jump shot from 15 ft,,0,2
1,10:45.0,,Defensive rebound by D. Fox,0,2
1,10:41.0,,B. Hield misses 3-pt jump shot from 25 ft,0,2
1,10:35.0,Defensive rebound by L. Nance,,0,2
1,10:28.0,L. Nance misses 3-pt jump shot from 25 ft,,0,2
1,10:23.0,,Defensive rebound by B. Hield,0,2
1,10:16.0,,D. Fox misses 3-pt jump shot from 22 ft,0,2
1,10:13.0,Defensive rebound by L. Nance,,0,2
1,10:03.0,B. Knight misses 2-pt jump shot from 19 ft,,0,2
1,10:01.0,,Defensive rebound by H. Barnes,0,2
1,9:52.0,,W. Cauley-Stein makes 2-pt layup from 3 ft (assist by D. Fox),0,4
1,9:32.0,C. Osman makes 2-pt jump shot from 23 ft,,2,4
1,9:07.0,,D. Fox makes 3-pt jump shot from 25 ft,2,7
1,8:52.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by C. Osman),,5,7
1,8:36.0,,Personal foul by C. Osman (drawn by W. Cauley-Stein),5,7
1,8:29.0,,B. Hield misses 2-pt jump shot from 19 ft,5,7
1,8:26.0,Defensive rebound by L. Nance,,5,7
1,8:12.0,L. Nance misses 2-pt hook shot from 9 ft,,5,7
1,8:09.0,,Defensive rebound by W. Cauley-Stein,5,7
1,8:01.0,,B. Hield makes 2-pt layup from 2 ft (assist by N. Bjelica),5,9
1,7:49.0,C. Sexton misses 2-pt hook shot from 5 ft,,5,9
1,7:45.0,Offensive rebound by A. Žižić,,5,9
1,7:44.0,A. Žižić makes 2-pt layup from 2 ft,,7,9
1,7:34.0,,B. Hield makes 2-pt dunk from 1 ft (assist by W. Cauley-Stein),7,11
1,7:10.0,Turnover by A. Žižić (out of bounds lost ball),,7,11
1,7:00.0,,N. Bjelica misses 3-pt jump shot from 25 ft,7,11
1,6:58.0,Defensive rebound by C. Sexton,,7,11
1,6:43.0,C. Osman misses 3-pt jump shot from 26 ft,,7,11
1,6:40.0,,Defensive rebound by D. Fox,7,11
1,6:33.0,,N. Bjelica misses 2-pt layup from 2 ft (block by A. Žižić),7,11
1,6:30.0,Defensive rebound by L. Nance,,7,11
1,6:16.0,B. Knight misses 3-pt jump shot from 25 ft,,7,11
1,6:14.0,Offensive rebound by L. Nance,,7,11
1,6:14.0,L. Nance makes 2-pt layup at rim,,9,11
1,6:14.0,Violation by Team (delay of game),,9,11
1,6:02.0,,W. Cauley-Stein makes 2-pt jump shot from 18 ft (assist by N. Bjelica),9,13
1,5:36.0,L. Nance misses 2-pt hook shot from 5 ft,,9,13
1,5:33.0,,Defensive rebound by W. Cauley-Stein,9,13
1,5:32.0,,Sacramento full timeout,9,13
1,5:32.0,J. Clarkson enters the game for B. Knight,,9,13
1,5:32.0,,M. Bagley enters the game for W. Cauley-Stein,9,13
1,5:23.0,,H. Barnes misses 3-pt jump shot from 24 ft,9,13
1,5:19.0,Defensive rebound by A. Žižić,,9,13
1,5:18.0,Turnover by A. Žižić (lost ball; steal by B. Hield),,9,13
1,5:09.0,,B. Hield makes 2-pt layup from 2 ft,9,15
1,5:06.0,Personal foul by M. Bagley (drawn by A. Žižić),,9,15
1,5:06.0,M. Chriss enters the game for A. Žižić,,9,15
1,4:50.0,C. Sexton misses 2-pt layup from 3 ft,,9,15
1,4:47.0,,Defensive rebound by N. Bjelica,9,15
1,4:45.0,,D. Fox misses 2-pt jump shot from 13 ft,9,15
1,4:43.0,Defensive rebound by L. Nance,,9,15
1,4:35.0,J. Clarkson makes 2-pt layup from 3 ft,,11,15
1,4:18.0,,N. Bjelica misses 3-pt jump shot from 27 ft,11,15
1,4:16.0,Defensive rebound by M. Chriss,,11,15
1,4:09.0,J. Clarkson makes 2-pt jump shot from 8 ft,,13,15
1,4:09.0,,Sacramento full timeout,13,15
1,4:09.0,,B. Bogdanović enters the game for H. Barnes,13,15
1,4:09.0,,K. Koufos enters the game for N. Bjelica,13,15
1,3:51.0,,B. Hield misses 3-pt jump shot from 25 ft,13,15
1,3:47.0,Defensive rebound by C. Osman,,13,15
1,3:47.0,Turnover by C. Sexton (step out of bounds),,13,15
1,3:31.0,,M. Bagley misses 2-pt hook shot from 13 ft,13,15
1,3:29.0,Defensive rebound by L. Nance,,13,15
1,3:29.0,D. Nwaba enters the game for L. Nance,,13,15
1,3:18.0,Turnover by C. Sexton (bad pass),,13,15
1,3:06.0,,K. Koufos makes 2-pt hook shot from 4 ft (assist by M. Bagley),13,17
1,3:06.0,,Shooting foul by D. Nwaba (drawn by K. Koufos),13,17
1,3:06.0,,C. Brewer enters the game for D. Fox,13,17
1,3:06.0,,Y. Ferrell enters the game for B. Hield,13,17
1,3:06.0,,K. Koufos misses free throw 1 of 1,13,17
1,2:54.0,Defensive rebound by M. Chriss,,13,17
1,2:45.0,C. Osman makes 2-pt hook shot from 3 ft,,15,17
1,2:20.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by K. Koufos),15,20
1,2:07.0,Turnover by D. Nwaba (bad pass; steal by C. Brewer),,15,20
1,2:03.0,,M. Bagley makes 2-pt layup from 2 ft (assist by B. Bogdanović),15,22
1,1:54.0,C. Sexton makes 2-pt layup from 2 ft,,17,22
1,1:45.0,,M. Bagley makes 2-pt hook shot from 8 ft (assist by Y. Ferrell),17,24
1,1:32.0,M. Chriss misses 2-pt dunk from 1 ft,,17,24
1,1:30.0,Offensive rebound by C. Osman,,17,24
1,1:27.0,J. Clarkson misses 3-pt jump shot from 23 ft,,17,24
1,1:23.0,,Defensive rebound by K. Koufos,17,24
1,1:14.0,,Y. Ferrell misses 3-pt jump shot from 26 ft,17,24
1,1:09.0,,Offensive rebound by C. Brewer,17,24
1,1:04.0,,Y. Ferrell makes 2-pt layup from 2 ft,17,26
1,0:53.0,C. Sexton makes 3-pt jump shot from 25 ft,,20,26
1,0:52.0,Violation by Team (delay of game),,20,26
1,0:52.0,Violation by Team (delay of game),,20,26
1,0:52.0,,Y. Ferrell makes technical free throw,20,27
1,0:52.0,B. Knight enters the game for M. Chriss,,20,27
1,0:52.0,N. Stauskas enters the game for C. Osman,,20,27
1,0:40.0,,K. Koufos misses 2-pt hook shot from 11 ft,20,27
1,0:36.0,Defensive rebound by D. Nwaba,,20,27
1,0:33.0,Turnover by D. Nwaba (bad pass; steal by C. Brewer),,20,27
1,0:31.0,,C. Brewer makes 2-pt dunk from 1 ft,20,29
1,0:20.0,Shooting foul by C. Brewer (drawn by B. Knight),,20,29
1,0:20.0,B. Knight makes free throw 1 of 2,,21,29
1,0:20.0,,N. Bjelica enters the game for K. Koufos,21,29
1,0:20.0,B. Knight makes free throw 2 of 2,,22,29
1,0:00.0,,B. Bogdanović misses 2-pt jump shot from 19 ft,22,29
1,0:00.0,,Offensive rebound by Team,22,29
2,11:48.0,M. Chriss misses 2-pt dunk from 1 ft,,22,29
2,11:45.0,,Defensive rebound by M. Bagley,22,29
2,11:34.0,,Turnover by K. Koufos (bad pass),22,29
2,11:21.0,J. Clarkson makes 2-pt jump shot from 5 ft,,24,29
2,10:57.0,,M. Bagley misses 2-pt jump shot from 13 ft,24,29
2,10:53.0,Defensive rebound by J. Clarkson,,24,29
2,10:47.0,D. Nwaba makes 2-pt jump shot from 11 ft (assist by J. Clarkson),,26,29
2,10:33.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by H. Barnes),26,32
2,10:11.0,J. Clarkson makes 2-pt jump shot from 9 ft,,28,32
2,9:55.0,,M. Bagley misses 3-pt jump shot from 23 ft,28,32
2,9:51.0,Defensive rebound by M. Chriss,,28,32
2,9:43.0,Personal foul by M. Bagley (drawn by M. Chriss),,28,32
2,9:43.0,,W. Cauley-Stein enters the game for K. Koufos,28,32
2,9:31.0,N. Stauskas misses 3-pt jump shot from 26 ft,,28,32
2,9:27.0,Offensive rebound by D. Nwaba,,28,32
2,9:23.0,D. Nwaba makes 2-pt layup from 2 ft,,30,32
2,9:23.0,,Sacramento full timeout,30,32
2,9:10.0,,B. Bogdanović misses 2-pt jump shot from 20 ft,30,32
2,9:06.0,Defensive rebound by D. Nwaba,,30,32
2,9:03.0,D. Nwaba misses 2-pt jump shot from 10 ft,,30,32
2,9:00.0,Offensive rebound by D. Nwaba,,30,32
2,8:59.0,D. Nwaba makes 2-pt layup from 1 ft,,32,32
2,8:45.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),32,35
2,8:25.0,M. Chriss misses 3-pt jump shot from 25 ft,,32,35
2,8:21.0,Offensive rebound by D. Nwaba,,32,35
2,8:10.0,Turnover by Team (shot clock),,32,35
2,8:10.0,A. Žižić enters the game for M. Chriss,,32,35
2,8:10.0,,N. Bjelica enters the game for M. Bagley,32,35
2,7:57.0,,B. Bogdanović misses 2-pt jump shot from 5 ft,32,35
2,7:55.0,,Offensive rebound by B. Bogdanović,32,35
2,7:53.0,,B. Bogdanović makes 2-pt jump shot from 5 ft,32,37
2,7:37.0,B. Knight misses 3-pt jump shot from 26 ft,,32,37
2,7:33.0,,Defensive rebound by W. Cauley-Stein,32,37
2,7:17.0,,Y. Ferrell makes 2-pt layup from 2 ft,32,39
2,7:08.0,Shooting foul by W. Cauley-Stein (drawn by N. Stauskas),,32,39
2,7:08.0,N. Stauskas makes free throw 1 of 2,,33,39
2,7:08.0,C. Sexton enters the game for D. Nwaba,,33,39
2,7:08.0,,D. Fox enters the game for B. Bogdanović,33,39
