QUARTER,TIME_REMAINING,DALLAS_ACTION,UTAH_ACTION,DALLAS_SCORE,UTAH_SCORE
1,11:47.0,T. Hardaway makes 2-pt jump shot from 11 ft (assist by J. Brunson),,2,0
1,11:29.0,,J. Ingles misses 3-pt jump shot from 27 ft,2,0
1,11:27.0,Defensive rebound by J. Brunson,,2,0
1,11:20.0,T. Hardaway misses 2-pt jump shot from 18 ft,,2,0
1,11:17.0,,Defensive rebound by R. Gobert,2,0
1,11:13.0,,D. Mitchell makes 2-pt layup from 3 ft,2,2
1,11:13.0,,Shooting foul by D. Finney-Smith (drawn by D. Mitchell),2,2
1,11:13.0,,D. Mitchell makes free throw 1 of 1,2,3
1,10:56.0,Turnover by J. Brunson (bad pass; steal by R. Rubio),,2,3
1,10:44.0,,D. Favors misses 3-pt jump shot from 24 ft,2,3
1,10:41.0,Defensive rebound by D. Finney-Smith,,2,3
1,10:35.0,J. Brunson misses 2-pt jump shot from 6 ft,,2,3
1,10:35.0,,Defensive rebound by Team,2,3
1,10:16.0,,R. Rubio misses 3-pt jump shot from 26 ft,2,3
1,10:13.0,,Offensive rebound by J. Ingles,2,3
1,10:01.0,,D. Favors misses 2-pt jump shot from 15 ft,2,3
1,9:58.0,Defensive rebound by S. Mejri,,2,3
1,9:53.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,2,3
1,9:49.0,Offensive rebound by T. Hardaway,,2,3
1,9:42.0,S. Mejri misses 2-pt jump shot from 12 ft,,2,3
1,9:39.0,,Defensive rebound by R. Gobert,2,3
1,9:30.0,,Turnover by D. Mitchell (bad pass; steal by S. Mejri),2,3
1,9:26.0,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by T. Hardaway),,4,3
1,9:10.0,,J. Ingles misses 3-pt jump shot from 24 ft,4,3
1,9:08.0,Defensive rebound by D. Nowitzki,,4,3
1,8:49.0,J. Brunson misses 2-pt jump shot from 15 ft,,4,3
1,8:45.0,,Defensive rebound by D. Mitchell,4,3
1,8:42.0,,Shooting foul by D. Nowitzki (drawn by D. Mitchell),4,3
1,8:42.0,,D. Mitchell makes free throw 1 of 2,4,4
1,8:42.0,,D. Mitchell makes free throw 2 of 2,4,5
1,8:21.0,D. Finney-Smith makes 2-pt jump shot from 14 ft,,6,5
1,8:03.0,,R. Rubio makes 2-pt layup from 1 ft (assist by J. Ingles),6,7
1,7:51.0,J. Brunson misses 2-pt jump shot from 15 ft,,6,7
1,7:48.0,,Defensive rebound by D. Mitchell,6,7
1,7:44.0,,D. Mitchell makes 2-pt dunk from 2 ft (assist by J. Ingles),6,9
1,7:43.0,Dallas full timeout,,6,9
1,7:25.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by J. Brunson),,9,9
1,7:09.0,,J. Ingles makes 2-pt layup from 2 ft (assist by D. Mitchell),9,11
1,6:59.0,D. Finney-Smith makes 3-pt jump shot from 25 ft,,12,11
1,6:45.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),12,13
1,6:26.0,Turnover by S. Mejri (out of bounds lost ball),,12,13
1,6:26.0,C. Lee enters the game for S. Mejri,,12,13
1,6:26.0,D. Powell enters the game for D. Nowitzki,,12,13
1,6:26.0,,J. Crowder enters the game for D. Favors,12,13
1,6:26.0,,K. Korver enters the game for J. Ingles,12,13
1,6:15.0,,Personal foul by J. Brunson (drawn by R. Gobert),12,13
1,6:05.0,,K. Korver misses 3-pt jump shot from 28 ft,12,13
1,6:02.0,Defensive rebound by J. Brunson,,12,13
1,5:55.0,J. Brunson misses 2-pt jump shot from 9 ft,,12,13
1,5:53.0,,Defensive rebound by J. Crowder,12,13
1,5:48.0,,R. Rubio makes 2-pt layup from 3 ft (assist by J. Crowder),12,15
1,5:38.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by D. Powell),,15,15
1,5:20.0,,D. Mitchell misses 2-pt layup from 5 ft,15,15
1,5:19.0,,Offensive rebound by Team,15,15
1,5:19.0,T. Burke enters the game for J. Brunson,,15,15
1,5:10.0,,Turnover by D. Mitchell (bad pass),15,15
1,5:04.0,Personal foul by D. Mitchell (drawn by D. Powell),,15,15
1,4:56.0,Shooting foul by R. Gobert (drawn by D. Powell),,15,15
1,4:56.0,D. Powell makes free throw 1 of 2,,16,15
1,4:56.0,D. Powell makes free throw 2 of 2,,17,15
1,4:40.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by D. Mitchell),17,18
1,4:24.0,C. Lee misses 2-pt layup from 2 ft (block by R. Gobert),,17,18
1,4:21.0,,Defensive rebound by K. Korver,17,18
1,4:17.0,,Personal foul by D. Powell (drawn by R. Gobert),17,18
1,4:17.0,,R. Neto enters the game for R. Rubio,17,18
1,4:11.0,,Turnover by K. Korver (traveling),17,18
1,4:03.0,D. Powell misses 3-pt jump shot from 25 ft,,17,18
1,4:00.0,,Defensive rebound by D. Mitchell,17,18
1,3:52.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by R. Neto),17,20
1,3:39.0,D. Powell makes 2-pt hook shot from 8 ft (assist by T. Burke),,19,20
1,3:22.0,,J. Crowder misses 2-pt jump shot from 4 ft,19,20
1,3:21.0,,Offensive rebound by J. Crowder,19,20
1,3:21.0,,Shooting foul by T. Burke (drawn by J. Crowder),19,20
1,3:21.0,,J. Crowder makes free throw 1 of 2,19,21
1,3:21.0,D. Harris enters the game for D. Finney-Smith,,19,21
1,3:21.0,D. Nowitzki enters the game for T. Hardaway,,19,21
1,3:21.0,,D. Favors enters the game for R. Gobert,19,21
1,3:21.0,,R. O'Neale enters the game for D. Mitchell,19,21
1,3:21.0,,J. Crowder makes free throw 2 of 2,19,22
1,3:21.0,D. Harris misses 3-pt jump shot from 25 ft,,19,22
1,3:08.0,,Defensive rebound by K. Korver,19,22
1,3:04.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by R. Neto),19,25
1,2:41.0,T. Burke makes 2-pt jump shot from 12 ft,,21,25
1,2:27.0,,J. Crowder misses 3-pt jump shot from 24 ft,21,25
1,2:24.0,,Offensive rebound by D. Favors,21,25
1,2:22.0,,Personal foul by C. Lee (drawn by K. Korver),21,25
1,2:22.0,,Utah full timeout,21,25
1,2:22.0,,K. Korver makes free throw 1 of 2,21,26
1,2:22.0,,K. Korver makes free throw 2 of 2,21,27
1,2:05.0,C. Lee misses 3-pt jump shot from 23 ft,,21,27
1,2:03.0,,Defensive rebound by D. Favors,21,27
1,1:56.0,,J. Crowder makes 2-pt jump shot from 19 ft (assist by R. Neto),21,29
1,1:45.0,T. Burke makes 2-pt jump shot from 13 ft,,23,29
1,1:28.0,,K. Korver misses 2-pt jump shot from 13 ft,23,29
1,1:26.0,Defensive rebound by T. Burke,,23,29
1,1:16.0,C. Lee makes 2-pt jump shot from 12 ft,,25,29
1,1:01.0,,R. Neto misses 2-pt jump shot from 11 ft,25,29
1,1:00.0,Defensive rebound by T. Burke,,25,29
1,0:54.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,25,29
1,0:52.0,,Defensive rebound by R. O'Neale,25,29
1,0:40.0,,D. Favors misses 2-pt jump shot from 13 ft,25,29
1,0:37.0,Defensive rebound by D. Powell,,25,29
