QUARTER,TIME_REMAINING,UTAH_ACTION,NEW ORLEANS_ACTION,UTAH_SCORE,NEW ORLEANS_SCORE
1,11:44.0,Turnover by R. Gobert (out of bounds lost ball),,0,0
1,11:29.0,,J. Randle misses 2-pt jump shot from 10 ft,0,0
1,11:26.0,Defensive rebound by R. Gobert,,0,0
1,11:16.0,D. Mitchell makes 2-pt layup from 1 ft,,2,0
1,11:04.0,,J. Holiday makes 2-pt jump shot from 11 ft,2,2
1,10:48.0,D. Favors makes 3-pt jump shot from 23 ft (assist by R. Rubio),,5,2
1,10:35.0,,J. Randle makes 2-pt layup from 2 ft,5,4
1,10:22.0,D. Mitchell misses 2-pt layup from 4 ft,,5,4
1,10:22.0,,Defensive rebound by A. Davis,5,4
1,10:10.0,,Shooting foul by R. Gobert (drawn by A. Davis),5,4
1,10:10.0,,A. Davis makes free throw 1 of 2,5,5
1,10:10.0,,A. Davis makes free throw 2 of 2,5,6
1,9:56.0,R. Rubio misses 3-pt jump shot from 25 ft,,5,6
1,9:52.0,,Defensive rebound by K. Williams,5,6
1,9:43.0,,J. Randle misses 2-pt jump shot from 13 ft,5,6
1,9:41.0,Defensive rebound by D. Favors,,5,6
1,9:33.0,J. Ingles misses 3-pt jump shot from 25 ft,,5,6
1,9:30.0,,Defensive rebound by E. Payton,5,6
1,9:20.0,,E. Payton misses 2-pt jump shot from 3 ft,5,6
1,9:16.0,,Offensive rebound by E. Payton,5,6
1,9:15.0,,E. Payton makes 2-pt layup from 3 ft,5,8
1,8:56.0,D. Mitchell misses 3-pt jump shot from 25 ft,,5,8
1,8:53.0,,Defensive rebound by E. Payton,5,8
1,8:44.0,,E. Payton misses 2-pt layup from 2 ft,5,8
1,8:44.0,Defensive rebound by R. Gobert,,5,8
1,8:39.0,R. Rubio makes 2-pt layup from 1 ft,,7,8
1,8:24.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by A. Davis),7,10
1,7:58.0,Turnover by R. Gobert (lost ball; steal by A. Davis),,7,10
1,7:57.0,,Personal take foul by D. Mitchell (drawn by E. Payton),7,10
1,7:43.0,,Turnover by J. Holiday (lost ball; steal by D. Mitchell),7,10
1,7:39.0,D. Mitchell makes 2-pt dunk from 1 ft,,9,10
1,7:34.0,,Personal foul by D. Favors (drawn by J. Randle),9,10
1,7:27.0,,A. Davis misses 3-pt jump shot from 25 ft,9,10
1,7:24.0,Defensive rebound by D. Mitchell,,9,10
1,7:06.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. Rubio),,11,10
1,6:51.0,,E. Payton misses 2-pt layup from 4 ft (block by R. Gobert),11,10
1,6:49.0,,Offensive rebound by E. Payton,11,10
1,6:49.0,,Offensive foul by J. Randle (drawn by R. Gobert),11,10
1,6:49.0,,Turnover by J. Randle (offensive foul),11,10
1,6:49.0,,New Orleans full timeout,11,10
1,6:49.0,J. Crowder enters the game for D. Favors,,11,10
1,6:49.0,K. Korver enters the game for J. Ingles,,11,10
