QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHILADELPHIA_ACTION,MINNESOTA_SCORE,PHILADELPHIA_SCORE
1,11:42.0,K. Towns misses 3-pt jump shot from 27 ft,,0,0
1,11:38.0,Offensive rebound by J. Teague,,0,0
1,11:26.0,K. Towns makes 2-pt hook shot from 7 ft,,2,0
1,11:13.0,,Personal foul by J. Okogie (drawn by J. Embiid),2,0
1,11:05.0,,Shooting foul by K. Towns (drawn by J. Embiid),2,0
1,11:05.0,,J. Embiid makes free throw 1 of 2,2,1
1,11:05.0,,J. Embiid makes free throw 2 of 2,2,2
1,10:56.0,J. Teague misses 2-pt layup from 3 ft (block by J. Butler),,2,2
1,10:52.0,,Defensive rebound by B. Simmons,2,2
1,10:51.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by B. Simmons),2,5
1,10:33.0,K. Towns makes 3-pt jump shot from 27 ft (assist by J. Teague),,5,5
1,10:24.0,,B. Simmons misses 2-pt layup from 5 ft (block by T. Gibson),5,5
1,10:24.0,,Offensive rebound by Team,5,5
1,10:18.0,,J. Embiid makes 2-pt hook shot from 7 ft,5,7
1,10:07.0,J. Okogie misses 3-pt jump shot from 25 ft,,5,7
1,10:04.0,,Defensive rebound by J. Embiid,5,7
1,9:58.0,,B. Simmons makes 2-pt layup from 1 ft,5,9
1,9:43.0,A. Wiggins misses 2-pt jump shot from 19 ft,,5,9
1,9:41.0,Offensive rebound by T. Gibson,,5,9
1,9:40.0,Turnover by J. Teague (bad pass),,5,9
1,9:21.0,,Turnover by J. Embiid (lost ball; steal by J. Teague),5,9
1,9:01.0,J. Okogie misses 2-pt layup from 5 ft (block by B. Simmons),,5,9
1,9:00.0,,Defensive rebound by J. Butler,5,9
1,8:58.0,,Offensive foul by J. Butler (drawn by J. Teague),5,9
1,8:58.0,,Turnover by J. Butler (offensive foul),5,9
1,8:44.0,A. Wiggins misses 2-pt layup from 1 ft,,5,9
1,8:41.0,,Defensive rebound by J. Embiid,5,9
1,8:36.0,,Turnover by B. Simmons (bad pass; steal by K. Towns),5,9
1,8:31.0,A. Wiggins makes 2-pt dunk from 1 ft (assist by T. Gibson),,7,9
1,8:19.0,,J. Embiid misses 2-pt layup from 2 ft,7,9
1,8:14.0,,Offensive rebound by J. Embiid,7,9
1,8:14.0,,J. Embiid makes 2-pt layup from 1 ft,7,11
1,7:55.0,T. Gibson makes 2-pt hook shot from 3 ft (assist by K. Towns),,9,11
1,7:47.0,,J. Redick misses 3-pt jump shot from 26 ft,9,11
1,7:43.0,Defensive rebound by K. Towns,,9,11
1,7:30.0,A. Wiggins misses 2-pt layup from 2 ft (block by J. Embiid),,9,11
1,7:30.0,Offensive rebound by A. Wiggins,,9,11
1,7:27.0,A. Wiggins makes 2-pt layup at rim,,11,11
1,7:20.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Simmons),11,14
1,7:07.0,J. Teague makes 2-pt layup from 2 ft,,13,14
1,6:49.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by J. Butler),13,17
