QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ATLANTA_ACTION,MINNESOTA_SCORE,ATLANTA_SCORE
1,11:48.0,A. Wiggins misses 2-pt jump shot from 20 ft,,0,0
1,11:45.0,,Defensive rebound by D. Dedmon,0,0
1,11:35.0,,K. Huerter misses 2-pt jump shot from 7 ft,0,0
1,11:30.0,,Offensive rebound by D. Dedmon,0,0
1,11:30.0,,D. Dedmon makes 2-pt layup from 1 ft,0,2
1,11:19.0,A. Wiggins misses 2-pt jump shot from 3 ft,,0,2
1,11:14.0,,Defensive rebound by K. Huerter,0,2
1,11:08.0,,T. Prince misses 2-pt layup from 3 ft,0,2
1,11:05.0,Defensive rebound by K. Towns,,0,2
1,10:59.0,K. Towns makes 3-pt jump shot from 24 ft (assist by D. Šarić),,3,2
1,10:43.0,,Shooting foul by D. Šarić (drawn by J. Collins),3,2
1,10:43.0,,J. Collins makes free throw 1 of 2,3,3
1,10:43.0,,J. Collins makes free throw 2 of 2,3,4
1,10:31.0,Turnover by T. Jones (bad pass; steal by K. Huerter),,3,4
1,10:27.0,,J. Collins makes 2-pt dunk at rim (assist by T. Young),3,6
1,10:16.0,Personal foul by D. Dedmon (drawn by K. Towns),,3,6
1,10:12.0,K. Towns misses 2-pt layup from 10 ft (block by D. Dedmon),,3,6
1,10:12.0,,Defensive rebound by Team,3,6
1,10:01.0,,K. Huerter makes 3-pt jump shot from 25 ft (assist by D. Dedmon),3,9
1,9:50.0,D. Šarić misses 3-pt jump shot from 26 ft,,3,9
1,9:46.0,,Defensive rebound by D. Dedmon,3,9
1,9:41.0,,Turnover by T. Young (lost ball; steal by T. Jones),3,9
1,9:36.0,J. Okogie makes 3-pt jump shot from 23 ft (assist by D. Šarić),,6,9
1,9:20.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by T. Young),6,12
1,9:01.0,T. Jones makes 2-pt jump shot from 11 ft,,8,12
1,8:47.0,,J. Collins misses 3-pt jump shot from 25 ft,8,12
1,8:47.0,Defensive rebound by Team,,8,12
1,8:47.0,,Loose ball foul by D. Dedmon (drawn by J. Okogie),8,12
1,8:47.0,,A. Len enters the game for D. Dedmon,8,12
1,8:38.0,J. Okogie misses 3-pt jump shot from 25 ft,,8,12
1,8:35.0,,Defensive rebound by T. Young,8,12
1,8:26.0,,T. Young makes 3-pt jump shot from 26 ft (assist by K. Huerter),8,15
1,8:09.0,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),,10,15
1,7:56.0,,T. Young makes 2-pt jump shot from 15 ft,10,17
1,7:47.0,Turnover by T. Jones (bad pass),,10,17
1,7:38.0,,T. Prince makes 2-pt layup from 2 ft,10,19
1,7:28.0,Minnesota full timeout,,10,19
1,7:21.0,D. Šarić misses 3-pt jump shot from 25 ft,,10,19
1,7:18.0,,Defensive rebound by T. Young,10,19
1,7:06.0,,T. Young misses 2-pt jump shot from 10 ft,10,19
1,7:01.0,Defensive rebound by K. Towns,,10,19
1,6:55.0,T. Jones makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,13,19
1,6:32.0,,T. Prince misses 3-pt jump shot from 25 ft,13,19
1,6:28.0,Defensive rebound by K. Towns,,13,19
1,6:23.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by T. Jones),,16,19
1,6:04.0,,K. Huerter misses 3-pt jump shot from 25 ft,16,19
1,6:02.0,Defensive rebound by D. Šarić,,16,19
1,5:55.0,T. Jones misses 3-pt jump shot from 25 ft,,16,19
1,5:52.0,,Defensive rebound by J. Collins,16,19
1,5:40.0,,A. Len misses 3-pt jump shot from 23 ft,16,19
1,5:36.0,Defensive rebound by J. Okogie,,16,19
1,5:29.0,J. Okogie misses 2-pt layup from 1 ft,,16,19
1,5:28.0,Offensive rebound by K. Towns,,16,19
1,5:28.0,Shooting foul by J. Collins (drawn by K. Towns),,16,19
1,5:28.0,K. Towns misses free throw 1 of 2,,16,19
1,5:28.0,Offensive rebound by Team,,16,19
1,5:28.0,D. Rose enters the game for J. Okogie,,16,19
1,5:28.0,,K. Bazemore enters the game for J. Collins,16,19
