QUARTER,TIME_REMAINING,LA LAKERS_ACTION,HOUSTON_ACTION,LA LAKERS_SCORE,HOUSTON_SCORE
1,11:44.0,K. Kuzma makes 2-pt layup from 3 ft (assist by L. Ball),,2,0
1,11:27.0,,Personal foul by L. Ball (drawn by J. Harden),2,0
1,11:20.0,,J. Ennis misses 3-pt jump shot from 27 ft,2,0
1,11:19.0,Defensive rebound by T. Chandler,,2,0
1,11:13.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,2,0
1,11:12.0,Offensive rebound by T. Chandler,,2,0
1,11:10.0,T. Chandler makes 2-pt layup from 2 ft,,4,0
1,10:58.0,,J. Ennis makes 3-pt jump shot from 23 ft (assist by E. Gordon),4,3
1,10:39.0,K. Kuzma makes 3-pt jump shot from 29 ft (assist by L. Ball),,7,3
1,10:24.0,,A. Rivers makes 2-pt layup from 2 ft,7,5
1,10:12.0,K. Kuzma makes 3-pt jump shot from 22 ft (assist by B. Ingram),,10,5
1,9:58.0,,P. Tucker misses 3-pt jump shot from 26 ft,10,5
1,9:57.0,Defensive rebound by T. Chandler,,10,5
1,9:47.0,B. Ingram misses 2-pt jump shot from 12 ft,,10,5
1,9:44.0,,Defensive rebound by J. Harden,10,5
1,9:32.0,,J. Harden makes 3-pt jump shot from 23 ft,10,8
1,9:07.0,B. Ingram misses 2-pt jump shot from 12 ft,,10,8
1,9:06.0,,Defensive rebound by P. Tucker,10,8
1,8:52.0,,P. Tucker misses 3-pt jump shot from 23 ft,10,8
1,8:50.0,Defensive rebound by B. Ingram,,10,8
1,8:42.0,L. Ball makes 2-pt layup from 2 ft (assist by B. Ingram),,12,8
1,8:18.0,,J. Harden makes 2-pt layup at rim,12,10
1,8:18.0,,Shooting foul by T. Chandler (drawn by J. Harden),12,10
1,8:18.0,,G. Green enters the game for E. Gordon,12,10
1,8:18.0,,J. Harden misses free throw 1 of 1,12,10
1,8:18.0,Defensive rebound by T. Chandler,,12,10
1,8:07.0,Turnover by B. Ingram (lost ball; steal by P. Tucker),,12,10
1,7:58.0,,J. Harden misses 3-pt jump shot from 25 ft,12,10
1,7:54.0,,Offensive rebound by G. Green,12,10
1,7:53.0,,G. Green misses 3-pt jump shot from 23 ft,12,10
1,7:50.0,Defensive rebound by B. Ingram,,12,10
1,7:44.0,K. Kuzma misses 3-pt jump shot from 23 ft,,12,10
1,7:42.0,Offensive rebound by K. Caldwell-Pope,,12,10
1,7:32.0,K. Kuzma makes 2-pt jump shot from 8 ft,,14,10
1,7:22.0,,G. Green misses 3-pt jump shot from 24 ft,14,10
1,7:21.0,Defensive rebound by B. Ingram,,14,10
1,7:05.0,Turnover by B. Ingram (lost ball; steal by J. Harden),,14,10
1,7:00.0,,J. Harden makes 2-pt layup from 1 ft,14,12
1,6:49.0,L. Ball makes 2-pt jump shot from 10 ft,,16,12
1,6:31.0,,P. Tucker misses 2-pt jump shot from 10 ft,16,12
1,6:27.0,Defensive rebound by T. Chandler,,16,12
1,6:24.0,Shooting foul by A. Rivers (drawn by K. Kuzma),,16,12
1,6:24.0,,Houston full timeout,16,12
1,6:24.0,,J. Nunnally enters the game for A. Rivers,16,12
1,6:24.0,K. Kuzma misses free throw 1 of 2,,16,12
1,6:24.0,Offensive rebound by Team,,16,12
1,6:24.0,K. Kuzma makes free throw 2 of 2,,17,12
1,6:18.0,,Turnover by J. Harden (bad pass),17,12
1,6:04.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,17,12
1,6:03.0,Offensive rebound by T. Chandler,,17,12
1,5:59.0,Shooting foul by G. Green (drawn by T. Chandler),,17,12
1,5:59.0,T. Chandler misses free throw 1 of 2,,17,12
1,5:59.0,Offensive rebound by Team,,17,12
1,5:59.0,,G. Clark enters the game for J. Ennis,17,12
1,5:59.0,T. Chandler makes free throw 2 of 2,,18,12
1,5:45.0,,G. Clark misses 3-pt jump shot from 25 ft,18,12
1,5:42.0,Defensive rebound by K. Kuzma,,18,12
1,5:37.0,K. Caldwell-Pope makes 2-pt dunk from 1 ft (assist by B. Ingram),,20,12
1,5:24.0,,G. Clark makes 3-pt jump shot from 25 ft (assist by J. Harden),20,15
1,5:10.0,L. Ball makes 2-pt jump shot from 23 ft,,22,15
1,4:54.0,,G. Green makes 3-pt jump shot from 23 ft (assist by J. Harden),22,18
1,4:54.0,LA Lakers full timeout,,22,18
1,4:54.0,J. McGee enters the game for T. Chandler,,22,18
1,4:43.0,Personal foul by G. Clark (drawn by B. Ingram),,22,18
1,4:36.0,Turnover by L. Ball (bad pass; steal by P. Tucker),,22,18
1,4:32.0,,Turnover by J. Harden (lost ball; steal by J. McGee),22,18
