QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MILWAUKEE_ACTION,CLEVELAND_SCORE,MILWAUKEE_SCORE
1,11:34.0,,K. Middleton makes 2-pt jump shot from 8 ft,0,2
1,11:18.0,K. Love misses 3-pt jump shot from 27 ft,,0,2
1,11:15.0,,Defensive rebound by K. Middleton,0,2
1,11:04.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),0,5
1,10:48.0,L. Nance makes 3-pt jump shot from 27 ft (assist by K. Love),,3,5
1,10:38.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),3,8
1,10:23.0,K. Love misses 3-pt jump shot from 26 ft,,3,8
1,10:23.0,Offensive rebound by Team,,3,8
1,10:12.0,Shooting foul by K. Middleton (drawn by C. Osman),,3,8
1,10:12.0,C. Osman makes free throw 1 of 2,,4,8
1,10:12.0,C. Osman misses free throw 2 of 2,,4,8
1,10:09.0,,Defensive rebound by G. Antetokounmpo,4,8
1,9:54.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by E. Bledsoe),4,10
1,9:35.0,C. Sexton makes 2-pt jump shot from 18 ft (assist by L. Nance),,6,10
1,9:26.0,,T. Snell makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),6,13
1,9:13.0,Turnover by C. Osman (bad pass; steal by E. Bledsoe),,6,13
1,9:09.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),6,15
1,9:09.0,Cleveland full timeout,,6,15
1,8:53.0,B. Knight misses 2-pt jump shot from 12 ft,,6,15
1,8:50.0,,Defensive rebound by T. Snell,6,15
1,8:40.0,,Turnover by G. Antetokounmpo (dbl dribble),6,15
1,8:17.0,L. Nance makes 3-pt jump shot from 22 ft (assist by C. Sexton),,9,15
1,8:03.0,,G. Antetokounmpo misses 3-pt jump shot from 24 ft,9,15
1,8:01.0,Defensive rebound by C. Sexton,,9,15
1,7:55.0,C. Sexton misses 2-pt layup from 3 ft,,9,15
1,7:53.0,,Defensive rebound by T. Snell,9,15
1,7:46.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),9,18
1,7:29.0,B. Knight misses 3-pt jump shot from 25 ft,,9,18
1,7:26.0,,Defensive rebound by G. Antetokounmpo,9,18
1,7:20.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,9,20
1,7:07.0,B. Knight misses 2-pt jump shot from 8 ft,,9,20
1,7:04.0,,Defensive rebound by B. Lopez,9,20
1,7:01.0,,K. Middleton misses 3-pt jump shot from 26 ft,9,20
1,6:56.0,Defensive rebound by L. Nance,,9,20
1,6:39.0,L. Nance makes 2-pt layup from 1 ft (assist by B. Knight),,11,20
1,6:16.0,,Shooting foul by C. Osman (drawn by E. Bledsoe),11,20
1,6:16.0,,E. Bledsoe makes free throw 1 of 2,11,21
1,6:16.0,J. Clarkson enters the game for B. Knight,,11,21
1,6:16.0,,P. Connaughton enters the game for T. Snell,11,21
1,6:16.0,,E. Bledsoe makes free throw 2 of 2,11,22
1,6:06.0,Shooting foul by G. Antetokounmpo (drawn by L. Nance),,11,22
1,6:06.0,L. Nance misses free throw 1 of 2,,11,22
1,6:06.0,Offensive rebound by Team,,11,22
1,6:06.0,,D. Wilson enters the game for G. Antetokounmpo,11,22
1,6:06.0,L. Nance makes free throw 2 of 2,,12,22
1,5:56.0,,K. Middleton misses 3-pt jump shot from 26 ft,12,22
1,5:53.0,Defensive rebound by K. Love,,12,22
1,5:52.0,C. Osman makes 2-pt layup from 2 ft (assist by K. Love),,14,22
1,5:41.0,,B. Lopez misses 3-pt jump shot from 28 ft,14,22
1,5:38.0,Defensive rebound by C. Osman,,14,22
1,5:26.0,Turnover by L. Nance (bad pass; steal by B. Lopez),,14,22
1,5:26.0,,Personal foul by C. Sexton (drawn by B. Lopez),14,22
1,5:26.0,,G. Hill enters the game for E. Bledsoe,14,22
