QUARTER,TIME_REMAINING,UTAH_ACTION,LA CLIPPERS_ACTION,UTAH_SCORE,LA CLIPPERS_SCORE
1,11:41.0,Turnover by D. Mitchell (lost ball; steal by T. Harris),,0,0
1,11:36.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,0,2
1,11:12.0,R. Gobert makes 2-pt layup at rim (assist by D. Favors),,2,2
1,10:58.0,,T. Harris makes 2-pt jump shot from 15 ft (assist by S. Gilgeous-Alexander),2,4
1,10:44.0,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Mitchell),,4,4
1,10:20.0,,T. Harris misses 3-pt jump shot from 25 ft,4,4
1,10:18.0,,Offensive rebound by M. Gortat,4,4
1,10:17.0,,M. Gortat makes 2-pt jump shot from 12 ft,4,6
1,10:03.0,D. Favors makes 2-pt jump shot from 18 ft (assist by J. Ingles),,6,6
1,9:49.0,,D. Gallinari misses 2-pt jump shot from 19 ft,6,6
1,9:46.0,,Offensive rebound by M. Gortat,6,6
1,9:35.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by D. Mitchell),6,6
1,9:30.0,Turnover by D. Mitchell (bad pass; steal by T. Harris),,6,6
1,9:24.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,6,6
1,9:20.0,Defensive rebound by R. Gobert,,6,6
1,8:57.0,J. Ingles makes 2-pt layup from 1 ft,,8,6
1,8:46.0,,T. Harris misses 2-pt jump shot from 18 ft,8,6
1,8:43.0,Defensive rebound by R. O'Neale,,8,6
1,8:32.0,D. Favors misses 3-pt jump shot from 23 ft,,8,6
1,8:30.0,Offensive rebound by R. Gobert,,8,6
1,8:28.0,R. Gobert misses 2-pt jump shot from 9 ft,,8,6
1,8:26.0,,Defensive rebound by D. Gallinari,8,6
1,8:19.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by M. Gortat),8,9
1,7:57.0,Shooting foul by A. Bradley (drawn by D. Mitchell),,8,9
1,7:57.0,D. Mitchell makes free throw 1 of 3,,9,9
1,7:57.0,D. Mitchell makes free throw 2 of 3,,10,9
1,7:57.0,D. Mitchell makes free throw 3 of 3,,11,9
1,7:46.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 10 ft (assist by A. Bradley),11,11
1,7:35.0,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),,13,11
1,7:20.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 18 ft,13,13
1,7:04.0,D. Mitchell makes 2-pt layup from 1 ft,,15,13
1,6:47.0,,T. Harris misses 2-pt jump shot from 10 ft,15,13
1,6:43.0,Defensive rebound by R. O'Neale,,15,13
1,6:30.0,R. O'Neale misses 2-pt jump shot from 9 ft,,15,13
1,6:28.0,,Defensive rebound by A. Bradley,15,13
1,6:22.0,,A. Bradley makes 2-pt jump shot from 21 ft,15,15
1,6:20.0,Utah full timeout,,15,15
1,6:20.0,J. Crowder enters the game for D. Favors,,15,15
1,6:20.0,K. Korver enters the game for J. Ingles,,15,15
1,6:05.0,J. Crowder misses 3-pt jump shot from 24 ft,,15,15
1,6:01.0,,Defensive rebound by M. Gortat,15,15
1,5:47.0,,Personal foul by J. Crowder (drawn by M. Gortat),15,15
1,5:40.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by D. Mitchell),15,15
1,5:31.0,Shooting foul by M. Gortat (drawn by J. Crowder),,15,15
1,5:31.0,J. Crowder misses free throw 1 of 2,,15,15
1,5:31.0,Offensive rebound by Team,,15,15
1,5:31.0,,M. Harrell enters the game for M. Gortat,15,15
1,5:31.0,J. Crowder makes free throw 2 of 2,,16,15
1,5:09.0,,D. Gallinari misses 2-pt jump shot from 12 ft,16,15
1,5:07.0,Defensive rebound by R. Gobert,,16,15
1,5:00.0,D. Mitchell makes 2-pt jump shot from 7 ft,,18,15
1,4:40.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by R. Gobert),18,15
1,4:37.0,Defensive rebound by K. Korver,,18,15
1,4:33.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,21,15
1,4:33.0,,LA Clippers full timeout,21,15
1,4:33.0,,L. Williams enters the game for S. Gilgeous-Alexander,21,15
1,4:21.0,,T. Harris misses 2-pt layup from 3 ft,21,15
1,4:19.0,Defensive rebound by R. Gobert,,21,15
1,4:09.0,D. Mitchell misses 3-pt jump shot from 25 ft,,21,15
1,4:05.0,,Defensive rebound by T. Harris,21,15
1,4:01.0,,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),21,17
1,3:47.0,K. Korver misses 2-pt jump shot from 9 ft,,21,17
