QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,ORLANDO_ACTION,NEW ORLEANS_SCORE,ORLANDO_SCORE
1,11:37.0,F. Jackson misses 3-pt jump shot from 23 ft,,0,0
1,11:33.0,Offensive rebound by K. Williams,,0,0
1,11:32.0,J. Randle misses 3-pt jump shot from 26 ft,,0,0
1,11:32.0,,Defensive rebound by N. Vučević,0,0
1,11:08.0,,A. Gordon misses 2-pt jump shot from 16 ft,0,0
1,11:05.0,Defensive rebound by E. Payton,,0,0
1,11:00.0,E. Payton misses 2-pt jump shot from 8 ft,,0,0
1,10:58.0,,Defensive rebound by N. Vučević,0,0
1,10:51.0,,N. Vučević misses 2-pt jump shot from 7 ft,0,0
1,10:51.0,Defensive rebound by Team,,0,0
1,10:43.0,F. Jackson misses 2-pt jump shot from 8 ft,,0,0
1,10:41.0,,Defensive rebound by A. Gordon,0,0
1,10:32.0,,D. Augustin misses 2-pt jump shot from 6 ft,0,0
1,10:29.0,,Offensive rebound by N. Vučević,0,0
1,10:26.0,,D. Augustin makes 3-pt jump shot from 23 ft (assist by A. Gordon),0,3
1,10:09.0,J. Randle misses 2-pt hook shot from 8 ft,,0,3
1,10:07.0,,Defensive rebound by A. Gordon,0,3
1,9:57.0,,Turnover by J. Isaac (lost ball; steal by K. Williams),0,3
1,9:52.0,K. Williams makes 2-pt layup from 1 ft,,2,3
1,9:38.0,,E. Fournier makes 2-pt layup from 3 ft (assist by A. Gordon),2,5
1,9:20.0,J. Okafor misses 2-pt jump shot from 8 ft,,2,5
1,9:17.0,,Defensive rebound by N. Vučević,2,5
1,9:08.0,,D. Augustin makes 2-pt jump shot from 11 ft,2,7
1,8:51.0,K. Williams misses 2-pt jump shot from 6 ft,,2,7
1,8:49.0,Offensive rebound by K. Williams,,2,7
1,8:48.0,K. Williams misses 2-pt layup from 3 ft,,2,7
1,8:46.0,,Defensive rebound by N. Vučević,2,7
1,8:41.0,,D. Augustin makes 2-pt layup from 2 ft,2,9
1,8:33.0,F. Jackson misses 2-pt layup from 1 ft,,2,9
1,8:33.0,,Defensive rebound by J. Isaac,2,9
1,8:27.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by D. Augustin),2,12
1,8:18.0,New Orleans full timeout,,2,12
1,8:10.0,J. Okafor misses 2-pt layup from 5 ft,,2,12
1,8:08.0,,Defensive rebound by J. Isaac,2,12
1,8:00.0,,D. Augustin misses 3-pt jump shot from 29 ft,2,12
1,7:57.0,Defensive rebound by J. Randle,,2,12
1,7:41.0,E. Payton misses 2-pt jump shot from 7 ft (block by J. Isaac),,2,12
1,7:37.0,Offensive rebound by J. Okafor,,2,12
1,7:36.0,J. Okafor misses 2-pt jump shot from 6 ft,,2,12
1,7:34.0,Offensive rebound by K. Williams,,2,12
1,7:30.0,J. Randle misses 2-pt layup from 1 ft,,2,12
1,7:27.0,,Defensive rebound by J. Isaac,2,12
1,7:16.0,,Shooting foul by J. Randle (drawn by N. Vučević),2,12
1,7:16.0,,N. Vučević makes free throw 1 of 2,2,13
1,7:16.0,,N. Vučević makes free throw 2 of 2,2,14
1,7:05.0,E. Payton makes 2-pt layup from 2 ft (assist by F. Jackson),,4,14
1,6:49.0,,Turnover by E. Fournier (bad pass; steal by K. Williams),4,14
1,6:43.0,K. Williams makes 3-pt jump shot from 25 ft (assist by J. Randle),,7,14
1,6:26.0,,Turnover by N. Vučević (bad pass),7,14
1,6:10.0,J. Okafor misses 2-pt layup from 2 ft,,7,14
1,6:08.0,,Defensive rebound by N. Vučević,7,14
1,5:56.0,,N. Vučević makes 2-pt hook shot from 6 ft,7,16
1,5:44.0,Shooting foul by N. Vučević (drawn by J. Okafor),,7,16
1,5:44.0,J. Okafor misses free throw 1 of 2,,7,16
1,5:44.0,Offensive rebound by Team,,7,16
1,5:44.0,,W. Iwundu enters the game for A. Gordon,7,16
1,5:44.0,J. Okafor makes free throw 2 of 2,,8,16
1,5:31.0,,E. Fournier makes 2-pt jump shot from 12 ft (assist by N. Vučević),8,18
1,5:16.0,J. Okafor makes 2-pt layup from 2 ft (assist by E. Payton),,10,18
1,5:03.0,,N. Vučević misses 3-pt jump shot from 26 ft,10,18
1,5:00.0,Defensive rebound by F. Jackson,,10,18
1,4:53.0,J. Randle misses 2-pt jump shot from 6 ft (block by J. Isaac),,10,18
1,4:48.0,Offensive rebound by J. Randle,,10,18
1,4:46.0,Turnover by J. Randle (bad pass; steal by D. Augustin),,10,18
1,4:41.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by D. Augustin),10,21
1,4:34.0,Offensive foul by J. Randle (drawn by J. Isaac),,10,21
1,4:34.0,Turnover by J. Randle (offensive foul),,10,21
1,4:34.0,Violation by Team (delay of game),,10,21
1,4:34.0,C. Diallo enters the game for J. Okafor,,10,21
1,4:34.0,,T. Ross enters the game for E. Fournier,10,21
1,4:22.0,,Turnover by T. Ross (bad pass; steal by C. Diallo),10,21
1,4:07.0,F. Jackson misses 2-pt jump shot from 13 ft,,10,21
1,4:03.0,,Defensive rebound by N. Vučević,10,21
1,3:52.0,,N. Vučević misses 2-pt layup from 6 ft,10,21
1,3:51.0,,Offensive rebound by N. Vučević,10,21
1,3:50.0,,N. Vučević misses 2-pt layup at rim,10,21
1,3:49.0,,Offensive rebound by N. Vučević,10,21
1,3:48.0,,N. Vučević misses 2-pt layup at rim,10,21
1,3:48.0,,Offensive rebound by N. Vučević,10,21
1,3:48.0,,N. Vučević misses 2-pt layup from 2 ft,10,21
1,3:48.0,,Offensive rebound by N. Vučević,10,21
1,3:48.0,,Shooting foul by E. Payton (drawn by N. Vučević),10,21
1,3:48.0,,N. Vučević makes free throw 1 of 2,10,22
1,3:48.0,D. Miller enters the game for F. Jackson,,10,22
1,3:48.0,,M. Carter-Williams enters the game for D. Augustin,10,22
1,3:48.0,,N. Vučević makes free throw 2 of 2,10,23
1,3:34.0,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Randle),,13,23
1,3:17.0,,M. Carter-Williams makes 2-pt layup from 8 ft,13,25
1,3:03.0,Shooting foul by J. Isaac (drawn by J. Randle),,13,25
1,3:03.0,J. Randle makes free throw 1 of 2,,14,25
1,3:03.0,,A. Gordon enters the game for J. Isaac,14,25
1,3:03.0,J. Randle makes free throw 2 of 2,,15,25
1,2:48.0,,Turnover by N. Vučević (lost ball; steal by E. Payton),15,25
1,2:44.0,Turnover by J. Randle (lost ball; steal by W. Iwundu),,15,25
1,2:41.0,,W. Iwundu misses 2-pt layup from 1 ft,15,25
1,2:40.0,,Offensive rebound by A. Gordon,15,25
1,2:40.0,,Shooting foul by D. Miller (drawn by A. Gordon),15,25
1,2:40.0,,Orlando full timeout,15,25
1,2:40.0,S. Johnson enters the game for J. Randle,,15,25
1,2:40.0,,K. Birch enters the game for N. Vučević,15,25
1,2:40.0,,A. Gordon makes free throw 1 of 2,15,26
1,2:40.0,,A. Gordon makes free throw 2 of 2,15,27
1,2:24.0,D. Miller misses 2-pt jump shot from 15 ft,,15,27
1,2:22.0,Offensive rebound by C. Diallo,,15,27
1,2:13.0,E. Payton misses 3-pt jump shot from 26 ft,,15,27
1,2:08.0,,Defensive rebound by A. Gordon,15,27
1,2:01.0,,W. Iwundu misses 2-pt jump shot from 16 ft,15,27
1,1:57.0,Defensive rebound by C. Diallo,,15,27
1,1:43.0,S. Johnson makes 2-pt jump shot from 8 ft,,17,27
1,1:26.0,,T. Ross makes 2-pt jump shot from 15 ft (assist by M. Carter-Williams),17,29
1,1:00.0,K. Williams makes 2-pt jump shot from 20 ft (assist by S. Johnson),,19,29
1,0:49.0,,W. Iwundu makes 2-pt jump shot from 21 ft (assist by M. Carter-Williams),19,31
1,0:40.0,E. Payton makes 3-pt jump shot from 26 ft (assist by K. Williams),,22,31
1,0:29.0,,K. Birch makes 2-pt hook shot from 6 ft (assist by A. Gordon),22,33
1,0:18.0,C. Diallo makes 2-pt layup from 3 ft (assist by D. Miller),,24,33
1,0:18.0,Shooting foul by W. Iwundu (drawn by C. Diallo),,24,33
1,0:18.0,C. Diallo makes free throw 1 of 1,,25,33
1,0:03.0,,T. Ross makes 3-pt jump shot from 27 ft,25,36
1,0:03.0,,Shooting foul by D. Miller (drawn by T. Ross),25,36
1,0:03.0,,T. Ross misses free throw 1 of 1,25,36
1,0:01.0,,Offensive rebound by K. Birch,25,36
1,0:00.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by K. Birch),25,39
1,0:00.0,S. Johnson misses 3-pt jump shot from 58 ft,,25,39
1,0:00.0,Offensive rebound by Team,,25,39
2,11:45.0,,E. Fournier makes 2-pt jump shot from 23 ft (assist by K. Birch),25,41
2,11:26.0,D. Miller misses 3-pt jump shot from 25 ft,,25,41
2,11:26.0,,Defensive rebound by M. Carter-Williams,25,41
2,11:18.0,,T. Ross misses 3-pt jump shot from 27 ft,25,41
2,11:15.0,Defensive rebound by F. Jackson,,25,41
2,11:00.0,I. Clark makes 2-pt jump shot from 20 ft (assist by D. Miller),,27,41
2,10:43.0,,M. Carter-Williams makes 2-pt jump shot from 12 ft,27,43
2,10:28.0,Offensive foul by J. Randle (drawn by K. Birch),,27,43
2,10:28.0,Turnover by J. Randle (offensive foul),,27,43
2,10:28.0,J. Okafor enters the game for J. Randle,,27,43
2,10:15.0,,Turnover by E. Fournier (traveling),27,43
2,9:57.0,I. Clark misses 3-pt jump shot from 26 ft,,27,43
