QUARTER,TIME_REMAINING,UTAH_ACTION,ORLANDO_ACTION,UTAH_SCORE,ORLANDO_SCORE
1,6:44.0,J. Crowder enters the game for D. Favors,,10,2
1,6:25.0,,Turnover by J. Isaac (lost ball; steal by R. Gobert),10,2
1,6:21.0,Turnover by R. Gobert (bad pass; steal by J. Isaac),,10,2
1,6:15.0,,E. Fournier makes 3-pt jump shot from 28 ft (assist by A. Gordon),10,5
1,5:59.0,K. Korver misses 3-pt jump shot from 25 ft,,10,5
1,5:55.0,,Defensive rebound by N. Vučević,10,5
1,5:46.0,,E. Fournier makes 3-pt jump shot from 28 ft (assist by N. Vučević),10,8
1,5:34.0,K. Korver makes 3-pt jump shot from 25 ft (assist by R. Rubio),,13,8
1,5:08.0,,Turnover by A. Gordon (bad pass; steal by D. Mitchell),13,8
1,5:03.0,Turnover by R. Rubio (bad pass; steal by E. Fournier),,13,8
1,4:59.0,,Offensive foul by A. Gordon (drawn by R. Rubio),13,8
1,4:59.0,,Turnover by A. Gordon (offensive foul),13,8
1,4:59.0,,J. Grant enters the game for D. Augustin,13,8
1,4:59.0,,J. Simmons enters the game for A. Gordon,13,8
1,4:48.0,D. Mitchell misses 3-pt jump shot from 22 ft,,13,8
1,4:45.0,,Defensive rebound by J. Grant,13,8
1,4:34.0,,E. Fournier makes 2-pt jump shot from 9 ft (assist by N. Vučević),13,10
1,4:23.0,Personal foul by J. Simmons (drawn by K. Korver),,13,10
1,4:13.0,D. Mitchell misses 3-pt jump shot from 24 ft,,13,10
1,4:09.0,,Defensive rebound by N. Vučević,13,10
1,4:02.0,,N. Vučević misses 2-pt hook shot from 11 ft,13,10
1,3:59.0,Defensive rebound by K. Korver,,13,10
1,3:52.0,R. Rubio misses 2-pt jump shot from 20 ft,,13,10
1,3:50.0,,Defensive rebound by J. Isaac,13,10
1,3:38.0,,J. Isaac misses 2-pt jump shot from 18 ft,13,10
1,3:35.0,Defensive rebound by J. Crowder,,13,10
1,3:30.0,K. Korver misses 3-pt jump shot from 25 ft,,13,10
1,3:27.0,,Defensive rebound by J. Isaac,13,10
1,3:09.0,,Shooting foul by R. Gobert (drawn by E. Fournier),13,10
1,3:09.0,,E. Fournier makes free throw 1 of 2,13,11
1,3:09.0,D. Exum enters the game for R. Gobert,,13,11
1,3:09.0,D. Favors enters the game for D. Mitchell,,13,11
1,3:09.0,J. Ingles enters the game for R. Rubio,,13,11
1,3:09.0,,J. Martin enters the game for J. Isaac,13,11
1,3:09.0,,E. Fournier makes free throw 2 of 2,13,12
1,3:03.0,Personal foul by J. Grant (drawn by D. Exum),,13,12
1,3:03.0,,T. Ross enters the game for E. Fournier,13,12
1,3:03.0,Utah full timeout,,13,12
1,3:03.0,,M. Bamba enters the game for N. Vučević,13,12
1,2:56.0,J. Crowder misses 3-pt jump shot from 23 ft,,13,12
1,2:54.0,,Defensive rebound by Team,13,12
1,2:54.0,R. O'Neale enters the game for K. Korver,,13,12
1,2:41.0,,J. Simmons makes 2-pt jump shot from 16 ft,13,14
1,2:18.0,Personal foul by J. Martin (drawn by D. Favors),,13,14
1,2:11.0,D. Favors misses 2-pt jump shot from 11 ft,,13,14
1,2:07.0,,Defensive rebound by M. Bamba,13,14
1,2:00.0,,Turnover by J. Simmons (bad pass; steal by J. Ingles),13,14
1,1:56.0,Turnover by J. Ingles (bad pass),,13,14
1,1:35.0,,M. Bamba misses 3-pt jump shot from 22 ft,13,14
1,1:33.0,Defensive rebound by R. O'Neale,,13,14
1,1:16.0,J. Crowder misses 3-pt jump shot from 23 ft,,13,14
1,1:12.0,,Defensive rebound by T. Ross,13,14
1,0:54.0,,Turnover by J. Simmons (bad pass; steal by J. Crowder),13,14
1,0:45.0,Turnover by D. Favors (bad pass; steal by J. Grant),,13,14
1,0:42.0,,Personal take foul by R. O'Neale (drawn by J. Martin),13,14
1,0:34.0,,Offensive foul by J. Martin (drawn by D. Exum),13,14
1,0:34.0,,Turnover by J. Martin (offensive foul),13,14
1,0:22.0,J. Ingles misses 2-pt layup from 2 ft (block by M. Bamba),,13,14
1,0:21.0,Offensive rebound by D. Favors,,13,14
1,0:21.0,Turnover by D. Favors (traveling),,13,14
1,0:05.0,,Turnover by J. Simmons (lost ball; steal by J. Ingles),13,14
1,0:01.0,Shooting foul by T. Ross (drawn by R. O'Neale),,13,14
1,0:01.0,R. O'Neale misses free throw 1 of 2,,13,14
1,0:01.0,Offensive rebound by Team,,13,14
1,0:01.0,R. O'Neale makes free throw 2 of 2,,14,14
1,0:00.0,,J. Simmons misses 3-pt jump shot from 59 ft (block by J. Ingles),14,14
1,0:00.0,,Offensive rebound by Team,14,14
2,11:46.0,,Shooting foul by D. Exum (drawn by D. Augustin),14,14
2,11:46.0,,D. Augustin makes free throw 1 of 2,14,15
2,11:46.0,,D. Augustin misses free throw 2 of 2,14,15
2,11:44.0,Defensive rebound by D. Exum,,14,15
2,11:33.0,Personal foul by J. Martin (drawn by T. Sefolosha),,14,15
2,11:26.0,D. Favors misses 2-pt layup from 3 ft (block by M. Bamba),,14,15
2,11:22.0,,Defensive rebound by D. Augustin,14,15
2,11:20.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by D. Augustin),14,18
2,10:56.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. O'Neale),,16,18
2,10:35.0,,T. Ross makes 2-pt jump shot from 13 ft (assist by M. Bamba),16,20
2,10:20.0,Shooting foul by M. Bamba (drawn by D. Favors),,16,20
2,10:20.0,D. Favors misses free throw 1 of 2,,16,20
2,10:20.0,Offensive rebound by Team,,16,20
2,10:20.0,K. Korver enters the game for R. O'Neale,,16,20
2,10:20.0,,A. Gordon enters the game for J. Martin,16,20
2,10:20.0,D. Favors makes free throw 2 of 2,,17,20
2,9:55.0,,A. Gordon misses 2-pt jump shot from 14 ft,17,20
2,9:52.0,Defensive rebound by J. Ingles,,17,20
2,9:39.0,D. Favors makes 2-pt jump shot from 17 ft (assist by J. Ingles),,19,20
2,9:16.0,,A. Gordon misses 3-pt jump shot from 24 ft,19,20
2,9:12.0,Defensive rebound by D. Exum,,19,20
2,9:08.0,D. Exum makes 2-pt layup from 2 ft,,21,20
2,8:55.0,,Turnover by A. Gordon (bad pass; steal by T. Sefolosha),21,20
2,8:41.0,J. Ingles misses 3-pt jump shot from 25 ft,,21,20
2,8:39.0,,Defensive rebound by J. Simmons,21,20
2,8:20.0,,D. Augustin makes 2-pt layup from 4 ft,21,22
2,8:15.0,Utah full timeout,,21,22
2,8:15.0,R. Gobert enters the game for D. Favors,,21,22
2,8:15.0,D. Mitchell enters the game for J. Ingles,,21,22
2,8:15.0,,E. Fournier enters the game for J. Simmons,21,22
2,7:58.0,K. Korver misses 3-pt jump shot from 26 ft,,21,22
2,7:55.0,,Defensive rebound by E. Fournier,21,22
2,7:43.0,,T. Ross misses 2-pt jump shot from 21 ft,21,22
2,7:40.0,Defensive rebound by K. Korver,,21,22
2,7:29.0,D. Exum misses 2-pt jump shot from 8 ft,,21,22
2,7:27.0,,Defensive rebound by M. Bamba,21,22
2,7:13.0,,M. Bamba misses 2-pt jump shot from 18 ft,21,22
2,7:09.0,Defensive rebound by R. Gobert,,21,22
2,6:59.0,K. Korver misses 2-pt jump shot from 21 ft,,21,22
2,6:56.0,,Defensive rebound by E. Fournier,21,22
2,6:56.0,R. Rubio enters the game for D. Exum,,21,22
2,6:56.0,,J. Grant enters the game for D. Augustin,21,22
2,6:41.0,,M. Bamba misses 2-pt jump shot from 21 ft,21,22
2,6:37.0,Defensive rebound by T. Sefolosha,,21,22
2,6:15.0,D. Mitchell makes 3-pt jump shot from 29 ft,,24,22
2,5:49.0,,J. Grant misses 2-pt layup from 2 ft (block by R. Gobert),24,22
2,5:46.0,Defensive rebound by R. Gobert,,24,22
2,5:39.0,R. Rubio misses 2-pt jump shot from 8 ft,,24,22
2,5:34.0,,Defensive rebound by M. Bamba,24,22
2,5:33.0,,Turnover by M. Bamba (bad pass; steal by T. Sefolosha),24,22
2,5:29.0,D. Mitchell misses 2-pt layup from 4 ft,,24,22
2,5:23.0,Offensive rebound by R. Gobert,,24,22
2,5:23.0,R. Gobert makes 2-pt layup at rim,,26,22
2,5:06.0,,Turnover by M. Bamba (bad pass; steal by T. Sefolosha),26,22
2,4:58.0,Turnover by T. Sefolosha (bad pass; steal by T. Ross),,26,22
2,4:58.0,,Personal take foul by D. Mitchell (drawn by T. Ross),26,22
2,4:58.0,,Orlando full timeout,26,22
2,4:58.0,J. Crowder enters the game for K. Korver,,26,22
2,4:58.0,J. Ingles enters the game for T. Sefolosha,,26,22
2,4:58.0,,J. Isaac enters the game for M. Bamba,26,22
2,4:58.0,,N. Vučević enters the game for A. Gordon,26,22
2,4:47.0,,T. Ross makes 2-pt jump shot from 21 ft (assist by J. Grant),26,24
2,4:26.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by R. Rubio),,29,24
2,4:07.0,,E. Fournier misses 2-pt jump shot from 16 ft,29,24
2,4:04.0,Defensive rebound by J. Crowder,,29,24
2,3:59.0,R. Rubio misses 3-pt jump shot from 26 ft,,29,24
2,3:58.0,Offensive rebound by R. Gobert,,29,24
2,3:57.0,R. Gobert misses 2-pt layup from 3 ft (block by N. Vučević),,29,24
2,3:57.0,,Defensive rebound by N. Vučević,29,24
2,3:45.0,,J. Grant misses 3-pt jump shot from 24 ft,29,24
2,3:44.0,Defensive rebound by R. Gobert,,29,24
2,3:35.0,D. Mitchell makes 2-pt jump shot from 18 ft,,31,24
2,3:12.0,,N. Vučević makes 2-pt jump shot from 21 ft (assist by J. Grant),31,26
2,3:01.0,Shooting foul by J. Grant (drawn by R. Rubio),,31,26
2,3:01.0,R. Rubio makes free throw 1 of 2,,32,26
2,3:01.0,,D. Augustin enters the game for J. Grant,32,26
2,3:01.0,,J. Simmons enters the game for T. Ross,32,26
2,3:01.0,R. Rubio makes free throw 2 of 2,,33,26
2,2:48.0,,E. Fournier makes 2-pt layup from 3 ft,33,28
2,2:33.0,D. Mitchell makes 2-pt jump shot from 14 ft,,35,28
2,2:17.0,,E. Fournier misses 2-pt jump shot from 15 ft,35,28
2,2:14.0,Defensive rebound by J. Crowder,,35,28
2,2:06.0,J. Crowder misses 3-pt jump shot from 25 ft,,35,28
2,2:02.0,,Defensive rebound by N. Vučević,35,28
2,1:58.0,,N. Vučević misses 2-pt jump shot from 22 ft,35,28
2,1:54.0,Defensive rebound by R. Rubio,,35,28
2,1:50.0,R. Rubio misses 2-pt layup from 2 ft (block by J. Isaac),,35,28
2,1:50.0,Offensive rebound by Team,,35,28
2,1:49.0,Personal foul by J. Simmons (drawn by R. Gobert),,35,28
2,1:37.0,R. Gobert misses 2-pt layup from 4 ft,,35,28
2,1:34.0,,Defensive rebound by J. Simmons,35,28
2,1:26.0,,J. Isaac misses 2-pt layup from 3 ft,35,28
2,1:26.0,Defensive rebound by Team,,35,28
2,1:17.0,R. Rubio misses 2-pt layup from 3 ft,,35,28
2,1:15.0,,Defensive rebound by N. Vučević,35,28
2,1:04.0,,E. Fournier makes 2-pt jump shot from 18 ft (assist by N. Vučević),35,30
2,0:44.0,D. Mitchell misses 2-pt jump shot from 17 ft,,35,30
2,0:41.0,,Defensive rebound by E. Fournier,35,30
2,0:36.0,,Personal foul by D. Mitchell (drawn by E. Fournier),35,30
2,0:28.0,,Turnover by J. Isaac (bad pass),35,30
2,0:11.0,D. Mitchell misses 2-pt jump shot from 9 ft,,35,30
2,0:07.0,,Defensive rebound by E. Fournier,35,30
2,0:00.0,,D. Augustin makes 3-pt jump shot from 29 ft,35,33
3,11:44.0,,Turnover by J. Isaac (dbl dribble),35,33
3,11:26.0,R. Gobert misses 2-pt dunk at rim,,35,33
3,11:23.0,,Defensive rebound by A. Gordon,35,33
3,11:23.0,,Turnover by A. Gordon (traveling),35,33
3,11:09.0,J. Ingles misses 2-pt layup from 3 ft,,35,33
3,11:05.0,,Defensive rebound by D. Augustin,35,33
3,11:01.0,,Personal foul by R. Rubio (drawn by D. Augustin),35,33
3,10:48.0,,E. Fournier misses 2-pt jump shot from 13 ft,35,33
3,10:47.0,,Offensive rebound by N. Vučević,35,33
3,10:43.0,,E. Fournier misses 3-pt jump shot from 23 ft,35,33
3,10:41.0,Defensive rebound by J. Ingles,,35,33
3,10:34.0,Shooting foul by E. Fournier (drawn by D. Mitchell),,35,33
3,10:34.0,D. Mitchell makes free throw 1 of 2,,36,33
3,10:34.0,D. Mitchell makes free throw 2 of 2,,37,33
