QUARTER,TIME_REMAINING,UTAH_ACTION,ORLANDO_ACTION,UTAH_SCORE,ORLANDO_SCORE
4,2:30.0,Defensive rebound by R. Rubio,,77,84
4,2:28.0,R. Rubio misses 3-pt jump shot from 26 ft,,77,84
4,2:24.0,,Defensive rebound by N. Vučević,77,84
4,2:07.0,,E. Fournier misses 3-pt jump shot from 25 ft,77,84
4,2:03.0,Defensive rebound by R. Gobert,,77,84
4,1:49.0,Turnover by J. Ingles (bad pass; steal by A. Gordon),,77,84
4,1:35.0,,Turnover by A. Gordon (bad pass; steal by J. Ingles),77,84
4,1:31.0,Shooting foul by D. Augustin (drawn by R. Rubio),,77,84
4,1:31.0,,Orlando full timeout,77,84
4,1:31.0,,T. Ross enters the game for J. Isaac,77,84
4,1:31.0,R. Rubio makes free throw 1 of 2,,78,84
4,1:31.0,R. Rubio makes free throw 2 of 2,,79,84
4,1:12.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by N. Vučević),79,87
4,1:00.0,Personal foul by E. Fournier (drawn by D. Mitchell),,79,87
4,1:00.0,D. Mitchell makes free throw 1 of 2,,80,87
4,1:00.0,D. Mitchell makes free throw 2 of 2,,81,87
4,0:47.0,,D. Augustin makes 3-pt jump shot from 24 ft (assist by A. Gordon),81,90
4,0:40.0,Personal foul by E. Fournier (drawn by D. Mitchell),,81,90
4,0:40.0,D. Mitchell makes free throw 1 of 2,,82,90
4,0:40.0,D. Mitchell makes free throw 2 of 2,,83,90
4,0:32.0,,Turnover by D. Augustin (bad pass; steal by J. Crowder),83,90
4,0:31.0,Personal foul by N. Vučević (drawn by R. Rubio),,83,90
4,0:31.0,R. Rubio makes free throw 1 of 2,,84,90
4,0:31.0,R. Rubio makes free throw 2 of 2,,85,90
4,0:31.0,,Orlando full timeout,85,90
4,0:31.0,,Personal foul by J. Ingles (drawn by E. Fournier),85,90
4,0:31.0,,E. Fournier makes free throw 1 of 2,85,91
4,0:31.0,,J. Isaac enters the game for T. Ross,85,91
4,0:31.0,,E. Fournier makes free throw 2 of 2,85,92
4,0:26.0,D. Mitchell makes 2-pt jump shot from 6 ft,,87,92
4,0:24.0,,Personal foul by D. Mitchell (drawn by E. Fournier),87,92
4,0:24.0,,E. Fournier misses free throw 1 of 2,87,92
4,0:24.0,,Offensive rebound by Team,87,92
4,0:24.0,,E. Fournier makes free throw 2 of 2,87,93
4,0:24.0,Utah full timeout,,87,93
4,0:24.0,K. Korver enters the game for J. Crowder,,87,93
4,0:23.0,K. Korver misses 3-pt jump shot from 25 ft,,87,93
4,0:20.0,Offensive rebound by J. Ingles,,87,93
4,0:20.0,Shooting foul by N. Vučević (drawn by J. Ingles),,87,93
4,0:20.0,J. Ingles makes free throw 1 of 2,,88,93
4,0:20.0,J. Crowder enters the game for K. Korver,,88,93
4,0:20.0,,T. Ross enters the game for J. Isaac,88,93
4,0:20.0,J. Ingles makes free throw 2 of 2,,89,93
4,0:17.0,,Personal foul by J. Ingles (drawn by E. Fournier),89,93
4,0:17.0,,E. Fournier misses free throw 1 of 2,89,93
4,0:17.0,,Offensive rebound by Team,89,93
4,0:17.0,K. Korver enters the game for J. Crowder,,89,93
4,0:17.0,,J. Simmons enters the game for T. Ross,89,93
4,0:17.0,,E. Fournier makes free throw 2 of 2,89,94
4,0:13.0,D. Mitchell misses 2-pt layup from 2 ft (block by N. Vučević),,89,94
4,0:11.0,,Defensive rebound by J. Simmons,89,94
4,0:11.0,,Personal take foul by K. Korver (drawn by J. Simmons),89,94
4,0:11.0,,J. Simmons makes free throw 1 of 2,89,95
4,0:11.0,J. Crowder enters the game for K. Korver,,89,95
4,0:11.0,,J. Simmons makes free throw 2 of 2,89,96
4,0:11.0,Utah full timeout,,89,96
4,0:11.0,K. Korver enters the game for R. Gobert,,89,96
4,0:11.0,,J. Isaac enters the game for N. Vučević,89,96
4,0:08.0,J. Ingles misses 2-pt jump shot from 19 ft,,89,96
4,0:06.0,,Defensive rebound by J. Isaac,89,96
