QUARTER,TIME_REMAINING,BOSTON_ACTION,PORTLAND_ACTION,BOSTON_SCORE,PORTLAND_SCORE
1,11:45.0,,A. Aminu misses 3-pt jump shot from 25 ft,0,0
1,11:43.0,Defensive rebound by G. Hayward,,0,0
1,11:24.0,J. Brown misses 2-pt layup from 2 ft (block by J. Layman),,0,0
1,11:22.0,,Defensive rebound by C. McCollum,0,0
1,11:14.0,,J. Nurkić makes 2-pt dunk at rim (assist by D. Lillard),0,2
1,10:53.0,J. Tatum misses 2-pt jump shot from 22 ft,,0,2
1,10:51.0,,Defensive rebound by A. Aminu,0,2
1,10:45.0,,D. Lillard makes 3-pt jump shot from 30 ft,0,5
1,10:32.0,K. Irving misses 3-pt jump shot from 25 ft,,0,5
1,10:31.0,Offensive rebound by G. Hayward,,0,5
1,10:22.0,K. Irving makes 2-pt jump shot from 10 ft,,2,5
1,10:11.0,,C. McCollum misses 3-pt jump shot from 25 ft,2,5
1,10:08.0,Defensive rebound by G. Hayward,,2,5
1,10:00.0,J. Tatum makes 2-pt layup from 3 ft,,4,5
1,9:45.0,,Personal foul by K. Irving (drawn by A. Aminu),4,5
1,9:33.0,,Shooting foul by G. Hayward (drawn by J. Nurkić),4,5
1,9:33.0,,J. Nurkić makes free throw 1 of 2,4,6
1,9:33.0,,J. Nurkić makes free throw 2 of 2,4,7
1,9:18.0,A. Horford makes 2-pt jump shot from 18 ft (assist by G. Hayward),,6,7
1,9:03.0,,C. McCollum misses 3-pt jump shot from 24 ft,6,7
1,9:00.0,Defensive rebound by A. Horford,,6,7
1,8:57.0,Turnover by A. Horford (bad pass; steal by A. Aminu),,6,7
1,8:53.0,,D. Lillard misses 3-pt jump shot from 30 ft,6,7
1,8:48.0,Defensive rebound by A. Horford,,6,7
1,8:37.0,Turnover by K. Irving (bad pass; steal by A. Aminu),,6,7
1,8:34.0,,Shooting foul by J. Brown (drawn by A. Aminu),6,7
1,8:34.0,,A. Aminu makes free throw 1 of 2,6,8
1,8:34.0,,A. Aminu misses free throw 2 of 2,6,8
1,8:31.0,,Offensive rebound by J. Nurkić,6,8
1,8:29.0,,J. Nurkić makes 2-pt hook shot from 2 ft,6,10
1,8:20.0,K. Irving misses 3-pt jump shot from 25 ft,,6,10
1,8:18.0,,Defensive rebound by J. Nurkić,6,10
1,8:09.0,,J. Layman makes 3-pt jump shot from 25 ft (assist by D. Lillard),6,13
1,7:47.0,J. Tatum misses 2-pt jump shot from 20 ft,,6,13
1,7:45.0,,Defensive rebound by D. Lillard,6,13
1,7:33.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),6,15
1,7:17.0,G. Hayward makes 2-pt jump shot from 6 ft,,8,15
1,7:02.0,,J. Nurkić makes 2-pt dunk at rim (assist by D. Lillard),8,17
1,6:41.0,A. Horford misses 2-pt jump shot from 12 ft,,8,17
1,6:38.0,,Defensive rebound by A. Aminu,8,17
1,6:30.0,,Turnover by C. McCollum (lost ball; steal by K. Irving),8,17
1,6:25.0,G. Hayward makes 2-pt layup from 1 ft (assist by K. Irving),,10,17
1,6:24.0,,Portland full timeout,10,17
1,6:24.0,A. Baynes enters the game for A. Horford,,10,17
1,6:24.0,M. Morris enters the game for J. Tatum,,10,17
1,6:10.0,,Turnover by J. Layman (bad pass; steal by A. Baynes),10,17
1,6:00.0,G. Hayward misses 2-pt jump shot from 7 ft,,10,17
1,5:57.0,,Defensive rebound by J. Layman,10,17
1,5:52.0,,J. Layman makes 2-pt layup from 2 ft,10,19
1,5:35.0,Turnover by J. Brown (traveling),,10,19
1,5:14.0,,A. Aminu misses 2-pt jump shot from 8 ft,10,19
1,5:13.0,Defensive rebound by A. Baynes,,10,19
1,5:05.0,K. Irving makes 2-pt jump shot from 20 ft,,12,19
1,4:43.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),12,21
1,4:35.0,Personal foul by C. McCollum (drawn by J. Brown),,12,21
1,4:35.0,,Z. Collins enters the game for A. Aminu,12,21
1,4:35.0,,M. Leonard enters the game for J. Layman,12,21
1,4:35.0,,E. Turner enters the game for J. Nurkić,12,21
1,4:26.0,K. Irving misses 2-pt layup from 2 ft,,12,21
1,4:24.0,,Defensive rebound by D. Lillard,12,21
1,4:18.0,,D. Lillard makes 2-pt layup at rim,12,23
1,4:00.0,Personal foul by M. Leonard (drawn by A. Baynes),,12,23
1,4:00.0,T. Rozier enters the game for J. Brown,,12,23
1,4:00.0,M. Smart enters the game for G. Hayward,,12,23
1,3:53.0,Personal foul by Z. Collins (drawn by A. Baynes),,12,23
1,3:47.0,Offensive foul by A. Baynes (drawn by M. Leonard),,12,23
1,3:47.0,Turnover by A. Baynes (offensive foul),,12,23
1,3:31.0,,Offensive foul by M. Leonard (drawn by T. Rozier),12,23
1,3:31.0,,Turnover by M. Leonard (offensive foul),12,23
1,3:19.0,M. Morris makes 2-pt jump shot from 18 ft (assist by K. Irving),,14,23
1,2:51.0,,M. Leonard makes 3-pt jump shot from 22 ft (assist by D. Lillard),14,26
1,2:33.0,K. Irving makes 2-pt jump shot from 18 ft,,16,26
1,2:17.0,,C. McCollum misses 3-pt jump shot from 24 ft,16,26
1,2:16.0,Defensive rebound by Team,,16,26
1,2:16.0,Boston full timeout,,16,26
1,2:16.0,A. Horford enters the game for A. Baynes,,16,26
1,2:16.0,J. Tatum enters the game for K. Irving,,16,26
1,2:16.0,,S. Curry enters the game for D. Lillard,16,26
1,2:16.0,,N. Stauskas enters the game for C. McCollum,16,26
1,2:05.0,M. Smart misses 3-pt jump shot from 25 ft,,16,26
1,2:02.0,,Defensive rebound by Z. Collins,16,26
1,1:55.0,,Personal foul by J. Tatum (drawn by E. Turner),16,26
1,1:44.0,,Turnover by M. Leonard (bad pass),16,26
1,1:28.0,T. Rozier misses 2-pt jump shot from 13 ft,,16,26
1,1:26.0,,Defensive rebound by M. Leonard,16,26
1,1:14.0,,M. Leonard misses 2-pt jump shot from 12 ft,16,26
1,1:11.0,Defensive rebound by A. Horford,,16,26
1,1:01.0,M. Smart misses 2-pt jump shot from 4 ft,,16,26
1,1:00.0,,Defensive rebound by M. Leonard,16,26
1,0:46.0,,N. Stauskas misses 3-pt jump shot from 26 ft,16,26
1,0:44.0,Defensive rebound by J. Tatum,,16,26
1,0:36.0,T. Rozier misses 3-pt jump shot from 25 ft,,16,26
1,0:33.0,Offensive rebound by Team,,16,26
1,0:31.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Smart),,19,26
1,0:16.0,,E. Turner misses 3-pt jump shot from 25 ft,19,26
