QUARTER,TIME_REMAINING,MIAMI_ACTION,BOSTON_ACTION,MIAMI_SCORE,BOSTON_SCORE
1,11:42.0,,J. Tatum misses 3-pt jump shot from 23 ft,0,0
1,11:40.0,Defensive rebound by D. Jones,,0,0
1,11:24.0,K. Olynyk misses 3-pt jump shot from 26 ft,,0,0
1,11:22.0,,Defensive rebound by K. Irving,0,0
1,11:07.0,,J. Tatum misses 2-pt jump shot from 20 ft,0,0
1,11:05.0,,Offensive rebound by M. Smart,0,0
1,11:05.0,,M. Smart makes 2-pt layup from 1 ft,0,2
1,10:48.0,B. Adebayo makes 2-pt layup from 1 ft (assist by G. Dragić),,2,2
1,10:35.0,,K. Irving misses 2-pt jump shot from 13 ft,2,2
1,10:34.0,Defensive rebound by B. Adebayo,,2,2
1,10:21.0,D. Jones misses 3-pt jump shot from 23 ft,,2,2
1,10:19.0,Offensive rebound by B. Adebayo,,2,2
1,10:10.0,B. Adebayo misses 2-pt jump shot from 10 ft,,2,2
1,10:06.0,,Defensive rebound by K. Irving,2,2
1,10:01.0,,M. Smart misses 3-pt jump shot from 25 ft,2,2
1,9:58.0,Defensive rebound by Team,,2,2
1,9:58.0,,Loose ball foul by A. Baynes (drawn by D. Jones),2,2
1,9:50.0,B. Adebayo misses 2-pt jump shot from 18 ft,,2,2
1,9:48.0,,Defensive rebound by A. Baynes,2,2
1,9:37.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by K. Irving),2,5
1,9:24.0,D. Waiters misses 3-pt jump shot from 25 ft,,2,5
1,9:21.0,,Defensive rebound by J. Tatum,2,5
1,9:04.0,,J. Tatum makes 2-pt dunk at rim (assist by A. Horford),2,7
1,8:43.0,Turnover by D. Jones (lost ball; steal by K. Irving),,2,7
1,8:36.0,,A. Horford makes 2-pt dunk from 1 ft (assist by J. Tatum),2,9
1,8:18.0,G. Dragić misses 3-pt jump shot from 25 ft,,2,9
1,8:16.0,,Defensive rebound by K. Irving,2,9
1,8:13.0,,Shooting foul by D. Waiters (drawn by J. Tatum),2,9
1,8:13.0,,J. Tatum makes free throw 1 of 2,2,10
1,8:13.0,,J. Tatum misses free throw 2 of 2,2,10
1,8:13.0,Defensive rebound by B. Adebayo,,2,10
1,8:08.0,Miami full timeout,,2,10
1,8:02.0,Turnover by D. Waiters (bad pass; steal by K. Irving),,2,10
1,7:57.0,,M. Smart misses 3-pt jump shot from 25 ft,2,10
1,7:55.0,,Offensive rebound by J. Tatum,2,10
1,7:53.0,,J. Tatum makes 3-pt jump shot from 25 ft,2,13
1,7:31.0,D. Waiters misses 3-pt jump shot from 25 ft,,2,13
1,7:28.0,Offensive rebound by Team,,2,13
1,7:15.0,D. Waiters misses 2-pt jump shot from 11 ft,,2,13
