QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHILADELPHIA_ACTION,WASHINGTON_SCORE,PHILADELPHIA_SCORE
1,8:52.0,,J. Embiid misses 3-pt jump shot from 26 ft,4,4
1,8:46.0,,Offensive rebound by W. Chandler,4,4
1,8:46.0,,J. Butler misses 2-pt layup from 1 ft,4,4
1,8:46.0,,Offensive rebound by J. Butler,4,4
1,8:46.0,,W. Chandler misses 2-pt layup from 3 ft,4,4
1,8:46.0,,Offensive rebound by W. Chandler,4,4
1,8:42.0,,W. Chandler makes 2-pt layup from 1 ft,4,6
1,8:29.0,B. Beal misses 2-pt jump shot from 10 ft,,4,6
1,8:27.0,,Defensive rebound by J. Embiid,4,6
1,8:20.0,,J. Redick misses 3-pt jump shot from 28 ft,4,6
1,8:17.0,,Offensive rebound by J. Redick,4,6
1,8:14.0,,J. Redick misses 2-pt layup from 1 ft,4,6
1,8:13.0,,Offensive rebound by J. Embiid,4,6
1,8:12.0,,J. Embiid makes 2-pt layup from 2 ft,4,8
1,7:57.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,7,8
1,7:46.0,,J. Embiid makes 2-pt jump shot from 8 ft (assist by B. Simmons),7,10
1,7:30.0,J. Wall misses 2-pt hook shot from 7 ft,,7,10
1,7:28.0,,Defensive rebound by J. Embiid,7,10
1,7:24.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),7,13
1,7:23.0,Washington full timeout,,7,13
1,7:08.0,K. Oubre misses 2-pt jump shot from 9 ft,,7,13
1,7:06.0,,Defensive rebound by J. Embiid,7,13
1,6:45.0,,J. Embiid misses 2-pt jump shot from 11 ft,7,13
1,6:43.0,Defensive rebound by K. Oubre,,7,13
1,6:31.0,B. Beal makes 2-pt jump shot from 19 ft,,9,13
1,6:22.0,,Shooting foul by B. Beal (drawn by J. Redick),9,13
1,6:22.0,,J. Redick makes free throw 1 of 3,9,14
1,6:22.0,,J. Redick makes free throw 2 of 3,9,15
1,6:22.0,I. Mahinmi enters the game for B. Beal,,9,15
1,6:22.0,A. Rivers enters the game for T. Bryant,,9,15
1,6:22.0,,M. Muscala enters the game for W. Chandler,9,15
1,6:22.0,,L. Shamet enters the game for J. Embiid,9,15
1,6:22.0,,J. Redick makes free throw 3 of 3,9,16
1,6:13.0,K. Oubre makes 3-pt jump shot from 28 ft (assist by J. Wall),,12,16
1,6:01.0,,J. Redick makes 3-pt jump shot from 28 ft (assist by B. Simmons),12,19
1,5:47.0,J. Wall makes 2-pt layup from 3 ft,,14,19
1,5:37.0,,J. Butler misses 2-pt layup from 1 ft,14,19
1,5:35.0,,Offensive rebound by J. Butler,14,19
1,5:31.0,,J. Redick makes 2-pt layup from 2 ft (assist by J. Butler),14,21
1,5:21.0,Turnover by J. Wall (bad pass; steal by B. Simmons),,14,21
1,5:17.0,,Personal foul by J. Green (drawn by B. Simmons),14,21
1,5:17.0,M. Morris enters the game for J. Green,,14,21
1,5:17.0,,T. McConnell enters the game for J. Redick,14,21
1,5:06.0,,J. Butler misses 2-pt layup from 2 ft,14,21
1,5:03.0,Defensive rebound by M. Morris,,14,21
1,5:00.0,J. Wall misses 2-pt layup from 1 ft,,14,21
1,4:58.0,,Defensive rebound by B. Simmons,14,21
1,4:55.0,,Turnover by B. Simmons (lost ball; steal by J. Wall),14,21
1,4:41.0,K. Oubre misses 3-pt jump shot from 28 ft,,14,21
1,4:37.0,,Defensive rebound by T. McConnell,14,21
1,4:33.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by T. McConnell),14,23
1,4:14.0,M. Morris misses 2-pt jump shot from 17 ft,,14,23
1,4:10.0,,Defensive rebound by T. McConnell,14,23
1,4:04.0,,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),14,25
1,3:45.0,M. Morris misses 3-pt jump shot from 26 ft,,14,25
1,3:42.0,,Defensive rebound by L. Shamet,14,25
1,3:39.0,,Turnover by B. Simmons (bad pass),14,25
1,3:39.0,,F. Korkmaz enters the game for J. Butler,14,25
1,3:27.0,Personal foul by L. Shamet (drawn by J. Wall),,14,25
1,3:16.0,K. Oubre misses 2-pt jump shot from 16 ft,,14,25
1,3:14.0,,Defensive rebound by M. Muscala,14,25
1,3:11.0,,L. Shamet misses 3-pt jump shot from 25 ft,14,25
1,3:07.0,Defensive rebound by K. Oubre,,14,25
1,3:00.0,J. Wall misses 2-pt jump shot from 20 ft,,14,25
1,2:56.0,,Defensive rebound by L. Shamet,14,25
1,2:48.0,,M. Muscala misses 3-pt jump shot from 27 ft,14,25
1,2:45.0,,Offensive rebound by B. Simmons,14,25
1,2:45.0,,Philadelphia full timeout,14,25
1,2:45.0,T. Satoranský enters the game for J. Wall,,14,25
1,2:45.0,,J. Embiid enters the game for B. Simmons,14,25
1,2:37.0,,Turnover by T. McConnell (bad pass),14,25
1,2:21.0,A. Rivers makes 2-pt jump shot from 7 ft,,16,25
1,2:06.0,,T. McConnell makes 3-pt jump shot from 22 ft (assist by F. Korkmaz),16,28
1,1:53.0,I. Mahinmi misses 3-pt jump shot from 23 ft,,16,28
1,1:50.0,,Defensive rebound by J. Embiid,16,28
1,1:41.0,,T. McConnell makes 2-pt jump shot from 14 ft,16,30
1,1:29.0,Turnover by M. Morris (lost ball; steal by F. Korkmaz),,16,30
1,1:23.0,,T. McConnell misses 3-pt jump shot from 25 ft,16,30
1,1:21.0,,Offensive rebound by Team,16,30
1,1:21.0,Loose ball foul by I. Mahinmi (drawn by J. Embiid),,16,30
1,1:21.0,,J. Embiid misses free throw 1 of 2,16,30
1,1:21.0,,Offensive rebound by Team,16,30
1,1:21.0,,J. Redick enters the game for L. Shamet,16,30
1,1:21.0,,J. Embiid misses free throw 2 of 2,16,30
1,1:18.0,,Offensive rebound by M. Muscala,16,30
1,1:16.0,,F. Korkmaz misses 3-pt jump shot from 25 ft,16,30
1,1:15.0,Defensive rebound by K. Oubre,,16,30
1,1:05.0,Shooting foul by M. Muscala (drawn by A. Rivers),,16,30
1,1:05.0,A. Rivers misses free throw 1 of 2,,16,30
1,1:05.0,Offensive rebound by Team,,16,30
1,1:05.0,T. Brown enters the game for K. Oubre,,16,30
1,1:05.0,A. Rivers misses free throw 2 of 2,,16,30
1,1:03.0,,Defensive rebound by J. Embiid,16,30
1,0:49.0,,Personal foul by I. Mahinmi (drawn by J. Embiid),16,30
1,0:49.0,,J. Embiid misses free throw 1 of 2,16,30
1,0:49.0,,Offensive rebound by Team,16,30
1,0:49.0,,J. Embiid makes free throw 2 of 2,16,31
1,0:38.0,T. Satoranský misses 2-pt layup from 4 ft (block by J. Embiid),,16,31
1,0:34.0,,Defensive rebound by F. Korkmaz,16,31
1,0:26.0,,J. Redick misses 2-pt jump shot from 22 ft,16,31
1,0:22.0,Defensive rebound by A. Rivers,,16,31
1,0:03.0,A. Rivers makes 3-pt jump shot from 27 ft,,19,31
2,11:47.0,Turnover by M. Morris (lost ball; steal by J. Butler),,19,31
2,11:40.0,,J. Redick misses 3-pt jump shot from 27 ft,19,31
